ID	NUMBER	CHINESE	PINYIN	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PEN_STROKES	ICONICITY	PICTURABILITY	CURRICULUM_ORDER	FREQ_PER_MILLION
Xiao-2012-213-149	149	乐	le4	happy	HAPPY	1495	5	0.6	4.84	161.5	107.8
Xiao-2012-213-150	150	四	si4	four	FOUR	1500	5	0.6	5.81	3	1245
Xiao-2012-213-151	151	甲	jia3	armor	ARMOUR	1061	5	0.65	5.77	200	224.2
Xiao-2012-213-152	152	乎	hu1	a word indicating a question			5	0.65	2.3	177.5	129.3
Xiao-2012-213-153	153	石	shi2	stone	STONE	857	5	0.65	5.32	27	1031.2
Xiao-2012-213-154	154	央	yang1	center	CENTER	491	5	0.65	4.52	80.5	187.3
Xiao-2012-213-155	155	本	ben3	root	ROOT	670	5	0.65	5.61	99	2272
Xiao-2012-213-156	156	白	bai2	white	WHITE	1335	5	0.65	3.16	43	543
Xiao-2012-213-157	157	出	chu1	out	GO OUT	1107	5	0.65	2.58	61	3000.2
Xiao-2012-213-158	158	电	dian4	electricity	ELECTRICITY	59	5	0.7	4.32	37.5	2237.8
Xiao-2012-213-159	159	平	ping2	flat	FLAT	1633	5	0.7	3.94	118.5	1366.7
Xiao-2012-213-160	160	斥	chi4	to scold	SCOLD	299	5	0.75	2.81	209	47
Xiao-2012-213-161	161	瓜	gua1	cucumber	CUCUMBER	496	5	0.75	5.65	53.5	53.6
Xiao-2012-213-162	162	甩	shuai3	to dump			5	0.75	2.77	113	9.3
Xiao-2012-213-163	163	丘	qiu1	small hill			5	0.8	4.53	199	47.2
Xiao-2012-213-164	164	田	tian2	field	FIELD	212	5	0.85	5.06	27	472.6
Xiao-2012-213-165	165	凹	ao1	concave			5	0.95	4.65	202.5	65
Xiao-2012-213-166	166	曲	qu1	curve			6	0.05	4.87	165.5	326
Xiao-2012-213-167	167	朱	zhu1	dark red			6	0.25	2.97	161.5	52.7
Xiao-2012-213-168	168	血	xue3	blood	BLOOD	946	6	0.3	4.87	176	258.1
Xiao-2012-213-169	169	臣	chen2	minister	MINISTER	486	6	0.3	4.71	211	38.5
Xiao-2012-213-170	170	农	nong2	farmer	FARMER	979	6	0.35	5.71	72	1992.1
Xiao-2012-213-171	171	再	zai4	again	AGAIN	204	6	0.37	1.65	125	624.8
Xiao-2012-213-172	172	百	bai3	hundred	HUNDRED	1634	6	0.4	4.81	99	886.5
Xiao-2012-213-173	173	虫	chong2	insect	INSECT	620	6	0.4	6.03	57.5	555.6
Xiao-2012-213-174	174	亦	yi4	also			6	0.4	1.68	189	75.3
Xiao-2012-213-175	175	年	nian2	year	YEAR	1226	6	0.45	2.74	123.5	3224.5
