ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN
Starostin-1991-110-77	1246	SMALL	77	small	маленький
Starostin-1991-110-78	778	SMOKE (EXHAUST)	78	smoke	дым
Starostin-1991-110-79	1442	STAND	79	stand	стоять
Starostin-1991-110-80	1430	STAR	80	star	звесда
Starostin-1991-110-81	857	STONE	81	stone	камень
Starostin-1991-110-82	1343	SUN	82	sun	солнце
Starostin-1991-110-83	1439	SWIM	83	swim	плавать
Starostin-1991-110-84	1220	TAIL	84	tail	хвост
Starostin-1991-110-85	78	THAT	85	that	тот
Starostin-1991-110-86	1214	THIS	86	this	этот
Starostin-1991-110-87	1215	THOU	87	thou	ты
Starostin-1991-110-88	1205	TONGUE	88	tongue	язык
Starostin-1991-110-89	1380	TOOTH	89	tooth	зуб
Starostin-1991-110-90	906	TREE	90	tree	дерево
Starostin-1991-110-91	1498	TWO	91	two	два
Starostin-1991-110-92	1443	WALK	92	walk(go)	идти
Starostin-1991-110-93	2272	WARM OR HOT	93	warm	теплый
Starostin-1991-110-94	948	WATER	94	water	вода
Starostin-1991-110-95	1212	WE	95	we	мы
Starostin-1991-110-96	1236	WHAT	96	what	что
Starostin-1991-110-97	1335	WHITE	97	white	белый
Starostin-1991-110-98	1235	WHO	98	who	кто
Starostin-1991-110-99	962	WOMAN	99	woman	женщина
Starostin-1991-110-100	1424	YELLOW	100	yellow	желтый
Starostin-1991-110-101	1406	FAR	101	far	далекий
Starostin-1991-110-102	1210	HEAVY	102	heavy	тяжелый
Starostin-1991-110-103	1942	NEAR	103	near	блиский
Starostin-1991-110-104	1274	SALT	104	salt	соль
Starostin-1991-110-105	1645	SHORT	105	short	короткий
Starostin-1991-110-106	730	SNAKE	106	snake	змея
Starostin-1991-110-107	1400	THIN	107	thin	тонкий
Starostin-1991-110-108	960	WIND	108	wind	ветер
Starostin-1991-110-109	1219	WORM	109	worm	червь
Starostin-1991-110-110	1226	YEAR	110	year	год
