ID	NUMBER	ENGLISH	NCHARS	COMPLEXITY	_ConfidenceIntervalHigh	_ConfidenceIntervalLow	CONCEPTICON_ID	CONCEPTICON_GLOSS
Lewis-2016-499-89	89	duel	4	3.4666666667	0.6	0.6666666667		
Lewis-2016-499-90	90	dumb	4	2.6923076923	0.8461538462	0.8461538462	1492	DUMB
Lewis-2016-499-91	91	earn	4	2.75	0.8333333333	0.75	733	EARN
Lewis-2016-499-92	92	fang	4	1.9285714286	0.5714285714	0.4285714286		
Lewis-2016-499-93	93	fast	4	1.9166666667	0.6666666667	0.5833333333	1631	FAST
Lewis-2016-499-94	94	fine	4	3.3333333333	0.75	0.6666666667		
Lewis-2016-499-95	95	flee	4	2.8	0.7	0.55	956	FLEE
Lewis-2016-499-96	96	form	4	3.5789473684	0.6842105263	0.6855263158		
Lewis-2016-499-97	97	from	4	2.4	0.7333333333	0.7333333333	693	FROM
Lewis-2016-499-98	98	full	4	2.6111111111	0.6111111111	0.6111111111	1429	FULL
Lewis-2016-499-99	99	gasp	4	2.4545454545	0.7272727273	0.7272727273		
Lewis-2016-499-100	100	goof	4	2.5555555556	0.4444444444	0.5555555556		
Lewis-2016-499-101	101	gray	4	1.2	0.4	0.2	153	GREY
Lewis-2016-499-102	102	hail	4	2.8333333333	0.75	0.6666666667		
Lewis-2016-499-103	103	half	4	2.6428571429	0.8571428571	0.7142857143	816	HALF
Lewis-2016-499-104	104	hall	4	1.8333333333	0.6666666667	0.5		
Lewis-2016-499-105	105	hard	4	2.6470588235	0.8235294118	0.8823529412	1884	HARD
Lewis-2016-499-106	106	head	4	2.7272727273	1.3636363636	1.1818181818	1256	HEAD
Lewis-2016-499-107	107	heir	4	3.3333333333	0.7619047619	0.7619047619		
Lewis-2016-499-108	108	help	4	3.6875	0.9375	0.875		
Lewis-2016-499-109	109	hero	4	3.7407407407	0.7046296296	0.7416666667		
Lewis-2016-499-110	110	hose	4	1.4285714286	0.5714285714	0.4285714286		
Lewis-2016-499-111	111	idle	4	2.6	0.8	0.8	2756	IDLE
Lewis-2016-499-112	112	into	4	2.9230769231	0.8461538462	0.7692307692		
Lewis-2016-499-113	113	iron	4	3.1111111111	0.8333333333	0.8333333333		
Lewis-2016-499-114	114	keel	4	3.4375	0.625	0.625		
Lewis-2016-499-115	115	keen	4	3.4166666667	0.5833333333	0.6666666667	39	KEEN
Lewis-2016-499-116	116	kill	4	3.4	0.8666666667	0.8666666667	1417	KILL
Lewis-2016-499-117	117	kink	4	4.1904761905	0.7154761905	0.7619047619		
Lewis-2016-499-118	118	kiss	4	1.5555555556	0.4444444444	0.4444444444		
Lewis-2016-499-119	119	knee	4	2.2666666667	0.6683333333	0.6666666667	1371	KNEE
Lewis-2016-499-120	120	know	4	3.5625	0.75	0.75	1410	KNOW (SOMETHING)
Lewis-2016-499-121	121	lady	4	2	0.6	0.4666666667	2471	LADY
Lewis-2016-499-122	122	lake	4	1.5	0.3571428571	0.2857142857	624	LAKE
Lewis-2016-499-123	123	lamp	4	2	0.6	0.6	625	LAMP
Lewis-2016-499-124	124	lean	4	2.2352941176	0.5294117647	0.4705882353		
Lewis-2016-499-125	125	leap	4	1.7619047619	0.4773809524	0.4285714286		
Lewis-2016-499-126	126	liar	4	3.1666666667	0.9166666667	0.9166666667		
Lewis-2016-499-127	127	live	4	4	1.0683333333	1.0016666667	1422	BE ALIVE
Lewis-2016-499-128	128	loop	4	2.380952381	0.5714285714	0.5238095238		
Lewis-2016-499-129	129	loot	4	3.75	1.25	1.253125		
Lewis-2016-499-130	130	luck	4	2.9090909091	1.2727272727	1.0909090909	720	GOOD LUCK
Lewis-2016-499-131	131	lure	4	3.5454545455	1	1.0909090909		
Lewis-2016-499-132	132	make	4	3.0714285714	0.9285714286	0.8571428571	734	MAKE
Lewis-2016-499-133	133	many	4	4.6363636364	1.0909090909	1.0909090909	1198	MANY
Lewis-2016-499-134	134	milk	4	2	0.6	0.5333333333		
Lewis-2016-499-135	135	mine	4	3.6428571429	1.0714285714	1.1446428571		
Lewis-2016-499-136	136	mood	4	4.75	1.125	1.125		
Lewis-2016-499-137	137	most	4	2.9444444444	0.8333333333	0.7222222222		
Lewis-2016-499-138	138	much	4	2.3846153846	0.8461538462	0.8461538462	3452	MUCH
Lewis-2016-499-139	139	need	4	2.5333333333	1.0666666667	0.8666666667		
Lewis-2016-499-140	140	nine	4	1.5882352941	0.5294117647	0.4705882353	1483	NINE
Lewis-2016-499-141	141	only	4	2	0.5	0.5	1580	ONLY
Lewis-2016-499-142	142	page	4	2.4761904762	0.8095238095	0.6666666667		
Lewis-2016-499-143	143	part	4	2.0909090909	0.7272727273	0.6363636364	779	PART
Lewis-2016-499-144	144	path	4	2.3846153846	1.0769230769	0.8461538462	2252	PATH
Lewis-2016-499-145	145	pear	4	1.9285714286	0.6428571429	0.5	922	PEAR
Lewis-2016-499-146	146	pest	4	3.4545454545	0.7272727273	0.6818181818		
Lewis-2016-499-147	147	pity	4	3.7142857143	0.8571428571	0.7857142857		
Lewis-2016-499-148	148	poet	4	3.5263157895	0.8960526316	0.8421052632	1045	POET
Lewis-2016-499-149	149	pore	4	3.4705882353	0.7058823529	0.7058823529		
Lewis-2016-499-150	150	prop	4	3.3333333333	0.8666666667	0.9333333333		
Lewis-2016-499-151	151	raid	4	4.1052631579	0.7381578947	0.7368421053		
Lewis-2016-499-152	152	rash	4	2.4285714286	0.7142857143	0.5714285714		
Lewis-2016-499-153	153	ripe	4	3.5	0.8333333333	0.9166666667	178	RIPE
Lewis-2016-499-154	154	risk	4	3.8421052632	0.6842105263	0.7368421053		
Lewis-2016-499-155	155	rule	4	3.9473684211	0.8421052632	0.7894736842	1846	RULE
Lewis-2016-499-156	156	rung	4	3.4444444444	1.2222222222	1.1111111111		
Lewis-2016-499-157	157	sale	4	3.0769230769	0.8461538462	0.8461538462		
Lewis-2016-499-158	158	save	4	3.0526315789	0.7894736842	0.6842105263		
Lewis-2016-499-159	159	sick	4	2.8	1.2	1	1847	SICK
Lewis-2016-499-160	160	side	4	1.5714285714	0.6428571429	0.4285714286		
Lewis-2016-499-161	161	snow	4	2.375	0.8125	0.625		
Lewis-2016-499-162	162	soon	4	3	1.0666666667	1	703	SOON
Lewis-2016-499-163	163	sore	4	2.5384615385	0.5384615385	0.5384615385		
Lewis-2016-499-164	164	suds	4	2.4666666667	0.7333333333	0.6		
Lewis-2016-499-165	165	tank	4	3.6666666667	1	1		
Lewis-2016-499-166	166	team	4	3.4666666667	0.7333333333	0.7333333333		
Lewis-2016-499-167	167	than	4	2.0769230769	0.6923076923	0.6153846154		
Lewis-2016-499-168	168	thaw	4	2.6666666667	0.5833333333	0.5833333333	2887	THAW (DEW)
Lewis-2016-499-169	169	then	4	2.3	1.2	0.9	2921	THEN
Lewis-2016-499-170	170	thus	4	3.0833333333	1	0.8333333333		
Lewis-2016-499-171	171	turn	4	1.8461538462	0.8461538462	0.6923076923		
Lewis-2016-499-172	172	ugly	4	3.7272727273	1.1818181818	1	1548	UGLY
Lewis-2016-499-173	173	used	4	2.8	0.7333333333	0.7333333333		
Lewis-2016-499-174	174	vein	4	3.6923076923	0.8461538462	0.8461538462	1924	VEIN
Lewis-2016-499-175	175	very	4	3.25	0.875	0.75	1311	VERY
Lewis-2016-499-176	176	view	4	2.5	0.6680555556	0.5569444444		
Lewis-2016-499-177	177	wail	4	2.7777777778	1.3333333333	1.2222222222		
Lewis-2016-499-178	178	walk	4	2.0833333333	1.0833333333	0.8333333333		
Lewis-2016-499-179	179	wash	4	2.2352941176	0.6470588235	0.6470588235	1453	WASH
Lewis-2016-499-180	180	weed	4	3.2666666667	0.9333333333	0.8666666667		
Lewis-2016-499-181	181	well	4	2.8888888889	0.7777777778	0.7777777778		
Lewis-2016-499-182	182	welt	4	3.4705882353	0.8823529412	0.8235294118		
Lewis-2016-499-183	183	were	4	2	0.3846153846	0.3846153846		
Lewis-2016-499-184	184	what	4	2.7692307692	0.8461538462	0.8461538462	1236	WHAT
Lewis-2016-499-185	185	when	4	2.0714285714	0.8589285714	0.6428571429	1238	WHEN
Lewis-2016-499-186	186	wild	4	3.6363636364	1	0.9090909091		
Lewis-2016-499-187	187	wise	4	4.0625	0.9390625	1	698	WISE
Lewis-2016-499-188	188	wrap	4	2.4666666667	0.6	0.5333333333		
Lewis-2016-499-189	189	wren	4	2.9230769231	1	0.8461538462		
Lewis-2016-499-190	190	about	5	3.9375	1.0625	0.9375		
Lewis-2016-499-191	191	after	5	2.2307692308	1.0769230769	0.8461538462	1685	AFTER
Lewis-2016-499-192	192	array	5	4.5384615385	0.9230769231	1		
Lewis-2016-499-193	193	audit	5	4.5	0.75	0.75		
Lewis-2016-499-194	194	being	5	5.0909090909	1	1.1818181818		
Lewis-2016-499-195	195	belly	5	2.6666666667	0.7777777778	0.7222222222	1251	BELLY
Lewis-2016-499-196	196	birch	5	3.6153846154	1	1	1855	BIRCH
Lewis-2016-499-197	197	bland	5	2.1666666667	0.4444444444	0.4444444444		
Lewis-2016-499-198	198	bloom	5	3.1818181818	0.6363636364	0.7272727273		
Lewis-2016-499-199	199	board	5	3.4285714286	1	1		
Lewis-2016-499-200	200	brake	5	3.5294117647	0.7661764706	0.8823529412		
Lewis-2016-499-201	201	brawl	5	3.5	0.9285714286	0.9285714286		
Lewis-2016-499-202	202	broom	5	1.4545454545	0.3636363636	0.3636363636	245	BROOM
Lewis-2016-499-203	203	chief	5	4.1666666667	1	1	301	CHIEFTAIN
Lewis-2016-499-204	204	child	5	3.0833333333	1.0833333333	1	2099	CHILD
Lewis-2016-499-205	205	cider	5	2.9285714286	0.8571428571	0.8571428571		
Lewis-2016-499-206	206	claim	5	3.4	1.0666666667	1		
Lewis-2016-499-207	207	clang	5	3.0909090909	1.2727272727	1.1818181818		
Lewis-2016-499-208	208	court	5	3.6666666667	1.4444444444	1.3333333333	1068	COURT
Lewis-2016-499-209	209	crook	5	2.8571428571	0.7857142857	0.6428571429		
Lewis-2016-499-210	210	curse	5	4.7333333333	0.6	0.6666666667		
Lewis-2016-499-211	211	devil	5	4.3571428571	0.9303571429	1		
Lewis-2016-499-212	212	dozen	5	2.6	1.1333333333	0.9333333333		
Lewis-2016-499-213	213	drain	5	3.9230769231	1	1.1538461538		
Lewis-2016-499-214	214	drill	5	2.8235294118	0.7058823529	0.6470588235		
Lewis-2016-499-215	215	earth	5	4.5384615385	1.1538461538	1.2326923077		
Lewis-2016-499-216	216	eerie	5	3.9444444444	0.6111111111	0.6111111111		
Lewis-2016-499-217	217	faint	5	3.4545454545	1.0909090909	0.9090909091		
Lewis-2016-499-218	218	fever	5	2.3888888889	0.5	0.4444444444	1534	FEVER
Lewis-2016-499-219	219	first	5	1.2727272727	0.2727272727	0.2727272727	728	FIRST
Lewis-2016-499-220	220	flash	5	2.9411764706	0.8235294118	0.7647058824		
Lewis-2016-499-221	221	frail	5	3.0714285714	0.7142857143	0.6428571429		
Lewis-2016-499-222	222	fudge	5	2.0714285714	0.5	0.5		
Lewis-2016-499-223	223	gavel	5	2.4615384615	0.8461538462	0.8461538462		
Lewis-2016-499-224	224	guilt	5	3.9259259259	0.6666666667	0.7037037037		
Lewis-2016-499-225	225	harsh	5	3.7777777778	0.7777777778	0.7222222222		
Lewis-2016-499-226	226	hasty	5	3.3333333333	0.7222222222	0.6666666667		
Lewis-2016-499-227	227	hobby	5	3.9444444444	0.7777777778	0.7222222222		
Lewis-2016-499-228	228	horse	5	2.5833333333	1	0.9166666667	615	HORSE
Lewis-2016-499-229	229	house	5	3.3043478261	0.7826086957	0.7826086957	1252	HOUSE
Lewis-2016-499-230	230	known	5	2.5833333333	0.75	0.75		
Lewis-2016-499-231	231	least	5	2.3846153846	0.5384615385	0.5384615385		
Lewis-2016-499-232	232	light	5	2.6086956522	0.652173913	0.6086956522		
Lewis-2016-499-233	233	match	5	3.1333333333	0.6	0.6666666667		
Lewis-2016-499-234	234	meant	5	2.5	1.1	0.8		
Lewis-2016-499-235	235	might	5	3.8125	0.75	0.8125		
Lewis-2016-499-236	236	moral	5	4.5555555556	1.0555555556	1.1111111111		
Lewis-2016-499-237	237	mouse	5	2	0.5238095238	0.4285714286		
Lewis-2016-499-238	238	mouth	5	3.3	1.1025	1	674	MOUTH
Lewis-2016-499-239	239	mural	5	3.9411764706	0.8235294118	0.8823529412		
Lewis-2016-499-240	240	nerve	5	4.8	0.7333333333	0.8666666667	2626	NERVE
Lewis-2016-499-241	241	nurse	5	2.9285714286	0.5714285714	0.5714285714		
Lewis-2016-499-242	242	place	5	3.5	1.375	1.25		
Lewis-2016-499-243	243	robin	5	2.7647058824	0.8235294118	0.7647058824	2402	ROBIN
Lewis-2016-499-244	244	rough	5	2.7058823529	0.8823529412	0.6485294118	1923	ROUGH
Lewis-2016-499-245	245	round	5	2.5	0.9285714286	0.8589285714		
Lewis-2016-499-246	246	scale	5	3.3636363636	0.4545454545	0.5454545455		
Lewis-2016-499-247	247	scent	5	3.5555555556	1.5555555556	1.3333333333		
Lewis-2016-499-248	248	shawl	5	2.2	0.9	0.7	2771	SHAWL
Lewis-2016-499-249	249	sheer	5	3.5333333333	0.8666666667	0.8666666667		
Lewis-2016-499-250	250	shell	5	2.3125	0.75	0.6875		
Lewis-2016-499-251	251	shiny	5	2.3684210526	0.5263157895	0.4736842105		
Lewis-2016-499-252	252	shout	5	1.8181818182	0.6363636364	0.4545454545	715	SHOUT
Lewis-2016-499-253	253	siege	5	5.1052631579	0.7907894737	0.8421052632		
Lewis-2016-499-254	254	since	5	3.3529411765	0.7647058824	0.7647058824		
Lewis-2016-499-255	255	skunk	5	2.375	0.8125	0.75		
Lewis-2016-499-256	256	slime	5	3.4	0.7333333333	0.735		
Lewis-2016-499-257	257	slope	5	2.6923076923	0.7711538462	0.7692307692		
Lewis-2016-499-258	258	slush	5	3.3333333333	0.5333333333	0.5333333333		
Lewis-2016-499-259	259	smart	5	4.0666666667	1.0666666667	1.0666666667	2530	SMART
Lewis-2016-499-260	260	sound	5	3.7272727273	1.1818181818	1.0931818182		
Lewis-2016-499-261	261	spray	5	2.3125	0.75	0.6875		
Lewis-2016-499-262	262	stare	5	2.5789473684	0.5263157895	0.4210526316		
Lewis-2016-499-263	263	state	5	2.9375	0.8125	0.75		
Lewis-2016-499-264	264	steak	5	1.6	0.4025	0.4		
Lewis-2016-499-265	265	store	5	3.5	1	0.9285714286		
Lewis-2016-499-266	266	stump	5	2.3125	0.9375	0.75	241	TREE STUMP
Lewis-2016-499-267	267	style	5	4.4666666667	0.8	0.8		
Lewis-2016-499-268	268	swarm	5	3.25	0.75	0.75		
Lewis-2016-499-269	269	swell	5	2.8333333333	0.66875	0.6666666667	1573	SWELL
Lewis-2016-499-270	270	table	5	1.5625	0.375	0.3125	1775	TABLE
Lewis-2016-499-271	271	tally	5	3.8461538462	0.4615384615	0.4615384615		
Lewis-2016-499-272	272	their	5	3	0.9090909091	0.9090909091	2400	THEIR
Lewis-2016-499-273	273	there	5	3.2	0.9	1	1937	THERE
Lewis-2016-499-274	274	these	5	3.6923076923	0.9230769231	0.8461538462		
Lewis-2016-499-275	275	think	5	3.6875	0.9390625	1	2271	THINK
Lewis-2016-499-276	276	those	5	4	0.9113636364	1		
Lewis-2016-499-277	277	throw	5	2.0769230769	0.6153846154	0.6153846154	1456	THROW
Lewis-2016-499-278	278	trace	5	3.2857142857	0.6428571429	0.7142857143		
Lewis-2016-499-279	279	trunk	5	2.5652173913	0.4347826087	0.3913043478		
Lewis-2016-499-280	280	upset	5	4.2	0.8	0.8666666667		
Lewis-2016-499-281	281	value	5	4.4117647059	0.9411764706	0.9411764706		
Lewis-2016-499-282	282	venom	5	5	0.7222222222	0.6680555556		
Lewis-2016-499-283	283	waltz	5	3.9	1.3	1.1025		
Lewis-2016-499-284	284	waste	5	4.4545454545	1.0909090909	1.1818181818		
Lewis-2016-499-285	285	which	5	2	0.6666666667	0.5555555556	727	WHICH
Lewis-2016-499-286	286	while	5	3.5	1.3	1.1	726	WHILE
Lewis-2016-499-287	287	whole	5	3.2222222222	1.3333333333	1.1111111111	2277	WHOLE
Lewis-2016-499-288	288	wrath	5	4.25	0.875	0.875		
Lewis-2016-499-289	289	yacht	5	4.4	0.7	0.7		
Lewis-2016-499-290	290	aspect	6	3.5454545455	1.0909090909	1		
Lewis-2016-499-291	291	banner	6	2.5882352941	0.7647058824	0.6470588235		
Lewis-2016-499-292	292	battle	6	4.8695652174	0.6086956522	0.6956521739		
Lewis-2016-499-293	293	beauty	6	4	1	0.9230769231		
Lewis-2016-499-294	294	belief	6	5	0.8	0.9333333333		
Lewis-2016-499-295	295	bother	6	4.0666666667	0.8666666667	0.8666666667	2869	BOTHER (HARASS)
Lewis-2016-499-296	296	bright	6	2.5384615385	0.6923076923	0.6153846154		
Lewis-2016-499-297	297	bucket	6	1.8571428571	0.5714285714	0.5	2052	BUCKET
Lewis-2016-499-298	298	canary	6	3.5	0.7857142857	0.8571428571		
Lewis-2016-499-299	299	carrot	6	1.6923076923	0.5384615385	0.4615384615	3085	CARROT
Lewis-2016-499-300	300	cattle	6	2.8333333333	0.5833333333	0.5833333333	1153	CATTLE
Lewis-2016-499-301	301	cavern	6	4.0526315789	0.6842105263	0.6842105263		
Lewis-2016-499-302	302	cellar	6	2.625	0.625	0.628125		
Lewis-2016-499-303	303	cement	6	3.1538461538	0.8461538462	0.8461538462		
Lewis-2016-499-304	304	chance	6	4.5	1.1666666667	1.25		
Lewis-2016-499-305	305	cheese	6	2.4615384615	1	0.9230769231	1569	CHEESE
Lewis-2016-499-306	306	clover	6	2.5	0.9	0.8025		
Lewis-2016-499-307	307	cookie	6	2.2142857143	0.4285714286	0.4285714286		
Lewis-2016-499-308	308	cotton	6	2	0.7857142857	0.6428571429	1850	COTTON
Lewis-2016-499-309	309	course	6	3.8888888889	0.6111111111	0.6111111111		
Lewis-2016-499-310	310	dagger	6	2.2142857143	0.7857142857	0.7142857143		
Lewis-2016-499-311	311	deface	6	3.8	0.8	0.8666666667		
Lewis-2016-499-312	312	dinner	6	3	0.8823529412	0.8823529412	1833	DINNER (SUPPER)
Lewis-2016-499-313	313	effort	6	4.8333333333	0.6666666667	0.6666666667		
Lewis-2016-499-314	314	entree	6	3.3571428571	0.7875	0.7857142857		
Lewis-2016-499-315	315	faster	6	3.1428571429	0.8571428571	0.8589285714		
Lewis-2016-499-316	316	finish	6	3.2631578947	0.5263157895	0.5789473684	1766	FINISH
Lewis-2016-499-317	317	gender	6	4	1.3076923077	1.3076923077		
Lewis-2016-499-318	318	ginger	6	2.9333333333	0.7333333333	0.7333333333	2500	GINGER
Lewis-2016-499-319	319	hamlet	6	5.5	0.7142857143	0.5714285714		
Lewis-2016-499-320	320	humble	6	4.2307692308	0.9230769231	1.0769230769		
Lewis-2016-499-321	321	jacket	6	2.2307692308	0.7692307692	0.6153846154	2770	JACKET
Lewis-2016-499-322	322	jingle	6	3.0833333333	0.75	0.75		
Lewis-2016-499-323	323	kernel	6	4.5	0.8333333333	0.9166666667		
Lewis-2016-499-324	324	letter	6	2.6666666667	0.7333333333	0.7333333333	1612	LETTER
Lewis-2016-499-325	325	lotion	6	2.1764705882	0.5294117647	0.4117647059		
Lewis-2016-499-326	326	madman	6	4.5294117647	0.6470588235	0.7058823529		
Lewis-2016-499-327	327	mallet	6	3.0555555556	0.8333333333	0.7222222222		
Lewis-2016-499-328	328	manure	6	2.6	0.8683333333	0.8666666667	2057	DUNG (ANIMAL FAECES)
Lewis-2016-499-329	329	motive	6	5.0769230769	0.7692307692	0.7692307692		
Lewis-2016-499-330	330	murder	6	4.7272727273	1	1.1818181818	845	MURDER
Lewis-2016-499-331	331	nation	6	4.1	1.3	1.3		
Lewis-2016-499-332	332	normal	6	3.875	0.9375	0.875		
Lewis-2016-499-333	333	ornate	6	5.2142857143	0.5714285714	0.5		
Lewis-2016-499-334	334	oxygen	6	3.75	1.125	1.25		
Lewis-2016-499-335	335	parcel	6	3.6363636364	0.6363636364	0.6363636364		
Lewis-2016-499-336	336	phrase	6	4.1176470588	0.7647058824	0.7647058824		
Lewis-2016-499-337	337	pigeon	6	3.3	1.5	1.4	1853	DOVE
Lewis-2016-499-338	338	pliers	6	2.6923076923	0.9230769231	0.7692307692		
Lewis-2016-499-339	339	poison	6	3.75	0.6666666667	0.66875	655	POISON
Lewis-2016-499-340	340	public	6	4.3846153846	0.8461538462	0.9230769231		
Lewis-2016-499-341	341	punish	6	3.5	0.9285714286	0.9285714286		
