ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	ORIGINAL_NUMBER	ENGLISH	NUMBER
Zgraggen-1980-308-42	1019	RIGHT	61	right (arm)	42
Zgraggen-1980-308-43	1781	THUMB	65	thumb	43
Zgraggen-1980-308-44	1258	FINGERNAIL	66	fingernail	44
Zgraggen-1980-308-45	1297	LEG	67	leg	45
Zgraggen-1980-308-46	471	UPPER LEG	68	upper leg	46
Zgraggen-1980-308-47	1371	KNEE	71	knee	47
Zgraggen-1980-308-48	498	CALF OF LEG	70	calf	48
Zgraggen-1980-308-49	1251	BELLY	72	belly	49
Zgraggen-1980-308-50	819	STOMACH	73	stomach (guts)	50
Zgraggen-1980-308-51	1402	BREAST	74	breast (woman)	51
Zgraggen-1980-308-52	1592	CHEST	75	chest	52
Zgraggen-1980-308-53	1838	NAVEL	77	navel	53
Zgraggen-1980-308-54	946	BLOOD	78	blood	54
Zgraggen-1980-308-55	1924	VEIN	79	vein	55
Zgraggen-1980-308-56	1223	HEART	83	heart	56
Zgraggen-1980-308-57	1224	LIVER	81	liver	57
Zgraggen-1980-308-58	688	LUNG	82	lung	58
Zgraggen-1980-308-59	1394	BONE	84	bone	59
Zgraggen-1980-308-60	763	SKIN	85	skin	60
Zgraggen-1980-308-61	2458	PERSPIRE OR SWEAT	86	sweat	61
Zgraggen-1980-308-62	51	SORE	87	sore	62
Zgraggen-1980-308-63	675	FAECES (EXCREMENT)	89	excrement	63
Zgraggen-1980-308-64	1142	URINE	90	urine	64
Zgraggen-1980-308-65	1222	PENIS	91	penis	65
Zgraggen-1980-308-66	1837	VULVA	95	vulva	66
Zgraggen-1980-308-67	1405	NAME	93	name	67
Zgraggen-1980-308-68	1388	SHADE	92	shadow	68
Zgraggen-1980-308-69	937	BIRD	96	bird	69
Zgraggen-1980-308-70	466	CASSOWARY	101	cassowary	70
Zgraggen-1980-308-71	1220	TAIL	106	tail (of dog)	71
Zgraggen-1980-308-72			99	tail (of bird)	72
Zgraggen-1980-308-73	1318	CHICKEN	102	chicken (tame)	73
Zgraggen-1980-308-74			103	chicken (wild)	74
Zgraggen-1980-308-75	744	EGG	100	egg	75
Zgraggen-1980-308-76	2009	DOG	104	dog	76
Zgraggen-1980-308-77	1553	MALE	107	male	77
Zgraggen-1980-308-78	1551	FEMALE	108	female	78
Zgraggen-1980-308-79	1504	FLY (INSECT)	109	fly (n)	79
Zgraggen-1980-308-80	1392	LOUSE	112	louse	80
Zgraggen-1980-308-81	227	FISH	110	fish	81
Zgraggen-1980-308-82	467	CRAYFISH	111	crayfish	82
Zgraggen-1980-308-83	1509	MOSQUITO	114	mosquito	83
Zgraggen-1980-308-84	1337	PIG	115	pig	84
Zgraggen-1980-308-85	634	MEAT	116	meat	85
Zgraggen-1980-308-86	323	FAT (ORGANIC SUBSTANCE)	117	fat	86
Zgraggen-1980-308-87	1857	CROCODILE	118	crocodile	87
Zgraggen-1980-308-88	235	FLYING FOX	119	flying fox	88
Zgraggen-1980-308-89	503	FROG	120	frog	89
Zgraggen-1980-308-90	1490	RAT	121	rat	90
Zgraggen-1980-308-91	730	SNAKE	122	snake	91
Zgraggen-1980-308-92	165	WALLABY	123	wallaby	92
Zgraggen-1980-308-93			124	possum (tree)	93
Zgraggen-1980-308-94	470	POSSUM	125	possum (ground)	94
Zgraggen-1980-308-95	1791	BUTTERFLY	126	butterfly	95
Zgraggen-1980-308-96	1257	WING	98	wing	96
Zgraggen-1980-308-97	868	BANANA	127	banana	97
Zgraggen-1980-308-98	217	BETELNUT	128	betelnut	98
Zgraggen-1980-308-99	177	BETEL PEPPER VINE	129	betel pepper vine	99
Zgraggen-1980-308-100	982	LIME (FRUIT)	130	lime	100
Zgraggen-1980-308-101	464	ALANG-ALANG GRASS	131	alang-alang grass	101
Zgraggen-1980-308-102	469	PANDANUS	132	pandanus	102
Zgraggen-1980-308-103	593	POTATO	133	potato	103
Zgraggen-1980-308-104	862	SUGAR	406	sugar	104
Zgraggen-1980-308-105	351	TARO	135	taro	105
Zgraggen-1980-308-106			136	singapore taro	106
Zgraggen-1980-308-107	410	YAM	137	yam	107
Zgraggen-1980-308-108	410	YAM	138	yam (discorea esculenta)	108
Zgraggen-1980-308-109	974	TOBACCO	139	tobacco	109
Zgraggen-1980-308-110	2270	SAGO	140	sago	110
Zgraggen-1980-308-111	970	COCONUT	390	coconut	111
Zgraggen-1980-308-112	3035	RIPE COCONUT	142	ripe coconut	112
Zgraggen-1980-308-113	3034	GREEN COCONUT	143	green coconut	113
Zgraggen-1980-308-114	906	TREE	144	tree	114
Zgraggen-1980-308-115	1507	FRUIT	148	fruit	115
Zgraggen-1980-308-116	345	SAP	149	sap	116
Zgraggen-1980-308-117	241	TREE STUMP	150	stump (of tree)	117
Zgraggen-1980-308-118	3036	TREETOP	151	top (of tree)	118
Zgraggen-1980-308-119	344	TREE TRUNK	152	trunk (of tree)	119
Zgraggen-1980-308-120	670	ROOT	153	root (of tree)	120
Zgraggen-1980-308-121	1803	WOOD	154	piece of wood	121
Zgraggen-1980-308-122			156	cane	122
Zgraggen-1980-308-123	1295	STICK	157	stick	123
Zgraggen-1980-308-124	1927	BAMBOO	158	bamboo	124
Zgraggen-1980-308-125	832	BEAN	159	bean	125
Zgraggen-1980-308-126	751	SHRUB	161	shrub (tanget)	126
Zgraggen-1980-308-127	343	VINE	160	vine	127
Zgraggen-1980-308-128	221	FIRE	162	fire	128
Zgraggen-1980-308-129	630	LIGHT (RADIATION)	163	light (of fire)	129
Zgraggen-1980-308-130	646	ASH	164	ashes	130
Zgraggen-1980-308-131	778	SMOKE (EXHAUST)	165	smoke	131
Zgraggen-1980-308-132	586	GARDEN	166	garden	132
Zgraggen-1980-308-133	1690	FENCE	167	fence	133
Zgraggen-1980-308-134	2159	GROUND	168	ground	134
Zgraggen-1980-308-135	1252	HOUSE	169	house	135
Zgraggen-1980-308-136	1313	MOON	173	moon	136
Zgraggen-1980-308-137	639	MOUNTAIN	174	mountain	137
Zgraggen-1980-308-138	2252	PATH	175	path	138
Zgraggen-1980-308-139	1474	SEA	176	sea	139
Zgraggen-1980-308-140	113	SHORE	177	shore	140
Zgraggen-1980-308-141	671	SAND	178	sand	141
Zgraggen-1980-308-142	1732	SKY	180	sky	142
Zgraggen-1980-308-143	1489	CLOUD	181	cloud	143
Zgraggen-1980-308-144	1274	SALT	183	salt	144
Zgraggen-1980-308-145	249	FOG	182	fog	145
Zgraggen-1980-308-146	857	STONE	184	stone	146
Zgraggen-1980-308-147	1430	STAR	185	star	147
Zgraggen-1980-308-148	1343	SUN	186	sun	148
Zgraggen-1980-308-149	930	VILLAGE	188	village	149
Zgraggen-1980-308-150	420	FOREST	189	woods	150
Zgraggen-1980-308-151	960	WIND	194	wind	151
Zgraggen-1980-308-152	948	WATER	190	water	152
Zgraggen-1980-308-153	658	RAIN (PRECIPITATION)	191	rain	153
Zgraggen-1980-308-154	977	ARROW	196a	arrow (arrow a)	154
Zgraggen-1980-308-155			196b	barred arrow (arrow b)	155
Zgraggen-1980-308-156			196c	hooked arrow (arrow c)	156
Zgraggen-1980-308-157			196d	pronged arrow (arrow d)	157
Zgraggen-1980-308-158	945	SPEAR	197a	spear	158
Zgraggen-1980-308-159			197b	spear	159
Zgraggen-1980-308-160			198a	axe (stone)	160
Zgraggen-1980-308-161	677	AXE	198b	axe (iron)	161
Zgraggen-1980-308-162	994	BOW	199	bow	162
Zgraggen-1980-308-163	2119	BOW STRING	200	rope (of bow)	163
Zgraggen-1980-308-164	1475	COMB	203	comb	164
Zgraggen-1980-308-165	328	GRASS-SKIRT	204	grass skirt	165
Zgraggen-1980-308-166	468	G-STRING	205	G-string	166
Zgraggen-1980-308-167	1965	LOINCLOTH	213	loincloth	167
Zgraggen-1980-308-168	1539	BASKET	214	basket	168
Zgraggen-1980-308-169	111	DRUMMING	206	hand drum	169
Zgraggen-1980-308-170	908	DRUM	207	signal drum	170
Zgraggen-1980-308-171	3653	COOKING POT	210	saucepan (clay pot)	171
Zgraggen-1980-308-172	480	PLATE	209	wooden plate	172
Zgraggen-1980-308-173	1352	KNIFE	208	knife	173
Zgraggen-1980-308-174	293	NETBAG	212	netbag	174
Zgraggen-1980-308-175	1493	ONE	215	one	175
Zgraggen-1980-308-176	1498	TWO	216	two	176
Zgraggen-1980-308-177	1292	BAD	221	bad	177
Zgraggen-1980-308-178	1035	GOOD	220	good	178
Zgraggen-1980-308-179	1202	BIG	224	big	179
Zgraggen-1980-308-180	1246	SMALL	225	small	180
Zgraggen-1980-308-181	163	BLACK	226	black	181
Zgraggen-1980-308-182	1230	DIRTY	222	dirty	182
Zgraggen-1980-308-183	156	RED	227	red	183
Zgraggen-1980-308-184	1335	WHITE	228	white	184
Zgraggen-1980-308-185	1424	YELLOW	229	yellow	185
Zgraggen-1980-308-186	1425	GREEN	230	green	186
Zgraggen-1980-308-187	1429	FULL	234	full	187
Zgraggen-1980-308-188	1624	EMPTY	235	empty	188
Zgraggen-1980-308-189	1286	HOT	236	hot	189
Zgraggen-1980-308-190	1287	COLD	237	cold	190
Zgraggen-1980-308-191	1210	HEAVY	238	heavy	191
Zgraggen-1980-308-192	1396	SHARP	248	sharp	192
Zgraggen-1980-308-193	1203	LONG	240	long	193
Zgraggen-1980-308-194	1645	SHORT	241	short	194
Zgraggen-1980-308-195	1198	MANY	242	many	195
Zgraggen-1980-308-196	1242	FEW	243	few	196
Zgraggen-1980-308-197	1231	NEW	244	new	197
Zgraggen-1980-308-198	1229	OLD	245	old (of objects)	198
Zgraggen-1980-308-199	1404	STRAIGHT	250	straight	199
Zgraggen-1980-308-200	297	CROOKED	251	crooked	200
Zgraggen-1980-308-201	1726	WET	252	wet	201
Zgraggen-1980-308-202	1398	DRY	253	dry	202
Zgraggen-1980-308-203	178	RIPE	246	ripe	203
Zgraggen-1980-308-204	1533	BE HUNGRY	260	hungry	204
Zgraggen-1980-308-205	1214	THIS	261	this	205
Zgraggen-1980-308-206	78	THAT	262	that	206
Zgraggen-1980-308-207	1235	WHO	263	who	207
Zgraggen-1980-308-208	1236	WHAT	264	what	208
Zgraggen-1980-308-209	1237	WHERE	265	where	209
Zgraggen-1980-308-210	822	HOW MANY	266	how many	210
Zgraggen-1980-308-211	1339	MORNING	268a	morning	211
Zgraggen-1980-308-212	729	DAWN	268b	day break	212
Zgraggen-1980-308-213	1807	AFTERNOON	270	afternoon	213
Zgraggen-1980-308-214	1233	NIGHT	271	night	214
Zgraggen-1980-308-215	1174	YESTERDAY	275	yesterday	215
Zgraggen-1980-308-216	1329	TOMORROW	278	tomorrow	216
Zgraggen-1980-308-217	1180	DAY BEFORE YESTERDAY	276	day before yesterday	217
Zgraggen-1980-308-218	1179	DAY AFTER TOMORROW	279	day after tomorrow	218
Zgraggen-1980-308-219	1882	BEFORE	277	before	219
Zgraggen-1980-308-220	2093	AFTERWARDS	280	afterwards	220
Zgraggen-1980-308-221	1376	NOW	274	now	221
Zgraggen-1980-308-222	1937	THERE	282	there	222
Zgraggen-1980-308-223	136	HERE	281	here	223
Zgraggen-1980-308-224	1942	NEAR	287	near	224
Zgraggen-1980-308-225	1406	FAR	288	far	225
Zgraggen-1980-308-226	1631	FAST	289	quickly	226
Zgraggen-1980-308-227	701	SLOW	290	slowly	227
Zgraggen-1980-308-228	1268	YES	291	yes	228
Zgraggen-1980-308-229	1269	NO	292	no	229
Zgraggen-1980-308-230	3305	INSIDE A HOUSE	285	inside (the house)	230
Zgraggen-1980-308-231	1676	ALWAYS	293	always	231
Zgraggen-1980-308-232	1579	BE	296	be	232
Zgraggen-1980-308-233	1585	SLEEP	297	sleep	233
Zgraggen-1980-308-234	879	COUGH	301	cough	234
Zgraggen-1980-308-235	1649	SIT DOWN	298	sit down	235
Zgraggen-1980-308-236	1442	STAND	299	stand	236
Zgraggen-1980-308-237	570	STAND UP	300	stand up	237
Zgraggen-1980-308-238	1494	DIE	302	die	238
Zgraggen-1980-308-239	1446	COME	303	come	239
Zgraggen-1980-308-240	695	GO	304	go	240
Zgraggen-1980-308-241	1443	WALK	310	walk	241
Zgraggen-1980-308-242	705	GO UP (ASCEND)	305	go up	242
Zgraggen-1980-308-243	2014	GO DOWN (DESCEND)	306	go down	243
Zgraggen-1980-308-244	1519	RUN	309	run	244
Zgraggen-1980-308-245	1280	FALL	313	fall (tree)	245
Zgraggen-1980-308-246	1441	FLY (MOVE THROUGH AIR)	315	fly (v)	246
Zgraggen-1980-308-247	1829	JUMP	316	jump	247
Zgraggen-1980-308-248	1573	SWELL	317	swell up (skin)	248
Zgraggen-1980-308-249	1278	VOMIT	318	vomit	249
Zgraggen-1980-308-250	1447	GIVE	319	give	250
Zgraggen-1980-308-251	1115	SPEECH	320	talk (itr)	251
Zgraggen-1980-308-252	1623	SPEAK	321	talk (tr)	252
Zgraggen-1980-308-253	1819	LOOK	322	watch (itr)	253
Zgraggen-1980-308-254	1409	SEE	323	see (tr)	254
Zgraggen-1980-308-255	138	BATHE	325	bathe (itr)	255
Zgraggen-1980-308-256	1453	WASH	326	wash (tr)	256
Zgraggen-1980-308-257	1408	HEAR	324	hear	257
Zgraggen-1980-308-258	1403	BITE	327	bite	258
Zgraggen-1980-308-259	413	CARRY ON SHOULDER	328	carry (on shoulder)	259
Zgraggen-1980-308-260	465	CARRY ON BACK	329	carry (on back)	260
Zgraggen-1980-308-261	176	BLOW (WITH MOUTH)	332	blow (on fire)	261
Zgraggen-1980-308-262	1418	DIG	334	dig	262
Zgraggen-1980-308-263	2558	BREAK (CLEAVE)	333	break (across)	263
Zgraggen-1980-308-264	1437	SPLIT	335	split	264
Zgraggen-1980-308-265	1735	TEAR (SHRED)	336	tear	265
Zgraggen-1980-308-266	2156	CUT (WITH KNIFE)	338	cut (with knife)	266
Zgraggen-1980-308-267	3151	CUT (WITH AXE)	337	chop (with axe)	267
Zgraggen-1980-308-268	355	CUT DOWN	340	fell (a tree)	268
Zgraggen-1980-308-269	1719	BURY	341	bury	269
Zgraggen-1980-308-270	1486	PLANT (SOMETHING)	342	plant	270
Zgraggen-1980-308-271	2493	BOIL	345	boil	271
Zgraggen-1980-308-272	1962	ROAST (SOMETHING)	344	roast	272
Zgraggen-1980-308-273	2006	FILL	347	fill up (water)	273
Zgraggen-1980-308-274	2102	BURN	346	burn	274
Zgraggen-1980-308-275	1869	BUY	343	buy	275
Zgraggen-1980-308-276	1336	EAT	348	eat	276
Zgraggen-1980-308-277	1423	FIGHT	349	fight (hit)	277
Zgraggen-1980-308-278	1417	KILL	350	kill	278
Zgraggen-1980-308-279	1456	THROW	351	throw (stone)	279
Zgraggen-1980-308-280	1172	SHOOT	352	shoot	280
Zgraggen-1980-308-281	1468	LOOK FOR	353	look for	281
Zgraggen-1980-308-282	1487	POUR	357	pour out (liquid)	282
Zgraggen-1980-308-283	1086	WORK (ACTIVITY)	255	work	283
Zgraggen-1980-308-284	2575	DO OR MAKE	354	make	284
Zgraggen-1980-308-285	1448	HOLD	356	hold	285
Zgraggen-1980-308-286	251	SHARPEN (SOMETHING)	355	sharpen	286
Zgraggen-1980-308-287	1455	PULL	358	pull	287
Zgraggen-1980-308-288	1452	PUSH	359	push	288
Zgraggen-1980-308-289	1436	SCRATCH	361	scratch (skin)	289
Zgraggen-1980-308-290	998	PUT	360	put	290
Zgraggen-1980-308-291	1586	SMELL (PERCEIVE)	363	smell	291
Zgraggen-1980-308-292	897	SWALLOW	364	swallow	292
Zgraggen-1980-308-293	1917	TIE	366a	tie	293
Zgraggen-1980-308-294	1094	FASTEN	366b	fasten	294
Zgraggen-1980-308-295	1355	LAUGH	369	laugh	295
Zgraggen-1980-308-296	1749	TAKE	365	take	296
Zgraggen-1980-308-297			367	call out	297
Zgraggen-1980-308-298	1839	CRY	368	cry	298
Zgraggen-1980-308-299	131	FESTIVAL	370a	singsing	299
Zgraggen-1980-308-300	1879	DANCE	370b	dance	300
Zgraggen-1980-308-301	1444	TURN AROUND	371	turn (oneself)	301
Zgraggen-1980-308-302	2374	DREAM	374	dream	302
Zgraggen-1980-308-303	1847	SICK	380	be sick	303
Zgraggen-1980-308-304	3033	SCARED	375	be afraid	304
Zgraggen-1980-308-305	269	COOKED	232	cooked	305
Zgraggen-1980-308-306	2271	THINK	373	think	306
Zgraggen-1980-308-307	1150	THUNDER	318b	thundering	307
Zgraggen-1980-308-308	1654	LIGHTNING	318c	lightning	308
