ID	NUMBER	ENGLISH	CHINESE	CIHUI_ID	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2016-180-56	56	the bamboo	竹子	337	169	1927	BAMBOO
List-2016-180-57	57	the frost	霜	8	4	2034	FROST
List-2016-180-58	58	the way (road)	街道	356	178	667	ROAD
List-2016-180-59	59	young	年輕	779	390	1207	YOUNG
List-2016-180-60	60	to knead	捏	518	259	274	KNEAD
List-2016-180-61	61	morning	早晨	38	19	1339	MORNING
List-2016-180-62	62	the head	頭	381	191	1256	HEAD
List-2016-180-63	63	the body hair (hair or fur)	頭髮	382	191	2648	HAIR (HEAD)
List-2016-180-64	64	the hair (of the head)	頭髮	382	191	2648	HAIR (HEAD)
List-2016-180-65	65	to know	知道	672	336	1410	KNOW (SOMETHING)
List-2016-180-66	66	the eye	眼晴	384	192	1248	EYE
List-2016-180-67	67	the nose	鼻子	385	193	1221	NOSE
List-2016-180-68	68	to learn	學	643	322	504	LEARN
List-2016-180-69	69	the ear	耳朵	386	193	1247	EAR
List-2016-180-70	70	the tongue	舌頭	388	194	1205	TONGUE
List-2016-180-71	71	the neck	脖子	389	195	1333	NECK
List-2016-180-72	72	hard	硬	730	365	1884	HARD
List-2016-180-73	73	the armpit	夾肢窩	390	195	1886	ARMPIT
List-2016-180-74	74	left	左手	392	196	2182	LEFT HAND
List-2016-180-75	75	right	右手	393	197	2183	RIGHT HAND
List-2016-180-76	76	the fingernail	指甲	397	199	1258	FINGERNAIL
List-2016-180-77	77	the thigh	大腿	399	200	800	THIGH
List-2016-180-78	78	the wind	風	4	2	960	WIND
List-2016-180-79	79	noon	中午	40	20	2490	NOON
List-2016-180-80	80	the knee	膝蓋	400	200	1371	KNEE
List-2016-180-81	81	the man (male human)	男人	401	201	1554	MAN
List-2016-180-82	82	the woman	女人	402	201	962	WOMAN
List-2016-180-83	83	the child (young human)	小孩兒	406	203	1304	CHILD (YOUNG HUMAN)
List-2016-180-84	84	smooth	軟	731	366	1234	SMOOTH
List-2016-180-85	85	soft	軟	731	366	1856	SOFT
List-2016-180-86	86	to wipe	擦	524	262	1454	WIPE
List-2016-180-87	87	the father	爸爸	425	213	1217	FATHER
List-2016-180-88	88	the mother	媽媽	426	213	1216	MOTHER
List-2016-180-89	89	the husband	丈夫	444	222	1200	HUSBAND
List-2016-180-90	90	the wife	妻子	445	223	1199	WIFE
List-2016-180-91	91	the son	兒子	457	229	1620	SON
List-2016-180-92	92	the daughter	女兒	459	230	1357	DAUGHTER
List-2016-180-93	93	the front (front side)	前面	467	234	2194	FRONT (PART)
List-2016-180-94	94	inside	裏面	469	235	1606	INSIDE
List-2016-180-95	95	outside	外面	470	235	762	OUTSIDE
List-2016-180-96	96	the upper level (above)	上面	471	236	1753	TOP
List-2016-180-97	97	the lower level (below)	下面	472	236	690	BOTTOM
List-2016-180-98	98	middle	中間	473	237	1093	MIDDLE
List-2016-180-99	99	there	那兒	825	413	1937	THERE
List-2016-180-100	100	the saliva	口水	482	241	1503	SALIVA
List-2016-180-101	101	to blow (of wind)	刮風	491	246	175	BLOW (OF WIND)
List-2016-180-102	102	to rain	下雨	492	246	1253	RAIN (RAINING)
List-2016-180-103	103	to thunder	打雷	494	247	2378	THUNDER (VERB)
List-2016-180-104	104	to hear	聽	503	252	1408	HEAR
List-2016-180-105	105	to smell (perceive odor) [transitive]	聞	504	252	1586	SMELL (PERCEIVE)
List-2016-180-106	106	to eat	吃	505	253	1336	EAT
List-2016-180-107	107	to drink	喝	506	253	1401	DRINK
List-2016-180-108	108	to bite	咬	508	254	1403	BITE
List-2016-180-109	109	to chew	嚼	510	255	321	CHEW
List-2016-180-110	110	to lick	舔	511	256	319	LICK
List-2016-180-111	111	to hold	拿	517	259	1448	HOLD
List-2016-180-112	112	to push	推	534	267	1452	PUSH
List-2016-180-113	113	to pull	拖	537	269	1455	PULL
List-2016-180-114	114	to throw	扔	564	282	1456	THROW
List-2016-180-115	115	to run	跑	568	284	1519	RUN
List-2016-180-116	116	to stand	站	572	286	1442	STAND
List-2016-180-117	117	to lie down	躺	575	288	215	LIE DOWN
List-2016-180-118	118	to hide (conceal)	躱	578	289	2486	HIDE
List-2016-180-119	119	the stone (a piece of)	石頭	59	30	857	STONE
List-2016-180-120	120	to kill	殺	599	300	1417	KILL
List-2016-180-121	121	the fog	霧	6	3	249	FOG
List-2016-180-122	122	the mud	泥	60	30	640	MUD
List-2016-180-123	123	to water (flowers)	澆	602	301	1487	POUR
List-2016-180-124	124	the earth (soil)	土	61	31	1228	EARTH (SOIL)
List-2016-180-125	125	to cry (weep)	哭	617	309	1839	CRY
List-2016-180-126	126	the dust	灰塵	62	31	2	DUST
List-2016-180-127	127	to fight	打架	622	311	1423	FIGHT
List-2016-180-128	128	the tiger	老虎	63	32	846	TIGER
List-2016-180-129	129	to be alive	活	635	318	1422	BE ALIVE
List-2016-180-130	130	to die	死	636	318	1494	DIE
List-2016-180-131	131	to marry (a man marries a woman)	結婚（指男方）	637	319	2164	MARRY (AS MAN)
List-2016-180-132	132	to play	玩兒	644	322	1413	PLAY
List-2016-180-133	133	he or she [third person singular]	他	808	404	2642	HE OR SHE
List-2016-180-134	134	to sleep	睡覺	650	325	1585	SLEEP
List-2016-180-135	135	to scratch	抓癢	656	328	1436	SCRATCH
List-2016-180-136	136	the wolf	狼	66	33	522	WOLF
List-2016-180-137	137	to think (reflect)	想	673	337	1415	THINK (REFLECT)
List-2016-180-138	138	to forget	忘記	679	340	1523	FORGET
List-2016-180-139	139	big	大	691	346	1202	BIG
List-2016-180-140	140	small	小	692	346	1246	SMALL
List-2016-180-141	141	high / tall	髙	693	347	711	TALL
List-2016-180-142	142	short	矮	695	348	1645	SHORT
List-2016-180-143	143	the dew	露水	7	4	1977	DEW
List-2016-180-144	144	the mouse or rat	老鼠	70	35	2139	MUROID (MOUSE OR RAT)
List-2016-180-145	145	narrow	窄	701	351	1267	NARROW
List-2016-180-146	146	thick	厚	702	351	1244	THICK
List-2016-180-147	147	thin	薄	703	352	2308	THIN
List-2016-180-148	148	full	滿	707	354	1429	FULL
List-2016-180-149	149	round	圓	709	355	1395	ROUND
List-2016-180-150	150	horizontal	橫	714	357	2376	HORIZONTAL
List-2016-180-151	151	straight	直	716	358	1404	STRAIGHT
List-2016-180-152	152	dark	暗	721	361	706	DARK
List-2016-180-153	153	black	黑	722	361	163	BLACK
List-2016-180-154	154	light (of weight)	輕	723	362	1052	LIGHT (WEIGHT)
List-2016-180-155	155	heavy	重	724	362	1210	HEAVY
List-2016-180-156	156	dry	幹	725	363	1398	DRY
List-2016-180-157	157	wet	濕	726	363	1726	WET
List-2016-180-158	158	old (of person)	老(不嫩）	732	366	2112	OLD (AGED)
List-2016-180-159	159	you [second person plural]	你們	811	406	1213	YOU
List-2016-180-160	160	dirty	骯髒	741	371	1230	DIRTY
List-2016-180-161	161	sharp	快(鋒利）	746	373	1396	SHARP
List-2016-180-162	162	early	早	748	374	672	EARLY
List-2016-180-163	163	late	晚	749	375	477	LATE
List-2016-180-164	164	good	好	750	375	1035	GOOD
List-2016-180-165	165	bad	壞	751	376	1292	BAD
List-2016-180-166	166	hot	熱	757	379	1286	HOT
List-2016-180-167	167	cold (of temperature)	涼	762	381	2483	COLD (OF WEATHER)
List-2016-180-168	168	salty	鹹	766	383	1091	SALTY
List-2016-180-169	169	the sparrow	麻雀	77	39	1854	SPARROW
List-2016-180-170	170	who	誰	830	415	1235	WHO
List-2016-180-171	171	shy	害羞	805	403	487	SHY
List-2016-180-172	172	I [first person singular]	我	806	403	1209	I
List-2016-180-173	173	thou [second person singular]	你	807	404	1215	THOU
List-2016-180-174	174	we [first person plural inclusive]	咱們	810	405	1131	WE (INCLUSIVE)
List-2016-180-175	175	this	這個	820	410	1214	THIS
List-2016-180-176	176	that	那個	821	411	78	THAT
List-2016-180-177	177	here	這兒	824	412	136	HERE
List-2016-180-178	178	the stallion (male horse)	公馬	83	42	936	STALLION
List-2016-180-179	179	what	什麽	831	416	1236	WHAT
List-2016-180-180	180	where	哪兒	833	417	1237	WHERE
