ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TAG	BROADER_CONCEPT	BROADER_ID
Tjuka-2022-220-1	1	153	GREY	GREY	color		
Tjuka-2022-220-2	2	156	RED	RED	color		
Tjuka-2022-220-3	3	163	BLACK	BLACK	color	BLACK OR DARK	2633
Tjuka-2022-220-4	4	837	BLUE	BLUE	color	BLUE OR GREEN	2382
Tjuka-2022-220-5	5	1335	WHITE	WHITE	color		
Tjuka-2022-220-6	6	1424	YELLOW	YELLOW	color		
Tjuka-2022-220-7	7	1425	GREEN	GREEN	color	BLUE OR GREEN // GREEN OR UNRIPE	2382 // 2300
Tjuka-2022-220-8	8	2409	BROWN	BROWN	color		
Tjuka-2022-220-9	9	2452	PURPLE	PURPLE	color		
Tjuka-2022-220-10	10	3045	COPPER (COLOR)	COPPER (COLOR)	color		
Tjuka-2022-220-11	11	3328	ORANGE (COLOR)	ORANGE (COLOR)	color		
Tjuka-2022-220-12	12	3446	PINK	PINK	color		
Tjuka-2022-220-13	13	3604	LIGHT BLUE	LIGHT BLUE	color		
Tjuka-2022-220-14	14	3605	LIGHT GREEN	LIGHT GREEN	color		
Tjuka-2022-220-15	15	3706	DARK YELLOW	DARK YELLOW	color		
Tjuka-2022-220-16	16	3707	BEIGE	BEIGE	color		
Tjuka-2022-220-17	17	3750	KHAKI	KHAKI	color		
Tjuka-2022-220-18	18	3751	BRIGHT YELLOW	BRIGHT YELLOW	color		
Tjuka-2022-220-19	19	3752	LILAC	LILAC	color		
Tjuka-2022-220-20	20	3753	MAGENTA	MAGENTA	color		
Tjuka-2022-220-21	21	3795	DARK GREEN	DARK GREEN	color		
Tjuka-2022-220-22	22	3914	TURQUOISE	TURQUOISE	color		
Tjuka-2022-220-23	23	40	ENVY	ENVY	emotion		
Tjuka-2022-220-24	24	82	ANGER	ANGER	emotion		
Tjuka-2022-220-25	25	781	FEAR (FRIGHT)	FEAR (FRIGHT)	emotion		
Tjuka-2022-220-26	26	1000	ANXIETY	ANXIETY	emotion		
Tjuka-2022-220-27	27	1141	PITY	PITY	emotion		
Tjuka-2022-220-28	28	1668	GRIEF	GRIEF	emotion		
Tjuka-2022-220-29	29	1776	SHAME	SHAME	emotion		
Tjuka-2022-220-30	30	1783	PAIN	PAIN	emotion		
Tjuka-2022-220-31	31	1912	RESPECT (NOUN)	RESPECT (NOUN)	emotion		
Tjuka-2022-220-32	32	2016	JEALOUSY	JEALOUSY	emotion		
Tjuka-2022-220-33	33	2465	DISGUST	DISGUST	emotion		
Tjuka-2022-220-34	34	2524	JOY	JOY	emotion		
Tjuka-2022-220-35	35	2553	MISERY	MISERY	emotion		
Tjuka-2022-220-36	36	2941	HAPPINESS	HAPPINESS	emotion		
Tjuka-2022-220-37	37	2960	LONGING (WISH)	LONGING (WISH)	emotion		
Tjuka-2022-220-38	38	3049	COURAGE	COURAGE	emotion		
Tjuka-2022-220-39	39	3211	HOPE (FAITH)	HOPE (FAITH)	emotion		
