ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	PERSIAN	PERSIAN_PHONOLOGICAL	MAIN_SEMANTIC_CATEGORY	SEMANTIC_CATEGORY	SUB_SEMANTIC_CATEGORY
Anonby-2018-1500-34	34	1402	BREAST	breast	پستان	pestān	Human physical being	Body parts	Trunk
Anonby-2018-1500-35	35	3344	SIDE (BODY)	side (of body)	پهلو	pahlu	Human physical being	Body parts	Trunk
Anonby-2018-1500-36	36	1681	WAIST	waist	کمر	kamar	Human physical being	Body parts	Trunk
Anonby-2018-1500-37	37	1838	NAVEL	navel	ناف	nāf	Human physical being	Body parts	Trunk
Anonby-2018-1500-38	38	2663	UMBILICAL CORD	umbilical cord	 بندناف	band-e nāf	Human physical being	Body parts	Trunk
Anonby-2018-1500-39	39	1251	BELLY	abdomen (external)	شکم	šekam	Human physical being	Body parts	Trunk
Anonby-2018-1500-40	40	819	STOMACH	stomach (internal)	معده	me’de	Human physical being	Body parts	Trunk
Anonby-2018-1500-41	41	804	WOMB	womb	رحم	rahem	Human physical being	Body parts	Trunk
Anonby-2018-1500-42	42	1291	BACK	back	پشت	pošt	Human physical being	Body parts	Trunk
Anonby-2018-1500-43	43	3613	LOWER BACK	small of back	کمر	kamar	Human physical being	Body parts	Trunk
Anonby-2018-1500-44	44	834	BUTTOCKS	buttock	باسن، کپل، لمبر	bāsan, kapal, lombar	Human physical being	Body parts	Trunk
Anonby-2018-1500-45	45	1673	ARM	arm	دست (از شانه تا مچِ دست)	dast (az šāneh tā moč-e dast)	Human physical being	Body parts	Limbs
Anonby-2018-1500-46	46	1886	ARMPIT	armpit	زیر بغل	zirbaġal	Human physical being	Body parts	Limbs
Anonby-2018-1500-47	47	431	UPPER ARM	upper arm	بازو	bāzu	Human physical being	Body parts	Limbs
Anonby-2018-1500-48	48	981	ELBOW	elbow	آرنج	ārenj / āranj	Human physical being	Body parts	Limbs
Anonby-2018-1500-49	49	799	WRIST	wrist	مچ	moč	Human physical being	Body parts	Limbs
Anonby-2018-1500-50	50	1277	HAND	hand	دست (از مچ به پایین)	dast (az moč be pāyin)	Human physical being	Body parts	Limbs
Anonby-2018-1500-51	51	1473	FIST	fist	مشت	mošt	Human physical being	Body parts	Limbs
Anonby-2018-1500-52	52	1183	PALM OF HAND	palm (of hand)	کفِ دست	kaf-e dast	Human physical being	Body parts	Limbs
Anonby-2018-1500-53	53	1303	FINGER	finger	انگشت	angošt	Human physical being	Body parts	Limbs
Anonby-2018-1500-54	54	1781	THUMB	thumb	شست	šast	Human physical being	Body parts	Limbs
Anonby-2018-1500-55	55	2824	KNUCKLE	knuckle	بندِ انگشت	band-e angošt	Human physical being	Body parts	Limbs
Anonby-2018-1500-56	56	1258	FINGERNAIL	fingernail	ناخن	nāxon	Human physical being	Body parts	Limbs
Anonby-2018-1500-57	57	1297	LEG	leg	پا (از بالای ران تا مچِ پا)	pā (az bālā-ye rān tā moč-e pā)	Human physical being	Body parts	Limbs
Anonby-2018-1500-58	58	471	UPPER LEG (THIGH)	thigh	ران	rān	Human physical being	Body parts	Limbs
Anonby-2018-1500-59	59	1371	KNEE	knee	زانو	zānu	Human physical being	Body parts	Limbs
Anonby-2018-1500-60	60	186	SHIN	shin	قلمِ پا	ġalam-e pā	Human physical being	Body parts	Limbs
Anonby-2018-1500-61	61	803	ANKLE	ankle	مچِ پا	moč-e pā	Human physical being	Body parts	Limbs
Anonby-2018-1500-62	62	1301	FOOT	foot	پا (از مچِ پا به پایین)	pā (az moč-e pā be pāyin)	Human physical being	Body parts	Limbs
Anonby-2018-1500-63	63	980	HEEL	heel	پاشنه	pāšne	Human physical being	Body parts	Limbs
Anonby-2018-1500-64	64	2666	SOLE (FOOT)	sole	کفِ پا	kaf-e pā	Human physical being	Body parts	Limbs
Anonby-2018-1500-65	65	1389	TOE	toe	انگشتِ پا	angošt-e pā	Human physical being	Body parts	Limbs
Anonby-2018-1500-66	66	1394	BONE	bone	استخوان	ostoxān	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-67	67	1835	MARROW	bone marrow	مغزِ استخوان	maġz-e ostoxān	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-68	68	2668	SKELETON	skeleton	اسکلت	eskelet	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-69	69	1605	SKULL	skull	جمجمه	jomjome	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-70	70	2810	BREASTBONE	breastbone	استخوانِ سینه	ostoxān-e sine	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-71	71	805	SPINE	spine, backbone	ستون فقرات	sotun-e faġarāt	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-72	72	801	RIB	rib	دنده	dande	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-73	73	1583	BRAIN	brain	مغز	maġz	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-74	74	1223	HEART	heart (organ)	قلب	ġalb	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-75	75	1224	LIVER	liver	کبد، جگر	kabed, jegar	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-76	76	489	KIDNEY	kidney	کلیه	koliye	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-77	77	688	LUNG	lung	شش	šoš	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-78	78	1991	INTESTINES	intestines	روده 	rude	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-79	79	1746	BLADDER	bladder	مثانه	masāne	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-80	80	3372	GALL BLADDER	gall bladder	کیسه صفرا	kisesafrā	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-81	81	525	BLOOD VESSEL	blood vessel, vein	رگ	rag	Human physical being	Body parts	Internal parts and products
Anonby-2018-1500-82	82	870	BREATH	breath	نفس	nafas	Human physical being	Body parts	Bodily products
Anonby-2018-1500-83	83	1503	SALIVA	saliva	آبِ دهان، بزاق	āb-e dahān, bozāġ	Human physical being	Body parts	Bodily products
Anonby-2018-1500-84	84	946	BLOOD	blood	خون	xun	Human physical being	Body parts	Bodily products
Anonby-2018-1500-85	85	1780	BILE	bile, gall	زرداب	zardāb	Human physical being	Body parts	Bodily products
Anonby-2018-1500-86	86	1651	TEAR (OF EYE)	tears (n.)	اشک	ašk	Human physical being	Body parts	Bodily products
Anonby-2018-1500-87	87	1655	BLINK	blink (v.)	چشم به (بر) هم زدن، پلک زدن	češm be (/ bar) ham zadan, pelk zadan	Human physical being	Body processes, functions	
Anonby-2018-1500-88	88			wink (eye) (v.)	چشمک زدن	češmak zadan	Human physical being	Body processes, functions	
Anonby-2018-1500-89	89	1407	BREATHE	breathe	نفس کشیدن	nafas kešidan	Human physical being	Body processes, functions	
Anonby-2018-1500-90	90	1028	YAWN	yawn  (v.)	خمیازه کشیدن	xamiyāze kešidan	Human physical being	Body processes, functions	
Anonby-2018-1500-91	91	879	COUGH	cough (v.)	سرفه کردن	sorfe kardan	Human physical being	Body processes, functions	
Anonby-2018-1500-92	92			hiccough (n.)	سکسکه	sekseke	Human physical being	Body processes, functions	
Anonby-2018-1500-93	93	1621	SNEEZE	sneeze (v.)	عطسه کردن	atse kardan	Human physical being	Body processes, functions	
Anonby-2018-1500-94	94	52	SHIVER	shiver, tremble	لرزیدن	larzidan	Human physical being	Body processes, functions	
Anonby-2018-1500-95	95	126	SWEAT (PERSPIRE)	perspire, sweat	عرق کردن	araġ kardan	Human physical being	Body processes, functions	
Anonby-2018-1500-96	96	2712	GET DIZZY	(be) dizzy	سرگیجه داشتن	sargije dāštan	Human physical being	Body processes, functions	
Anonby-2018-1500-97	97	3616	FAINT (PASS OUT)	faint	غش کردن	ġaš kardan	Human physical being	Body processes, functions	
Anonby-2018-1500-98	98	1585	SLEEP	sleep (v.)	خوابیدن	xābidan	Human physical being	Body processes, functions	
Anonby-2018-1500-99	99	2374	DREAM	dream (n.)	خواب، رویا	xāb, royā	Human physical being	Body processes, functions	
Anonby-2018-1500-100	100	1602	WAKE UP	wake up (intr.)	بیدار شدن	bidār šodan	Human physical being	Body processes, functions	
Anonby-2018-1500-101	101	1409	SEE	see	دیدن	didan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-102	102	2893	NOTICE (SOMETHING)	notice (v.)	ملتفت کردن	moltafet šodan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-103	103	1819	LOOK	look at, watch	نگاه کردن	negāh kardan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-104	104	1408	HEAR	hear	شنیدن	šenidan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-105	105	1608	LISTEN	listen	گوش دادن، گوش کردن	guš dādan, guš kardan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-106	106	1586	SMELL (PERCEIVE)	smell (v.)	بوییدن، بو کردن	buyidan, bu kardan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-107	107	2559	FEEL (TACTUALLY)	touch, feel (active)	لمس کردن	lams kardan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-108	108	21	TASTE (SOMETHING)	taste	مزه کردن، چشیدن	maze kardan, češidan	Human physical being	Body processes, functions	Senses
Anonby-2018-1500-109	109	1336	EAT	eat	خوردن	xordan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-110	110	1403	BITE	bite (v.)	گاز زدن به...، گاز گرفتن	gāz zadan be ..., gāz gereftan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-111	111	321	CHEW	chew	جویدن	jaʋidan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-112	112	897	SWALLOW	swallow	قورت دادن، بلعیدن	ġurt dādan, bal’idan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-113	113	129	CHOKE	choke	خفه کردن	xafe kardan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-114	114	319	LICK	lick	زبان زدن، لیس زدن	zabān zadan, lis zadan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-115	115	1421	SUCK	suck	مکیدن، مک زدن	makidan, mek zadan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-116	116	1401	DRINK	drink	خوردن، نوشیدن 	xordan, nušidan	Human physical being	Body processes, functions	Ingestion
Anonby-2018-1500-117	117	1416	SIT	sit	نشستن	nešastan	Human physical being	Body movement	
Anonby-2018-1500-118	118	1512	RISE (ONESELF)	rise up, stand up (intr.)	بلند شدن، برخاستن	boland šodan, barxāstan	Human physical being	Body movement	
Anonby-2018-1500-119	119	215	LIE DOWN	lie down	دراز کشیدن	derāz kešidan	Human physical being	Body movement	
Anonby-2018-1500-120	120	1444	TURN AROUND	turn round (intr.)	چرخیدن	čarxidan	Human physical being	Body movement	
Anonby-2018-1500-121	121	1443	WALK	walk	قدم زدن	ġadam zadan	Human physical being	Body movement	
Anonby-2018-1500-122	122			footstep	قدم، گام	ġadam, gām	Human physical being	Body movement	
Anonby-2018-1500-123	123	3617	STUMBLE	stumble	لغزیدن، تلوتلو خوردن	laġzidan, telaʋtelaʋ xordan	Human physical being	Body movement	
Anonby-2018-1500-124	124	366	LIMP	limp	لنگیدن 	langidan	Human physical being	Body movement	
Anonby-2018-1500-125	125	96	CRAWL	crawl	خزیدن	xazidan	Human physical being	Body movement	
Anonby-2018-1500-126	126	1519	RUN	run	دویدن	daʋidan	Human physical being	Body movement	
Anonby-2018-1500-127	127	1439	SWIM	swim	شنا کردن	šenā kardan	Human physical being	Body movement	
Anonby-2018-1500-128	128	1829	JUMP	jump (v.)	پریدن	paridan	Human physical being	Body movement	
Anonby-2018-1500-129	129	1135	KICK	kick	لگد زدن	lagad zadan 	Human physical being	Body movement	
Anonby-2018-1500-130	130	3618	STAMP	stamp (with foot)	پا به زمین کوبیدن	pā be zamin kubidan	Human physical being	Body movement	
Anonby-2018-1500-131	131	3544	WAVE (VERB)	wave (hand as a greeting) (v.)	دست تکان دادن	dast tekān (/ takān) dādan	Human physical being	Body movement	
Anonby-2018-1500-132	132	2669	POINT (WITH FINGER)	indicate, point (as with the finger)	نشان دادن، اشاره کردن	nešān dādan, ešāre kardan	Human physical being	Body movement	
Anonby-2018-1500-133	133	3110	CLAP	clap (hands)	کف زدن، دست زدن، تشویق کردن	kaf zadan, dast zadan	Human physical being	Body movement	
Anonby-2018-1500-134	134	3160	SLAP	slap (v.)	کشیده زدن، سیلی زدن 	kešide zadan, sili zadan	Human physical being	Body movement	
Anonby-2018-1500-135	135	1442	STAND	stand	ایستادن	istādan	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-136	136	3619	LEAN	lean against (intr.)	تکیه کردن	tekye dādan	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-137	137	2761	BEND (ONESELF)	bend down, stoop	خم شدن	xam šodan	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-138	138			bow (as in greeting) (v.)	تعظیم کردن	ta’zim kardan	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-139	139			seated	نشسته	nešaste	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-140	140			squat (n.)	چمباتمه	čombātme	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-141	141	66	KNEEL	kneel	زانو زدن	zānu zadan	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-142	142			lying down (adj.)	خوابیده	xābide	Human physical being	Body states and conditions	Body positions
Anonby-2018-1500-143	143	3818	HOT (FEELING HOT)	hot (of person)	گرم	garm	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-144	144	1533	BE HUNGRY	hungry	گرسنه	gorosne	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-145	145	106	SATIATED	sated	سیر	sir	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-146	146	847	THIRSTY	thirsty	تشنه	tešne	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-147	147	1463	DRUNK	drunk	مست	mast	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-148	148	1757	TIRED	tired	خسته	xaste	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-149	149	3620	SLEEPY	sleepy	خواب‌‌‌‌‌‌ آلود‌	xābālud	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-150	150			rest (n.)	استراحت	esterāhat	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-151	151	825	AWAKE	awake, alert	هوشیار	hušyār	Human physical being	Body states and conditions	Body conditions
Anonby-2018-1500-152	152	1364	HEALTHY	healthy, well	سالم	sālem	Human physical being	Health and disease	
Anonby-2018-1500-153	153	1847	SICK	sick, ill	بیمار، مریض	bimār, mariz	Human physical being	Health and disease	
Anonby-2018-1500-154	154	499	CURE	heal (tr.), cure (v.)	درمان کردن، شفا دادن	darmān kardan, šafā dādan	Human physical being	Health and disease	
Anonby-2018-1500-155	155	1372	MEDICINE	medicine	دارو	dāru	Human physical being	Health and disease	
Anonby-2018-1500-156	156	1978	RECOVER	get well, recover	خوب شدن، بهبود یافتن	xub šodan, behbud yāftan	Human physical being	Health and disease	
Anonby-2018-1500-157	157	1986	DISEASE	illness, disease	مرض، بیماری، مریضی	maraz, bimāri, marizi	Human physical being	Health and disease	
Anonby-2018-1500-158	158	1534	FEVER	fever	تب	tab	Human physical being	Health and disease	
Anonby-2018-1500-159	159	1783	PAIN	pain (n.)	درد	dard	Human physical being	Health and disease	
Anonby-2018-1500-160	160	1278	VOMIT	vomit (v.)	استفراغ کردن، بالا آوردن	estefrāġ kardan, bālā āʋordan	Human physical being	Health and disease	
Anonby-2018-1500-161	161			stomachache, upset stomach	دل درد	deldard	Human physical being	Health and disease	
Anonby-2018-1500-162	162	3625	HEADACHE	headache	سردرد	sardard	Human physical being	Health and disease	
Anonby-2018-1500-163	163	1177	DIARRHEA	diarrhea	اسهال	eshāl	Human physical being	Health and disease	
Anonby-2018-1500-164	164			itch (v.) 	خاریدن، خارش داشتن	xāridan, xāreš dāštan	Human physical being	Health and disease	
Anonby-2018-1500-165	165	210	LIFE	life	زندگی	zendegi	Human physical being	Health and disease	Life and death
Anonby-2018-1500-166	166	1422	BE ALIVE	alive	زنده	zende	Human physical being	Health and disease	Life and death
Anonby-2018-1500-167	167	1123	PREGNANT	pregnant	حامله، باردار	hāmele,  bārdār	Human physical being	Health and disease	Life and death
Anonby-2018-1500-168	168			labour (n.), birth pains	دردِ زایمان	dard-e zāyemān	Human physical being	Health and disease	Life and death
Anonby-2018-1500-169	169	1195	GIVE BIRTH	bear (child), give birth	زاییدن، زایمان کردن	zāyidan, zāyemān kardan	Human physical being	Health and disease	Life and death
Anonby-2018-1500-170	170	1090	BE BORN	born	متولد	motaʋaled / moteʋaled	Human physical being	Health and disease	Life and death
Anonby-2018-1500-171	171	1207	YOUNG	young	جوان	jaʋān	Human physical being	Health and disease	Life and death
Anonby-2018-1500-172	172	552	GROW UP	grow up	رشد کردن	rošd kardan	Human physical being	Health and disease	Life and death
Anonby-2018-1500-173	173	2112	OLD (AGED)	old (not young)	پیر	pir	Human physical being	Health and disease	Life and death
Anonby-2018-1500-174	174	1494	DIE	die	مردن	mordan	Human physical being	Health and disease	Life and death
Anonby-2018-1500-175	175	910	DEATH	death	مرگ	marg	Human physical being	Health and disease	Life and death
Anonby-2018-1500-176	176	1625	DEAD	dead	مرده	morde	Human physical being	Health and disease	Life and death
Anonby-2018-1500-177	177	2271	THINK	think	فکر کردن	fekr kardan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-178	178	1890	BELIEVE	believe	باور کردن، باور داشتن، اعتقاد داشتن	bāʋar kardan, bāʋar dāštan, e’teġād dāštan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-179	179	3212	HOPE (SOMETHING)	hope (v.)	امید داشتن، امیدوار بودن	omid dāštan, omidʋār budan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-180	180	2248	KNOW (SOMEBODY)	know (someone)	شناختن	šenāxtan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-181	181	1410	KNOW (SOMETHING)	know (something)	دانستن	dānestan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-182	182			knowledge	دانش	dāneš	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-183	183	698	WISE	wise	عاقل، آگاه	āġel, dānā	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-184	184	2530	SMART	intelligent	باهوش	bāhuš	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-185	185	1518	STUPID	stupid	احمق	ahmaġ	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-186	186	3858	CONFUSED	confused	گیج	gij	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-187	187	504	LEARN	learn	یاد گرفتن	yād gereftan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-188	188	709	TEACH	teach	یاد دادن، آموزش دادن	yad dādan, āmuzeš dādan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-189	189	1039	SHOW	show	نشان دادن	nešān dādan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-190	190	707	REMEMBER	remember	به خاطر آوردن، به یاد داشتن	be xāter āʋordan, be yād dāštan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-191	191	1523	FORGET	forget	فراموش کردن، از یاد بردن	farāmuš kardan, az yād bordan	Human non-physical being	Know, believe, teach	
Anonby-2018-1500-192	192	1495	HAPPY	happy, joyful	خوشحال	xošhāl	Human non-physical being	Emotions	
Anonby-2018-1500-193	193	2192	REJOICE	rejoice	شادی کردن	šādi kardan	Human non-physical being	Emotions	
Anonby-2018-1500-194	194	1355	LAUGH	laugh (v.)	خندیدن	xandidan	Human non-physical being	Emotions	
Anonby-2018-1500-195	195	1451	SMILE	smile (v.)	لبخند زدن	labxand zadan	Human non-physical being	Emotions	
Anonby-2018-1500-196	196	699	SAD	sad	غمگین، ناراحت	ġamgin, nārāhat	Human non-physical being	Emotions	
Anonby-2018-1500-197	197	1839	CRY	cry, weep	گریه کردن	gerye kardan	Human non-physical being	Emotions	
Anonby-2018-1500-198	198	1668	GRIEF	sorrow (n.)	غم، اندوه، غصه	ġam, anduh, ġosse	Human non-physical being	Emotions	
Anonby-2018-1500-199	199	1776	SHAME	shame (n.)	خجالت	xejālat	Human non-physical being	Emotions	
Anonby-2018-1500-200	200	781	FEAR (FRIGHT)	fear (n.)	ترس، خوف	tars, xaʋf	Human non-physical being	Emotions	
Anonby-2018-1500-201	201	252	FRIGHTEN	frighten	ترساندن	tarsāndan	Human non-physical being	Emotions	
Anonby-2018-1500-202	202	3627	SURPRISE (SOMEBODY)	startle, surprise	غافلگیر کردن	ġāfelgir kardan	Human non-physical being	Emotions	
Anonby-2018-1500-203	203	1826	ANGRY	angry	عصبانی	asabāni	Human non-physical being	Emotions	
Anonby-2018-1500-204	204			calm down	آرام کردن	ārām kardan	Human non-physical being	Emotions	
Anonby-2018-1500-205	205	174	PROUD	proud	مغرور	maġrur	Human non-physical being	Emotions	
Anonby-2018-1500-206	206	3628	HONOR (SOMEBODY)	respect (v.), honour (v.)	احترام گذاشتن، مورد احترام قرار دادن	ehterām gozāštan, maʋred-e ehterām ġarār dādan	Human non-physical being	Emotions	
Anonby-2018-1500-207	207	923	LOVE	love (v.)	دوست داشتن	dust dāštan	Human non-physical being	Emotions	
Anonby-2018-1500-208	208	1607	HATE	hate (v.)	متنفر بودن، نفرت داشتن	motanafer /  motenafer budan, nefrat dāštan	Human non-physical being	Emotions	
Anonby-2018-1500-209	209	2715	DESPISE	despise, disdain	حقیر شمردن، تحقیر کردن	haġir šemordan, tahġir kardan 	Human non-physical being	Emotions	
Anonby-2018-1500-210	210	2117	DESIRE	want, desire (v.)	خواستن	xāstan	Human non-physical being	Human will	
Anonby-2018-1500-211	211	685	DECIDE	decide	تصمیم گرفتن	tasmim gereftan	Human non-physical being	Human will	
Anonby-2018-1500-212	212	1750	CHOOSE	choose, pick	انتخاب کردن	entexāb kardan	Human non-physical being	Human will	
Anonby-2018-1500-213	213	3629	HESITATE	hesitate	شک داشتن، شک کردن	šak dāštan, šak kardan	Human non-physical being	Human will	
Anonby-2018-1500-214	214			abstain	خودداری کردن، پرهیز کردن	xoddāri kardan, parhiz kardan	Human non-physical being	Human will	
Anonby-2018-1500-215	215	3237	ALLOW OR PERMIT	allow, permit	اجازه دادن	ejāze dādan	Human non-physical being	Human will	
Anonby-2018-1500-216	216	83	FORBID	forbid	منع کردن، ممنوع کردن	man’ kardan, mamnu’ kardan	Human non-physical being	Human will	
Anonby-2018-1500-217	217	1550	PREVENT	prevent	جلوگیری کردن	jelaʋgiri kardan	Human non-physical being	Human will	
Anonby-2018-1500-218	218	3630	PLAN	plan (n.)	نقشه، برنامه	naġše, barnāme	Human non-physical being	Human will	
Anonby-2018-1500-219	219	1812	TRY	try	سعی کردن، تلاش کردن	sa’y kardan, talāš kardan	Human non-physical being	Human will	
Anonby-2018-1500-220	220	1112	SUCCEED	succeed	موفق شدن	moʋafaġ šodan	Human non-physical being	Human will	
Anonby-2018-1500-221	221	3861	FAIL	fail	شکست خوردن	šekast xordan	Human non-physical being	Human will	
Anonby-2018-1500-222	222	3631	PRETEND	pretend	وانمود کردن، تظاهر کردن	ʋānemud kardan, tazāhor kardan	Human non-physical being	Human will	
Anonby-2018-1500-223	223	3299	KIND	kind	مهربان	mehrbān  / mehrebān	Human non-physical being	Human character	
Anonby-2018-1500-224	224	3632	GENEROUS	generous	بخشنده، دستِ دلباز، سخاوتمند	baxšande, dast-e delbāz, sexāʋatmand	Human non-physical being	Human character	
Anonby-2018-1500-225	225	1120	HONEST	honest	صادق	sādeġ 	Human non-physical being	Human character	
Anonby-2018-1500-226	226			corrupt	فاسد	fāsed	Human non-physical being	Human character	
Anonby-2018-1500-227	227	45	EVIL	wicked	بدجنس، شرور	badjens, šarur	Human non-physical being	Human character	
Anonby-2018-1500-228	228			fierce	تندخو	tondxu	Human non-physical being	Human character	
