ID	NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gerardi-2022-711-79	79	BRYCON (GENUS)			
Gerardi-2022-711-80	80	BURN	BASIC_ACTIONS_AND_TECHNOLOGY	2102	BURN
Gerardi-2022-711-81	81	BURN (INJURY)	THE_BODY	3622	BURN (INJURY)
Gerardi-2022-711-82	82	BUTTERFLY	ANIMALS	1791	BUTTERFLY
Gerardi-2022-711-83	83	BUTTOCKS	THE_BODY	834	BUTTOCKS
Gerardi-2022-711-84	84	CAIMAN	ANIMALS	2438	CAIMAN
Gerardi-2022-711-85	85	CALM	THE_PHYSICAL_WORLD	258	CALM
Gerardi-2022-711-86	86	CANGATI			
Gerardi-2022-711-87	87	CANOE	MOTION	1970	CANOE
Gerardi-2022-711-88	88	CAPUCHIN MONKEY	ANIMALS		
Gerardi-2022-711-89	89	CAPYBARA	ANIMALS	314	CAPYBARA
Gerardi-2022-711-90	90	CARÁ (FISH)	ANIMALS		
Gerardi-2022-711-91	91	CARRY	BASIC_ACTIONS_AND_TECHNOLOGY	700	CARRY
Gerardi-2022-711-92	92	CASHEW	AGRICULTURE_AND_VEGETATION	2441	CASHEW
Gerardi-2022-711-93	93	CATCH	MOTION	702	CATCH
Gerardi-2022-711-94	94	CATERPILLAR	ANIMALS	2247	CATERPILLAR
Gerardi-2022-711-95	95	CATFISH	ANIMALS	3777	CATFISH
Gerardi-2022-711-96	96	CEDAR	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-97	97	CHAMELEON	ANIMALS	1555	CHAMELEON
Gerardi-2022-711-98	98	CHEEK	THE_BODY	1730	CHEEK
Gerardi-2022-711-99	99	CHEST	THE_BODY	1592	CHEST
Gerardi-2022-711-100	100	CHICKEN	ANIMALS	1318	CHICKEN
Gerardi-2022-711-101	101	CHILD	KINSHIP	2099	CHILD
Gerardi-2022-711-102	102	CHIN	THE_BODY	1510	CHIN
Gerardi-2022-711-103	103	CHOKE	FOOD_AND_DRINK	129	CHOKE
Gerardi-2022-711-104	104	CHOP	BASIC_ACTIONS_AND_TECHNOLOGY	155	CHOP
Gerardi-2022-711-105	105	CICADA	ANIMALS	2353	CICADA
Gerardi-2022-711-106	106	CLOTHES	CLOTHING_AND_GROOMING	1895	CLOTHES
Gerardi-2022-711-107	107	CLOTHES	CLOTHING_AND_GROOMING	1895	CLOTHES
Gerardi-2022-711-108	108	CLOUD	THE_PHYSICAL_WORLD	1489	CLOUD
Gerardi-2022-711-109	109	COATI (COATIMUNDI)	ANIMALS	2389	COATI (COATIMUNDI)
Gerardi-2022-711-110	110	COCKROACH	ANIMALS	1575	COCKROACH
Gerardi-2022-711-111	111	COLD	SENSE_PERCEPTION	1287	COLD
Gerardi-2022-711-112	112	COLLARED PECCARY	ANIMALS	435	COLLARED PECCARY
Gerardi-2022-711-113	113	COMB	CLOTHING_AND_GROOMING	1475	COMB
Gerardi-2022-711-114	114	COME	MOTION	1446	COME
Gerardi-2022-711-115	115	COOK (SOMETHING)	FOOD_AND_DRINK	1100	COOK (SOMETHING)
Gerardi-2022-711-116	116	COPULATE	THE_BODY	549	COPULATE
Gerardi-2022-711-117	117	CORPSE	THE_BODY	767	CORPSE
Gerardi-2022-711-118	118	CORRECT (RIGHT)	EMOTIONS_AND_VALUES	1725	CORRECT (RIGHT)
Gerardi-2022-711-119	119	COTTON	CLOTHING_AND_GROOMING	1850	COTTON
Gerardi-2022-711-120	120	COUGH	THE_BODY	879	COUGH
Gerardi-2022-711-121	121	CRAB	ANIMALS	2348	CRAB
Gerardi-2022-711-122	122	CRICKET	ANIMALS	2354	CRICKET
Gerardi-2022-711-123	123	CRY	EMOTIONS_AND_VALUES	1839	CRY
Gerardi-2022-711-124	124	CULTIVATED FIELD	THE_PHYSICAL_WORLD		
Gerardi-2022-711-125	125	CURASSOW	ANIMALS	315	CURASSOW
Gerardi-2022-711-126	126	CUT	BASIC_ACTIONS_AND_TECHNOLOGY	1432	CUT
Gerardi-2022-711-127	127	DARK	THE_PHYSICAL_WORLD	706	DARK
Gerardi-2022-711-128	128	DAUGHTER	KINSHIP	1357	DAUGHTER
Gerardi-2022-711-129	129	DAY (NOT NIGHT)	TIME	1225	DAY (NOT NIGHT)
Gerardi-2022-711-130	130	DEEP	SPATIAL_RELATIONS	1593	DEEP
Gerardi-2022-711-131	131	DEER	ANIMALS	1936	DEER
Gerardi-2022-711-132	132	DIE	THE_BODY	1494	DIE
Gerardi-2022-711-133	133	DIG	AGRICULTURE_AND_VEGETATION	1418	DIG
Gerardi-2022-711-134	134	DIRTY	SENSE_PERCEPTION	1230	DIRTY
Gerardi-2022-711-135	135	DISAPPEAR	MOTION	485	DISAPPEAR
Gerardi-2022-711-136	136	DO OR MAKE	BASIC_ACTIONS_AND_TECHNOLOGY	2575	DO OR MAKE
Gerardi-2022-711-137	137	DOG	ANIMALS	2009	DOG
Gerardi-2022-711-138	138	DOOR	THE_HOUSE	1567	DOOR
Gerardi-2022-711-139	139	DOVE	ANIMALS	1853	DOVE
Gerardi-2022-711-140	140	DREAM	THE_BODY	2374	DREAM
Gerardi-2022-711-141	141	DRINK	FOOD_AND_DRINK	1401	DRINK
Gerardi-2022-711-142	142	DROWN	THE_BODY	1904	DROWN
Gerardi-2022-711-143	143	DRY	SENSE_PERCEPTION	1398	DRY
Gerardi-2022-711-144	144	DRY UP	BASIC_ACTIONS_AND_TECHNOLOGY	1786	DRY UP
Gerardi-2022-711-145	145	DULL	SENSE_PERCEPTION	1397	DULL
Gerardi-2022-711-146	146	DUST	THE_PHYSICAL_WORLD	2	DUST
Gerardi-2022-711-147	147	EAGLE OR HAWK	ANIMALS	2683	EAGLE OR HAWK
Gerardi-2022-711-148	148	EAR	THE_BODY	1247	EAR
Gerardi-2022-711-149	149	EARTH (SOIL)	THE_PHYSICAL_WORLD	1228	EARTH (SOIL)
Gerardi-2022-711-150	150	EARTHWORM	ANIMALS	2350	EARTHWORM
Gerardi-2022-711-151	151	EAT	FOOD_AND_DRINK	1336	EAT
Gerardi-2022-711-152	152	EDGE	SPATIAL_RELATIONS	863	EDGE
Gerardi-2022-711-153	153	EGG	FOOD_AND_DRINK	744	EGG
Gerardi-2022-711-154	154	ELECTRIC EEL	ANIMALS	2443	ELECTRIC EEL
Gerardi-2022-711-155	155	EMBAUBA (genus Cecropia)	AGRICULTURE_AND_VEGETATION	3931	EMBAUBA (genus Cecropia)
Gerardi-2022-711-156	156	EXCHANGE	BASIC_ACTIONS_AND_TECHNOLOGY	2509	EXCHANGE
Gerardi-2022-711-157	157	EXIST			
Gerardi-2022-711-158	158	EYE	THE_BODY	1248	EYE
Gerardi-2022-711-159	159	EYEBROW	THE_BODY	1173	EYEBROW
Gerardi-2022-711-160	160	FAECES (EXCREMENT)	THE_BODY	675	FAECES (EXCREMENT)
Gerardi-2022-711-161	161	FALL	MOTION	1280	FALL
Gerardi-2022-711-162	162	FAN (OBJECT)	BASIC_ACTIONS_AND_TECHNOLOGY	1971	FAN (OBJECT)
Gerardi-2022-711-163	163	FAR	SPATIAL_RELATIONS	1406	FAR
Gerardi-2022-711-164	164	FAST	TIME	1631	FAST
Gerardi-2022-711-165	165	FASTEN	BASIC_ACTIONS_AND_TECHNOLOGY	1094	FASTEN
Gerardi-2022-711-166	166	FAT (OBESE)	SPATIAL_RELATIONS	1279	FAT (OBESE)
Gerardi-2022-711-167	167	FAT (ORGANIC SUBSTANCE)	THE_BODY	323	FAT (ORGANIC SUBSTANCE)
Gerardi-2022-711-168	168	FATHER	KINSHIP	1217	FATHER
Gerardi-2022-711-169	169	FEAR (BE AFRAID)	EMOTIONS_AND_VALUES	1419	FEAR (BE AFRAID)
Gerardi-2022-711-170	170	FEATHER	THE_BODY	1201	FEATHER
Gerardi-2022-711-171	171	FINGER	THE_BODY	1303	FINGER
Gerardi-2022-711-172	172	FINGERNAIL	THE_BODY	1258	FINGERNAIL
Gerardi-2022-711-173	173	FINISH	TIME	1766	FINISH
Gerardi-2022-711-174	174	FIRE	THE_PHYSICAL_WORLD	221	FIRE
Gerardi-2022-711-175	175	FIREFLY	ANIMALS	206	FIREFLY
Gerardi-2022-711-176	176	FIREWOOD	THE_PHYSICAL_WORLD	10	FIREWOOD
Gerardi-2022-711-177	177	FIRST	QUANTITY	728	FIRST
Gerardi-2022-711-178	178	FISH	ANIMALS	227	FISH
Gerardi-2022-711-179	179	FISHHOOK	WARFARE_AND_HUNTING	1074	FISHHOOK
Gerardi-2022-711-180	180	FIX	BASIC_ACTIONS_AND_TECHNOLOGY	3074	FIX
Gerardi-2022-711-181	181	FLAT	SPATIAL_RELATIONS	1633	FLAT
Gerardi-2022-711-182	182	FLESH OR MEAT	THE_BODY	2615	FLESH OR MEAT
Gerardi-2022-711-183	183	FLOUR	FOOD_AND_DRINK	1594	FLOUR
Gerardi-2022-711-184	184	FLOWER	AGRICULTURE_AND_VEGETATION	239	FLOWER
Gerardi-2022-711-185	185	FLY	MOTION	1441	FLY (MOVE THROUGH AIR)
Gerardi-2022-711-186	186	FLY (INSECT)	ANIMALS	1504	FLY (INSECT)
Gerardi-2022-711-187	187	FOG	THE_PHYSICAL_WORLD	249	FOG
Gerardi-2022-711-188	188	FOOD	FOOD_AND_DRINK	256	FOOD
Gerardi-2022-711-189	189	FOOT	THE_BODY	1301	FOOT
Gerardi-2022-711-190	190	FOREHEAD	THE_BODY	123	FOREHEAD
Gerardi-2022-711-191	191	FOREST	THE_PHYSICAL_WORLD	420	FOREST
Gerardi-2022-711-192	192	FORGET	COGNITION	1523	FORGET
Gerardi-2022-711-193	193	FRAGRANT	SENSE_PERCEPTION	376	FRAGRANT
Gerardi-2022-711-194	194	FRIEND	SOCIAL_AND_POLITICAL_RELATIONS	1325	FRIEND
Gerardi-2022-711-195	195	FROG	ANIMALS	503	FROG
Gerardi-2022-711-196	196	FRUIT	FOOD_AND_DRINK	1507	FRUIT
Gerardi-2022-711-197	197	FRUIT TREE	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-198	198	FRUIT VINE	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-199	199	FULL	QUANTITY	1429	FULL
Gerardi-2022-711-200	200	GAME (ANIMAL)			
Gerardi-2022-711-201	201	GARDEN	AGRICULTURE_AND_VEGETATION	586	GARDEN
Gerardi-2022-711-202	202	GENIPA	AGRICULTURE_AND_VEGETATION	3920	GENIPA
Gerardi-2022-711-203	203	GIANT RIVER OTTER	ANIMALS	1262	BROTHER
Gerardi-2022-711-204	204	GIRL	KINSHIP	1646	GIRL
Gerardi-2022-711-205	205	GIVE	POSSESSION	1447	GIVE
Gerardi-2022-711-206	206	GO	MOTION	695	GO
Gerardi-2022-711-207	207	GOOD	EMOTIONS_AND_VALUES	1035	GOOD
Gerardi-2022-711-208	208	GOURD	AGRICULTURE_AND_VEGETATION	411	GOURD
Gerardi-2022-711-209	209	GRANDCHILD	KINSHIP	1617	GRANDCHILD
Gerardi-2022-711-210	210	GRANDFATHER	KINSHIP	1383	GRANDFATHER
Gerardi-2022-711-211	211	GRASS	AGRICULTURE_AND_VEGETATION	606	GRASS
Gerardi-2022-711-212	212	GRASSHOPPER	ANIMALS	607	GRASSHOPPER
Gerardi-2022-711-213	213	GRATE (SOMETHING)	BASIC_ACTIONS_AND_TECHNOLOGY	3114	GRATE (SOMETHING)
Gerardi-2022-711-214	214	GREEN	SENSE_PERCEPTION	1425	GREEN
Gerardi-2022-711-215	215	GROUND	THE_PHYSICAL_WORLD	2159	GROUND
Gerardi-2022-711-216	216	GROWL	ANIMALS	3679	GROWL
Gerardi-2022-711-217	217	GUAN	ANIMALS	437	GUAN
Gerardi-2022-711-218	218	GUAVA	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-219	219	HAIR	THE_BODY	1040	HAIR
Gerardi-2022-711-220	220	HAMMOCK	THE_HOUSE	2019	HAMMOCK
Gerardi-2022-711-221	221	HAND	THE_BODY	1277	HAND
Gerardi-2022-711-222	222	HAPPY	EMOTIONS_AND_VALUES	1495	HAPPY
Gerardi-2022-711-223	223	HARD	SENSE_PERCEPTION	1884	HARD
Gerardi-2022-711-224	224	HAVE SEX	THE_BODY	1785	HAVE SEX
Gerardi-2022-711-225	225	HAWK	ANIMALS	307	HAWK
Gerardi-2022-711-226	226	HE	KINSHIP	1211	HE
Gerardi-2022-711-227	227	HEAD	THE_BODY	1256	HEAD
Gerardi-2022-711-228	228	HEAR	SENSE_PERCEPTION	1408	HEAR
Gerardi-2022-711-229	229	HEART	THE_BODY	1223	HEART
Gerardi-2022-711-230	230	HEAVY	SENSE_PERCEPTION	1210	HEAVY
Gerardi-2022-711-231	231	HERE	MISCELLANEOUS_FUNCTION_WORDS	136	HERE
Gerardi-2022-711-232	232	HERON	ANIMALS	758	HERON
Gerardi-2022-711-233	233	HICCOUGH	THE_BODY	162	HICCOUGH
Gerardi-2022-711-234	234	HIGH OR TALL	SPATIAL_RELATIONS	2790	HIGH OR TALL
Gerardi-2022-711-235	235	HOLD OR TAKE	BASIC_ACTIONS_AND_TECHNOLOGY	2104	HOLD OR TAKE
Gerardi-2022-711-236	236	HOLE	SPATIAL_RELATIONS	1667	HOLE
Gerardi-2022-711-237	237	HOME	THE_HOUSE	2406	HOME
Gerardi-2022-711-238	238	HOOK	WARFARE_AND_HUNTING	1071	HOOK
Gerardi-2022-711-239	239	HOPLIAS (GENUS)	ANIMALS		
Gerardi-2022-711-240	240	HOPLIAS (Hoplias malabaricus)			
Gerardi-2022-711-241	241	HOPLIAS (sp.)			
Gerardi-2022-711-242	242	HORN (ANATOMY)	THE_BODY	1393	HORN (ANATOMY)
Gerardi-2022-711-243	243	HORSEFLY	ANIMALS	3262	HORSEFLY
Gerardi-2022-711-244	244	HOT	SENSE_PERCEPTION	1286	HOT
Gerardi-2022-711-245	245	HOUSE	THE_HOUSE	1252	HOUSE
Gerardi-2022-711-246	246	HOUSE GIRDER			
Gerardi-2022-711-247	247	HOWLER MONKEY	ANIMALS	433	HOWLER MONKEY
Gerardi-2022-711-248	248	HUNGER	FOOD_AND_DRINK	1864	HUNGER
Gerardi-2022-711-249	249	HUNT	WARFARE_AND_HUNTING	1435	HUNT
Gerardi-2022-711-250	250	HUSBAND	KINSHIP	1200	HUSBAND
Gerardi-2022-711-251	251	I	KINSHIP	1209	I
Gerardi-2022-711-252	252	ICE	THE_PHYSICAL_WORLD	617	ICE
Gerardi-2022-711-253	253	IF	COGNITION	1459	IF
Gerardi-2022-711-254	254	IMBAUBA			
Gerardi-2022-711-255	255	IMITATE	COGNITION	117	IMITATE
Gerardi-2022-711-256	256	IN FRONT OF	SPATIAL_RELATIONS	1883	IN FRONT OF
Gerardi-2022-711-257	257	INDIGENOUS PEOPLES OF THE AMERICAS	SOCIAL_AND_POLITICAL_RELATIONS	3612	INDIGENOUS PEOPLES OF THE AMERICAS
Gerardi-2022-711-258	258	INGA (genus)	AGRICULTURE_AND_VEGETATION	3934	INGA (genus)
Gerardi-2022-711-259	259	INSECT	ANIMALS	620	INSECT
Gerardi-2022-711-260	260	INSIDE	SPATIAL_RELATIONS	1606	INSIDE
Gerardi-2022-711-261	261	ISLAND	THE_PHYSICAL_WORLD	622	ISLAND
Gerardi-2022-711-262	262	JACKFRUIT	AGRICULTURE_AND_VEGETATION	2655	JACKFRUIT
Gerardi-2022-711-263	263	JAGUAR	ANIMALS	1250	JAGUAR
Gerardi-2022-711-264	264	JUMP	MOTION	1829	JUMP
Gerardi-2022-711-265	265	KAPOK CEIBE TREE	AGRICULTURE_AND_VEGETATION		
Gerardi-2022-711-266	266	KICK	MOTION	1135	KICK
Gerardi-2022-711-267	267	KILL	THE_BODY	1417	KILL
Gerardi-2022-711-268	268	KINGFISHER	ANIMALS	2444	KINGFISHER
Gerardi-2022-711-269	269	KINKAJOU			
Gerardi-2022-711-270	270	KNEE	THE_BODY	1371	KNEE
Gerardi-2022-711-271	271	KNIFE	FOOD_AND_DRINK	1352	KNIFE
Gerardi-2022-711-272	272	KNIFE	BASIC_ACTIONS_AND_TECHNOLOGY	1352	KNIFE
Gerardi-2022-711-273	273	KNOW	COGNITION	3626	KNOW
Gerardi-2022-711-274	274	LAKE	THE_PHYSICAL_WORLD	624	LAKE
Gerardi-2022-711-275	275	LARGE CATFISH	ANIMALS		
Gerardi-2022-711-276	276	LARGE-BULLET-ANT (subfamily paraponerinae)	ANIMALS		
Gerardi-2022-711-277	277	LARVA	ANIMALS	2640	LARVA
Gerardi-2022-711-278	278	LATE	TIME	477	LATE
Gerardi-2022-711-279	279	LAUGH	EMOTIONS_AND_VALUES	1355	LAUGH
Gerardi-2022-711-280	280	LEAF	AGRICULTURE_AND_VEGETATION	628	LEAF
Gerardi-2022-711-281	281	LEAF BUNDLE			
Gerardi-2022-711-282	282	LEAF SPINE	AGRICULTURE_AND_VEGETATION	2803	LEAF SPINE
Gerardi-2022-711-283	283	LEECH	ANIMALS	2273	LEECH
Gerardi-2022-711-284	284	LEG	THE_BODY	1297	LEG
Gerardi-2022-711-285	285	LET GO OR SET FREE	POSSESSION	1095	LET GO OR SET FREE
Gerardi-2022-711-286	286	LET'S GO			
Gerardi-2022-711-287	287	LIANA	AGRICULTURE_AND_VEGETATION	2388	LIANA
Gerardi-2022-711-288	288	LIE (REST)	SPATIAL_RELATIONS	1411	LIE (REST)
Gerardi-2022-711-289	289	LIGHT			
Gerardi-2022-711-290	290	LIGHT (IGNITE)	THE_PHYSICAL_WORLD	737	LIGHT (IGNITE)
Gerardi-2022-711-291	291	LIGHT (RADIATION)	THE_PHYSICAL_WORLD	630	LIGHT (RADIATION)
Gerardi-2022-711-292	292	LIGHTNING	THE_PHYSICAL_WORLD	1654	LIGHTNING
Gerardi-2022-711-293	293	LIKE	EMOTIONS_AND_VALUES	1117	LIKE
Gerardi-2022-711-294	294	LIMP	MOTION	366	LIMP
Gerardi-2022-711-295	295	LIP	THE_BODY	478	LIP
Gerardi-2022-711-296	296	LIVER	THE_BODY	1224	LIVER
Gerardi-2022-711-297	297	LIZARD	ANIMALS	632	LIZARD
Gerardi-2022-711-298	298	LONG	SPATIAL_RELATIONS	1203	LONG
Gerardi-2022-711-299	299	LOUSE	ANIMALS	1392	LOUSE
Gerardi-2022-711-300	300	LOW	SPATIAL_RELATIONS	721	LOW
Gerardi-2022-711-301	301	LUBRICATE			
Gerardi-2022-711-302	302	LUNG	THE_BODY	688	LUNG
Gerardi-2022-711-303	303	LUNG FISH	ANIMALS		
Gerardi-2022-711-304	304	MACAW	ANIMALS	1630	MACAW
Gerardi-2022-711-305	305	MAIZE	AGRICULTURE_AND_VEGETATION	506	MAIZE
Gerardi-2022-711-306	306	MAN	KINSHIP	1554	MAN
Gerardi-2022-711-307	307	MANATEE			
Gerardi-2022-711-308	308	MANDI			
Gerardi-2022-711-309	309	MANIOC	AGRICULTURE_AND_VEGETATION	927	MANIOC
Gerardi-2022-711-310	310	MANY	QUANTITY	1198	MANY
Gerardi-2022-711-311	311	MARK			
Gerardi-2022-711-312	312	MARMOSET			
Gerardi-2022-711-313	313	MASTER	SOCIAL_AND_POLITICAL_RELATIONS	383	MASTER
Gerardi-2022-711-314	314	MATERNAL UNCLE (MOTHER'S BROTHER)	KINSHIP	2692	MATERNAL UNCLE (MOTHER'S BROTHER)
Gerardi-2022-711-315	315	MEASURE	SPATIAL_RELATIONS	1506	MEASURE
Gerardi-2022-711-316	316	MEDICINE	THE_BODY	1372	MEDICINE
Gerardi-2022-711-317	317	MEDICINE OF			
Gerardi-2022-711-318	318	MEET	SOCIAL_AND_POLITICAL_RELATIONS	1831	MEET
Gerardi-2022-711-319	319	MESSAGE	SPEECH_AND_LANGUAGE	2961	MESSAGE
Gerardi-2022-711-320	320	MIDDLE	SPATIAL_RELATIONS	1093	MIDDLE
Gerardi-2022-711-321	321	MILK	FOOD_AND_DRINK	635	MILK
Gerardi-2022-711-322	322	MIRROR	CLOTHING_AND_GROOMING	1171	MIRROR
Gerardi-2022-711-323	323	MIX	FOOD_AND_DRINK	2017	MIX
Gerardi-2022-711-324	324	MOAN			
Gerardi-2022-711-325	325	MONKEY	ANIMALS	1350	MONKEY
Gerardi-2022-711-326	326	MONTH	TIME	1370	MONTH
Gerardi-2022-711-327	327	MOON	THE_PHYSICAL_WORLD	1313	MOON
Gerardi-2022-711-328	328	MORTAR	FOOD_AND_DRINK	224	MORTAR
Gerardi-2022-711-329	329	MOSQUITO	ANIMALS	1509	MOSQUITO
Gerardi-2022-711-330	330	MOT-MOT (BIRD)	ANIMALS		
Gerardi-2022-711-331	331	MOTH	ANIMALS	2828	MOTH
Gerardi-2022-711-332	332	MOTHER	KINSHIP	1216	MOTHER
Gerardi-2022-711-333	333	MOUNTAIN OR HILL	THE_PHYSICAL_WORLD	2118	MOUNTAIN OR HILL
Gerardi-2022-711-334	334	MOUTH	THE_BODY	674	MOUTH
Gerardi-2022-711-335	335	MUD	THE_PHYSICAL_WORLD	640	MUD
Gerardi-2022-711-336	336	MUD HOLE			
Gerardi-2022-711-337	337	NAKED	THE_BODY	590	NAKED
Gerardi-2022-711-338	338	NAME	SPEECH_AND_LANGUAGE	1405	NAME
