ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	CHINESE	OMEGAWIKI
Hou-2004-180-150	1645	SHORT	150	short	短	6746
Hou-2004-180-151	1230	DIRTY	151	dirty	脏	5483
Hou-2004-180-152	704	CLEAN	152	clean	干净	335501
Hou-2004-180-153	1887	CHEAP	153	cheap	便宜	8184
Hou-2004-180-154	84	JUST	154	just (just came)	刚	1159914
Hou-2004-180-155	1466	EXACT	155	just (just appropriate)	刚	6134
Hou-2004-180-156	1725	CORRECT, RIGHT	156	just right	正好	7026
Hou-2004-180-157	1577	AND	157	and	和	6464
Hou-2004-180-158	1580	ONLY	158	only	只	6485
Hou-2004-180-159	693	FROM	159	from	从	334719
Hou-2004-180-160	1652	INSTEAD	160	instead of	替	6806
Hou-2004-180-161	1749	TAKE	161	take	拿	7077
Hou-2004-180-162	1031	ON PURPOSE	162	on purpose	故意	441581
Hou-2004-180-163	1493	ONE	163	one	一	6244
Hou-2004-180-164	1498	TWO	164	two	二	6248
Hou-2004-180-165	492	THREE	165	three	三	156096
Hou-2004-180-166	1500	FOUR	166	four	四	6253
Hou-2004-180-167	493	FIVE	167	five	五	156104
Hou-2004-180-168	1703	SIX	168	six	六	7003
Hou-2004-180-169	1704	SEVEN	169	seven	七	7004
Hou-2004-180-170	1705	EIGHT	170	eight	八	7005
Hou-2004-180-171	1483	NINE	171	nine	九	6193
Hou-2004-180-172	1515	TEN	172	ten	十	6312
Hou-2004-180-173	1706	ELEVEN	173	eleven	十一	7006
Hou-2004-180-174	1707	TWELVE	174	twelve	十二	7007
Hou-2004-180-175	1710	TWENTY	175	twenty	二十	7013
Hou-2004-180-176	1734	TWENTY ONE	176	twenty one	二十一	7046
Hou-2004-180-177	728	FIRST	177	first	第一	338524
Hou-2004-180-178	1384	SECOND	178	second	第二	5958
Hou-2004-180-179	1498	TWO	179	two miles	两里	6248
Hou-2004-180-180	1498	TWO	180	two ounces	二两	6248
