ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALENCE_MEAN	AROUSAL_MEAN	FAMILIARITY_MEAN	CONCRETENESS_MEAN	FREQUENCY_LEXESP	SEMANTIC_CATEGORY
Ferre-2012-380-111	111	Tigre	846	TIGER	5.97	7.24	3.76	7.60	4.29	animal
Ferre-2012-380-112	112	Topo	1907	MOLE	4.84	4.71	2.96	7.28	2.14	animal
Ferre-2012-380-113	113	Toro	1008	BULL	3.42	7.00	4.76	7.84	13.21	animal
Ferre-2012-380-114	114	Tortuga	112	TURTLE	6.11	3.97	5.72	7.28	3.93	animal
Ferre-2012-380-115	115	Trucha	795	TROUT	4.79	4.08	2.92	7.24	1.43	animal
Ferre-2012-380-116	116	Tucán	308	TOUCAN	6.21	5.16	2.76	8.40	0.00	animal
Ferre-2012-380-117	117	Urraca	2039	MAGPIE	3.84	4.50	3.12	7.68	3.04	animal
Ferre-2012-380-118	118	Víbora	2654	VIPER	2.71	7.08	2.96	6.20	1.96	animal
Ferre-2012-380-119	119	Zorro	1312	FOX	5.63	5.92	3.21	7.79	4.82	animal
Ferre-2012-380-120	120	Abogado			4.66	5.03	5.72	7.20	39.82	people
Ferre-2012-380-121	121	Abuelo	1383	GRANDFATHER	8.08	5.42	7.46	7.64	83.21	people
Ferre-2012-380-122	122	Actriz			6.32	5.42	6.88	6.32	17.86	people
Ferre-2012-380-123	123	Albañil			4.42	4.03	4.96	7.84	3.93	people
Ferre-2012-380-124	124	Amante			6.74	7.37	6.20	6.40	33.39	people
Ferre-2012-380-125	125	Anciano	406	OLD MAN	5.89	4.84	6.16	7.20	20.89	people
Ferre-2012-380-126	126	Arqueólogo			6.08	4.53	4.72	7.24	1.96	people
Ferre-2012-380-127	127	Arquitecto			5.89	4.29	4.40	6.72	8.93	people
Ferre-2012-380-128	128	Artista			7.16	5.71	6.84	5.12	34.82	people
Ferre-2012-380-129	129	Atleta			6.13	5.79	5.92	6.44	8.57	people
Ferre-2012-380-130	130	Banquero			4.03	4.37	5.04	7.36	7.14	people
Ferre-2012-380-131	131	Barrendero			4.68	4.13	5.12	7.12	0.00	people
Ferre-2012-380-132	132	Basurero			3.00	3.66	4.72	6.75	1.25	people
Ferre-2012-380-133	133	Beato			4.29	3.24	3.52	6.16	1.07	people
Ferre-2012-380-134	134	Bombero			6.42	6.21	5.88	8.20	1.79	people
Ferre-2012-380-135	135	Bruja	824	WITCH	5.00	5.53	4.68	5.44	9.46	people
Ferre-2012-380-136	136	Caballero			6.66	5.26	4.20	5.52	33.93	people
Ferre-2012-380-137	137	Camarero			5.47	5.16	7.16	7.88	26.43	people
Ferre-2012-380-138	138	Camionero			4.13	3.95	4.88	7.56	2.14	people
Ferre-2012-380-139	139	Cantante	4173	SINGER	6.97	5.97	7.40	6.60	14.82	people
Ferre-2012-380-140	140	Carnicero	2569	BUTCHER	3.58	4.63	5.92	7.50	3.04	people
Ferre-2012-380-141	141	Carpintero	1042	CARPENTER	5.34	3.71	3.52	7.84	2.32	people
Ferre-2012-380-142	142	Cazador	1053	HUNTER	2.39	5.97	4.56	6.40	9.11	people
Ferre-2012-380-143	143	Chulo			2.89	5.95	6.00	3.68	5.71	people
Ferre-2012-380-144	144	Científico			6.55	5.37	5.76	5.96	59.11	people
Ferre-2012-380-145	145	Compañero			7.58	5.74	7.68	4.88	47.14	people
Ferre-2012-380-146	146	Compositor			6.55	4.95	4.32	5.64	1.79	people
Ferre-2012-380-147	147	Conde			4.47	4.03	2.80	6.76	33.93	people
Ferre-2012-380-148	148	Conserje			4.95	3.66	6.08	7.24	2.32	people
Ferre-2012-380-149	149	Contable			4.53	3.34	4.04	6.00	3.39	people
Ferre-2012-380-150	150	Criado	255	SERVANT	2.89	4.29	2.32	6.28	12.32	people
Ferre-2012-380-151	151	Dama	2471	LADY	6.37	5.00	3.44	4.32	36.96	people
Ferre-2012-380-152	152	Decorador			5.61	4.26	4.80	5.80	0.54	people
Ferre-2012-380-153	153	Delincuente	3875	CRIMINAL	2.05	6.47	5.20	5.72	6.96	people
Ferre-2012-380-154	154	Dictador			1.55	7.26	4.04	6.24	8.57	people
Ferre-2012-380-155	155	Director			4.61	5.08	7.64	6.24	133.21	people
Ferre-2012-380-156	156	Diseñador			6.63	5.34	4.72	5.40	4.29	people
Ferre-2012-380-157	157	Divorciado			3.61	4.76	6.12	7.32	1.79	people
Ferre-2012-380-158	158	Drogadicto			2.71	6.08	5.20	7.28	3.04	people
Ferre-2012-380-159	159	Ecologista			6.97	5.00	5.12	6.64	2.86	people
Ferre-2012-380-160	160	Educador			5.97	4.18	6.80	4.76	1.61	people
Ferre-2012-380-161	161	Encargado			4.71	3.79	5.08	4.52	28.04	people
Ferre-2012-380-162	162	Enemigo	1358	ENEMY	1.89	6.53	4.72	4.72	44.64	people
Ferre-2012-380-163	163	Escultor	914	SCULPTOR	6.03	4.37	3.92	7.16	9.11	people
Ferre-2012-380-164	164	Estafador			2.71	6.45	5.12	5.40	1.07	people
Ferre-2012-380-165	165	Fontanero			4.82	4.00	4.08	7.40	2.86	people
Ferre-2012-380-166	166	Futbolista			5.63	5.61	7.84	6.96	8.39	people
Ferre-2012-380-167	167	Gamberro			2.84	6.16	5.68	6.20	0.89	people
Ferre-2012-380-168	168	Ganador	4174	WINNER	7.97	7.32	6.08	5.32	9.29	people
Ferre-2012-380-169	169	Genio			6.84	5.87	4.68	3.88	21.25	people
Ferre-2012-380-170	170	Guardaespaldas			5.39	4.95	3.64	7.08	0.00	people
Ferre-2012-380-171	171	Guardia	1940	GUARD	4.45	5.45	6.00	5.25	43.21	people
Ferre-2012-380-172	172	Héroe	4175	HERO	6.82	5.74	4.88	3.76	29.82	people
Ferre-2012-380-173	173	Herrero	1001	BLACKSMITH	4.89	3.82	3.92	7.63	5.18	people
Ferre-2012-380-174	174	Hijo	1620	SON	7.22	6.16	7.67	7.00	224.46	people
Ferre-2012-380-175	175	Holgazán			3.71	3.76	3.20	5.67	0.00	people
Ferre-2012-380-176	176	Informático			5.21	4.18	6.44	6.96	5.00	people
Ferre-2012-380-177	177	Ingeniero			5.66	3.82	4.92	5.40	20.36	people
Ferre-2012-380-178	178	Investigador			6.08	5.16	5.40	6.28	14.11	people
Ferre-2012-380-179	179	Jardinero			5.95	3.79	4.88	7.48	7.50	people
Ferre-2012-380-180	180	Jefe	2930	BOSS	4.00	5.82	7.52	6.17	105.36	people
Ferre-2012-380-181	181	Jubilado			5.53	3.84	6.00	6.88	6.43	people
Ferre-2012-380-182	182	Juez	861	JUDGE	5.50	4.32	5.28	7.04	60.54	people
Ferre-2012-380-183	183	Leñador			4.87	4.47	3.36	7.88	0.54	people
Ferre-2012-380-184	184	Limpiador			4.37	3.37	4.72	5.16	0.54	people
Ferre-2012-380-185	185	Luchador			5.00	6.39	5.68	5.20	1.61	people
Ferre-2012-380-186	186	Madrastra	236	STEPMOTHER	3.76	4.24	3.16	6.80	4.46	people
Ferre-2012-380-187	187	Mago	2137	MAGICIAN	6.76	5.92	4.04	6.24	6.79	people
Ferre-2012-380-188	188	Mártir			2.68	5.87	3.32	5.08	6.07	people
Ferre-2012-380-189	189	Matemático			4.61	4.26	4.80	6.36	5.54	people
Ferre-2012-380-190	190	Mayordomo			4.74	3.74	3.08	7.68	8.75	people
Ferre-2012-380-191	191	Mecánico			4.79	4.11	6.40	7.84	12.50	people
Ferre-2012-380-192	192	Médico	597	PHYSICIAN	5.58	5.92	7.40	6.96	93.21	people
Ferre-2012-380-193	193	Mercader	1082	MERCHANT	4.84	4.32	2.60	5.33	2.14	people
Ferre-2012-380-194	194	Mercenario			3.14	6.17	1.92	5.48	0.71	people
Ferre-2012-380-195	195	Ministro	486	MINISTER	3.29	4.71	6.88	5.88	120.71	people
Ferre-2012-380-196	196	Misionero			6.63	5.26	2.80	6.00	1.79	people
Ferre-2012-380-197	197	Mudo	2320	MUTE PERSON	3.45	5.11	3.96	6.48	11.25	people
Ferre-2012-380-198	198	Músico			7.39	6.08	7.00	5.92	7.32	people
Ferre-2012-380-199	199	Nieto	1618	GRANDSON	6.45	5.24	5.96	7.84	14.64	people
Ferre-2012-380-200	200	Notario			4.34	4.13	4.32	7.48	11.43	people
Ferre-2012-380-201	201	Obispo			2.82	4.42	3.20	7.75	23.04	people
Ferre-2012-380-202	202	Panadero	2568	BAKER	6.00	3.89	6.32	7.84	4.29	people
Ferre-2012-380-203	203	Pastelero			6.97	4.55	4.56	7.04	1.25	people
Ferre-2012-380-204	204	Payaso	4020	CLOWN	5.50	5.74	5.64	6.72	4.11	people
Ferre-2012-380-205	205	Pedante			2.24	5.34	3.16	4.67	2.32	people
Ferre-2012-380-206	206	Pedófilo			1.53	7.16	4.12	6.96	0.00	people
Ferre-2012-380-207	207	Peón			4.68	4.08	3.20	5.68	4.64	people
Ferre-2012-380-208	208	Periodista			5.58	5.13	7.04	6.64	40.71	people
Ferre-2012-380-209	209	Pescador	1858	FISHERMAN	5.08	3.76	4.92	7.24	4.64	people
Ferre-2012-380-210	210	Pintor	4101	PAINTER	5.92	5.08	5.72	6.28	19.82	people
Ferre-2012-380-211	211	Pobre	3662	POOR PERSON	2.11	5.55	6.64	4.16	100.89	people
Ferre-2012-380-212	212	Policía	4176	OFFICER	4.50	5.79	6.76	7.28	120.36	people
Ferre-2012-380-213	213	Político			2.50	5.16	7.76	5.88	138.57	people
Ferre-2012-380-214	214	Presidente	899	PRESIDENT	3.63	4.87	7.84	6.25	251.25	people
Ferre-2012-380-215	215	Preso	1072	PRISONER	2.39	5.24	5.32	6.72	11.07	people
Ferre-2012-380-216	216	Primo	1643	COUSIN	7.37	5.29	6.72	6.12	17.32	people
Ferre-2012-380-217	217	Príncipe	2554	PRINCE (RULER)	4.79	5.00	6.40	6.04	23.57	people
Ferre-2012-380-218	218	Profesor	1038	TEACHER	5.03	5.74	8.56	6.68	78.04	people
Ferre-2012-380-219	219	Prostituta	1610	PROSTITUTE	3.50	5.05	5.12	6.88	3.21	people
Ferre-2012-380-220	220	Proxeneta			2.05	6.14	3.32	5.96	0.71	people
Ferre-2012-380-221	221	Psicópata			1.79	7.71	5.52	6.24	1.61	people
