MERGER	ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	ENGLISH	OCCURRENCES
	Bulakh-2013-870-16	1561	ARMY	16	118	http://semshifts.iling-ran.ru/show-meaning.html?id=118	army	5
	Bulakh-2013-870-160	1624	EMPTY	160	508	http://semshifts.iling-ran.ru/show-meaning.html?id=508	empty	17
	Bulakh-2013-870-161	742	END OF SPACE	161	509	http://semshifts.iling-ran.ru/show-meaning.html?id=509	end	6
	Bulakh-2013-870-162	1358	ENEMY	162	511	http://semshifts.iling-ran.ru/show-meaning.html?id=511	enemy	8
	Bulakh-2013-870-163	1570	EQUAL	163	518	http://semshifts.iling-ran.ru/show-meaning.html?id=518	equal	3
	Bulakh-2013-870-164	1973	DEMON	164	530	http://semshifts.iling-ran.ru/show-meaning.html?id=530	evil spirit	5
	Bulakh-2013-870-165	1426	EXPENSIVE	165	534	http://semshifts.iling-ran.ru/show-meaning.html?id=534	expensive	6
	Bulakh-2013-870-166	1248	EYE	166	537	http://semshifts.iling-ran.ru/show-meaning.html?id=537	eye	34
	Bulakh-2013-870-167	1173	EYEBROW	167	540	http://semshifts.iling-ran.ru/show-meaning.html?id=540	eyebrow	3
	Bulakh-2013-870-168	1540	EYELASH	168	541	http://semshifts.iling-ran.ru/show-meaning.html?id=541	eyelash	4
	Bulakh-2013-870-169	17	EYELID	169	542	http://semshifts.iling-ran.ru/show-meaning.html?id=542	eyelid	3
	Bulakh-2013-870-17	977	ARROW	17	119	http://semshifts.iling-ran.ru/show-meaning.html?id=119	arrow	8
	Bulakh-2013-870-170	1560	FACE	170	543	http://semshifts.iling-ran.ru/show-meaning.html?id=543	face	21
	Bulakh-2013-870-171	675	FAECES	171	544	http://semshifts.iling-ran.ru/show-meaning.html?id=544	faeces	3
	Bulakh-2013-870-172	865	FAME	172	549	http://semshifts.iling-ran.ru/show-meaning.html?id=549	fame	3
	Bulakh-2013-870-173	1406	FAR	173	554	http://semshifts.iling-ran.ru/show-meaning.html?id=554	far away	3
	Bulakh-2013-870-174	1279	FAT, OBESE	174	557	http://semshifts.iling-ran.ru/show-meaning.html?id=557	fat (adj.)(of a person)	12
	Bulakh-2013-870-175	1688	FATE	175	558	http://semshifts.iling-ran.ru/show-meaning.html?id=558	fate	6
	Bulakh-2013-870-176	528	DREADFUL	176	562	http://semshifts.iling-ran.ru/show-meaning.html?id=562	fearful, dreadful	5
	Bulakh-2013-870-177	1201	FEATHER	177	564	http://semshifts.iling-ran.ru/show-meaning.html?id=564	feather	7
	Bulakh-2013-870-178	212	FIELD	178	574	http://semshifts.iling-ran.ru/show-meaning.html?id=574	field	3
	Bulakh-2013-870-179	213	FIN	179	575	http://semshifts.iling-ran.ru/show-meaning.html?id=575	fin	3
	Bulakh-2013-870-18	1089	FRAXINUS	18	121	http://semshifts.iling-ran.ru/show-meaning.html?id=121	ash (tree)	3
	Bulakh-2013-870-180	218	FINE	180	576	http://semshifts.iling-ran.ru/show-meaning.html?id=576	fine, powder-like	3
	Bulakh-2013-870-181	1374	RING	181	578	http://semshifts.iling-ran.ru/show-meaning.html?id=578	finger-ring	4
	Bulakh-2013-870-182	2120	FINGER OR TOE	182	577	http://semshifts.iling-ran.ru/show-meaning.html?id=577	finger/toe	8
	Bulakh-2013-870-183	221	FIRE	183	579	http://semshifts.iling-ran.ru/show-meaning.html?id=579	fire	7
19	Bulakh-2013-870-184	1884	HARD	184	584	http://semshifts.iling-ran.ru/show-meaning.html?id=584	firm, solid	12
	Bulakh-2013-870-185	529	FLANK	185	590	http://semshifts.iling-ran.ru/show-meaning.html?id=590	flank (military)	3
	Bulakh-2013-870-186	1633	FLAT	186	591	http://semshifts.iling-ran.ru/show-meaning.html?id=591	flat (adj)	5
	Bulakh-2013-870-187	1691	FLEXIBLE	187	594	http://semshifts.iling-ran.ru/show-meaning.html?id=594	flexible	3
	Bulakh-2013-870-188	239	FLOWER	188	596	http://semshifts.iling-ran.ru/show-meaning.html?id=596	flower	8
	Bulakh-2013-870-189	1768	FOAM	189	598	http://semshifts.iling-ran.ru/show-meaning.html?id=598	foam	3
	Bulakh-2013-870-19	903	ASPEN	19	123	http://semshifts.iling-ran.ru/show-meaning.html?id=123	aspen	3
	Bulakh-2013-870-190	256	FOOD	190	600	http://semshifts.iling-ran.ru/show-meaning.html?id=600	food	5
	Bulakh-2013-870-191	1438	FOOL	191	601	http://semshifts.iling-ran.ru/show-meaning.html?id=601	fool	12
	Bulakh-2013-870-192	2098	LEG OR FOOT	192	604	http://semshifts.iling-ran.ru/show-meaning.html?id=604	foot/leg	16
	Bulakh-2013-870-193	318	FOOTPRINT	193	605	http://semshifts.iling-ran.ru/show-meaning.html?id=605	footprint, track	6
	Bulakh-2013-870-194	123	FOREHEAD	194	607	http://semshifts.iling-ran.ru/show-meaning.html?id=607	forehead	11
	Bulakh-2013-870-195	420	FOREST	195	610	http://semshifts.iling-ran.ru/show-meaning.html?id=610	forest	6
	Bulakh-2013-870-196	530	FRECKLE	196	617	http://semshifts.iling-ran.ru/show-meaning.html?id=617	freckle	4
	Bulakh-2013-870-197	130	FREE OF CHARGE	197	619	http://semshifts.iling-ran.ru/show-meaning.html?id=619	free of charge	3
	Bulakh-2013-870-198	243	FRESH	198	621	http://semshifts.iling-ran.ru/show-meaning.html?id=621	fresh	5
5	Bulakh-2013-870-199	NAN		199	622	http://semshifts.iling-ran.ru/show-meaning.html?id=622	fresh (of water)	3
	Bulakh-2013-870-2	1260	DAY 24 HOURS	2	62	http://semshifts.iling-ran.ru/show-meaning.html?id=62	24 hours	3
	Bulakh-2013-870-20	1908	ATTENTIVE	20	127	http://semshifts.iling-ran.ru/show-meaning.html?id=127	attentive	3
	Bulakh-2013-870-200	1325	FRIEND	200	625	http://semshifts.iling-ran.ru/show-meaning.html?id=625	friend	9
	Bulakh-2013-870-201	503	FROG	201	628	http://semshifts.iling-ran.ru/show-meaning.html?id=628	frog	6
5	Bulakh-2013-870-202	NAN		202	630	http://semshifts.iling-ran.ru/show-meaning.html?id=630	front part	9
	Bulakh-2013-870-203	909	GARBAGE	203	641	http://semshifts.iling-ran.ru/show-meaning.html?id=641	garbage	4
	Bulakh-2013-870-204	198	GENTITALIA	204	648	http://semshifts.iling-ran.ru/show-meaning.html?id=648	genitalia	8
	Bulakh-2013-870-205	1657	TRUE	205	649	http://semshifts.iling-ran.ru/show-meaning.html?id=649	genuine, true	3
	Bulakh-2013-870-206	532	GIPSY	206	653	http://semshifts.iling-ran.ru/show-meaning.html?id=653	Gipsy, Gypsy	4
	Bulakh-2013-870-207	1646	GIRL	207	655	http://semshifts.iling-ran.ru/show-meaning.html?id=655	girl	11
3	Bulakh-2013-870-208	1495	HAPPY	208	656	http://semshifts.iling-ran.ru/show-meaning.html?id=656	glad	3
	Bulakh-2013-870-209	604	GLASS	209	657	http://semshifts.iling-ran.ru/show-meaning.html?id=657	glass (material)	3
	Bulakh-2013-870-21	1276	AUTUMN	21	129	http://semshifts.iling-ran.ru/show-meaning.html?id=129	autumn	3
	Bulakh-2013-870-210	1552	GLOOMY	210	659	http://semshifts.iling-ran.ru/show-meaning.html?id=659	gloomy	3
	Bulakh-2013-870-211	533	GLUTTON	211	660	http://semshifts.iling-ran.ru/show-meaning.html?id=660	glutton	5
	Bulakh-2013-870-212	1502	GOAT	212	663	http://semshifts.iling-ran.ru/show-meaning.html?id=663	goat	3
	Bulakh-2013-870-213	1944	GOD	213	664	http://semshifts.iling-ran.ru/show-meaning.html?id=664	god	3
	Bulakh-2013-870-214	1369	GOLD	214	665	http://semshifts.iling-ran.ru/show-meaning.html?id=665	gold	3
	Bulakh-2013-870-215	1035	GOOD	215	668	http://semshifts.iling-ran.ru/show-meaning.html?id=668	good	18
	Bulakh-2013-870-216	605	GRAIN	216	672	http://semshifts.iling-ran.ru/show-meaning.html?id=672	grain, seed	4
	Bulakh-2013-870-217	606	GRASS	217	676	http://semshifts.iling-ran.ru/show-meaning.html?id=676	grass	4
	Bulakh-2013-870-218	955	GREASY	218	679	http://semshifts.iling-ran.ru/show-meaning.html?id=679	greasy	4
	Bulakh-2013-870-219	2018	GREEDY	219	683	http://semshifts.iling-ran.ru/show-meaning.html?id=683	greedy	11
	Bulakh-2013-870-22	1291	BACK	22	132	http://semshifts.iling-ran.ru/show-meaning.html?id=132	back (body part)	14
	Bulakh-2013-870-220	1425	GREEN	220	684	http://semshifts.iling-ran.ru/show-meaning.html?id=684	green	11
	Bulakh-2013-870-221	153	GREY	221	685	http://semshifts.iling-ran.ru/show-meaning.html?id=685	grey	5
	Bulakh-2013-870-222	1782	GUEST	222	689	http://semshifts.iling-ran.ru/show-meaning.html?id=689	guest	4
	Bulakh-2013-870-223	608	GULF	223	693	http://semshifts.iling-ran.ru/show-meaning.html?id=693	gulf	3
	Bulakh-2013-870-224	609	HAIL	224	696	http://semshifts.iling-ran.ru/show-meaning.html?id=696	hail	5
	Bulakh-2013-870-225	1040	HAIR	225	697	http://semshifts.iling-ran.ru/show-meaning.html?id=697	hair	7
	Bulakh-2013-870-226	2121	ARM OR HAND	226	701	http://semshifts.iling-ran.ru/show-meaning.html?id=701	hand/arm	22
	Bulakh-2013-870-227	1254	HANDLE	227	703	http://semshifts.iling-ran.ru/show-meaning.html?id=703	handle, gripe	3
	Bulakh-2013-870-228	720	GOOD LUCK	228	705	http://semshifts.iling-ran.ru/show-meaning.html?id=705	happiness, luck	4
19	Bulakh-2013-870-229	1884	HARD	229	708	http://semshifts.iling-ran.ru/show-meaning.html?id=708	hard, solid	13
	Bulakh-2013-870-23	523	BACK OF HEAD	23	134	http://semshifts.iling-ran.ru/show-meaning.html?id=134	back of the head	5
	Bulakh-2013-870-230	1190	HARE	230	709	http://semshifts.iling-ran.ru/show-meaning.html?id=709	hare (Lepus)	9
	Bulakh-2013-870-231	611	HARVEST	231	710	http://semshifts.iling-ran.ru/show-meaning.html?id=710	harvest	4
	Bulakh-2013-870-232	1168	HAWTHORN	232	714	http://semshifts.iling-ran.ru/show-meaning.html?id=714	hawthorn	3
	Bulakh-2013-870-233	1256	HEAD	233	716	http://semshifts.iling-ran.ru/show-meaning.html?id=716	head	26
	Bulakh-2013-870-234	1364	HEALTHY	234	721	http://semshifts.iling-ran.ru/show-meaning.html?id=721	healthy	13
	Bulakh-2013-870-235	1223	HEART	235	724	http://semshifts.iling-ran.ru/show-meaning.html?id=724	heart	13
	Bulakh-2013-870-236	612	HEAT	236	725	http://semshifts.iling-ran.ru/show-meaning.html?id=725	heat	3
	Bulakh-2013-870-237	1210	HEAVY	237	728	http://semshifts.iling-ran.ru/show-meaning.html?id=728	heavy (of weight)	16
	Bulakh-2013-870-238	1797	HEDGEHOG	238	729	http://semshifts.iling-ran.ru/show-meaning.html?id=729	hedgehog (Еrinaceus)	4
	Bulakh-2013-870-239	980	HEEL	239	730	http://semshifts.iling-ran.ru/show-meaning.html?id=730	heel (of a foot)	7
14	Bulakh-2013-870-24	1292	BAD	24	136	http://semshifts.iling-ran.ru/show-meaning.html?id=136	bad	24
	Bulakh-2013-870-240	878	HELL	240	733	http://semshifts.iling-ran.ru/show-meaning.html?id=733	hell	6
	Bulakh-2013-870-241	1265	HIGH	241	744	http://semshifts.iling-ran.ru/show-meaning.html?id=744	high (location)	3
	Bulakh-2013-870-242	711	TALL	242	745	http://semshifts.iling-ran.ru/show-meaning.html?id=745	high (size)	7
	Bulakh-2013-870-243	614	HILL	243	747	http://semshifts.iling-ran.ru/show-meaning.html?id=747	hill	11
	Bulakh-2013-870-244	1120	HONEST	244	752	http://semshifts.iling-ran.ru/show-meaning.html?id=752	honest	7
	Bulakh-2013-870-245	152	HOOF	245	758	http://semshifts.iling-ran.ru/show-meaning.html?id=758	hoof	4
	Bulakh-2013-870-246	1393	HORN, KERATINIZED SKIN	246	761	http://semshifts.iling-ran.ru/show-meaning.html?id=761	horn	7
	Bulakh-2013-870-247	615	HORSE	247	764	http://semshifts.iling-ran.ru/show-meaning.html?id=764	horse (Equus caballus)	4
5	Bulakh-2013-870-248	NAN		248	767	http://semshifts.iling-ran.ru/show-meaning.html?id=767	horsetail	3
	Bulakh-2013-870-249	1286	HOT	249	770	http://semshifts.iling-ran.ru/show-meaning.html?id=770	hot	16
14	Bulakh-2013-870-25	1292	BAD	25	137	http://semshifts.iling-ran.ru/show-meaning.html?id=137	bad (ethically)	5
	Bulakh-2013-870-250	1252	HOUSE	250	775	http://semshifts.iling-ran.ru/show-meaning.html?id=775	house	8
	Bulakh-2013-870-251	1024	CHARACTER	251	777	http://semshifts.iling-ran.ru/show-meaning.html?id=777	human temper, character	3
	Bulakh-2013-870-252	534	HUMP	252	779	http://semshifts.iling-ran.ru/show-meaning.html?id=779	hump (of a person or camel)	4
	Bulakh-2013-870-253	1200	HUSBAND	253	784	http://semshifts.iling-ran.ru/show-meaning.html?id=784	husband	5
	Bulakh-2013-870-254	1799	HYENA	254	786	http://semshifts.iling-ran.ru/show-meaning.html?id=786	hyena	3
	Bulakh-2013-870-255	1285	IMPORTANT	255	800	http://semshifts.iling-ran.ru/show-meaning.html?id=800	important	3
	Bulakh-2013-870-256	1765	IN VAIN	256	803	http://semshifts.iling-ran.ru/show-meaning.html?id=803	in vain	5
	Bulakh-2013-870-257	918	INCLINATION	257	804	http://semshifts.iling-ran.ru/show-meaning.html?id=804	inclination to smth	4
	Bulakh-2013-870-258	535	INFLATED	258	811	http://semshifts.iling-ran.ru/show-meaning.html?id=811	inflated	3
	Bulakh-2013-870-259	620	INSECT	259	817	http://semshifts.iling-ran.ru/show-meaning.html?id=817	insect	3
5	Bulakh-2013-870-26	NAN		26	139	http://semshifts.iling-ran.ru/show-meaning.html?id=139	bad person	3
	Bulakh-2013-870-260	1606	INSIDE	260	818	http://semshifts.iling-ran.ru/show-meaning.html?id=818	inside	3
	Bulakh-2013-870-261	1361	TOOL	261	820	http://semshifts.iling-ran.ru/show-meaning.html?id=820	instrument, tool	3
	Bulakh-2013-870-262	220	INTACT	262	823	http://semshifts.iling-ran.ru/show-meaning.html?id=823	intact	3
	Bulakh-2013-870-263	621	IRON	263	829	http://semshifts.iling-ran.ru/show-meaning.html?id=829	iron	8
	Bulakh-2013-870-264	50	JACK	264	834	http://semshifts.iling-ran.ru/show-meaning.html?id=834	Jack (playing card)	3
	Bulakh-2013-870-265	798	JAW	265	838	http://semshifts.iling-ran.ru/show-meaning.html?id=838	jaw	4
	Bulakh-2013-870-266	999	JOINT	266	842	http://semshifts.iling-ran.ru/show-meaning.html?id=842	joint, articulation	3
35	Bulakh-2013-870-267	39	KEEN	267	849	http://semshifts.iling-ran.ru/show-meaning.html?id=849	keen (of senses)	3
	Bulakh-2013-870-268	1472	KEY	268	850	http://semshifts.iling-ran.ru/show-meaning.html?id=850	key (of a door)	3
	Bulakh-2013-870-269	844	KIND (2)	269	852	http://semshifts.iling-ran.ru/show-meaning.html?id=852	kind (n.)	5
	Bulakh-2013-870-27	1125	BALD	27	144	http://semshifts.iling-ran.ru/show-meaning.html?id=144	bald	6
36	Bulakh-2013-870-270	583	KIND (1)	270	853	http://semshifts.iling-ran.ru/show-meaning.html?id=853	kind, good-hearted	3
	Bulakh-2013-870-271	1371	KNEE	271	856	http://semshifts.iling-ran.ru/show-meaning.html?id=856	knee	8
	Bulakh-2013-870-272	760	KNOT	272	858	http://semshifts.iling-ran.ru/show-meaning.html?id=858	knot	4
21	Bulakh-2013-870-273	626	LAND	273	862	http://semshifts.iling-ran.ru/show-meaning.html?id=862	land (vs. sea)	3
	Bulakh-2013-870-274	222	LAVISH	274	871	http://semshifts.iling-ran.ru/show-meaning.html?id=871	lavish	3
	Bulakh-2013-870-275	1564	LAZY	275	874	http://semshifts.iling-ran.ru/show-meaning.html?id=874	lazy	5
	Bulakh-2013-870-276	627	LEAD, CHEMICAL ELEMENT	276	876	http://semshifts.iling-ran.ru/show-meaning.html?id=876	lead, plumbum	3
	Bulakh-2013-870-277	628	LEAF	277	877	http://semshifts.iling-ran.ru/show-meaning.html?id=877	leaf	11
7	Bulakh-2013-870-278	1400	THIN	278	879	http://semshifts.iling-ran.ru/show-meaning.html?id=879	lean	7
	Bulakh-2013-870-279	244	LEFT	279	882	http://semshifts.iling-ran.ru/show-meaning.html?id=882	left	13
	Bulakh-2013-870-28	524	BARBEL	28	148	http://semshifts.iling-ran.ru/show-meaning.html?id=148	barbel	4
	Bulakh-2013-870-280	630	LIGHT RADIATION	280	890	http://semshifts.iling-ran.ru/show-meaning.html?id=890	light (n.)	4
	Bulakh-2013-870-281	1052	LIGHT WEIGHT	281	891	http://semshifts.iling-ran.ru/show-meaning.html?id=891	light (of weight)	9
	Bulakh-2013-870-282	679	BRIGHT	282	892	http://semshifts.iling-ran.ru/show-meaning.html?id=892	light, bright	11
	Bulakh-2013-870-283	1654	LIGHTNING	283	895	http://semshifts.iling-ran.ru/show-meaning.html?id=895	lightning	6
	Bulakh-2013-870-284	1386	LION	284	899	http://semshifts.iling-ran.ru/show-meaning.html?id=899	lion (Panthera leo)	6
	Bulakh-2013-870-285	478	LIP	285	900	http://semshifts.iling-ran.ru/show-meaning.html?id=900	lip	6
	Bulakh-2013-870-286	58	LIQUID	286	902	http://semshifts.iling-ran.ru/show-meaning.html?id=902	liquid (adj.)	5
	Bulakh-2013-870-287	1246	SMALL	287	906	http://semshifts.iling-ran.ru/show-meaning.html?id=906	little, small	16
	Bulakh-2013-870-288	1224	LIVER	288	907	http://semshifts.iling-ran.ru/show-meaning.html?id=907	liver	4
5	Bulakh-2013-870-289	NAN		289	910	http://semshifts.iling-ran.ru/show-meaning.html?id=910	location of emotions	5
	Bulakh-2013-870-29	932	BARLEY	29	150	http://semshifts.iling-ran.ru/show-meaning.html?id=150	barley	3
	Bulakh-2013-870-290	187	LOIN	290	914	http://semshifts.iling-ran.ru/show-meaning.html?id=914	loins	6
	Bulakh-2013-870-291	418	FOR A LONG TIME	291	915	http://semshifts.iling-ran.ru/show-meaning.html?id=915	long (period of time)	3
	Bulakh-2013-870-292	1203	LONG	292	916	http://semshifts.iling-ran.ru/show-meaning.html?id=916	long (size)	5
	Bulakh-2013-870-293	373	LONG AGO	293	918	http://semshifts.iling-ran.ru/show-meaning.html?id=918	long ago	6
	Bulakh-2013-870-294	1017	APPEARANCE	294	921	http://semshifts.iling-ran.ru/show-meaning.html?id=921	look (n.)	3
	Bulakh-2013-870-295	377	LOUD	295	925	http://semshifts.iling-ran.ru/show-meaning.html?id=925	loud	8
36	Bulakh-2013-870-296	583	KIND (1)	296	928	http://semshifts.iling-ran.ru/show-meaning.html?id=928	lovely	5
2	Bulakh-2013-870-297	721	LOW	297	930	http://semshifts.iling-ran.ru/show-meaning.html?id=930	low (location)	12
	Bulakh-2013-870-298	536	LOW VOICE	298	931	http://semshifts.iling-ran.ru/show-meaning.html?id=931	low (of voice)	3
2	Bulakh-2013-870-299	721	LOW	299	932	http://semshifts.iling-ran.ru/show-meaning.html?id=932	low (size)	3
15	Bulakh-2013-870-3	1740	PINE	3	64	http://semshifts.iling-ran.ru/show-meaning.html?id=64	abies (Abies)	3
	Bulakh-2013-870-30	831	BASE	30	154	http://semshifts.iling-ran.ru/show-meaning.html?id=154	basis	4
5	Bulakh-2013-870-300	NAN		300	933	http://semshifts.iling-ran.ru/show-meaning.html?id=933	lower part	9
