ID	NUMBER	SOURCE_ID	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUNGARIAN	LATIN	POLISH	DEFINITION
Kornai-2018-1400-122	122	2744	at	G	1461	AT	-nál	apud	u	=PAT[place/1026]
Kornai-2018-1400-123	123	39	at	G	1461	AT	-ra	apud	przy	
Kornai-2018-1400-124	124	181	atom	N			atom	atomus	atom	particle, lack PART_OF, small
Kornai-2018-1400-125	125	2696	attach	V			édesget	amplexor	przywiázać	bind, =AGT CAUSE love, love IN/2758 =PAT
Kornai-2018-1400-126	126	1089	attach	V			hozzákapcsol	adiungo	dołáczyć	join
Kornai-2018-1400-127	127	2034	attack	V			roham	impetus	atak	violent, <INSTRUMENT weapon>, WANT hurt, WANT damage
Kornai-2018-1400-128	128	801	attention	N			figyelem	animi attentio	uwaga	listen, see, =POSS THINK =PAT[interesting, important]
Kornai-2018-1400-129	129	3409	attitude	N			attitűd	positio	nastawienie	
Kornai-2018-1400-130	130	2664	attract	V			vonz	attracho	przyciágać	good, =AGT CAUSE[=PAT HAS interest/517]
Kornai-2018-1400-131	131	2665	attractive	A	2410	GOOD-LOOKING	vonzó	suavis	atrakcyjny	beautiful, person LIKE/3382
Kornai-2018-1400-132	132	2811	authority	N			hatóság	jurisdictio	władza	power, command, determine, judge
Kornai-2018-1400-133	133	2800	available	A			elérhető			can/1246[=TO USE]
Kornai-2018-1400-134	134	591	away	D			el	dis-	od-	AT/2744 distance
Kornai-2018-1400-135	135	216	baby	N	1289	BABY	baba	pupus	niemowlé	animal[young[very]]
Kornai-2018-1400-136	136	960	back	N	1291	BACK	hát	tergum	plecy	PART_OF body, neck AT/2744
Kornai-2018-1400-137	137	2639	back	D	2911	BACKWARD	vissza	retro	zpowrotem	after(AT/2744 place/1026), before(AT/2744 place/1026)
Kornai-2018-1400-138	138	2043	bad	A	1292	BAD	rossz	malus	zły	lack(good)
Kornai-2018-1400-139	139	2684	bag	N	2468	BAG	zsák	saccus	torba	container, cloth
Kornai-2018-1400-140	140	198	ball	N			bál	saltatio	bal	
Kornai-2018-1400-141	141	2713	ball	N	1845	BALL	labda	pila	piłka	artefact, round, <sport INSTRUMENT>
Kornai-2018-1400-142	142	2678	band	N			zenekar	symphonia	zespół	group, musician, <popular>
Kornai-2018-1400-143	143	227	bank	N	1284	BANK	bank	argentaria	bank	institution, money IN/2758
Kornai-2018-1400-144	144	1945	bank	N	3463	RIVERBANK	part	ripa	brzeg	
Kornai-2018-1400-145	145	1367	bar	V			kizár	excludo	wyłáczać	
Kornai-2018-1400-146	146	1421	bar	N			kocsma	caupona	bar	shop, [SELL [alcoholic(drink)]] AT/2744, room/2235
Kornai-2018-1400-147	147	146	base	N	831	BASE	alap	fundamentum	podstawa	part, AT/2744 bottom, CAUSE =POSS[fix]
Kornai-2018-1400-148	148	153	base	A			aljas	abiectus	niski	
Kornai-2018-1400-149	149	2755	base	N			bázis		baza	artefact, IN/2758 @Baseball, four(corner), run TOUCH
Kornai-2018-1400-150	150		baseball	N			baseball			game, ball PART_OF, two(group) PART_OF
Kornai-2018-1400-151	151	874	bath	N	138	BATHE	fürdő	balneum	kápiel	CAUSE clean, body[clean] IN/2758 water, water IN/2758 container
Kornai-2018-1400-152	152	3413	bathroom	N			mosdó	balneum	łaziekna	
Kornai-2018-1400-153	153	2585	be	U	1579	BE	van	sum	być	
Kornai-2018-1400-154	154	215	bean	N	832	BEAN	bab	faba	fasola	vegetable
Kornai-2018-1400-155	155	2502	beat	U	1665	BEAT	üt	tundo	bić	hit[repeat]
Kornai-2018-1400-156	156	2505	beat	N			ütem	modus	uderzenie	
Kornai-2018-1400-157	157	1676	because	G	1157	BECAUSE	mert	quod	poniewaź	=REL CAUSE
Kornai-2018-1400-158	158	2655	become	U	1990	BECOME	vmvé lesz	fio	stawać sié	=AGT[=PAT[after]]
Kornai-2018-1400-159	159	68	bed	N	1663	BED	ágy	lectus	łóźko	furniture, rest IN/2758
Kornai-2018-1400-160	160	1601	bee	N	665	BEE	méh	apis	pszczoła	insect, HAS wing, HAS hair/3359, sting, <social>, PRODUCE honey
Kornai-2018-1400-161	161	2109	beer	N	1639	BEER	sör	cervisia	piwo	
Kornai-2018-1400-162	162	598	before	D	1882	BEFORE	elé	ad	przed	
Kornai-2018-1400-163	163	2768	before	G	1882	BEFORE	előtt	ante	przed	
