ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TAG
Tjuka-2021-192-88	88	1886	ARMPIT	ARMPIT	human body part
Tjuka-2021-192-89	89	1925	ARTERY	ARTERY	human body part
Tjuka-2021-192-90	90	1291	BACK	BACK	human body part
Tjuka-2021-192-91	91	523	BACK OF HEAD	BACK OF HEAD	human body part
Tjuka-2021-192-92	92	1251	BELLY	BELLY	human body part
Tjuka-2021-192-93	93	1746	BLADDER	BLADDER	human body part
Tjuka-2021-192-94	94	525	BLOOD VESSEL	BLOOD VESSEL	human body part
Tjuka-2021-192-95	95	1480	BODY	BODY	human body part
Tjuka-2021-192-96	96	2213	BODY PART	BODY PART	human body part
Tjuka-2021-192-97	97	1394	BONE	BONE	human body part
Tjuka-2021-192-98	98	1583	BRAIN	BRAIN	human body part
Tjuka-2021-192-99	99	2810	BREASTBONE	BREASTBONE	human body part
Tjuka-2021-192-100	100	1730	CHEEK	CHEEK	human body part
Tjuka-2021-192-101	101	1592	CHEST	CHEST	human body part
Tjuka-2021-192-102	102	1510	CHIN	CHIN	human body part
Tjuka-2021-192-103	103	3257	CLITORIS	CLITORIS	human body part
Tjuka-2021-192-104	104	1994	COLLARBONE	COLLARBONE	human body part
Tjuka-2021-192-105	105	1247	EAR	EAR	human body part
Tjuka-2021-192-106	106	981	ELBOW	ELBOW	human body part
Tjuka-2021-192-107	107	1248	EYE	EYE	human body part
Tjuka-2021-192-108	108	3807	EYEBALL	EYEBALL	human body part
Tjuka-2021-192-109	109	1540	EYELASH	EYELASH	human body part
Tjuka-2021-192-110	110	17	EYELID	EYELID	human body part
Tjuka-2021-192-111	111	1560	FACE	FACE	human body part
Tjuka-2021-192-112	112	1303	FINGER	FINGER	human body part
Tjuka-2021-192-113	113	2773	FINGERTIP	FINGERTIP	human body part
Tjuka-2021-192-114	114	2259	FLESH	FLESH	human body part
Tjuka-2021-192-115	115	577	FOREFINGER	FOREFINGER	human body part
Tjuka-2021-192-116	116	123	FOREHEAD	FOREHEAD	human body part
Tjuka-2021-192-117	117	442	FRONT TOOTH (INCISOR)	FRONT TOOTH (INCISOR)	human body part
Tjuka-2021-192-118	118	3372	GALL BLADDER	GALL BLADDER	human body part
Tjuka-2021-192-119	119	198	GENITALIA	GENITALIA	human body part
Tjuka-2021-192-120	120	139	GUMS	GUMS	human body part
Tjuka-2021-192-121	121	1334	GUTS	GUTS	human body part
Tjuka-2021-192-122	122	1277	HAND	HAND	human body part
Tjuka-2021-192-123	123	1256	HEAD	HEAD	human body part
Tjuka-2021-192-124	124	1223	HEART	HEART	human body part
Tjuka-2021-192-125	125	1745	HIP	HIP	human body part
Tjuka-2021-192-126	126	2820	HIP BONE	HIP BONE	human body part
Tjuka-2021-192-127	127	534	HUMP	HUMP	human body part
Tjuka-2021-192-128	128	1991	INTESTINES	INTESTINES	human body part
Tjuka-2021-192-129	129	798	JAW	JAW	human body part
Tjuka-2021-192-130	130	999	JOINT	JOINT	human body part
Tjuka-2021-192-131	131	489	KIDNEY	KIDNEY	human body part
Tjuka-2021-192-132	132	2824	KNUCKLE	KNUCKLE	human body part
Tjuka-2021-192-133	133	3714	LARYNX	LARYNX	human body part
Tjuka-2021-192-134	134	1297	LEG	LEG	human body part
Tjuka-2021-192-135	135	478	LIP	LIP	human body part
Tjuka-2021-192-136	136	1224	LIVER	LIVER	human body part
Tjuka-2021-192-137	137	187	LOIN	LOIN	human body part
Tjuka-2021-192-138	138	444	LONG HAIR	LONG HAIR	human body part
Tjuka-2021-192-139	139	446	LOWER ARM	LOWER ARM	human body part
Tjuka-2021-192-140	140	3613	LOWER BACK	LOWER BACK	human body part
Tjuka-2021-192-141	141	447	LOWER LEG	LOWER LEG	human body part
Tjuka-2021-192-142	142	688	LUNG	LUNG	human body part
Tjuka-2021-192-143	143	1049	MOLAR TOOTH	MOLAR TOOTH	human body part
Tjuka-2021-192-144	144	674	MOUTH	MOUTH	human body part
Tjuka-2021-192-145	145	1004	MUSCLE	MUSCLE	human body part
Tjuka-2021-192-146	146	1347	NAPE (OF NECK)	NAPE (OF NECK)	human body part
Tjuka-2021-192-147	147	1838	NAVEL	NAVEL	human body part
Tjuka-2021-192-148	148	1333	NECK	NECK	human body part
Tjuka-2021-192-149	149	2626	NERVE	NERVE	human body part
Tjuka-2021-192-150	150	796	NIPPLE	NIPPLE	human body part
Tjuka-2021-192-151	151	1221	NOSE	NOSE	human body part
Tjuka-2021-192-152	152	1178	NOSTRIL	NOSTRIL	human body part
Tjuka-2021-192-153	153	2674	ORAL CAVITY	ORAL CAVITY	human body part
Tjuka-2021-192-154	154	3716	OVARY	OVARY	human body part
Tjuka-2021-192-155	155	540	PALATE	PALATE	human body part
Tjuka-2021-192-156	156	3252	PANCREAS	PANCREAS	human body part
Tjuka-2021-192-157	157	1222	PENIS	PENIS	human body part
Tjuka-2021-192-158	158	3713	PHARYNX	PHARYNX	human body part
Tjuka-2021-192-159	159	3388	PLACENTA	PLACENTA	human body part
Tjuka-2021-192-160	160	1658	PUPIL	PUPIL	human body part
Tjuka-2021-192-161	161	801	RIB	RIB	human body part
Tjuka-2021-192-162	162	2834	SCROTUM	SCROTUM	human body part
Tjuka-2021-192-163	163	186	SHIN	SHIN	human body part
Tjuka-2021-192-164	164	1482	SHOULDER	SHOULDER	human body part
Tjuka-2021-192-165	165	172	SHOULDERBLADE	SHOULDERBLADE	human body part
Tjuka-2021-192-166	166	3344	SIDE (BODY)	SIDE (BODY)	human body part
Tjuka-2021-192-167	167	2668	SKELETON	SKELETON	human body part
Tjuka-2021-192-168	168	763	SKIN	SKIN	human body part
Tjuka-2021-192-169	169	1605	SKULL	SKULL	human body part
Tjuka-2021-192-170	170	2666	SOLE (FOOT)	SOLE (FOOT)	human body part
Tjuka-2021-192-171	171	805	SPINE	SPINE	human body part
Tjuka-2021-192-172	172	1744	SPLEEN	SPLEEN	human body part
Tjuka-2021-192-173	173	819	STOMACH	STOMACH	human body part
Tjuka-2021-192-174	174	1604	TEMPLES	TEMPLES	human body part
Tjuka-2021-192-175	175	1137	TENDON	TENDON	human body part
Tjuka-2021-192-176	176	797	TESTICLES	TESTICLES	human body part
Tjuka-2021-192-177	177	1346	THROAT	THROAT	human body part
Tjuka-2021-192-178	178	1781	THUMB	THUMB	human body part
Tjuka-2021-192-179	179	443	TIP (OF TONGUE)	TIP (OF TONGUE)	human body part
Tjuka-2021-192-180	180	1389	TOE	TOE	human body part
Tjuka-2021-192-181	181	1205	TONGUE	TONGUE	human body part
Tjuka-2021-192-182	182	1380	TOOTH	TOOTH	human body part
Tjuka-2021-192-183	183	2663	UMBILICAL CORD	UMBILICAL CORD	human body part
Tjuka-2021-192-184	184	431	UPPER ARM	UPPER ARM	human body part
Tjuka-2021-192-185	185	445	UPPER BACK	UPPER BACK	human body part
Tjuka-2021-192-186	186	471	UPPER LEG (THIGH)	UPPER LEG (THIGH)	human body part
Tjuka-2021-192-187	187	2293	UVULA	UVULA	human body part
Tjuka-2021-192-188	188	1836	VAGINA	VAGINA	human body part
Tjuka-2021-192-189	189	1924	VEIN	VEIN	human body part
Tjuka-2021-192-190	190	804	WOMB	WOMB	human body part
Tjuka-2021-192-191	191	799	WRIST	WRIST	human body part
Tjuka-2021-192-192	192	3891	EARHOLE	EARHOLE	human body part
