ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	NUMBER_IN_SOURCE	PAGENUMBER	ENGLISH	CHINESE
SatterthwaitePhillips-2011-423-58	2247	CATERPILLAR	58	380	178	caterpillar	毛虫
SatterthwaitePhillips-2011-423-59	1153	CATTLE	59	47	178	cattle	牛
SatterthwaitePhillips-2011-423-60	1155	CAVE	60	294,1	178	cave	山洞
SatterthwaitePhillips-2011-423-61	1318	CHICKEN	61	19	178	chicken	鸡
SatterthwaitePhillips-2011-423-62	72	CLAW	62	109,5	178	claw	爪子
SatterthwaitePhillips-2011-423-63	1399	CLAY	63	91	179	clay	黏土
SatterthwaitePhillips-2011-423-64	1046	SHUT	64	225	179	close (shut)	关闭
SatterthwaitePhillips-2011-423-65	1895	CLOTHES	65	302,5	179	clothes	衣服
SatterthwaitePhillips-2011-423-66	1489	CLOUD	66	74	179	cloud	云
SatterthwaitePhillips-2011-423-67	2151	COARSE	67	274	179	coarse	粗糙
SatterthwaitePhillips-2011-423-68	1575	COCKROACH	68	30	180	cockroach	蟑螂
SatterthwaitePhillips-2011-423-69	1287	COLD	69	232	180	cold	冷
SatterthwaitePhillips-2011-423-70	1613	COLOR	70	64,5	180	color	颜色
SatterthwaitePhillips-2011-423-71	1446	COME	71	328	180	come	来
SatterthwaitePhillips-2011-423-72	269	COOKED	72	382	180	cooked	熟 （肉 ＝ 不生）
SatterthwaitePhillips-2011-423-73	879	COUGH	73	243	180	cough	咳嗽
SatterthwaitePhillips-2011-423-74	913	CROW	74	17	181	crow	乌鸦
SatterthwaitePhillips-2011-423-75	1839	CRY	75	282	181	cry	哭
SatterthwaitePhillips-2011-423-76	496	CUCUMBER	76	395	181	cucumber	黄瓜
SatterthwaitePhillips-2011-423-77	476	CUP	77	237	181	cup	杯子 [B = 茶杯]
SatterthwaitePhillips-2011-423-78	1432	CUT	78	345	181	cut	切
SatterthwaitePhillips-2011-423-79	1879	DANCE	79	285	181	dance	跳舞
SatterthwaitePhillips-2011-423-80	706	DARK	80	378	182	dark	暗
SatterthwaitePhillips-2011-423-81	1357	DAUGHTER	81	901	182	daughter	女儿
SatterthwaitePhillips-2011-423-82	1225	DAY (NOT NIGHT)	82	78	182	day	白天
SatterthwaitePhillips-2011-423-83	1593	DEEP	83	410	182	deep	深
SatterthwaitePhillips-2011-423-84	2014	GO DOWN (DESCEND)	84	311	182	descend	下（去）[B = xia (shan)]
SatterthwaitePhillips-2011-423-85	1494	DIE	85	267	182	die	死
SatterthwaitePhillips-2011-423-86	584	DIFFICULT	86	218	182	difficult	难
SatterthwaitePhillips-2011-423-87	1418	DIG	87	292	182	dig	挖
SatterthwaitePhillips-2011-423-88	2009	DOG	88	51	183	dog	狗
SatterthwaitePhillips-2011-423-89	1567	DOOR	89	155	183	door	门
SatterthwaitePhillips-2011-423-90	2374	DREAM	90	352	183	dream (n)	梦
SatterthwaitePhillips-2011-423-91	814	DRESS UP	91	302	183	dress, to	穿
SatterthwaitePhillips-2011-423-92	1401	DRINK	92	402	183	drink	喝
SatterthwaitePhillips-2011-423-93	908	DRUM	93	168	183	drum	鼓
SatterthwaitePhillips-2011-423-94	1463	DRUNK	94	259	183	drunk	醉
SatterthwaitePhillips-2011-423-95	1398	DRY	95	246	184	dry	干
SatterthwaitePhillips-2011-423-96	1360	DUCK	96	18	184	duck	鸭子
SatterthwaitePhillips-2011-423-97	379	BLUNT	97	220	184	dull	钝
SatterthwaitePhillips-2011-423-98	1247	EAR	98	101	184	ear	耳朵
SatterthwaitePhillips-2011-423-99	672	EARLY	99	299	184	early	早
SatterthwaitePhillips-2011-423-100	1705	EIGHT	100	8	185	eight	八
SatterthwaitePhillips-2011-423-101	2159	GROUND	101	73	185	earth1	地；土地 [B = 地（天地）]
SatterthwaitePhillips-2011-423-102	1228	EARTH (SOIL)	102	73,1	185	earth2	土地
SatterthwaitePhillips-2011-423-103	686	EASY	103	214	185	easy	容易
SatterthwaitePhillips-2011-423-104	1336	EAT	104	178	185	eat	吃
SatterthwaitePhillips-2011-423-105	744	EGG	105	20	185	egg	（鸡）蛋
SatterthwaitePhillips-2011-423-106	1076	EMERGE (APPEAR)	106	271	185	emerge	出
SatterthwaitePhillips-2011-423-107	749	ENTER	107	392	186	enter	进（去）[B = jinlai]
SatterthwaitePhillips-2011-423-108	1629	EVENING	108	309	186	evening	晚上
SatterthwaitePhillips-2011-423-109	127	EXTINGUISH	109	255	186	extinguish	灭
SatterthwaitePhillips-2011-423-110	1248	EYE	110	96	186	eye	眼睛
SatterthwaitePhillips-2011-423-111	1280	FALL	111	308	186	fall	落
SatterthwaitePhillips-2011-423-112	1406	FAR	112	172	187	far	远
SatterthwaitePhillips-2011-423-113	1159	FART	113	280	187	fart, to	放屁 ［B = 屁]
SatterthwaitePhillips-2011-423-114	1631	FAST	114	191	187	fast	快
SatterthwaitePhillips-2011-423-115	1279	FAT (OBESE)	115	182	187	fat [of person]	胖
SatterthwaitePhillips-2011-423-116	2449	FAT (OF MEAT AND FOOD)	116		187	fat [of meat]	肥肉
SatterthwaitePhillips-2011-423-117	1217	FATHER	117	412	187	father	爸爸
SatterthwaitePhillips-2011-423-118	1419	FEAR (BE AFRAID)	118	270	187	fear, to	害怕 [B = pa]
SatterthwaitePhillips-2011-423-119	1201	FEATHER	119	22	188	feather	羽毛
SatterthwaitePhillips-2011-423-120	1242	FEW	120	12	188	few	少
SatterthwaitePhillips-2011-423-121	212	FIELD	121	288	188	field	田
SatterthwaitePhillips-2011-423-122	1303	FINGER	122	107	188	finger	手指
SatterthwaitePhillips-2011-423-123	221	FIRE	123	150	188	fire	火
SatterthwaitePhillips-2011-423-124	227	FISH	124	38	188	fish	鱼
SatterthwaitePhillips-2011-423-125	493	FIVE	125	5	188	five	五
SatterthwaitePhillips-2011-423-126	3074	FIX	126	319	189	fix	修理
SatterthwaitePhillips-2011-423-127	1633	FLAT	127	287	189	flat	扁平 [B = ping]
SatterthwaitePhillips-2011-423-128	2938	FLAVOR	128	265	189	flavor	味道
SatterthwaitePhillips-2011-423-129	956	FLEE	129	324	189	flee	逃跑 [B = tao]
SatterthwaitePhillips-2011-423-130	1574	FLOAT	130	353	189	float	漂流 [B = 浮]
SatterthwaitePhillips-2011-423-131	2003	FLOW	131	419	189	flow	流 [B = liu (shui)]
SatterthwaitePhillips-2011-423-132	239	FLOWER	132	62	190	flower	花
SatterthwaitePhillips-2011-423-133	1504	FLY (INSECT)	133	26	190	fly (n)	苍蝇
SatterthwaitePhillips-2011-423-134	1441	FLY (MOVE THROUGH AIR)	134	190	190	fly (v)	飞
SatterthwaitePhillips-2011-423-135	249	FOG	135	85	190	fog	雾
SatterthwaitePhillips-2011-423-136	1301	FOOT	136	113	190	foot	脚
SatterthwaitePhillips-2011-423-137	1523	FORGET	137	202	190	forget	忘记
SatterthwaitePhillips-2011-423-138	1500	FOUR	138	4	191	four	四
SatterthwaitePhillips-2011-423-139	376	FRAGRANT	139	264	191	fragrant	香
SatterthwaitePhillips-2011-423-140	1325	FRIEND	140	304	191	friend	朋友
SatterthwaitePhillips-2011-423-141	503	FROG	141	35	191	frog	青蛙
SatterthwaitePhillips-2011-423-142	1507	FRUIT	142	57	191	fruit	水果 [B = 果子]
SatterthwaitePhillips-2011-423-143	1429	FULL	143	236	191	full	满
SatterthwaitePhillips-2011-423-144	580	FUR	144	238	191	fur	（动物的）毛
SatterthwaitePhillips-2011-423-145	1602	WAKE UP	145	301	192	get up	起床
SatterthwaitePhillips-2011-423-146	1646	GIRL	146	254	192	girl	女孩 [B = 女青年]
SatterthwaitePhillips-2011-423-147	1447	GIVE	147	296,5	192	give	给
SatterthwaitePhillips-2011-423-148	1195	GIVE BIRTH	148	252	192	give birth, to	生 [B = sheng (haizi)]
SatterthwaitePhillips-2011-423-149	695	GO	149	305,6	192	go	去
SatterthwaitePhillips-2011-423-150	1035	GOOD	150	405	193	good	好
SatterthwaitePhillips-2011-423-151	411	GOURD	151	263	193	gourd	瓜
SatterthwaitePhillips-2011-423-152	1383	GRANDFATHER	152	384	193	grandfather (paternal)	爷爷
SatterthwaitePhillips-2011-423-153	1618	GRANDSON	153	200	193	grandson	孙子
SatterthwaitePhillips-2011-423-154	606	GRASS	154	63	193	grass	草
SatterthwaitePhillips-2011-423-155	1425	GREEN	155	69	194	green	绿
SatterthwaitePhillips-2011-423-156	1033	GRIND	156	348	194	grind	磨
SatterthwaitePhillips-2011-423-157	1334	GUTS	157	123	194	guts (intestine)	肠
SatterthwaitePhillips-2011-423-158	2648	HAIR (HEAD)	158	95	194	hair (human head)	头发
SatterthwaitePhillips-2011-423-159	189	HAIR (BODY)	159	129	194	hair (on body)	（人身体上的）毛
SatterthwaitePhillips-2011-423-160	1277	HAND	160	105	194	hand	手
SatterthwaitePhillips-2011-423-161	1884	HARD	161	413	195	hard	硬
SatterthwaitePhillips-2011-423-162	1607	HATE	162	?	195	hate1	恨
SatterthwaitePhillips-2011-423-163			163	390	195	hate2	讨厌（人）
SatterthwaitePhillips-2011-423-164	1211	HE	164	181	195	he	他
SatterthwaitePhillips-2011-423-165	1256	HEAD	165	94	195	head	头
SatterthwaitePhillips-2011-423-166	1408	HEAR	166	369	195	hear	听见
SatterthwaitePhillips-2011-423-167	1223	HEART	167	120	196	heart	心脏 [B = 心]
SatterthwaitePhillips-2011-423-168	1210	HEAVY	168	219	196	heavy	重
SatterthwaitePhillips-2011-423-169	136	HERE	169	329	196	here	这里
SatterthwaitePhillips-2011-423-170	2486	HIDE	170	272	196	hide	躲藏 [B = duo]
SatterthwaitePhillips-2011-423-171	1265	HIGH	171	418	196	high (of place)	高
SatterthwaitePhillips-2011-423-172	1433	HIT	172	321	196	hit	打
SatterthwaitePhillips-2011-423-173	1667	HOLE	173	162	196	hole [in cloth]	洞
SatterthwaitePhillips-2011-423-174	942	HONEY	174	30,1	197	honey	蜂蜜
SatterthwaitePhillips-2011-423-175	1071	HOOK	175	164	197	hook	钩子
SatterthwaitePhillips-2011-423-176	1393	HORN (ANATOMY)	176	48	197	horn	角
SatterthwaitePhillips-2011-423-177	615	HORSE	177	49	197	horse	马
SatterthwaitePhillips-2011-423-178	1286	HOT	178	230	197	hot	热
SatterthwaitePhillips-2011-423-179	1252	HOUSE	179	153	197	house	房子 [B = 房屋]
SatterthwaitePhillips-2011-423-180	1634	HUNDRED	180	11	197	hundred	百
SatterthwaitePhillips-2011-423-181	1209	I	181	173	198	I	我
SatterthwaitePhillips-2011-423-182	1533	BE HUNGRY	182	176	198	hungry	饿
SatterthwaitePhillips-2011-423-183	1435	HUNT	183	224	198	hunt	狩猎 [B = da lie]
SatterthwaitePhillips-2011-423-184	1129	PAINFUL	184	211	198	hurt	疼 [B = tengtong]
SatterthwaitePhillips-2011-423-185	1200	HUSBAND	185	362	198	husband	丈夫
SatterthwaitePhillips-2011-423-186	620	INSECT	186	24	199	insect	虫子
SatterthwaitePhillips-2011-423-187	1606	INSIDE	187	415	199	inside	里面
SatterthwaitePhillips-2011-423-188	149	ITCHY	188	208	199	itchy	痒
SatterthwaitePhillips-2011-423-189	999	JOINT	189	108	199	joint	关节
SatterthwaitePhillips-2011-423-190	1829	JUMP	190	337	199	jump	跳
SatterthwaitePhillips-2011-423-191	1135	KICK	191	326	199	kick	踢
SatterthwaitePhillips-2011-423-192	489	KIDNEY	192	124	199	kidney	肾
SatterthwaitePhillips-2011-423-193	1417	KILL	193	268	200	kill	杀
SatterthwaitePhillips-2011-423-194	1352	KNIFE	194	167	200	knife	刀子 [B = 刀]
SatterthwaitePhillips-2011-423-195	1410	KNOW (SOMETHING)	195	341	200	know [info]	知道
SatterthwaitePhillips-2011-423-196	2248	KNOW (SOMEBODY)	196	343	200	know [sb]	认识
SatterthwaitePhillips-2011-423-197	624	LAKE	197	381	200	lake	湖
SatterthwaitePhillips-2011-423-198	477	LATE	198	310	200	late	晚
SatterthwaitePhillips-2011-423-199	1355	LAUGH	199	388	201	laugh	笑（有声的）
SatterthwaitePhillips-2011-423-200	628	LEAF	200	54	201	leaf	叶子
SatterthwaitePhillips-2011-423-201	2250	LEAF (LEAFLIKE OBJECT)	201	?	201	leaf (of tree)	树叶 [B only]
SatterthwaitePhillips-2011-423-202	2273	LEECH	202	33	201	leech	水蛭
SatterthwaitePhillips-2011-423-203	244	LEFT	203	197	201	left	左
SatterthwaitePhillips-2011-423-204	1297	LEG	204	112	201	leg	大腿 [B = 腿]
SatterthwaitePhillips-2011-423-205	319	LICK	205	290	202	lick	添
SatterthwaitePhillips-2011-423-206	215	LIE DOWN	206	315	202	lie down	躺
SatterthwaitePhillips-2011-423-207	601	LIE (MISLEAD)	207	260	202	lie, to tell	说谎
SatterthwaitePhillips-2011-423-208	1052	LIGHT (WEIGHT)	208	215	202	light	轻
SatterthwaitePhillips-2011-423-209	1654	LIGHTNING	209	82	202	lightning	闪电
SatterthwaitePhillips-2011-423-210	1117	LIKE	210	283	202	like	喜欢
SatterthwaitePhillips-2011-423-211	478	LIP	211	98,5	203	lip	唇
SatterthwaitePhillips-2011-423-212	842	LIQUOR	212	142	203	liquor	酒
SatterthwaitePhillips-2011-423-213	1608	LISTEN	213	368	203	listen	听（音乐）
SatterthwaitePhillips-2011-423-214	1760	YOUNGER BROTHER	214	409	203	little brother	弟弟
SatterthwaitePhillips-2011-423-215	1761	YOUNGER SISTER	215	406	205	little sister	妹妹
SatterthwaitePhillips-2011-423-216	1224	LIVER	216	121	205	liver	肝
SatterthwaitePhillips-2011-423-217	1203	LONG	217	196	205	long	长
SatterthwaitePhillips-2011-423-218	1819	LOOK	218	307	205	look at	看
SatterthwaitePhillips-2011-423-219	1392	LOUSE	219	27	205	louse	虱子
SatterthwaitePhillips-2011-423-220	688	LUNG	220	125	205	lung	肺
SatterthwaitePhillips-2011-423-221	1554	MAN	221	387	205	man	男人
SatterthwaitePhillips-2011-423-222	1198	MANY	222	13	205	many	多
SatterthwaitePhillips-2011-423-223	1835	MARROW	223	128	205	marrow	骨髓
SatterthwaitePhillips-2011-423-224	203	MARRY	224	249	205	marry, to	结婚
SatterthwaitePhillips-2011-423-225	634	MEAT	225	203	205	meat	肉
SatterthwaitePhillips-2011-423-226	634	MEAT	226	136	206	meat*	肉
SatterthwaitePhillips-2011-423-227	1372	MEDICINE	227	900	206	medicine	药
SatterthwaitePhillips-2011-423-228	2243	REPAIR	228	414	206	mend (clothes)	补
SatterthwaitePhillips-2011-423-229	2244	METAL	229	296	206	metal	金属
SatterthwaitePhillips-2011-423-230	635	MILK	230	141	206	milk	牛奶
SatterthwaitePhillips-2011-423-231	1350	MONKEY	231	42	206	monkey	猴子
SatterthwaitePhillips-2011-423-232	1313	MOON	232	76	207	moon	月亮
SatterthwaitePhillips-2011-423-233	1339	MORNING	233	298	207	morning	早上 ［早晨］
SatterthwaitePhillips-2011-423-234	224	MORTAR CRUSHER	234	148	207	mortar	研钵
SatterthwaitePhillips-2011-423-235	1509	MOSQUITO	235	28	207	mosquito	蚊子
SatterthwaitePhillips-2011-423-236	1216	MOTHER	236	379	207	mother	妈妈
SatterthwaitePhillips-2011-423-237	639	MOUNTAIN	237	86	207	mountain	山
SatterthwaitePhillips-2011-423-238	674	MOUTH	238	98	208	mouth	嘴巴
SatterthwaitePhillips-2011-423-239	640	MUD	239	102,5	208	mud	泥巴 ［B = 泥土]
SatterthwaitePhillips-2011-423-240	641	MUSHROOM	240	63,5	208	mushroom	蘑菇
SatterthwaitePhillips-2011-423-241	642	MUSIC	241	394	208	music	音乐
SatterthwaitePhillips-2011-423-242	1258	FINGERNAIL	242	109	209	(finger) nail	指甲
SatterthwaitePhillips-2011-423-243	1405	NAME	243	201	209	name	名子
SatterthwaitePhillips-2011-423-244	1838	NAVEL	244	111	209	navel	肚脐
SatterthwaitePhillips-2011-423-245	1942	NEAR	245	175	209	near	近
SatterthwaitePhillips-2011-423-246	1333	NECK	246	102	209	neck	脖子
SatterthwaitePhillips-2011-423-247	1382	NEEDLE (FOR SEWING)	247	160	210	needle	针
SatterthwaitePhillips-2011-423-248	539	NEST	248	23	210	nest	巢
SatterthwaitePhillips-2011-423-249	2653	NET (FOR CATCHING)	249	399	210	(fishing) net	（鱼）网
SatterthwaitePhillips-2011-423-250	1231	NEW	250	212	210	new	新
SatterthwaitePhillips-2011-423-251	1233	NIGHT	251	79	210	night	夜里 [夜晚]
SatterthwaitePhillips-2011-423-252	1483	NINE	252	9	211	nine	九
SatterthwaitePhillips-2011-423-253	1269	NO	253	?	211	no	不 [B = bu (shi)]
SatterthwaitePhillips-2011-423-254	1221	NOSE	254	97	211	nose	鼻子
SatterthwaitePhillips-2011-423-255	1240	NOT	255	400	211	not	不
SatterthwaitePhillips-2011-423-256	1376	NOW	256	177	211	now	现在
SatterthwaitePhillips-2011-423-257	3137	OAR	257	169,2	212	oar	划桨（名词）
SatterthwaitePhillips-2011-423-258	2112	OLD (AGED)	258	188	212	old [person]	老 （人老）
SatterthwaitePhillips-2011-423-259	2113	OLD (USED)	259	217	212	old [thing]	旧
SatterthwaitePhillips-2011-423-260	1493	ONE	260	1	212	one	一
SatterthwaitePhillips-2011-423-261	1156	OPEN	261	227	212	open	打开
SatterthwaitePhillips-2011-423-262	15	OTTER	262	43	212	otter	水獭
SatterthwaitePhillips-2011-423-263	762	OUTSIDE	263	403	212	outside	外面
SatterthwaitePhillips-2011-423-264	1183	PALM OF HAND	264	106	213	palm	手掌 [B = 手心]
SatterthwaitePhillips-2011-423-265	1222	PENIS	265	117	213	penis	阴茎 [B = 男生殖器]
SatterthwaitePhillips-2011-423-266	683	PERSON	266	186	213	person	人
SatterthwaitePhillips-2011-423-267	225	PESTLE	267	149	213	pestle	杵 [B = 杵棒]
SatterthwaitePhillips-2011-423-268	3061	PHLEGM	268	132,5	213	phlegm	痰
SatterthwaitePhillips-2011-423-269	2148	PICK	269	262	214	pick	摘
SatterthwaitePhillips-2011-423-270	1337	PIG	270	50	214	pig	猪
SatterthwaitePhillips-2011-423-271	1853	DOVE	271	16	214	pigeon	鸽子
SatterthwaitePhillips-2011-423-272	1740	PINE	272	56	214	pine	松树
SatterthwaitePhillips-2011-423-273	592	PISS	273	134	214	piss	尿
SatterthwaitePhillips-2011-423-274	399	PLANTAIN	274	-	214	plantain	大蕉
SatterthwaitePhillips-2011-423-275	2154	PLOUGH (INSTRUMENT)	275	318	214	plough (n)	犁
SatterthwaitePhillips-2011-423-276	655	POISON	276	291	215	poison	毒药
SatterthwaitePhillips-2011-423-277	1455	PULL	277	331	215	pull	拉
SatterthwaitePhillips-2011-423-278	864	PUMPKIN	278	367	215	pumpkin	南瓜
SatterthwaitePhillips-2011-423-279	1452	PUSH	279	330	215	push	推
SatterthwaitePhillips-2011-423-280	998	PUT	280	334	215	put	放 [B = fangzhi]
SatterthwaitePhillips-2011-423-281	1253	RAIN (RAINING)	281	363	215	rain, to	下雨 [B = xia (yu)]
SatterthwaitePhillips-2011-423-282	658	RAIN (PRECIPITATION)	282	81	216	rain	雨
SatterthwaitePhillips-2011-423-283	1733	RAINBOW	283	80	216	rainbow	彩虹 [B = 虹]
SatterthwaitePhillips-2011-423-284	1490	RAT	284	45	216	rat	老鼠
SatterthwaitePhillips-2011-423-285	1959	RAW	285	383	216	raw	生（肉）
SatterthwaitePhillips-2011-423-286	156	RED	286	67	216	red	红
SatterthwaitePhillips-2011-423-287	1095	LET GO OR SET FREE	287	350	216	release	释放
SatterthwaitePhillips-2011-423-288	707	REMEMBER	288	199	217	remember	记得
SatterthwaitePhillips-2011-423-289	581	COME BACK	289	312	217	return	回
SatterthwaitePhillips-2011-423-290	1191	COOKED RICE	290	146	217	rice (cooked)	饭
SatterthwaitePhillips-2011-423-291	926	RICE	291	61	217	rice plant	稻
SatterthwaitePhillips-2011-423-292	367	RIDE	292	323	217	ride	骑
SatterthwaitePhillips-2011-423-293	1019	RIGHT	293	194	217	right	右
SatterthwaitePhillips-2011-423-294	178	RIPE	294	206	218	ripe	熟
SatterthwaitePhillips-2011-423-295	666	RIVER	295	88	218	river	江 [B = 河］
SatterthwaitePhillips-2011-423-296	667	ROAD	296	169,4	218	road	路
SatterthwaitePhillips-2011-423-297	769	ROOF	297	154	218	roof	屋顶
SatterthwaitePhillips-2011-423-298	670	ROOT	298	59	218	root	根
SatterthwaitePhillips-2011-423-299	1218	ROPE	299	163	218	rope	绳
SatterthwaitePhillips-2011-423-300	1728	ROTTEN	300	205	219	rotten	腐烂 [B = lan (gua = of gourd)]
SatterthwaitePhillips-2011-423-301	1395	ROUND	301	293	219	round	圆
SatterthwaitePhillips-2011-423-302	1519	RUN	302	192	219	run	跑
SatterthwaitePhillips-2011-423-303	1274	SALT	303	143	219	salt	盐
SatterthwaitePhillips-2011-423-304	1091	SALTY	304	370	219	salty	咸
SatterthwaitePhillips-2011-423-305	1436	SCRATCH	305	209	219	scratch	抓
SatterthwaitePhillips-2011-423-306	1409	SEE	306	332	220	see	看见 [B = 见]
SatterthwaitePhillips-2011-423-307	714	SEED	307	58	220	seed	种子
SatterthwaitePhillips-2011-423-308	1762	STONE (OF FRUIT)	308	58,1	220	seed/pit	核
SatterthwaitePhillips-2011-423-309	1571	SELL	309	297	220	sell	卖
SatterthwaitePhillips-2011-423-310	1704	SEVEN	310	7	220	seven	七
SatterthwaitePhillips-2011-423-311	1457	SEW	311	355	220	sew	缝纫 [B = feng]
SatterthwaitePhillips-2011-423-312	1388	SHADE	312	93	221	shadow	影子
SatterthwaitePhillips-2011-423-313	193	SHALLOW	313	397	221	shallow	浅
SatterthwaitePhillips-2011-423-314			314	?	221	sharp1	快（刀）
SatterthwaitePhillips-2011-423-315	1396	SHARP	315	216	221	sharp2	锋利
SatterthwaitePhillips-2011-423-316	1834	SHE	316	372	221	she	她
SatterthwaitePhillips-2011-423-317	1331	SHEEP	317	46	221	sheep	羊
SatterthwaitePhillips-2011-423-318	598	SHELL	318	37	222	(egg) shell	（蛋）壳
SatterthwaitePhillips-2011-423-319	676	FAECES (EXCREMENT)	319	135	222	shit	屎
SatterthwaitePhillips-2011-423-320	1172	SHOOT	320	222	222	shoot	射
SatterthwaitePhillips-2011-423-321	1645	SHORT	321	198	222	short (of length)	短
SatterthwaitePhillips-2011-423-322	2191	LOW (HEIGHT)	322	421	222	short (of stature)	矮
SatterthwaitePhillips-2011-423-323	1482	SHOULDER	323	103	222	shoulder	肩膀
SatterthwaitePhillips-2011-423-324	1847	SICK	324	187	222	sick	病
SatterthwaitePhillips-2011-423-325	759	SILVER	325	92	223	silver	银 [B = 银子]
SatterthwaitePhillips-2011-423-326	1261	SING	326	284	223	sing	唱 [B = chang ge]
SatterthwaitePhillips-2011-423-327	1416	SIT	327	306	223	sit	坐
SatterthwaitePhillips-2011-423-328	1703	SIX	328	6	223	six	六
