ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Luangthongkum-2019-340-197	197	nail		
Luangthongkum-2019-340-198	198	name	1405	NAME
Luangthongkum-2019-340-199	199	narrow	1267	NARROW
Luangthongkum-2019-340-200	200	navel, umbilical cord		
Luangthongkum-2019-340-201	201	neck, cheek		
Luangthongkum-2019-340-202	202	new	1231	NEW
Luangthongkum-2019-340-203	203	nine	1483	NINE
Luangthongkum-2019-340-204	204	obtain, receive, take, get	694	GET
Luangthongkum-2019-340-205	205	old (of humans)	2112	OLD (AGED)
Luangthongkum-2019-340-206	206	old (of things)	2113	OLD (USED)
Luangthongkum-2019-340-207	207	one	1493	ONE
Luangthongkum-2019-340-208	208	open (the mouth)	3437	OPEN (MOUTH)
Luangthongkum-2019-340-209	209	ox, bull, cow	3044	BOVINE
Luangthongkum-2019-340-210	210	palm (of the hand)	1183	PALM OF HAND
Luangthongkum-2019-340-211	211	pangolin, anteater		
Luangthongkum-2019-340-212	212	parrot, parakeet		
Luangthongkum-2019-340-213	213	path, trail, way	2252	PATH
Luangthongkum-2019-340-214	214	peacock	3382	PEACOCK
Luangthongkum-2019-340-215	215	pen, coop	3401	HENHOUSE
Luangthongkum-2019-340-216	216	penis	1222	PENIS
Luangthongkum-2019-340-217	217	pheasant	3060	PHEASANT
Luangthongkum-2019-340-218	218	pig	1337	PIG
Luangthongkum-2019-340-219	219	pile		
Luangthongkum-2019-340-220	220	pointed (as of needles), sharp point		
Luangthongkum-2019-340-221	221	pole	282	POLE
Luangthongkum-2019-340-222	222	porcupine	2510	PORCUPINE
Luangthongkum-2019-340-223	223	porcupine (brush-tailed~)		
Luangthongkum-2019-340-224	224	pot	1462	POT
Luangthongkum-2019-340-225	225	pound (v.)	3768	POUND (FOOD)
Luangthongkum-2019-340-226	226	pull up	2066	PULL UP (RICE SEEDLINGS)
Luangthongkum-2019-340-227	227	pumpkin (ash~)		
Luangthongkum-2019-340-228	228	push	1452	PUSH
Luangthongkum-2019-340-229	229	put on, wear	158	PUT ON
Luangthongkum-2019-340-230	230	put on (a necklace), wear		
Luangthongkum-2019-340-231	231	put out (the tongue)		
Luangthongkum-2019-340-232	232	quail	1893	QUAIL
Luangthongkum-2019-340-233	233	rabbit, hare	2345	LEPORID (RABBIT OR HARE)
Luangthongkum-2019-340-234	234	raise, feed (animals)	2134	RAISE (BRING UP)
Luangthongkum-2019-340-235	235	rattan	2497	RATTAN
Luangthongkum-2019-340-236	236	reach into		
Luangthongkum-2019-340-237	237	resin	664	RESIN
Luangthongkum-2019-340-238	238	right (side)	1019	RIGHT
Luangthongkum-2019-340-239	239	ripe, cooked		
