ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	SPANISH	FRENCH	GERMAN	OMEGAWIKI
Samarin-1969-100-51	d57d9f65-33f1-4b7c-b5ec-3569fcae4f3b	BREAST	51	breasts	senos	sein	weibliche Brust	5992
Samarin-1969-100-52	81d67aed-f7a8-465a-b815-33c82c179698	HEART	52	heart	corazón	coeur	Herz	5475
Samarin-1969-100-53	4c757d6a-cabe-4007-b67d-796b5b669d54	LIVER	53	liver	hígado	foie	Leber	5476
Samarin-1969-100-54	c13f419a-836c-4d16-a590-0a04393ccb31	DRINK ACTION	54	drink	beber	boire	trinken	5991
Samarin-1969-100-55	e497c28d-54bb-4600-9708-2a512dda77a3	EAT	55	eat	comer	manger	essen	5827
Samarin-1969-100-56	697220cd-8ed0-4ee6-8968-d2c00242a858	BITE	56	bite	morder	mordre	beissen	5993
Samarin-1969-100-57	01b206d7-ce05-49a6-a42d-42f8d391f9b5	SEE	57	see	ver	voir	sehen	6003
Samarin-1969-100-58	f7396782-89ba-4a5b-b90d-a7da3be51c96	HEAR	58	hear	oír	entendre	hören	5999
Samarin-1969-100-59	51b21290-3101-4807-a7b5-962982fe3747	KNOW	59	know	saber	savoir	wissen	6004
Samarin-1969-100-60	1ba0ca4c-3ff5-425b-98b5-c79797234e78	SLEEP	60	sleep	dormir	dormir	schlafen	6519
Samarin-1969-100-61	321c29bb-8a73-43c9-a52c-4487cf6fee81	DIE	61	die	morir	mourir	sterben	6245
Samarin-1969-100-62	5e920dfa-8e49-4f16-bc84-9093cfeb2b8c	KILL	62	kill	matar	tuer	töten	6023
Samarin-1969-100-63	8158b8e2-b3e9-4efc-a02d-d19c385e0044	SWIM	63	swim	nadar	nager	schwimmen	6050
Samarin-1969-100-64	43dfe6ea-2404-4c0e-9402-731449781e6b	FLY, MOVE THROUGH AIR	64	fly	volar	voler	fliegen	6052
Samarin-1969-100-65	af12127a-dd4c-4af7-a0c3-a311b99363bb	WALK	65	walk	andar	marcher	gehen	6054
Samarin-1969-100-66	1764034a-a958-48a1-9f99-4e2b6ff20de8	COME	66	come	venir	venir	kommen	6056
Samarin-1969-100-67	51f6516c-c433-4541-9204-d72b54348865	LIE, REST	67	lie	acostado	être couché	liegen	6005
Samarin-1969-100-68	ff02753d-0221-4724-a887-6dec93cfa257	SIT	68	sit	sentado	être assis	sitzen	6022
Samarin-1969-100-69	40e99d59-500b-4634-8b44-bf77a2e44901	STAND	69	stand	parado	être debout	stehen	6053
Samarin-1969-100-70	66207644-d1c8-40d4-8213-43b5fa302dff	GIVE	70	give	dar	donner	geben	6059
Samarin-1969-100-71	85efc208-f0ba-4b39-9d21-62d82b05f7d7	SAY	71	say	decir	dire	sagen	6075
Samarin-1969-100-72	3c76dde7-6500-4274-8388-3bdc4b2a31a5	SUN	72	sun	sol	soleil	Sonne	5850
Samarin-1969-100-73	5810595a-7c94-4521-8105-fe411e558cc1	MOON	73	moon	luna	lune	Mond	5729
Samarin-1969-100-74	be81e1bd-a983-4998-a5fe-ae97a0fafbb6	STAR	74	star	estrella	étoile	Stern	6041
Samarin-1969-100-75	a39512d8-34d4-4169-9610-af884b65ff3e	WATER	75	water	agua	eau	Wasser	4118
Samarin-1969-100-76	8fd80d81-e7a4-4f66-8928-7fe20056c5b1	RAIN, PRECIPATION	76	rain	lluvia	pluie	Regen	3100
Samarin-1969-100-77	f86fc8f4-648a-49c9-bf2e-f94a62e1aa47	STONE	77	stone	piedra	pierre	Stein	3633
Samarin-1969-100-78	f35d9447-d39d-4c0f-b2af-bdf3afa31e71	SAND	78	sand	arena	sable	Sand	3305
Samarin-1969-100-79	cb33c1ad-a7b9-4a7d-a7f9-b19a6e696fce	EARTH, SOIL	79	earth	tierra	terre	Erde	5481
Samarin-1969-100-80	6ef11c1f-6b95-4d40-84d9-f80cfd4433d0	CLOUD	80	cloud	nube	nuage	Wolken	623
Samarin-1969-100-81	33f80507-7244-420e-afee-a7c779457861	SMOKE, EXHAUST	81	smoke	humo	fumée	Rauch	3451
Samarin-1969-100-82	411a173c-5b15-430d-bc25-7eed20d9ffe9	FIRE	82	fire	fuego	feu	Feuer	1446
Samarin-1969-100-83	1e7a7abf-2ae4-41fa-8ead-d8daf5d4c253	ASH	83	ash	ceniza	cendres	Asche	264
Samarin-1969-100-84	89a9eddc-5c5d-4ddb-bea4-323c5cc90ca6	BURN	84	burn	arder	brûler	brennen	6039
Samarin-1969-100-85	1fb61d64-621a-4a77-86dc-4b6cb6bae7cb	ROAD	85	path	camino	chemin	Weg	3258
Samarin-1969-100-86	15ed59ba-83aa-40e9-bc5a-2b3eb7869e0e	MOUNTAIN	86	mountain	cerro	montagne	Berg	2421
Samarin-1969-100-87	8d5aef04-d63a-4f35-95ac-21e82b2abf19	RED	87	red	rojo	rouge	rot	1333710
Samarin-1969-100-88	4ed1a34f-fbdf-477a-bc41-e7a760756516	GREEN	88	green	verde	vert	grün	6032
Samarin-1969-100-89	535e97f4-1647-4f5d-9b48-5782de564093	YELLOW	89	yellow	amarillo	jaune	gelb	6031
Samarin-1969-100-90	95f6dc08-258d-4cd2-ac2c-c13e62b6a1d3	WHITE	90	white	blanco	blanc	weiss	5825
Samarin-1969-100-91	17b3cf38-43a2-4b7d-8c03-32ce0da15608	BLACK	91	black	negro	noir	schwarz	1341728
Samarin-1969-100-92	1f380ab5-cb55-4949-be87-abfc3ca51b7a	NIGHT	92	night	noche	nuit	Nacht	5486
Samarin-1969-100-93	5e41f213-0149-4db9-8de4-34f9df4edb42	HOT	93	hot	caliente	chaud	heiss	5637
Samarin-1969-100-94	14c5e161-d291-460a-b038-af147c6b82ec	COLD OF TEMPERATURE	94	cold	frío	froid	kalt	5639
Samarin-1969-100-95	fb86f911-75d0-4b28-b787-64a896f52003	FULL	95	full	lleno	plein	voll	6040
Samarin-1969-100-96	c653e833-bfe2-40dc-881e-9996a83ce9f3	NEW	96	new	nuevo	nouveau	neu	5484
Samarin-1969-100-97	dc23b880-fa9e-4de3-80f0-26e820eac36c	GOOD	97	good	bueno	bon	gut	443659
Samarin-1969-100-98	82297c96-cf69-4b4b-8413-dab530c3cdc1	ROUND	98	round	redondo	rond	rund	5984
Samarin-1969-100-99	0eb95172-31e6-4b34-97da-77c582866431	DRY	99	dry	seco	sec	trocken	5989
Samarin-1969-100-100	c3cd9831-cd53-42a7-b588-c09381f05247	NAME	100	name	nombre	nom	Name	5995
