ID	NUMBER	ENGLISH	SW007	SW100	LJ	URA100	c1	c2	c3	c4	c5	CONCEPTICON_ID	CONCEPTICON_GLOSS
Syrjaenen-2013-164	164	sun	X	X	–	X	–	–	–	–	–	1343	SUN
Syrjaenen-2013-165	165	swell	X	–	–	–	X	–	–	–	–	1573	SWELL
Syrjaenen-2013-166	166	swim	X	X	–	X	–	–	–	–	–	1439	SWIM
Syrjaenen-2013-167	167	tail	X	X	X	X	–	–	–	–	–	1220	TAIL
Syrjaenen-2013-168	168	that	X	X	–	X	–	–	–	–	–	78	THAT
Syrjaenen-2013-169	169	there	X	–	–	X	–	–	–	–	–	1937	THERE
Syrjaenen-2013-170	170	they	X	–	–	X	–	–	–	–	–	817	THEY
Syrjaenen-2013-171	171	thick	X	–	X	X	–	–	–	–	–	1244	THICK
Syrjaenen-2013-172	172	thin	X	–	–	X	–	–	–	–	–	1400	THIN (SLIM)
Syrjaenen-2013-173	173	think	X	–	–	–	X	X	X	X	X	2271	THINK
Syrjaenen-2013-174	174	this	X	X	X	X	–	–	–	–	–	1214	THIS
Syrjaenen-2013-175	175	three	X	–	–	X	–	–	–	–	–	492	THREE
Syrjaenen-2013-176	176	throw	X	–	–	X	–	–	–	–	–	1456	THROW
Syrjaenen-2013-177	177	tie	X	–	X	–	X	–	–	–	–	1917	TIE
Syrjaenen-2013-178	178	tongue	X	X	X	X	–	–	–	–	–	1205	TONGUE
Syrjaenen-2013-179	179	tooth	X	X	X	–	X	–	–	–	–	1380	TOOTH
Syrjaenen-2013-180	180	tree	X	X	X	X	–	–	–	–	–	906	TREE
Syrjaenen-2013-181	181	turn	X	–	–	–	X	–	–	–	–	1588	TURN
Syrjaenen-2013-182	182	two	X	X	–	X	–	–	–	–	–	1498	TWO
Syrjaenen-2013-183	183	vomit	X	–	–	X	–	–	–	–	–	1278	VOMIT
Syrjaenen-2013-184	184	walk	X	X	–	–	X	–	–	–	–	1443	WALK
Syrjaenen-2013-185	185	warm	X	X	–	X	–	–	–	–	–	1232	WARM
Syrjaenen-2013-186	186	wash	X	–	–	–	X	–	–	–	–	1453	WASH
Syrjaenen-2013-187	187	water	X	X	X	–	X	–	–	–	–	948	WATER
Syrjaenen-2013-188	188	we	X	X	–	X	–	–	–	–	–	1212	WE
Syrjaenen-2013-189	189	wet	X	–	–	–	X	X	X	–	–	1726	WET
Syrjaenen-2013-190	190	what	X	X	X	X	–	–	–	–	–	1236	WHAT
Syrjaenen-2013-191	191	when	X	–	–	X	–	–	–	–	–	1238	WHEN
Syrjaenen-2013-192	192	where	X	–	–	X	–	–	–	–	–	1237	WHERE
Syrjaenen-2013-193	193	white	X	X	–	–	X	–	–	–	–	1335	WHITE
Syrjaenen-2013-194	194	who	X	X	X	X	–	–	–	–	–	1235	WHO
Syrjaenen-2013-195	195	wide	X	–	X	–	X	–	–	–	–	1243	WIDE
Syrjaenen-2013-196	196	wife	X	–	–	–	X	X	–	–	–	1199	WIFE
Syrjaenen-2013-197	197	wind	X	–	X	X	–	–	–	–	–	960	WIND
Syrjaenen-2013-198	198	wing	X	–	X	X	–	–	–	–	–	1257	WING
Syrjaenen-2013-199	199	wipe	X	–	–	–	X	–	–	–	–	1454	WIPE
Syrjaenen-2013-200	200	with	X	–	–	–	X	X	X	–	–	1340	WITH
Syrjaenen-2013-201	201	woman	X	X	–	–	X	X	–	–	–	962	WOMAN
Syrjaenen-2013-202	202	woods	X	–	–	–	X	X	X	–	–	420	FOREST
Syrjaenen-2013-203	203	worm	X	–	–	–	X	X	–	–	–	1219	WORM
Syrjaenen-2013-204	204	year	X	–	–	X	–	–	–	–	–	1226	YEAR
Syrjaenen-2013-205	205	yellow	X	X	–	–	X	X	X	X	–	1424	YELLOW
Syrjaenen-2013-206	206	you (pl.)	X	–	–	X	–	–	–	–	–	1213	YOU
Syrjaenen-2013-207	207	you (sg.)	X	X	X	X	–	–	–	–	–	1215	THOU
Syrjaenen-2013-208	208	go	–	–	X	X	–	–	–	–	–	695	GO
Syrjaenen-2013-209	209	fly (insect)	–	–	X	X	–	–	–	–	–	1504	FLY (INSECT)
Syrjaenen-2013-210	210	do, make	–	–	X	–	X	–	–	–	–	2575	DO OR MAKE
Syrjaenen-2013-211	211	house	–	–	X	–	X	X	X	X	–	1252	HOUSE
Syrjaenen-2013-212	212	bitter	–	–	X	X	–	–	–	–	–	887	BITTER
Syrjaenen-2013-213	213	yesterday	–	–	X	X	–	–	–	–	–	1174	YESTERDAY
Syrjaenen-2013-214	214	navel	–	–	X	–	X	X	–	–	–	1838	NAVEL
Syrjaenen-2013-215	215	child (kin)	–	–	X	–	X	X	–	–	–	1801	CHILD (DESCENDANT)
Syrjaenen-2013-216	216	hide	–	–	X	–	X	X	X	–	–	602	HIDE (CONCEAL)
Syrjaenen-2013-217	217	carry	–	–	X	X	–	–	–	–	–	700	CARRY
Syrjaenen-2013-218	218	ant	–	–	X	X	–	–	–	–	–	587	ANT
Syrjaenen-2013-219	219	take	–	–	X	–	X	–	–	–	–	1749	TAKE
Syrjaenen-2013-220	220	thigh	–	–	X	–	X	–	–	–	–	800	THIGH
Syrjaenen-2013-221	221	run	–	–	X	X	–	–	–	–	–	1519	RUN
Syrjaenen-2013-222	222	cry	–	–	X	–	X	–	–	–	–	1839	CRY
Syrjaenen-2013-223	223	sweet	–	–	X	–	X	X	–	–	–	717	SWEET
Syrjaenen-2013-224	224	shadow	–	–	X	–	X	–	–	–	–	1388	SHADE
Syrjaenen-2013-225	225	hard	–	–	X	X	–	–	–	–	–	1884	HARD
Syrjaenen-2013-226	226	grind, crush	–	–	X	–	X	X	X	–	–	1033	GRIND
