ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN	SUBLIST
Jachontov-1991-100-3	1202	BIG	3	big	большой	Jachontov-1991-65
Jachontov-1991-100-30	1425	GREEN	30	green	зеленый	Jachontov-1991-65
Jachontov-1991-100-31	1040	HAIR	31	hair	волос	Jachontov-1991-65
Jachontov-1991-100-32	1277	HAND	32	hand	рука	Jachontov-1991-35
Jachontov-1991-100-33	1256	HEAD	33	head	голова	Jachontov-1991-65
Jachontov-1991-100-34	1408	HEAR	34	hear	слышать	Jachontov-1991-65
Jachontov-1991-100-35	1223	HEART	35	heart	сердце	Jachontov-1991-65
Jachontov-1991-100-36	1210	HEAVY	36	heavy	тяжелый	Jachontov-1991-65
Jachontov-1991-100-37	1393	HORN (KERATINIZED SKIN)	37	horn	рог	Jachontov-1991-35
Jachontov-1991-100-38	1209	I	38	I	я	Jachontov-1991-35
Jachontov-1991-100-39	1417	KILL	39	kill	убивать	Jachontov-1991-65
Jachontov-1991-100-4	937	BIRD	4	bird	птица	Jachontov-1991-65
Jachontov-1991-100-40	1371	KNEE	40	knee	колено	Jachontov-1991-65
Jachontov-1991-100-41	1410	KNOW (SOMETHING)	41	know	знать	Jachontov-1991-35
Jachontov-1991-100-42	628	LEAF	42	leaf	лист	Jachontov-1991-65
Jachontov-1991-100-43	1224	LIVER	43	liver	печень	Jachontov-1991-65
Jachontov-1991-100-44	1203	LONG	44	long	длинний	Jachontov-1991-65
Jachontov-1991-100-45	1392	LOUSE	45	louse	вошь	Jachontov-1991-35
Jachontov-1991-100-46	1554	MAN	46	man	мужчина	Jachontov-1991-65
Jachontov-1991-100-47	1198	MANY	47	many	много	Jachontov-1991-65
Jachontov-1991-100-48	634	MEAT	48	meat	мясо	Jachontov-1991-65
Jachontov-1991-100-49	1313	MOON	49	moon	луна	Jachontov-1991-35
Jachontov-1991-100-5	163	BLACK	5	black	черный	Jachontov-1991-65
Jachontov-1991-100-50	639	MOUNTAIN	50	mountain	гора	Jachontov-1991-65
Jachontov-1991-100-51	674	MOUTH	51	mouth	рот	Jachontov-1991-65
Jachontov-1991-100-52	1405	NAME	52	name	имя	Jachontov-1991-35
Jachontov-1991-100-53	1942	NEAR	53	near	блиский	Jachontov-1991-65
Jachontov-1991-100-54	1333	NECK	54	neck	шея	Jachontov-1991-65
Jachontov-1991-100-55	1231	NEW	55	new	новый	Jachontov-1991-35
Jachontov-1991-100-56	1233	NIGHT	56	night	ночь	Jachontov-1991-65
Jachontov-1991-100-57	1221	NOSE	57	nose	нос	Jachontov-1991-35
Jachontov-1991-100-58	1240	NOT	58	not	не	Jachontov-1991-65
Jachontov-1991-100-59	1493	ONE	59	one	один	Jachontov-1991-35
Jachontov-1991-100-6	946	BLOOD	6	blood	кровь	Jachontov-1991-35
Jachontov-1991-100-60	683	PERSON	60	person	человек	Jachontov-1991-65
Jachontov-1991-100-61	658	RAIN (PRECIPATION)	61	rain	дождь	Jachontov-1991-65
Jachontov-1991-100-62	156	RED	62	red	красный	Jachontov-1991-65
Jachontov-1991-100-63	667	ROAD	63	road	дорога	Jachontov-1991-65
Jachontov-1991-100-64	670	ROOT	64	root	корень	Jachontov-1991-65
Jachontov-1991-100-65	1395	ROUND	65	round	круглый	Jachontov-1991-65
Jachontov-1991-100-66	1274	SALT	66	salt	соль	Jachontov-1991-35
Jachontov-1991-100-67	671	SAND	67	sand	песок	Jachontov-1991-65
Jachontov-1991-100-68	1458	SAY	68	say	сказать	Jachontov-1991-65
Jachontov-1991-100-69	1409	SEE	69	see	видеть	Jachontov-1991-65
Jachontov-1991-100-7	1394	BONE	7	bone	кость	Jachontov-1991-35
Jachontov-1991-100-70	1645	SHORT	70	short	короткий	Jachontov-1991-65
Jachontov-1991-100-71	1416	SIT	71	sit	сидеть	Jachontov-1991-65
Jachontov-1991-100-72	763	SKIN	72	skin	кожа	Jachontov-1991-65
Jachontov-1991-100-73	1585	SLEEP	73	sleep	спать	Jachontov-1991-65
Jachontov-1991-100-74	1246	SMALL	74	small	маленький	Jachontov-1991-65
Jachontov-1991-100-75	778	SMOKE (EXHAUST)	75	smoke	дым	Jachontov-1991-65
Jachontov-1991-100-76	730	SNAKE	76	snake	змея	Jachontov-1991-65
Jachontov-1991-100-77	1442	STAND	77	stand	стоять	Jachontov-1991-65
Jachontov-1991-100-78	1430	STAR	78	star	звесда	Jachontov-1991-65
Jachontov-1991-100-79	857	STONE	79	stone	камень	Jachontov-1991-35
Jachontov-1991-100-8	1402	BREAST	8	breast	грудь	Jachontov-1991-65
Jachontov-1991-100-80	1343	SUN	80	sun	солнце	Jachontov-1991-35
Jachontov-1991-100-81	1439	SWIM	81	swim	плавать	Jachontov-1991-65
Jachontov-1991-100-82	1220	TAIL	82	tail	хвост	Jachontov-1991-35
Jachontov-1991-100-83	78	THAT	83	that	тот	Jachontov-1991-65
Jachontov-1991-100-84	1400	THIN	84	thin	тонкий	Jachontov-1991-65
Jachontov-1991-100-85	1214	THIS	85	this	этот	Jachontov-1991-35
Jachontov-1991-100-86	1215	THOU	86	thou	ты	Jachontov-1991-35
Jachontov-1991-100-87	1205	TONGUE	87	tongue	язык	Jachontov-1991-35
Jachontov-1991-100-88	1380	TOOTH	88	tooth	зуб	Jachontov-1991-35
Jachontov-1991-100-89	906	TREE	89	tree	дерево	Jachontov-1991-65
Jachontov-1991-100-9	1489	CLOUD	9	cloud	облака	Jachontov-1991-65
Jachontov-1991-100-90	1498	TWO	90	two	два	Jachontov-1991-35
Jachontov-1991-100-91	1443	WALK	91	walk (go)	идти	Jachontov-1991-65
Jachontov-1991-100-92	948	WATER	92	water	вода	Jachontov-1991-35
Jachontov-1991-100-93	1236	WHAT	93	what	что	Jachontov-1991-35
Jachontov-1991-100-94	1335	WHITE	94	white	белый	Jachontov-1991-65
Jachontov-1991-100-95	1235	WHO	95	who	кто	Jachontov-1991-35
Jachontov-1991-100-96	960	WIND	96	wind	ветер	Jachontov-1991-35
Jachontov-1991-100-97	962	WOMAN	97	woman	женщина	Jachontov-1991-65
Jachontov-1991-100-98	1219	WORM	98	worm	червь	Jachontov-1991-65
Jachontov-1991-100-99	1226	YEAR	99	year	год	Jachontov-1991-35
