ID	NUMBER	ID_IN_SOURCE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Migliazza-1972-714-80	80	85	carry on shoulders	413	CARRY ON SHOULDER
Migliazza-1972-714-81	81	86	cassava bread	407	MANIOC BREAD
Migliazza-1972-714-82	82	87	catch	702	CATCH
Migliazza-1972-714-83	83	88	cayman sp.	2438	CAIMAN
Migliazza-1972-714-84	84	89	cedar	3929	BRAZILIAN CEDAR
Migliazza-1972-714-85	85	90	certainly		
Migliazza-1972-714-86	86	91	chant (trade talk)		
Migliazza-1972-714-87	87	92	chest	1592	CHEST
Migliazza-1972-714-88	88	93	chew	321	CHEW
Migliazza-1972-714-89	89	94	child boy	1366	BOY
Migliazza-1972-714-90	90	95	choke	129	CHOKE
Migliazza-1972-714-91	91	96	choose	1750	CHOOSE
Migliazza-1972-714-92	92	97	chop	155	CHOP
Migliazza-1972-714-93	93	98	clay	1399	CLAY
Migliazza-1972-714-94	94	99	clean white		
Migliazza-1972-714-95	95	100	clear	989	CLEAR
Migliazza-1972-714-96	96	101	climb trees		
Migliazza-1972-714-97	97	102	climb by land		
Migliazza-1972-714-98	98	103	close V. an opening	1046	SHUT
Migliazza-1972-714-99	99	104	cloud	1489	CLOUD
Migliazza-1972-714-100	100	105	cold things		
Migliazza-1972-714-101	101	106	cold V. feel	3819	COLD (FEELING COLD)
Migliazza-1972-714-102	102	107	comb V.	2070	COMB (VERB)
Migliazza-1972-714-103	103	108,110	come	1446	COME
Migliazza-1972-714-104	104	109	come here	3555	COME HERE
Migliazza-1972-714-105	105	111	come back	581	COME BACK
Migliazza-1972-714-106	106	112	come down descend	2014	GO DOWN (DESCEND)
Migliazza-1972-714-107	107	113	command	1998	COMMAND
Migliazza-1972-714-108	108	114	cook V. in pot	1100	COOK (SOMETHING)
Migliazza-1972-714-109	109	115	copulate	549	COPULATE
Migliazza-1972-714-110	110	116	cough	879	COUGH
Migliazza-1972-714-111	111	117	cotton	1850	COTTON
Migliazza-1972-714-112	112	118	cover up	1719	BURY
Migliazza-1972-714-113	113	119	covet desire		
Migliazza-1972-714-114	114	120	coward	1319	COWARD
Migliazza-1972-714-115	115	121	crab	2348	CRAB
Migliazza-1972-714-116	116	122	crack tr.	3080	SPLIT OPEN
Migliazza-1972-714-117	117	123	cry	1839	CRY
Migliazza-1972-714-118	118	124	curassow sp. wild turkey		
Migliazza-1972-714-119	119	125	cut meat		
Migliazza-1972-714-120	120	126	cut tree	355	CUT DOWN
Migliazza-1972-714-121	121	127	cut underbrush		
Migliazza-1972-714-122	122	128	dance V.	1879	DANCE
Migliazza-1972-714-123	123	129	dangerous wild		
Migliazza-1972-714-124	124	130	dark time	1233	NIGHT
Migliazza-1972-714-125	125	131	dawn	729	DAWN
Migliazza-1972-714-126	126	132	day light time	1225	DAY (NOT NIGHT)
Migliazza-1972-714-127	127	133	dead	1625	DEAD
Migliazza-1972-714-128	128	134	deceive	3230	DECEIVE
Migliazza-1972-714-129	129	135	deep	1593	DEEP
Migliazza-1972-714-130	130	136	deer sp.	1936	DEER
Migliazza-1972-714-131	131	137	die	1494	DIE
Migliazza-1972-714-132	132	138	dig	1418	DIG
Migliazza-1972-714-133	133	139	dirty	1230	DIRTY
Migliazza-1972-714-134	134	140	dizzy	2712	GET DIZZY
Migliazza-1972-714-135	135	141	do as aux.		
Migliazza-1972-714-136	136	142	dog	2009	DOG
Migliazza-1972-714-137	137	143	down hill		
Migliazza-1972-714-138	138	144	down stream		
Migliazza-1972-714-139	139	145	drag	2030	DRAG
Migliazza-1972-714-140	140	146	dream V.	1920	DREAM (SOMETHING)
Migliazza-1972-714-141	141	147	drink	731	BEVERAGE
Migliazza-1972-714-142	142	148	drop tr.	2866	DROP (SOMETHING)
Migliazza-1972-714-143	143	149	drown	1904	DROWN
Migliazza-1972-714-144	144	150	drunk	1463	DRUNK
Migliazza-1972-714-145	145	151	dry	1398	DRY
Migliazza-1972-714-146	146	152	dull not sharp	1397	DULL
Migliazza-1972-714-147	147	153	dust	2	DUST
Migliazza-1972-714-148	148	154	eagle royal		
Migliazza-1972-714-149	149	155	ear	1247	EAR
Migliazza-1972-714-150	150	156	earth	1228	EARTH (SOIL)
Migliazza-1972-714-151	151	157	eat tr.	1336	EAT
Migliazza-1972-714-152	152	158	eat intr.	1336	EAT
Migliazza-1972-714-153	153	159	edge	863	EDGE
Migliazza-1972-714-154	154	160	egg	744	EGG
Migliazza-1972-714-155	155	161	empty	1624	EMPTY
Migliazza-1972-714-156	156	162	end one end		
Migliazza-1972-714-157	157	163	end upper		
Migliazza-1972-714-158	158	164	end lower		
Migliazza-1972-714-159	159	165,166	enemy	1358	ENEMY
Migliazza-1972-714-160	160	167	enter	749	ENTER
Migliazza-1972-714-161	161	168	exchange trade	2509	EXCHANGE
Migliazza-1972-714-162	162	169	eye	1248	EYE
Migliazza-1972-714-163	163	170	face	1560	FACE
Migliazza-1972-714-164	164	171	fall	1280	FALL
Migliazza-1972-714-165	165	172	fan	360	FAN (ACTION)
Migliazza-1972-714-166	166	173	far	1406	FAR
Migliazza-1972-714-167	167	174	fast	1631	FAST
Migliazza-1972-714-168	168	175	fat	1279	FAT (OBESE)
Migliazza-1972-714-169	169	176	feast		
Migliazza-1972-714-170	170	177	feed	739	FEED
Migliazza-1972-714-171	171	178	few some		
Migliazza-1972-714-172	172	179	few	1242	FEW
Migliazza-1972-714-173	173	180	fight	3880	FIGHT (COMBAT)
Migliazza-1972-714-174	174	181	fill	2006	FILL
Migliazza-1972-714-175	175	182	find	719	FIND
Migliazza-1972-714-176	176	183	finger	1303	FINGER
Migliazza-1972-714-177	177	184	finish	743	END (OF TIME)
Migliazza-1972-714-178	178	185	fire	221	FIRE
Migliazza-1972-714-179	179	186	first in front		
Migliazza-1972-714-180	180	187	first	728	FIRST
Migliazza-1972-714-181	181	188	fish V. (jerk)	2638	FISHING
Migliazza-1972-714-182	182	189	fish  small, generic	227	FISH
Migliazza-1972-714-183	183	190	fish hook	1074	FISHHOOK
Migliazza-1972-714-184	184	191	flat	1633	FLAT
Migliazza-1972-714-185	185	192	flea	232	FLEA
Migliazza-1972-714-186	186	193	flesh meat	2615	FLESH OR MEAT
Migliazza-1972-714-187	187	194	float	1574	FLOAT
Migliazza-1972-714-188	188	195	flow	2003	FLOW
Migliazza-1972-714-189	189	196	flower	239	FLOWER
Migliazza-1972-714-190	190	197	fly V.	1441	FLY (MOVE THROUGH AIR)
Migliazza-1972-714-191	191	198	fly housefly	1504	FLY (INSECT)
Migliazza-1972-714-192	192	199	fog	249	FOG
Migliazza-1972-714-193	193	200	fold V.	1470	FOLD
Migliazza-1972-714-194	194	201	follow	1085	FOLLOW
Migliazza-1972-714-195	195	202	food	256	FOOD
Migliazza-1972-714-196	196	203	foot	1301	FOOT
Migliazza-1972-714-197	197	204	footprint	318	FOOTPRINT
Migliazza-1972-714-198	198	205	forbid	83	FORBID
Migliazza-1972-714-199	199	206	forehead	123	FOREHEAD
Migliazza-1972-714-200	200	207	forest woods	420	FOREST
Migliazza-1972-714-201	201	208	forget	1523	FORGET
Migliazza-1972-714-202	202	209	friend	1325	FRIEND
Migliazza-1972-714-203	203	210	front	2194	FRONT (PART)
Migliazza-1972-714-204	204	211	fruit	1507	FRUIT
Migliazza-1972-714-205	205	212	full	1429	FULL
Migliazza-1972-714-206	206	213	get	694	GET
Migliazza-1972-714-207	207	214	get fetch	3551	FETCH
Migliazza-1972-714-208	208	215	get well cured		
Migliazza-1972-714-209	209	216	gift priceless		
Migliazza-1972-714-210	210	217	girl	1646	GIRL
Migliazza-1972-714-211	211	218	give	1447	GIVE
Migliazza-1972-714-212	212	219	go	695	GO
Migliazza-1972-714-213	213	220	go away	1752	LEAVE
Migliazza-1972-714-214	214	221	go downstream		
Migliazza-1972-714-215	215	222	go downhill		
Migliazza-1972-714-216	216	223	go home	142	RETURN HOME
Migliazza-1972-714-217	217	224	go on water		
Migliazza-1972-714-218	218	225	go upstream		
Migliazza-1972-714-219	219	226,227	good	1035	GOOD
Migliazza-1972-714-220	220	228	gnat sandfly	95	SANDFLY
Migliazza-1972-714-221	221	229	grate	3114	GRATE (SOMETHING)
Migliazza-1972-714-222	222	230	green not ripe	2300	GREEN OR UNRIPE
Migliazza-1972-714-223	223	231	grow	479	GROW
Migliazza-1972-714-224	224	232	gourd	411	GOURD
Migliazza-1972-714-225	225	233	handle	1254	HANDLE
Migliazza-1972-714-226	226	234	hair (head)	2648	HAIR (HEAD)
Migliazza-1972-714-227	227	235	hair (body)	189	HAIR (BODY)
Migliazza-1972-714-228	228	236	hammock cotton		
Migliazza-1972-714-229	229	237	hammock vine		
Migliazza-1972-714-230	230	238	hand	1277	HAND
Migliazza-1972-714-231	231	239	happy	1495	HAPPY
Migliazza-1972-714-232	232	240	hard	1884	HARD
Migliazza-1972-714-233	233	241	hate dislike		
Migliazza-1972-714-234	234	242	head	1256	HEAD
Migliazza-1972-714-235	235	243	heal cure	499	CURE
Migliazza-1972-714-236	236	244	hear	1408	HEAR
Migliazza-1972-714-237	237	245	heart	1223	HEART
Migliazza-1972-714-238	238	246	heavy	1210	HEAVY
Migliazza-1972-714-239	239	247	here	136	HERE
Migliazza-1972-714-240	240	248	hiccough	162	HICCOUGH
Migliazza-1972-714-241	241	249	hide	2486	HIDE
Migliazza-1972-714-242	242	250	high	1265	HIGH
Migliazza-1972-714-243	243	251	highwater		
Migliazza-1972-714-244	244	252	hit	1433	HIT
Migliazza-1972-714-245	245	253	hold secure		
Migliazza-1972-714-246	246	254	hole	1667	HOLE
Migliazza-1972-714-247	247	255	honey most common	942	HONEY
Migliazza-1972-714-248	248	256	horn	1393	HORN (ANATOMY)
Migliazza-1972-714-249	249	257	hot	1286	HOT
Migliazza-1972-714-250	250	258	house	1252	HOUSE
Migliazza-1972-714-251	251	259	house forest hut		
Migliazza-1972-714-252	252	260	how	1239	HOW
Migliazza-1972-714-253	253	261	hug	928	EMBRACE
Migliazza-1972-714-254	254	262	hummingbird	1589	HUMMINGBIRD
Migliazza-1972-714-255	255	263	hungry	1533	BE HUNGRY
Migliazza-1972-714-256	256	264	hungry for meat		
Migliazza-1972-714-257	257	265	hunt	1435	HUNT
Migliazza-1972-714-258	258	266	hurry rapidly	754	HURRY
Migliazza-1972-714-259	259	267	hurt pain	3864	HURT OR PAIN
Migliazza-1972-714-260	260	268	ignorant	2651	BE IGNORANT
Migliazza-1972-714-261	261	269	imitate	117	IMITATE
Migliazza-1972-714-262	262	270	insane	1899	MAD
Migliazza-1972-714-263	263	271	industrious		
Migliazza-1972-714-264	264	272	insert	3071	INSERT
Migliazza-1972-714-265	265	273	inside	1606	INSIDE
Migliazza-1972-714-266	266	274	intestines	1991	INTESTINES
Migliazza-1972-714-267	267	275	itch	148	ITCH
Migliazza-1972-714-268	268	276	jaguar sp.	1250	JAGUAR
Migliazza-1972-714-269	269	277	jump	1829	JUMP
Migliazza-1972-714-270	270	278	kill V. hit		
Migliazza-1972-714-271	271	279	Kill V.	1417	KILL
Migliazza-1972-714-272	272	280	knee	1371	KNEE
Migliazza-1972-714-273	273	281	knife tooth of agouti		
Migliazza-1972-714-274	274	282	knot	760	KNOT
Migliazza-1972-714-275	275	283	know	3626	KNOW
Migliazza-1972-714-276	276	284	lake lowland		
Migliazza-1972-714-277	277	285	language	1307	LANGUAGE
Migliazza-1972-714-278	278	286	language mouth		
Migliazza-1972-714-279	279	287	last	1529	LAST (FINAL)
Migliazza-1972-714-280	280	288	late	477	LATE
Migliazza-1972-714-281	281	289	laugh	1355	LAUGH
Migliazza-1972-714-282	282	290	lazy	1564	LAZY
Migliazza-1972-714-283	283	291	leaf	628	LEAF
Migliazza-1972-714-284	284	292	left hand	2182	LEFT HAND
Migliazza-1972-714-285	285	293	left over	987	REMAIN
Migliazza-1972-714-286	286	294	leg lower	447	LOWER LEG
Migliazza-1972-714-287	287	295	leg upper	471	UPPER LEG (THIGH)
Migliazza-1972-714-288	288	296	let go	1095	LET GO OR SET FREE
Migliazza-1972-714-289	289	297	lick	319	LICK
Migliazza-1972-714-290	290	298	lie V. untrue	601	LIE (MISLEAD)
Migliazza-1972-714-291	291	299	lie down on floor		
Migliazza-1972-714-292	292	300	lie down in hammock		
Migliazza-1972-714-293	293	301	lie with		
Migliazza-1972-714-294	294	302	lift	501	LIFT
Migliazza-1972-714-295	295	303	light	630	LIGHT (RADIATION)
Migliazza-1972-714-296	296	304	light not heavy	1052	LIGHT (WEIGHT)
Migliazza-1972-714-297	297	305,306	like V.	1117	LIKE
Migliazza-1972-714-298	298	307	lip lower	3944	LOWER LIP
Migliazza-1972-714-299	299	308	live at inhabit	363	DWELL (LIVE, RESIDE)
Migliazza-1972-714-300	300	309	liver	1224	LIVER
Migliazza-1972-714-301	301	310	lonely		
Migliazza-1972-714-302	302	311	long	1203	LONG
Migliazza-1972-714-303	303	312	long for miss	3473	LONG (FOR SOMETHING)
Migliazza-1972-714-304	304	313	long time	418	FOR A LONG TIME
Migliazza-1972-714-305	305	314	look stare at	1819	LOOK
Migliazza-1972-714-306	306	315	look for search	1468	LOOK FOR
Migliazza-1972-714-307	307	316,317	loose	2506	LOOSE
Migliazza-1972-714-308	308	318	lose forget	3072	MISPLACE
Migliazza-1972-714-309	309	319	lost	3667	LOST
Migliazza-1972-714-310	310	320	loud	377	LOUD
Migliazza-1972-714-311	311	321	louse	1392	LOUSE
Migliazza-1972-714-312	312	322	low	721	LOW
Migliazza-1972-714-313	313	323	macaw blue	3927	BLUE-AND-YELLOW MACAW
Migliazza-1972-714-314	314	324	macaw red	3938	RED-AND-GREEN MACAW
Migliazza-1972-714-315	315	325	make	734	MAKE
Migliazza-1972-714-316	316	326	man male	1554	MAN
Migliazza-1972-714-317	317	327	manioc plant	925	CASSAVA
Migliazza-1972-714-318	318	328	manioc bitter sp.		
Migliazza-1972-714-319	319	329	manioc sweet sp.		
Migliazza-1972-714-320	320	330,331,332	many	1198	MANY
Migliazza-1972-714-321	321	333	mash V. stir mix		
Migliazza-1972-714-322	322	334	milk woman's	3912	BREAST MILK
Migliazza-1972-714-323	323	335	mind thought		
Migliazza-1972-714-324	324	336	miss a shot	161	MISS (A TARGET)
Migliazza-1972-714-325	325	337	moldy		
Migliazza-1972-714-326	326	338	moon	1313	MOON
Migliazza-1972-714-327	327	339	monkey sp. spider	434	SPIDER MONKEY
Migliazza-1972-714-328	328	340	monkey sp. howler	433	HOWLER MONKEY
Migliazza-1972-714-329	329	341	morning	1339	MORNING
Migliazza-1972-714-330	330	342,343	mountain (hill)	2118	MOUNTAIN OR HILL
Migliazza-1972-714-331	331	344	mouth	674	MOUTH
Migliazza-1972-714-332	332	345	move	765	MOVE
Migliazza-1972-714-333	333	346	mud	640	MUD
Migliazza-1972-714-334	334	347	nail claw	2128	CLAW OR NAIL
Migliazza-1972-714-335	335	348	naked	590	NAKED
Migliazza-1972-714-336	336	349	name	1405	NAME
Migliazza-1972-714-337	337	350	narrow	1267	NARROW
Migliazza-1972-714-338	338	351	navel	1838	NAVEL
Migliazza-1972-714-339	339	352	near close nearby	1942	NEAR
Migliazza-1972-714-340	340	353	neck	1333	NECK
Migliazza-1972-714-341	341	354	new	1231	NEW
Migliazza-1972-714-342	342	355	next	1354	NEXT
Migliazza-1972-714-343	343	356	night	1233	NIGHT
Migliazza-1972-714-344	344	357	no	1269	NO
Migliazza-1972-714-345	345	358	nose	1221	NOSE
Migliazza-1972-714-346	346	359	now	1376	NOW
Migliazza-1972-714-347	347	360	obey	1635	OBEY
Migliazza-1972-714-348	348	361	old animate Important		
Migliazza-1972-714-349	349	362	old	1229	OLD
Migliazza-1972-714-350	350	363	one	1493	ONE
Migliazza-1972-714-351	351	364	only no reason		
Migliazza-1972-714-352	352	365	only just		
Migliazza-1972-714-353	353	366	open	1156	OPEN
Migliazza-1972-714-354	354	367	order V. give orders	1128	ORDER
Migliazza-1972-714-355	355	368	outside	762	OUTSIDE
Migliazza-1972-714-356	356	369	paddle V.	3668	PADDLE (MOVEMENT)
Migliazza-1972-714-357	357	370	pain	1783	PAIN
Migliazza-1972-714-358	358	371	paint from bixa seed		
Migliazza-1972-714-359	359	372	paint V. body		
Migliazza-1972-714-360	360	373	parrot sp.	882	PARROT
Migliazza-1972-714-361	361	374	path	2252	PATH
Migliazza-1972-714-362	362	375	pay	718	PAY
Migliazza-1972-714-363	363	376,377	peccary sp.	2390	PECCARY
Migliazza-1972-714-364	364	378	peach palm	3919	PEACH PALM
Migliazza-1972-714-365	365	379	people they	817	THEY
Migliazza-1972-714-366	366	380	people Inhabitants		
Migliazza-1972-714-367	367	381	pepper red		
Migliazza-1972-714-368	368	382	person of own culture		
Migliazza-1972-714-369	369	383	person foreigner	791	STRANGER
Migliazza-1972-714-370	370	384	perspire hot	126	SWEAT (PERSPIRE)
Migliazza-1972-714-371	371	385	pile up	1576	PILE UP
Migliazza-1972-714-372	372	387	pierce	398	PIERCE
Migliazza-1972-714-373	373	388	pineapple	2440	PINEAPPLE
Migliazza-1972-714-374	374	389	plant V.	1486	PLANT (SOMETHING)
Migliazza-1972-714-375	375	390	plantation garden	212	FIELD
Migliazza-1972-714-376	376	391	play	1413	PLAY
Migliazza-1972-714-377	377	392	pluck V.	2148	PICK
Migliazza-1972-714-378	378	393	point V. direction	2669	POINT (WITH FINGER)
Migliazza-1972-714-379	379	394	poor in need	1674	POOR
Migliazza-1972-714-380	380	395	possessions	3860	POSSESSIONS
Migliazza-1972-714-381	381	396	pinch	378	PINCH
Migliazza-1972-714-382	382	396	pot clay	2055	CLAY POT
Migliazza-1972-714-383	383	397	potato sweet sp.	159	SWEET POTATO
Migliazza-1972-714-384	384	398	pound	3768	POUND (FOOD)
Migliazza-1972-714-385	385	399	pregnant	1123	PREGNANT
Migliazza-1972-714-386	386	400	pull	1455	PULL
Migliazza-1972-714-387	387	401	pull up or out	2325	PULL OUT
Migliazza-1972-714-388	388	402	pull down		
Migliazza-1972-714-389	389	403	pus	1808	PUS
Migliazza-1972-714-390	390	404	push	1452	PUSH
Migliazza-1972-714-391	391	405	put together	1743	JOIN
Migliazza-1972-714-392	392	406	put into		
Migliazza-1972-714-393	393	407	quick	1631	FAST
Migliazza-1972-714-394	394	408	quick with force		
Migliazza-1972-714-395	395	409	quiet still		
Migliazza-1972-714-396	396	410	rain	658	RAIN (PRECIPITATION)
Migliazza-1972-714-397	397	411	rat sp.	1490	RAT
Migliazza-1972-714-398	398	412	raw	1959	RAW
Migliazza-1972-714-399	399	413	ready	790	READY
Migliazza-1972-714-400	400	414	real	1657	TRUE
Migliazza-1972-714-401	401	415	red	156	RED
Migliazza-1972-714-402	402	416	refuse	49	REFUSE
Migliazza-1972-714-403	403	417	remain stay	987	REMAIN
Migliazza-1972-714-404	404	418	remember	707	REMEMBER
Migliazza-1972-714-405	405	419	repair	2243	REPAIR
Migliazza-1972-714-406	406	420	return	581	COME BACK
Migliazza-1972-714-407	407	421	revenge	495	REVENGE
Migliazza-1972-714-408	408	422	right side	1019	RIGHT
Migliazza-1972-714-409	409	423,424	ripe	178	RIPE
Migliazza-1972-714-410	410	425	river	666	RIVER
Migliazza-1972-714-411	411	426	roast V.	1962	ROAST (SOMETHING)
Migliazza-1972-714-412	412	427	roll V.	827	ROLL
Migliazza-1972-714-413	413	428	roofing leaves		
Migliazza-1972-714-414	414	429	root	670	ROOT
Migliazza-1972-714-415	415	430,431	rope	1218	ROPE
Migliazza-1972-714-416	416	432	rotten	1728	ROTTEN
Migliazza-1972-714-417	417	433	rotten flesh		
Migliazza-1972-714-418	418	434	round	1395	ROUND
Migliazza-1972-714-419	419	435	rub	1449	RUB
Migliazza-1972-714-420	420	436	rub one direction		
Migliazza-1972-714-421	421	437	run	1519	RUN
Migliazza-1972-714-422	422	438	runaway flee	2142	RUN AWAY
Migliazza-1972-714-423	423	439	sad	699	SAD
Migliazza-1972-714-424	424	440	saliva	1503	SALIVA
Migliazza-1972-714-425	425	441	same as of		
Migliazza-1972-714-426	426	442	sand	671	SAND
Migliazza-1972-714-427	427	443	say	1458	SAY
Migliazza-1972-714-428	428	444	scare V.	252	FRIGHTEN
Migliazza-1972-714-429	429	445	scratch	1436	SCRATCH
Migliazza-1972-714-430	430	446	scatter V. sow	2064	SCATTER (SEEDS)
Migliazza-1972-714-431	431	447	see look	1409	SEE
Migliazza-1972-714-432	432	448	seed	714	SEED
Migliazza-1972-714-433	433	449	send	1127	SEND
Migliazza-1972-714-434	434	450	sew	1457	SEW
Migliazza-1972-714-435	435	451	shadow	1388	SHADE
Migliazza-1972-714-436	436	452	shake	1909	SHAKE
Migliazza-1972-714-437	437	453	shaman witch doctor	394	SHAMAN (FOLK HEALER)
Migliazza-1972-714-438	438	454	sharp	1396	SHARP
Migliazza-1972-714-439	439	455	sharpen	251	SHARPEN (SOMETHING)
Migliazza-1972-714-440	440	456	shell calabash		
Migliazza-1972-714-441	441	457	shiver	52	SHIVER
Migliazza-1972-714-442	442	458	shoot arrow		
Migliazza-1972-714-443	443	459	short in height	2191	LOW (HEIGHT)
Migliazza-1972-714-444	444	460	shoulder	1482	SHOULDER
Migliazza-1972-714-445	445	461	shout	715	SHOUT
Migliazza-1972-714-446	446	462	sick ill	1847	SICK
Migliazza-1972-714-447	447	463	sing	1261	SING
Migliazza-1972-714-448	448	464	sink	915	SINK (BASIN)
Migliazza-1972-714-449	449	465	sit down squat	3163	SQUAT
Migliazza-1972-714-450	450	466	sit down on something	1649	SIT DOWN
Migliazza-1972-714-451	451	467	skin	763	SKIN
Migliazza-1972-714-452	452	468	sky	1732	SKY
Migliazza-1972-714-453	453	469	sleep	2972	SLEEP (STATE)
Migliazza-1972-714-454	454	470	sleepy	3620	SLEEPY
Migliazza-1972-714-455	455	471	slip V.	1324	SLIP
Migliazza-1972-714-456	456	472	sloth sp.	2446	SLOTH
Migliazza-1972-714-457	457	473	slow	701	SLOW
Migliazza-1972-714-458	458	474	small little	1246	SMALL
Migliazza-1972-714-459	459	475	smell V.	1586	SMELL (PERCEIVE)
Migliazza-1972-714-460	460	476	smell good	376	FRAGRANT
Migliazza-1972-714-461	461	477	smell bad	42	STINKING
Migliazza-1972-714-462	462	478	smell odor	3704	ODOR (SMELL)
Migliazza-1972-714-463	463	479	smoke	778	SMOKE (EXHAUST)
Migliazza-1972-714-464	464	480	smooth	1234	SMOOTH
Migliazza-1972-714-465	465	481	snake generic	730	SNAKE
Migliazza-1972-714-466	466	482	sneeze	1621	SNEEZE
Migliazza-1972-714-467	467	483	snore	1983	SNORE
Migliazza-1972-714-468	468	484	soft	1856	SOFT
Migliazza-1972-714-469	469	485	sound	1811	SOUND OR NOISE
Migliazza-1972-714-470	470	486	spank slap		
Migliazza-1972-714-471	471	487	speak	1623	SPEAK
Migliazza-1972-714-472	472	488	spear	945	SPEAR
Migliazza-1972-714-473	473	489	spill pour out	3130	SPILL (SOMETHING)
Migliazza-1972-714-474	474	490	spin	121	SPIN
Migliazza-1972-714-475	475	491	spirit of people		
Migliazza-1972-714-476	476	492	spirit of animals		
Migliazza-1972-714-477	477	493	spit	1440	SPIT
