ID	NUMBER	MITTERHOFER_2013_300	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-94-59	59		mosquito	1509	MOSQUITO
Mitterhofer-2013-94-60	60	179	near	1942	NEAR
Mitterhofer-2013-94-61	61	125	night (time)	1233	NIGHT
Mitterhofer-2013-94-62	62		Njombe		
Mitterhofer-2013-94-63	63	48	brother (older, same sex)	1759	OLDER BROTHER
Mitterhofer-2013-94-64	64		pain	1783	PAIN
Mitterhofer-2013-94-65	65		pity	1141	PITY
Mitterhofer-2013-94-66	66	107	cooking	1100	COOK (SOMETHING)
Mitterhofer-2013-94-67	67		potato	593	POTATO
Mitterhofer-2013-94-68	68	145	stone (fistsized)/rock	2125	STONE OR ROCK
Mitterhofer-2013-94-69	69	86	seed	714	SEED
Mitterhofer-2013-94-70	70		sheep	1331	SHEEP
Mitterhofer-2013-94-71	71		shoe	1381	SHOE
Mitterhofer-2013-94-72	72		us	2310	US (OBLIQUE CASE OF WE)
Mitterhofer-2013-94-73	73		song	1096	SONG
Mitterhofer-2013-94-74	73a	196a	stand up (3rd Sg)	570	STAND UP
Mitterhofer-2013-94-75	73b	196b	stand up (Imp)	570	STAND UP
Mitterhofer-2013-94-76	75	100	stool	2058	STOOL
Mitterhofer-2013-94-77	76		sunflower	1956	SUNFLOWER
Mitterhofer-2013-94-78	77		sweet potato	159	SWEET POTATO
Mitterhofer-2013-94-79	78		teacher	1038	TEACHER
Mitterhofer-2013-94-80	79		trick (V)	3230	DECEIVE
Mitterhofer-2013-94-81	80		town	1391	TOWN
Mitterhofer-2013-94-82	81	79	tree	906	TREE
Mitterhofer-2013-94-83	82		truth	1638	TRUTH
Mitterhofer-2013-94-84	83	135	sky	1732	SKY
Mitterhofer-2013-94-85	84	44	woman	962	WOMAN
Mitterhofer-2013-94-86	85		wasp	1517	WASP
Mitterhofer-2013-94-87	86		you can		
Mitterhofer-2013-94-88	87		all the people		
Mitterhofer-2013-94-89	88		our cow		
Mitterhofer-2013-94-90	89		our fields	212	FIELD
Mitterhofer-2013-94-91	90		our chair		
Mitterhofer-2013-94-92	91		our chairs	1476	CHAIR
Mitterhofer-2013-94-93	92		our trees	906	TREE
Mitterhofer-2013-94-93	93		this my chair		
Mitterhofer-2013-94-94	94		up	1591	UP
