ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TOTAL	CORE
Chan-2019-133-87	140	140	3506	ONE HUNDRED AND FORTY	2	false
Chan-2019-133-88	144	144	3507	ONE HUNDRED AND FORTY FOUR	2	false
Chan-2019-133-89	150	150	3508	ONE HUNDRED AND FIFTY	3	false
Chan-2019-133-90	160	160	3509	ONE HUNDRED AND SIXTY	4	false
Chan-2019-133-91	180	180	3510	ONE HUNDRED AND EIGHTY	1	false
Chan-2019-133-92	200	200	2676	TWO HUNDRED	3956	true
Chan-2019-133-93	201	201	3511	TWO HUNDRED AND ONE	3	false
Chan-2019-133-94	202	202	3785	TWO HUNDRED AND TWO	1	false
Chan-2019-133-95	210	210	3772	TWO HUNDRED AND TEN	1	false
Chan-2019-133-96	216	216	3512	TWO HUNDRED AND SIXTEEN	4	false
Chan-2019-133-97	231	231	3786	TWO HUNDRED AND THIRTY ONE	1	false
Chan-2019-133-98	240	240	3787	TWO HUNDRED AND FORTY	1	false
Chan-2019-133-99	250	250	3788	TWO HUNDRED AND FIFTY	1	false
Chan-2019-133-100	300	300	3513	THREE HUNDRED	38	false
Chan-2019-133-101	304	304	3789	THREE HUNDRED AND FOUR	1	false
Chan-2019-133-102	399	399	3514	THREE HUNDRED AND NINETY NINE	1	false
Chan-2019-133-103	400	400	3515	FOUR HUNDRED	242	false
Chan-2019-133-104	500	500	3516	FIVE HUNDRED	26	false
Chan-2019-133-105	600	600	3517	SIX HUNDRED	9	false
Chan-2019-133-106	700	700	3518	SEVEN HUNDRED	5	false
Chan-2019-133-107	800	800	3519	EIGHT HUNDRED	129	false
Chan-2019-133-108	900	900	3520	NINE HUNDRED	10	false
Chan-2019-133-109	999	999	3521	NINE HUNDRED AND NINETY NINE	2	false
Chan-2019-133-110	1000	1000	1843	THOUSAND	4201	true
Chan-2019-133-111	1001	1001	3773	ONE THOUSAND AND ONE	3	false
Chan-2019-133-112	1002	1002	3774	ONE THOUSAND AND TWO	1	false
Chan-2019-133-113	1027	1027	3790	ONE THOUSAND AND TWENTY SEVEN	1	false
Chan-2019-133-114	1060	1060	3775	ONE THOUSAND AND SIXTY	1	false
Chan-2019-133-115	1200	1200	3791	ONE THOUSAND TWO HUNDRED	1	false
Chan-2019-133-116	1221	1221	3522	ONE THOUSAND TWO HUNDRED AND TWENTY ONE	1	false
Chan-2019-133-117	1296	1296	3523	ONE THOUSAND TWO HUNDRED AND NINETY SIX	3	false
Chan-2019-133-118	2000	2000	3524	TWO THOUSAND	3470	true
Chan-2019-133-119	2002	2002	3776	TWO THOUSAND AND TWO	1	false
Chan-2019-133-120	3000	3000	3525	THREE THOUSAND	6	false
Chan-2019-133-121	4000	4000	3526	FOUR THOUSAND	4	false
Chan-2019-133-122	5000	5000	3527	FIVE THOUSAND	3	false
Chan-2019-133-123	6000	6000	3792	SIX THOUSAND	1	false
Chan-2019-133-124	7000	7000	3528	SEVEN THOUSAND	1	false
Chan-2019-133-125	7776	7776	3529	SEVEN THOUSAND SEVEN HUNDRED AND SEVENTY SIX	3	false
Chan-2019-133-126	8000	8000	3793	EIGHT THOUSAND	2	false
Chan-2019-133-127	9000	9000	3530	NINE THOUSAND	4	false
Chan-2019-133-128	10000	10000	2078	TEN THOUSAND	26	false
Chan-2019-133-129	46656	46656	3531	FORTY SIX THOUSAND SIX HUNDRED AND FIFTY SIX	2	false
Chan-2019-133-130	100000	100000	3532	ONE HUNDRED THOUSAND	10	false
Chan-2019-133-131	1000000	1000000	3533	ONE MILLION	20	false
Chan-2019-133-132	2000000	2000000	3794	TWO MILLION	1	false
Chan-2019-133-133	10000000	10000000	3597	TEN MILLION	1	false
