ID	NUMBER	ENGLISH	SEMANTIC_TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	DEFINITION
List-2015-250-65	65	the forest	nature	50	420	FOREST	A vegetation community dominated by trees and other woody shrubs, growing close enough together that the tree tops touch or overlap, creating various degrees of shade on the forest floor.
List-2015-250-66	66	forget	action	1704	1523	FORGET	To lose memory of something.
List-2015-250-67	67	four	number	800	1500	FOUR	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.
List-2015-250-68	68	the fox	animal	325	1312	FOX	A carnivorous relatively small canine of the species Vulpes Vulpes.
List-2015-250-69	69	the frog	animal	349	503	FROG	Any insectivorous anuran amphibian of the family Ranidae, such as Rana temporaria of Europe, having a short squat tailless body with a moist smooth skin and very long hind legs specialized for hopping.
List-2015-250-70	70	the front (front side)	location	712	2194	FRONT (PART)	The forward part or surface, as of a building.
List-2015-250-71	71	the frost	nature	14	2034	FROST	A deposit of interlocking ice crystals formed by direct sublimation on objects. (Source: MGH)
List-2015-250-72	72	the fruit	nature, food	378	1507	FRUIT	A botanical fruit that can be eaten raw used as food
List-2015-250-73	73	full	characterisation, state	984	1429	FULL	Containing the most or maximum amount possible in the given available space.
List-2015-250-74	74	to give	action	1345	1447	GIVE	To transfer the possession or holding (of an object) to another person.
List-2015-250-75	75	the goat	animal	276	1502	GOAT	A common four-legged animal (Capra) that is related to sheep and bred by humans for its coat and milk.
List-2015-250-76	76	good	characterisation, character	1052	1035	GOOD	Having desired or positive qualities.
List-2015-250-77	77	the grass	nature	436	606	GRASS	A very large and widespread family of Monocotyledoneae, with more than 10.000 species, most of which are herbaceous, but a few are woody. The stems are jointed, the long, narrow leaves originating at the nodes. The flowers are inconspicuous, with a much reduced perianth, and are wind-pollinated or cleistogamous.
List-2015-250-78	78	green	characterization, color	1009	1425	GREEN	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.
List-2015-250-79	79	the hail	nature	13	609	HAIL	Precipitation in the form of balls or irregular lumps of ice.
List-2015-250-80	80	the hair (of the head)	body	75	1040	HAIR	The collection or mass of hair on a person's head except the face.
List-2015-250-81	81	the hand	body	107	1277	HAND	That part of the fore limb below the forearm or wrist in primates (including humans).
List-2015-250-82	82	hard	characterisation, form	1034	1884	HARD	Resistant to pressure.
List-2015-250-83	83	he or she [third person singular]	pronoun	934	262	HE OR SHE OR IT	Third person singular pronoun, regardless of gender/sex.
List-2015-250-84	84	the head	body	74	1256	HEAD	The part of the body of an animal or human which contains the brain, mouth and main sense organs.
List-2015-250-85	85	to hear	action	1682	1408	HEAR	To perceive sound with the ear, without necessarily paying attention to it.
List-2015-250-86	86	the heart	body	144	1223	HEART	A muscular organ that pumps blood through the body.
List-2015-250-87	87	heavy	characterisation, quantity	1014	1210	HEAVY	Of a physical object, having great weight.
List-2015-250-88	88	here	location, pronoun	944	136	HERE	at this place
List-2015-250-89	89	to hide (conceal)	action	1169	602	HIDE, CONCEAL	To put something in a place where it will be harder to discover or out of sight.
List-2015-250-90	90	high / tall	characterisation, quantity	968	1265	HIGH	Having relatively great height.
List-2015-250-91	91	to hold	action	1709	1448	HOLD	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.
List-2015-250-92	92	the hoof	body	264	152	HOOF	Natural horn covering of an animal's foot.
List-2015-250-93	93	horizontal	location	1001	2376	HORIZONTAL	Plane is said to be horizontal at a given point if it is perpendicular to the gradient of the gravity field at that point— in other words, if apparent gravity makes a plumb bob hang perpendicular to the plane at that point. [W: Horizontal plane]
List-2015-250-94	94	the horn (keratinized skin)	body, animal	263	1393	HORN (KERATINIZED SKIN)	A hard growth of keratin that protrudes from the top of the head of certain animals.
List-2015-250-95	95	the horse	animal	268	615	HORSE	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.
List-2015-250-96	96	hot	characterisation, temperature	1062	1286	HOT	Having a very high temperature.
List-2015-250-97	97	the house	residence	494	1252	HOUSE	The abode of a human being, their place of residence.
List-2015-250-98	98	hundred	number	824	1634	HUNDRED	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.
List-2015-250-99	99	to hunt	action	1230	1435	HUNT	To chase down prey and (usually) kill it.
List-2015-250-100	100	the husband	kinship	247	1200	HUSBAND	The male partner in a marriage.
List-2015-250-101	101	I [first person singular]	pronoun	928	1209	I	The speaker or writer referring to himself or herself alone.
List-2015-250-102	102	the ice	nature	17	617	ICE	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.
List-2015-250-103	103	inside	location	715	1606	INSIDE	Within the confines of a building.
List-2015-250-104	104	to kill	action	1602	1417	KILL	To put to death; to end a life.
List-2015-250-105	105	to knead	action	1594	274	KNEAD	To press a dough many times with one's hands.
List-2015-250-106	106	the knee	body	101	1371	KNEE	In man, the joint in the middle part of the leg.
List-2015-250-107	107	knife	object, tool	549	1352	KNIFE	A utensil consisting of a sharpened piece of hard material such as steel or other metal, ceramic, glass or stone, usually attached to a handle, that is formed in a manner that allows for cutting softer materials, especially meat or other food.
List-2015-250-108	108	to know	action	1798	2248	KNOW (SOMEBODY)	To have met and recognize somebody.
List-2015-250-109	109	the lake	nature	31	624	LAKE	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.
List-2015-250-110	110	late	time	1019	477	LATE	After the expected or usual time.
List-2015-250-111	111	to laugh	action	1735	1355	LAUGH	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.
List-2015-250-112	112	the leaf	body, animal	376	628	LEAF	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.
List-2015-250-113	113	to learn	action	1742	504	LEARN	To acquire, or attempt to acquire knowledge or an ability to do something.
List-2015-250-114	114	left	characterization, location	710	244	LEFT	Something that is on the left side relative to another object.
List-2015-250-115	115	to lick	action	1674	319	LICK	To stroke with the tongue.
List-2015-250-116	116	to lie down	action	1661	215	LIE DOWN	(For a human or animal) to assume a horizontally extended position on a surface.
List-2015-250-117	117	light (of weight)	characterisation, quantity	1052	737	LIGHT (IGNITE)	To start a fire or light a flame.
List-2015-250-118	118	the lip (the lips)		85	478	LIP	Either of the two fleshy protrusions around the opening of the mouth.
List-2015-250-119	119	the liver	body	145	1224	LIVER	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.
List-2015-250-120	120	long	characterization, quantity	972	1203	LONG	Having much distance from one terminating point on an object or an area to another terminating point.
List-2015-250-121	121	the louse	animal	356	1392	LOUSE	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.
List-2015-250-122	122	the lung	body part	143	688	LUNG	A biological organ that extracts oxygen from the air.
List-2015-250-123	123	the man (male human)	human being	173	2106	MALE PERSON	A human belonging to the male sex.
List-2015-250-124	124	many	characterization, quantity	987	1198	MANY	An indefinite large number of.
List-2015-250-125	125	to marry (a man marries a woman)	action	1578	2164	MARRY (AS MAN)	To enter marriage from the perspective of a man.
List-2015-250-126	126	the meat	body, animal	443	634	MEAT	The edible flesh of animals, especially that of mammals.
List-2015-250-127	127	middle	location	708	1093	MIDDLE	Being in the midway between the ends.
List-2015-250-128	128	the moon	nature, object	4	1313	MOON	A natural satellite of a planet.
List-2015-250-129	129	morning	time	749	1339	MORNING	The period of time from the start of the day (midnight) until midday (12:00).
List-2015-250-130	130	the mosquito	animal	360	1509	MOSQUITO	A small flying insect (of the family Culicidae) known for biting and sucking blood.
List-2015-250-131	131	the mother	kinship	219	1216	MOTHER	A woman who has at least one child.
List-2015-250-132	132	the mountain	nature, geography	23	639	MOUNTAIN	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.
List-2015-250-133	133	the mouse or rat	animal	320	2139	MUROID (MOUSE OR RAT)	A large superfamily of rodents, including hamsters, gerbils, true mice and rats, and many other relatives.
List-2015-250-134	134	the mouth	body	84	674	MOUTH	Opening in the lower half of a human face which is used for food ingestion and articulation.
List-2015-250-135	135	the mud	nature	46	640	MUD	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments. (Source: WHIT)
List-2015-250-136	136	the nail (fingernail or claw)	body	113	2128	NAIL OR CLAW	The hard, keratin part growing at the feet of animals or the hands and legs of humans.
List-2015-250-137	137	the name	human being	687	1405	NAME	Any word or phrase which designates a particular person, place, class or thing.
List-2015-250-138	138	narrow	characterization, quantity	977	1267	NARROW	Having a small width.
List-2015-250-139	139	near	characterization, quantity	975	1942	NEAR	Not far distant in time or space or degree or circumstances.
List-2015-250-140	140	the neck	body	89	1333	NECK	The part of the body (found in some animals, including humans) that connects the head and the trunk.
List-2015-250-141	141	the needle (for sewing)	object, tool	578	1382	NEEDLE (FOR SEWING)	A thin, sharp implement used in sewing, knitting and acupuncture.
List-2015-250-142	142	new	characterization, state	1050	1231	NEW	Recently made, created or begun.
List-2015-250-143	143	nine	number	805	1483	NINE	The ninth natural number (9).
List-2015-250-144	144	the nit	animal	357	267	NIT	An egg of a louse that is sometimes found in people's hair.
List-2015-250-145	145	noon	time	750	12	MIDDAY	Time of day when the sun is in its zenith.
List-2015-250-146	146	the nose	body	80	1221	NOSE	The organ of the face used to breath and smell.
List-2015-250-147	147	old (of person)	characterization, state	1058	2112	OLD (AGED)	To be old (of persons).
List-2015-250-148	148	one	number	797	1493	ONE	The cardinal number that directly follows zero and precedes two, represented in Roman numerals as I, and in Arabic numerals as 1.
List-2015-250-149	149	the otter	animal	317	15	OTTER	Any of several aquatic, furbearing, weasellike mammals of the genus Lutra , having webbed feet and a long, slightly flattened tail.
List-2015-250-150	150	outside	location	714	762	OUTSIDE	In the open, not within a building.
List-2015-250-151	151	the pig	animal	284	1337	PIG	A common, four-legged animal (Sus scrofa) that has cloven hooves, bristles and a nose adapted for digging and is farmed by humans for its meat.
List-2015-250-152	152	to plant (vegetals, rice)	action	1774	1486	PLANT (SOMETHING)	To put a plant in the ground so that it strikes root and grows.
List-2015-250-153	153	to play	action	1703	1413	PLAY	To act in a manner such that one has fun; to engage in playful activities expressly for the purpose of recreation.
List-2015-250-154	154	to pull	action	1568	1455	PULL	To apply a force to (an object), in order that it moves towards the origin of the force that was applied.
List-2015-250-155	155	to push	action	1689	1452	PUSH	To apply a force to (an object), in order that it moves away from the origin of the force that was applied.
List-2015-250-156	156	the rain	nature, phenomenon	10	658	RAIN (PRECIPITATION)	Precipitation in the form of liquid water drops with diameters greater than 0.5 millimetres.
List-2015-250-157	157	the rainbow	nature	11	1733	RAINBOW	A multicoloured arc in the sky caused by the refraction of light within droplets of rain in the air.
List-2015-250-158	158	red	characterization, color	1007	156	RED	Having red as its colour.
List-2015-250-159	159	to reside (live)	action	1452	1099	RESIDE	To have permanent residence.
List-2015-250-160	160	the rice plant	object, food	439	2026	RICE PLANT	An erect grass, Oryza sativa, that grows in East Asia on wet ground and has drooping flower spikes and yellow oblong edible grains that become white when polished.
List-2015-250-161	161	right	characterization, location	711	1019	RIGHT	Something that is on the right side relative to another object.
List-2015-250-162	162	the river	nature, geography	30	666	RIVER	A stream of water which flows in a channel from high ground to low ground and ultimately to a lake or the sea, except in a desert area where it may dwindle away to nothing.
List-2015-250-163	163	the road	object, geography	38	667	ROAD	A long piece of hard ground that people can drive along from one place to another.
List-2015-250-164	164	the root	body, animal	375	670	ROOT	The absorbing and anchoring organ of a vascular plant; it bears neither leaves nor flowers and is usually subterranean.
List-2015-250-165	165	the rope	object, tool	619	1218	ROPE	Thick, strong string made of several strands that have been twisted together.
List-2015-250-166	166	round	characterization, form	990	1395	ROUND	Circular or having a circular cross-section in at least one direction.
List-2015-250-167	167	to run	action	1544	1519	RUN	To move quickly by alternately making a short jump off of either foot.
List-2015-250-168	168	the salt	object, food	61	1274	SALT	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).
List-2015-250-169	169	salty	characterisation, taste	1076	1091	SALTY	Containing salt.
List-2015-250-170	170	the sand	nature, substance	44	671	SAND	A loose material consisting of small mineral particles, or rock and mineral particles, distinguishable by the naked eye; grains vary from almost spherical to angular, with a diameter range from 1/16 to 2 millimeters.
List-2015-250-171	171	to scratch	action	1530	1436	SCRATCH	To rub or scrape (a part of the body) with a sharp object (e.g. to relieve an itching).
List-2015-250-172	172	the sea	nature, geography	32	1474	SEA	A body of salt water that is smaller than an ocean and generally in proximity to a continent.
List-2015-250-173	173	to see	action	1471	1409	SEE	To perceive [images] with the eye, without necessarily paying attention to them.
List-2015-250-174	174	the seed	object, food	405	714	SEED	A mature fertilized plant ovule, consisting of an embryo and its food store surrounded by a protective seed coat (testa).
List-2015-250-175	175	seven	number	803	1704	SEVEN	The cardinal number occurring after six and before eight, represented in Roman numerals as VII, in Arabic numerals as 7.
List-2015-250-176	176	sharp	characterization, form	1020	1396	SHARP	Having the ability to cut easily.
List-2015-250-177	177	the sheep	animal	275	1331	SHEEP	A common, four-legged animal (Ovis) that is commonly kept by humans for its wool.
List-2015-250-178	178	to shoot (an arrow)	action	1611	1172	SHOOT	To kill a person or an animal with a shot from a firearm.
List-2015-250-179	179	short	characterization, quantity	973	1645	SHORT	Small in length by comparison.
List-2015-250-180	180	the shoulder	body	90	1482	SHOULDER	One side of the top of the torso, where an arm attaches or joins.
List-2015-250-181	181	shy	characterization, character	1365	487	SHY	(For a personality) characterized by being uncomfortable with having attention drawn to them, for example when introducing oneself or when speaking in front of an audience.
List-2015-250-182	182	the sickle	object, tool	624	341	SICKLE	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture
List-2015-250-183	183	to sing	action	1184	1261	SING	To produce harmonious sounds with one's voice.
List-2015-250-184	184	six	number	802	1703	SIX	The cardinal number occurring after five and before seven, represented in Roman numerals as VI, in Arabic numerals as 6.
List-2015-250-185	185	the skin	body	120	763	SKIN	The tissue forming the outer covering of the vertebrate body: it consists of two layers, the outermost of which may be covered with hair, scales, feathers, etc. It is mainly protective and sensory in function.
List-2015-250-186	186	the sky	nature, geography	1	1732	SKY	The part of the earth's atmosphere and space outside it that is visible from earth's surface. During the day it is perceived as blue, and at night as black.
List-2015-250-187	187	to sleep	action	1646	1585	SLEEP	To rest in a state of decreased consciousness and reduced metabolism.
List-2015-250-188	188	small	characterization, quantity	965	1246	SMALL	Not large or big; small in size.
List-2015-250-189	189	to smell (perceive odor) [transitive]	action	1707	1586	SMELL (PERCEIVE)	To perceive the presence of molecules in the air by inhaling them through the nose.
List-2015-250-190	190	the smoke	nature	19	778	SMOKE (EXHAUST)	An aerosol, consisting of visible particles and gases, produced by the incomplete burning of carbon-based materials, such as wood and fossil fuels.
List-2015-250-191	191	smooth	characterization, form	1037	1234	SMOOTH	Not rough; having a surface texture that lacks friction.
List-2015-250-192	192	the snake	animal	347	730	SNAKE	Any reptile of the suborder Serpentes, typically having a scaly cylindrical limbless body, fused eyelids, and a jaw modified for swallowing large prey.
List-2015-250-193	193	the snow	nature, object	12	784	SNOW	The most common form of frozen precipitation, usually flakes or starlike crystals, matted ice needles, or combinations, and often rime-coated.
List-2015-250-194	194	soft	characterisation, form	1035	1856	SOFT	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).
List-2015-250-195	195	the son	kinship	220	1620	SON	One's male child.
List-2015-250-196	196	the sparrow	animal	336	1854	SPARROW	A small song bird, in the family Passeridae.
List-2015-250-197	197	the spider	animal	361	843	SPIDER	Any predatory silk-producing arachnid of the order Araneae, having four pairs of legs and a rounded unsegmented body consisting of abdomen and cephalothorax.
List-2015-250-198	198	to spit	action	1688	1440	SPIT	To forcefully evacuate saliva from the mouth.
List-2015-250-199	199	to stand	action	1784	1442	STAND	To be upright in an erect position, supported by the feet.
List-2015-250-200	200	the star	nature, geography	5	1430	STAR	A luminous celestial body that is made from gases (particularly hydrogen and helium) and forms the shape of a sphere.
List-2015-250-201	201	to steal	action	1686	713	STEAL	To take possession of property belonging to another without the consent of this owner; most typically when not observed, rather than by force.
List-2015-250-202	202	the stick	object, tool	586	1295	STICK	A long, thin piece of wood, mainly left in the shape in which it grew, that does not bend.
List-2015-250-203	203	the stone (a piece of)	nature, substance	379	857	STONE	A general term for rock that is used in construction, either crushed for use as aggregate or cut into shaped blocks as dimension stone.
List-2015-250-204	204	straight	characterization, form	1003	1404	STRAIGHT	Not crooked or bent; having a constant direction throughout its length.
List-2015-250-205	205	the sun	object, geography	2	1343	SUN	The particular star at the centre of our solar system, from which the Earth gets light and heat.
List-2015-250-206	206	the tail	body, animal	267	1220	TAIL	The appendage of an animal that is attached to its posterior and near the anus.
List-2015-250-207	207	ten	number	806	1515	TEN	The cardinal number occurring after nine and before eleven, represented in Roman numerals as X, in Arabic numerals as 10, and in the hexadecimal system (base 16) as A.
List-2015-250-208	208	that	pronoun	947	78	THAT	Demonstrative pronoun (feminine, singular): the indicated thing is implied, since it is previously mentioned. Collocation: that of; to that of.
List-2015-250-209	209	there	location	950	1937	THERE	In a not completely determined place which is not here.
List-2015-250-210	210	thick	characterization, quantity	980	1244	THICK	Relatively large distance from one surface to the opposite in its smallest solid dimension.
List-2015-250-211	211	the thigh	body	100	800	THIGH	The area between the pelvis and buttocks and the knee.
List-2015-250-212	212	thin	characterization, form	1026	1400	THIN (SLIM)	Carrying little fat.
List-2015-250-213	213	to think (reflect)	action	1726	1513	THINK (BELIEVE)	To have as opinion, belief, or idea.
List-2015-250-214	214	this	pronoun	942	1214	THIS	The indicated object, item, etc.
List-2015-250-215	215	thou [second person singular]	pronoun	931	1215	THOU	The person addressed.
List-2015-250-216	216	three	number	799	492	THREE	The third natural number (3).
List-2015-250-217	217	to throw	action	1687	1456	THROW	To cause (an object) to move rapidly through the air, with the force of the hand or arm.
List-2015-250-218	218	the thunder	object, phenomenon	8	1150	THUNDER	Sound produced by fast air expansion induced by a lightning.
List-2015-250-219	219	the tiger	animal	304	846	TIGER	A large carnivorous animal (Panthera tigris) of the cat family indigenous to Asia.
List-2015-250-220	220	today	time	738	1283	TODAY	On the current day or date.
List-2015-250-221	221	tomorrow	time	742	1329	TOMORROW	The day after the present day.
List-2015-250-222	222	the tongue	body	139	1205	TONGUE	The flexible muscular organ in the mouth that is used to move food around, for tasting and that is moved into various positions to modify the flow of air from the lungs in order to produce different sounds.
List-2015-250-223	223	the tooth (front)	body	137	1380	TOOTH	A hard, calcareous structure present in the mouth of many vertebrate animals, generally used for eating.
List-2015-250-224	224	the tree	nature, object	372	906	TREE	Any large woody perennial plant with a distinct trunk giving rise to branches or leaves at some distance from the ground.
List-2015-250-225	225	twenty	number	816	1710	TWENTY	The cardinal number occurring after nineteen and before twenty-one, represented in Roman numerals as XX and in Arabic numerals as 20.
List-2015-250-226	226	two	number	798	1498	TWO	The cardinal number occurring after one and before three, represented in Roman numerals as II and in Arabic numerals as 2.
List-2015-250-227	227	to vomit	action	1535	1278	VOMIT	To regurgitate the contents of the stomach.
List-2015-250-228	228	to walk	action	1815	1443	WALK	To move from one place to another by moving legs alternately, so that at least one foot is in contact with the floor or surface at any one time.
List-2015-250-229	229	the water	nature, substance	47	948	WATER	Common liquid (H₂O) which forms rain, rivers, the sea, etc., and which makes up a large part of the bodies of organisms.
List-2015-250-230	230	we [first person plural inclusive]	pronoun	930	1131	WE (INCLUSIVE)	inclusive “we”: I and at least one other person, including the addressed person(s) (pronoun 1st person plural with 2nd person)
List-2015-250-231	231	wet	characterisation, state	1029	1726	WET	Covered with or impregnated with liquid.
List-2015-250-232	232	what	pronoun, question	954	1236	WHAT	Which thing.
List-2015-250-233	233	the wheat	object, food	410	1077	WHEAT	Plant belonging to genus Triticum and to family Poaceae (also known as Gramineae).
List-2015-250-234	234	where	pronoun, question	955	1237	WHERE	At what place?
List-2015-250-235	235	white	characterisation, color	1006	1335	WHITE	Bright and colourless; reflecting equal quantities of all frequencies of visible light.
List-2015-250-236	236	who	pronoun, question	953	1235	WHO	What person or people; which person or people.
List-2015-250-237	237	the wife	kinship	248	1199	WIFE	A married woman.
List-2015-250-238	238	the wind	nature, phenomenon	9	960	WIND	The motion of air relative to the earth's surface; usually means horizontal air motion, as distinguished from vertical motion.
List-2015-250-239	239	the wing	body, animal	298	1257	WING	The appendage of an animal's (bird, bat, insect) body that enables it to fly in the air.
