ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	FRENCH
Hantgan-2022-348-28	28	BOAT	1844	BOAT	barque, pirogue, chaland
Hantgan-2022-348-29	29	BODY	1480	BODY	corps
Hantgan-2022-348-30	30	BONE	1394	BONE	os
Hantgan-2022-348-31	31	BOW	994	BOW	arc
Hantgan-2022-348-32	32	BREAKFAST	1322	BREAKFAST	donner à déjeuner, déjeuner
Hantgan-2022-348-33	33	BREAST	1402	BREAST	sein
Hantgan-2022-348-34	34	BREATHE	1407	BREATHE	respirer
Hantgan-2022-348-35	35	BROOM	245	BROOM	balai
Hantgan-2022-348-36	36	BUILD	1840	BUILD	bâtir, construire
Hantgan-2022-348-37	37	BURN (SOMETHING)	141	BURN (SOMETHING)	brûler
Hantgan-2022-348-38	38	BURY	1719	BURY	déposer; enterrer (cadavre)
Hantgan-2022-348-39	39	BUY	1869	BUY	acheter
Hantgan-2022-348-40	40	CALL	1084	CALL	appel
Hantgan-2022-348-41	41	CAMEL	1871	CAMEL	chameau
Hantgan-2022-348-42	42	CARRY ON HEAD	414	CARRY ON HEAD	porter (qch, à la tête)
Hantgan-2022-348-43	43	CARVE	228	CARVE	tailler (bois)
Hantgan-2022-348-44	44	CASSAVA	925	CASSAVA	Manihot esculenta, manioc
Hantgan-2022-348-45	45	CAT	1208	CAT	chat
Hantgan-2022-348-46	46	CAUSE	860	CAUSE	cause, faute
Hantgan-2022-348-47	47	CAVE	1155	CAVE	grotte
Hantgan-2022-348-48	48	CHEEK	1730	CHEEK	joue
Hantgan-2022-348-49	49	CHEST	1592	CHEST	poitrine
Hantgan-2022-348-50	50	CHICKEN	1318	CHICKEN	poule, coq, poulet
Hantgan-2022-348-51	51	CHIEFTAIN	301	CHIEFTAIN	chef
Hantgan-2022-348-52	52	CHILD	2099	CHILD	enfant
Hantgan-2022-348-53	53	CHIN	1510	CHIN	menton
Hantgan-2022-348-54	54	CLOUD	1489	CLOUD	nuage
Hantgan-2022-348-55	55	COLD	1287	COLD	(le) froid
Hantgan-2022-348-56	56	COME	1446	COME	venir
Hantgan-2022-348-57	57	COME BACK	581	COME BACK	retourner
Hantgan-2022-348-58	58	COTTON	1850	COTTON	coton
Hantgan-2022-348-59	59	COUNT	1420	COUNT	calcul, (dé-)compte.
Hantgan-2022-348-60	60	COUNTRY	1300	COUNTRY	pais, terre, sol
Hantgan-2022-348-61	61	COW	1007	COW	bovin (vache ou taureau)
Hantgan-2022-348-62	62	CRY	1839	CRY	pleurer
Hantgan-2022-348-63	63	DAY (NOT NIGHT)	1225	DAY (NOT NIGHT)	daytime (not night)
Hantgan-2022-348-64	64	DEW	1977	DEW	humidité, roséé
Hantgan-2022-348-65	65	DIE	1494	DIE	mourir
Hantgan-2022-348-66	66	DIG	1418	DIG	creuser
Hantgan-2022-348-67	67	DINNER (SUPPER)	1833	DINNER (SUPPER)	dîner
Hantgan-2022-348-68	68	DISEASE	1986	DISEASE	maladie
Hantgan-2022-348-69	69	DIVIDE	1119	DIVIDE	diviser
Hantgan-2022-348-70	70	DOG	2009	DOG	chien
Hantgan-2022-348-71	71	DONKEY	1862	DONKEY	âne
Hantgan-2022-348-72	72	DOOR	1567	DOOR	battant (de porte)
Hantgan-2022-348-73	73	DOORPOST	80	DOORPOST	porte (passage)
Hantgan-2022-348-74	74	DOVE	1853	DOVE	pigeon
Hantgan-2022-348-75	75	DRINK	1401	DRINK	boire
Hantgan-2022-348-76	76	DRIP (FALL IN GLOBULES)	808	DRIP (FALL IN GLOBULES)	(eau) goutter
Hantgan-2022-348-77	77	DRY	1398	DRY	(bois) mort, sec
Hantgan-2022-348-78	78	DUST	2	DUST	poussière
Hantgan-2022-348-79	79	DYE	157	DYE	tissu noirâtre teinté d'indigo
Hantgan-2022-348-80	80	EAR	1247	EAR	oreille
Hantgan-2022-348-81	81	EARRING	770	EARRING	bague ou boucle d’oreille -cpd: see [kàmb-ù]-[kòrb-ò] , hà.è-[kòrb-ò] , cè:-[kòrb-ò] .
Hantgan-2022-348-82	82	EASY	686	EASY	ê. facile, pas cher
Hantgan-2022-348-83	83	EAT	1336	EAT	manger
Hantgan-2022-348-84	84	EGG	744	EGG	oeuf
Hantgan-2022-348-85	85	EIGHT	1705	EIGHT	huit
Hantgan-2022-348-86	86	ELBOW	981	ELBOW	coude
Hantgan-2022-348-87	87	ELEPHANT	1290	ELEPHANT	éléphant
Hantgan-2022-348-88	88	EMPTY	1624	EMPTY	(récipient) vide
Hantgan-2022-348-89	89	ENTER	749	ENTER	entrer
Hantgan-2022-348-90	90	EYE	1248	EYE	œil
Hantgan-2022-348-91	91	FACE	1560	FACE	visage
Hantgan-2022-348-92	92	FALL	1280	FALL	tomber
Hantgan-2022-348-93	93	FAR	1406	FAR	éloigner, écarter
Hantgan-2022-348-94	94	FAST	1631	FAST	rapide
Hantgan-2022-348-95	95	FAT (OBESE)	1279	FAT (OBESE)	gros
Hantgan-2022-348-96	96	FAT (ORGANIC SUBSTANCE)	323	FAT (ORGANIC SUBSTANCE)	graisse
Hantgan-2022-348-97	97	FATHER	1217	FATHER	père
Hantgan-2022-348-98	98	FEAR (BE AFRAID)	1419	FEAR (BE AFRAID)	avoir peur
Hantgan-2022-348-99	99	FEAR (FRIGHT)	781	FEAR (FRIGHT)	peur
Hantgan-2022-348-100	100	FIGHT	1423	FIGHT	lutte
Hantgan-2022-348-101	101	FIND	719	FIND	obtenir, gagner
Hantgan-2022-348-102	102	FINGER	1303	FINGER	doigt
Hantgan-2022-348-103	103	FIRE	221	FIRE	feu
Hantgan-2022-348-104	104	FIREWOOD	10	FIREWOOD	bois (de chauffage)
Hantgan-2022-348-105	105	FISH	227	FISH	poisson
Hantgan-2022-348-106	106	FIVE	493	FIVE	cinq
Hantgan-2022-348-107	107	FLOWER	239	FLOWER	fleur
Hantgan-2022-348-108	108	FLY (INSECT)	1504	FLY (INSECT)	mouche
Hantgan-2022-348-109	109	FLY (MOVE THROUGH AIR)	1441	FLY (MOVE THROUGH AIR)	(oiseau etc.) voler
Hantgan-2022-348-110	110	FOAM	1768	FOAM	bulles, écume, mousse (de savon, de thé) [verb kù:fà ].
Hantgan-2022-348-111	111	FOLD	1470	FOLD	plier (papier, vêtement)
Hantgan-2022-348-112	112	FOOD	256	FOOD	aliment, nourriture
Hantgan-2022-348-113	113	FOOT OR LEG	2098	FOOT OR LEG	pied
Hantgan-2022-348-114	114	FOREHEAD	123	FOREHEAD	front
Hantgan-2022-348-115	115	FORGET	1523	FORGET	oublier
Hantgan-2022-348-116	116	FORGIVE	1528	FORGIVE	excuser, pardonner (qqch) -ex: .ò né [.jéy .=´ .´yà:fà] they said they (had) forgiven it (e.g. debt)
Hantgan-2022-348-117	117	FOUR	1500	FOUR	quatre
Hantgan-2022-348-118	118	FRIEND	1325	FRIEND	ami
Hantgan-2022-348-119	119	FULL	1429	FULL	plein
Hantgan-2022-348-120	120	GET	694	GET	obtenir
Hantgan-2022-348-121	121	GIRL	1646	GIRL	fille
Hantgan-2022-348-122	122	GIVE	1447	GIVE	donner
Hantgan-2022-348-123	123	GIVE BIRTH	1195	GIVE BIRTH	(femelle) accoucher (bébé)
Hantgan-2022-348-124	124	GO	695	GO	aller
Hantgan-2022-348-125	125	DESCENT			descendance
Hantgan-2022-348-126	126	GO DOWN (DESCEND)	2014	GO DOWN (DESCEND)	descendre
Hantgan-2022-348-127	127	GO UP (ASCEND)	705	GO UP (ASCEND)	monter
Hantgan-2022-348-128	128	GOAT	1502	GOAT	caprin, chèvre
Hantgan-2022-348-129	129	GOD	1944	GOD	Dieu
Hantgan-2022-348-130	130	GOLD	1369	GOLD	or
Hantgan-2022-348-131	131	GOOD	1035	GOOD	bon
Hantgan-2022-348-132	132	GRANDFATHER	1383	GRANDFATHER	grand-mère
Hantgan-2022-348-133	133	GRASS	606	GRASS	herbe
Hantgan-2022-348-134	134	GUTS	1334	GUTS	entrailles
Hantgan-2022-348-135	135	HAIR	1040	HAIR	cheveu
Hantgan-2022-348-136	136	HAND	1277	HAND	main
Hantgan-2022-348-137	137	HANG UP	357	HANG UP	accrocher, suspendre
Hantgan-2022-348-138	138	HEAD	1256	HEAD	tête
Hantgan-2022-348-139	139	HEAR	1408	HEAR	entendre
Hantgan-2022-348-140	140	HEAVY	1210	HEAVY	dur, difficile, lourd
Hantgan-2022-348-141	141	HELP	1897	HELP	aider
Hantgan-2022-348-142	142	HIDE (CONCEAL)	602	HIDE (CONCEAL)	cacher
Hantgan-2022-348-143	143	HIP	1745	HIP	hanche
Hantgan-2022-348-144	144	HONEY	942	HONEY	miel
Hantgan-2022-348-145	145	HORN (ANATOMY)	1393	HORN (ANATOMY)	corne
Hantgan-2022-348-146	146	HORSE	615	HORSE	cheval
Hantgan-2022-348-147	147	HOST	1545	HOST	accueillir, recevoir
Hantgan-2022-348-148	148	HOT	1286	HOT	chaud
Hantgan-2022-348-149	149	HUNDRED	1634	HUNDRED	cent
Hantgan-2022-348-150	150	HUNT	1435	HUNT	chasse (fait de faire la)
Hantgan-2022-348-151	151	HUSBAND	1200	HUSBAND	époux, mari
Hantgan-2022-348-152	152	INJURE	44	INJURE	blesser
Hantgan-2022-348-153	153	IRON	621	IRON	fer
Hantgan-2022-348-154	154	JAW	798	JAW	mâchoire
Hantgan-2022-348-155	155	JOINT	999	JOINT	articulation
Hantgan-2022-348-156	156	KEY	1472	KEY	clé
Hantgan-2022-348-157	157	KIDNEY	489	KIDNEY	rate
Hantgan-2022-348-158	158	KILL	1417	KILL	tuer
Hantgan-2022-348-159	159	KNEE	1371	KNEE	donner un coup de genou à [cf. kànjè].
Hantgan-2022-348-160	160	KNEEL	66	KNEEL	(qn, chameau) s'agenouiller
Hantgan-2022-348-161	161	KNIFE	1352	KNIFE	couteau
Hantgan-2022-348-162	162	KNOW (SOMETHING)	1410	KNOW (SOMETHING)	connaître, savoir, reconnaître, remarquer
Hantgan-2022-348-163	163	LADDER	1464	LADDER	écaille
Hantgan-2022-348-164	164	LAUGH	1355	LAUGH	le rire
Hantgan-2022-348-165	165	LEAF	628	LEAF	feuille
Hantgan-2022-348-166	166	LEAVE	1752	LEAVE	abandonner
Hantgan-2022-348-167	167	LEFT	244	LEFT	(main etc.) gauche
Hantgan-2022-348-168	168	LICK	319	LICK	lécher
Hantgan-2022-348-169	169	LIE DOWN	215	LIE DOWN	coucher, étendre, allonger, étaler
Hantgan-2022-348-170	170	LIFT	501	LIFT	amener, venir avec; amorcer (une matière, dans un discours) [irregular combination of kà ‘come’ plus ndù ‘with’; 3SgO kà:-.d-â, Imprt with 3SgO kà:-nd-â without -.suffix] [< kà 2].
Hantgan-2022-348-171	171	LIGHT (WEIGHT)	1052	LIGHT (WEIGHT)	ê. faible, facile, à bon marché
Hantgan-2022-348-172	172	LIMP	366	LIMP	boiter
Hantgan-2022-348-173	173	LION	1386	LION	lion
Hantgan-2022-348-174	174	LOCK	1596	LOCK	couvercle; fermeture.
Hantgan-2022-348-175	175	LOOK	1819	LOOK	examiner, regarder
Hantgan-2022-348-176	176	LOOK FOR	1468	LOOK FOR	chercher
Hantgan-2022-348-177	177	LOUSE	1392	LOUSE	pou
Hantgan-2022-348-178	178	LUNCH	768	LUNCH	déjeuner
Hantgan-2022-348-179	179	LUNG	688	LUNG	poumon
Hantgan-2022-348-180	180	MAIZE	506	MAIZE	maïs
Hantgan-2022-348-181	181	MAN	1554	MAN	homme
Hantgan-2022-348-182	182	MARKET	633	MARKET	marché
Hantgan-2022-348-183	183	MARROW	1835	MARROW	moelle
Hantgan-2022-348-184	184	MARRY	203	MARRY	(homme) épouser (femme)
Hantgan-2022-348-185	185	MAT	195	MAT	natte
Hantgan-2022-348-186	186	MEAL	1526	MEAL	repas
Hantgan-2022-348-187	187	MEAT	634	MEAT	viande
Hantgan-2022-348-188	188	MEDICINE	1372	MEDICINE	médicament
Hantgan-2022-348-189	189	MEET	1831	MEET	(individus) se rassembler, se réunir
Hantgan-2022-348-190	190	MILK	635	MILK	lait
Hantgan-2022-348-191	191	MILLET	931	MILLET	mil
Hantgan-2022-348-192	192	MONEY	1559	MONEY	argent
Hantgan-2022-348-193	193	MOON	1313	MOON	lune
Hantgan-2022-348-194	194	MOSQUE	1603	MOSQUE	mosquéé
Hantgan-2022-348-195	195	MOTHER	1216	MOTHER	mère
Hantgan-2022-348-196	196	MOUSE	1491	MOUSE	souris
Hantgan-2022-348-197	197	MOUTH	674	MOUTH	bouche
Hantgan-2022-348-198	198	MUD	640	MUD	boue
Hantgan-2022-348-199	199	NAME	1405	NAME	nom
Hantgan-2022-348-200	200	NARROW	1267	NARROW	coincé
Hantgan-2022-348-201	201	NEAR	1942	NEAR	proche
Hantgan-2022-348-202	202	NECK	1333	NECK	cou
Hantgan-2022-348-203	203	NEED (NOUN)	643	NEED (NOUN)	besoin
Hantgan-2022-348-204	204	NEIGHBOUR	1332	NEIGHBOUR	voisin
Hantgan-2022-348-205	205	NEW	1231	NEW	nouveau
Hantgan-2022-348-206	206	NIGHT	1233	NIGHT	nuit
Hantgan-2022-348-207	207	NINE	1483	NINE	neuf
Hantgan-2022-348-208	208	NOBLE	482	NOBLE	noble (non esclave)
Hantgan-2022-348-209	209	NOSE	1221	NOSE	nez
Hantgan-2022-348-210	210	NOW	1376	NOW	maintenant
Hantgan-2022-348-211	211	NURSE	1104	NURSE	(femelle) allaiter, faire téter (enfant)
Hantgan-2022-348-212	212	OLD	1229	OLD	âgé, vieux (person)
Hantgan-2022-348-213	213	OLD MAN	406	OLD MAN	vieil homme
Hantgan-2022-348-214	214	OLD WOMAN	907	OLD WOMAN	vieille femme
Hantgan-2022-348-215	215	ONE	1493	ONE	un
Hantgan-2022-348-216	216	ONION	2366	ONION	Allium (diverses var. cultivéés), oignon
Hantgan-2022-348-217	217	OPEN	1156	OPEN	découvrir (qch, qn), ouvrir (porte, récipient)
Hantgan-2022-348-218	218	ORPHAN	1149	ORPHAN	orphelin
Hantgan-2022-348-219	219	OTHER	197	OTHER	autre
Hantgan-2022-348-220	220	PATH OR ROAD	2457	PATH OR ROAD	chemin
Hantgan-2022-348-221	221	PENIS	1222	PENIS	membre viril, sexe de l’homme [common in insults; TSK béndè] [SYN:zòfól-ò ] -poss (inal): 1Sg bènd-èy, 3Sg bènd-ò , 3FullSg .ángá bènd-ô -ex of insult: bà:b-à.­bénd-ò your father’s prick!
Hantgan-2022-348-222	222	PERSON	683	PERSON	chose ou personne jolie [DIMIN in form].
Hantgan-2022-348-223	223	PESTLE	225	PESTLE	pilon
Hantgan-2022-348-224	224	PICK	7	GATHER	cueiller (fruit)
Hantgan-2022-348-225	225	PIG	1337	PIG	cochon
Hantgan-2022-348-226	226	PISS	592	PISS	urine
Hantgan-2022-348-227	227	PLACE (POSITION)	723	PLACE (POSITION)	lieu
Hantgan-2022-348-228	228	PLASTIC	654	PLASTIC	caoutchouc, sac (en plastique); ballon
Hantgan-2022-348-229	229	POCKET	1851	POCKET	poche -poss: 1Sg zìfíy-è , 2Sg zìfíy-ò-nó.] [cf. Za & TSK zí:bà , Ka zíbà , <Ar vj yb , similarly Ful njiiba, Hausaːljifu].
Hantgan-2022-348-230	230	PRICE	657	PRICE	prix
Hantgan-2022-348-231	231	PULL	1455	PULL	dessiner [related to noun zé:r-ó 1].
Hantgan-2022-348-232	232	PUMPKIN	864	PUMPKIN	courge
Hantgan-2022-348-233	233	PUSH	1452	PUSH	enfoncer, pousser
Hantgan-2022-348-234	234	RAIN (PRECIPITATION)	658	RAIN (PRECIPITATION)	pluie
Hantgan-2022-348-235	235	RAINBOW	1733	RAINBOW	arc-en-ciel
Hantgan-2022-348-236	236	RAW	1959	RAW	(viande) cru, non cuit
Hantgan-2022-348-237	237	RAZOR	151	RAZOR	rasoir
Hantgan-2022-348-238	238	RED	156	RED	rouge
Hantgan-2022-348-239	239	RIB	801	RIB	(une) côte
Hantgan-2022-348-240	240	RIGHT	1019	RIGHT	(main etc.) droit
Hantgan-2022-348-241	241	RING	1374	RING	anneau
Hantgan-2022-348-242	242	RIVER	666	RIVER	fleuve
Hantgan-2022-348-243	243	ROOF	769	ROOF	terrasse (au toit)
Hantgan-2022-348-244	244	ROOT	670	ROOT	nerf, tendon, vaisseau sanguin, corde d’instrument de musique, air de musique, racine
Hantgan-2022-348-245	245	ROTTEN	1728	ROTTEN	ê. pourri [adj fùmb-ò , Intens dús! , Fact fúmb-éyndí , cf. fùmb-ànd-à ].
Hantgan-2022-348-246	246	ROUGH	1923	ROUGH	(surface) raide [<verb kású 1a] ­ex: sáhán kàs-ò harsh fabric
Hantgan-2022-348-247	247	RUN	1519	RUN	courir
Hantgan-2022-348-248	248	SALT	1274	SALT	sel
Hantgan-2022-348-249	249	SAND	671	SAND	sable
Hantgan-2022-348-250	250	SAY	1458	SAY	dire
Hantgan-2022-348-251	251	SCALE	266	SCALE	écaille (de poisson ou de serpent)
Hantgan-2022-348-252	252	SEE	1409	SEE	voir
Hantgan-2022-348-253	253	SELL	1571	SELL	vendre
Hantgan-2022-348-254	254	SEND	1127	SEND	envoyer
Hantgan-2022-348-255	255	SEVEN	1704	SEVEN	sept
Hantgan-2022-348-256	256	SEW	1457	SEW	coudre
Hantgan-2022-348-257	257	SHARP	1396	SHARP	(lame) ê. tranchante [homophonous to kâ:n 1; cf. sèmbèlèy ] [adj kà:n-ò 2, Fact ká:n-éyndí 2].
Hantgan-2022-348-258	258	SHEEP	1331	SHEEP	mouton
Hantgan-2022-348-259	259	SHEPHERD	2544	SHEPHERD	berger
Hantgan-2022-348-260	260	SHIT (DEFECATE)	676	SHIT (DEFECATE)	defecate, have a shit
Hantgan-2022-348-261	261	SHOE	1381	SHOE	chaussure
Hantgan-2022-348-262	262	SHORT	1645	SHORT	court
Hantgan-2022-348-263	263	SHOW	1039	SHOW	exposer, montrer (qqch) -ex (reflexive): .ò ­nám [.ò. ­bó.] .bánj-éyndí s-â. they’ll show themselves to you
Hantgan-2022-348-264	264	SICKLE OR SCYTHE	2132	SICKLE OR SCYTHE	faucille
Hantgan-2022-348-265	265	SIMILAR	1558	SIMILAR	comme, pareil à
Hantgan-2022-348-266	266	SING	1261	SING	chant, chanson
Hantgan-2022-348-267	267	SIT	1416	SIT	asseoir, installer, habiter
Hantgan-2022-348-268	268	SIX	1703	SIX	six
Hantgan-2022-348-269	269	SKIN	763	SKIN	peau
Hantgan-2022-348-270	270	SKY	1732	SKY	(le) haut, ciel
Hantgan-2022-348-271	271	SLAVE	812	SLAVE	captif, esclave
Hantgan-2022-348-272	272	SLEEP	1585	SLEEP	dormir
Hantgan-2022-348-273	273	SLIP	1324	SLIP	(qn) glisser
Hantgan-2022-348-274	274	SMALL	1246	SMALL	ê. petit [Adj kátíyá 1b] [KS kacca ].
Hantgan-2022-348-275	275	SMELL	2124	SMELL	odeur
Hantgan-2022-348-276	276	SMOKE	778	SMOKE (EXHAUST)	fuméé
Hantgan-2022-348-277	277	SMOOTH	1234	SMOOTH	aplanir, aplatir (surface d’un mur, ou sol d’une maison, avec une truelle.) [<Ful vmeel-].
Hantgan-2022-348-278	278	SNAKE	730	SNAKE	serpent
Hantgan-2022-348-279	279	SOAP	788	SOAP	savon
Hantgan-2022-348-280	280	SONG	1096	SONG	chan
Hantgan-2022-348-281	281	SPEAR	945	SPEAR	caoutchouc, lance-pierres
Hantgan-2022-348-282	282	SPIN	121	SPIN	filer (coton)
Hantgan-2022-348-283	283	SPIRIT	53	SPIRIT	âme, esprit vital (d'un vivant)
Hantgan-2022-348-284	284	SPIT	1440	SPIT	cracher
Hantgan-2022-348-285	285	SPLEEN	1744	SPLEEN	rate
Hantgan-2022-348-286	286	SPRING OR WELL	2144	SPRING OR WELL	(piège) sauter.
Hantgan-2022-348-287	287	STAR	1430	STAR	etoile
Hantgan-2022-348-288	288	STEAL	713	STEAL	voler
Hantgan-2022-348-289	289	STOMACH	819	STOMACH	estomac
Hantgan-2022-348-290	290	STONE	857	STONE	petite pierre, caillou, gravier
Hantgan-2022-348-291	291	STRIKE OR BEAT	2133	STRIKE OR BEAT	gifler, frapper, battre
Hantgan-2022-348-292	292	SUCK	1421	SUCK	lécher, sucer
Hantgan-2022-348-293	293	SUGAR	862	SUGAR	sucre
Hantgan-2022-348-294	294	SUN	1343	SUN	soleil
Hantgan-2022-348-295	295	SWALLOW	897	SWALLOW	avale
Hantgan-2022-348-296	296	SWEEP	230	SWEEP	balayer
Hantgan-2022-348-297	297	SWEET	717	SWEET	(goût) doux, sucré
Hantgan-2022-348-298	298	SWIM	1439	SWIM	nager
Hantgan-2022-348-299	299	TAIL	1220	TAIL	queue
Hantgan-2022-348-300	300	TALK	2708	TALK	dire, parler
Hantgan-2022-348-301	301	TASTE	21	TASTE (SOMETHING)	goûter
Hantgan-2022-348-302	302	TEN	1515	TEN	thé
Hantgan-2022-348-303	303	TESTICLES	797	TESTICLES	oeuf, testicule
Hantgan-2022-348-304	304	THICK	1244	THICK	(bâton etc.) épais
Hantgan-2022-348-305	305	THIGH	800	THIGH	cuisse
Hantgan-2022-348-306	306	THING	738	THING	chose
Hantgan-2022-348-307	307	THINK	2271	THINK	croire; réfléchir [cf. hò.gù, só:sê, lásá:bû, síkkê] -ex: à.bò .mí:ló [.ò.gú wìy-à/ he thinks they are doing the killing
Hantgan-2022-348-308	308	THORN	124	THORN	épine
Hantgan-2022-348-309	309	THOUSAND	1843	THOUSAND	mille
Hantgan-2022-348-310	310	THREE	492	THREE	trois
Hantgan-2022-348-311	311	THROAT	1346	THROAT	cou, gorge, col
Hantgan-2022-348-312	312	THROW	1456	THROW	jeter
Hantgan-2022-348-313	313	TIE	1917	TIE	attacher
Hantgan-2022-348-314	314	TOBACCO	974	TOBACCO	tabac [related verb súndú 1a; SYN:táb-ò ; cf. hámpérê ]
Hantgan-2022-348-315	315	TOE	1389	TOE	doigt, orteil
Hantgan-2022-348-316	316	TOMORROW	1329	TOMORROW	demain
Hantgan-2022-348-317	317	TONGS	272	TONGS	pinces (pour enlever les échardes); pinces (du forgeron)
Hantgan-2022-348-318	318	TONGUE	1205	TONGUE	lâcher
Hantgan-2022-348-319	319	TOOTH	1380	TOOTH	dent
Hantgan-2022-348-320	320	TOUCH	1892	TOUCH	toucher
Hantgan-2022-348-321	321	TRAP (PITFALL)	1075	TRAP (PITFALL)	piège
Hantgan-2022-348-322	322	TRAVERSE			casser, détruire ; traverser
Hantgan-2022-348-323	323	TREE	906	TREE	arbre
Hantgan-2022-348-324	324	TROUGH	205	TROUGH	abreuvoir
Hantgan-2022-348-325	325	TWENTY	1710	TWENTY	vingt
Hantgan-2022-348-326	326	TWICE	1546	TWICE	deux fois
Hantgan-2022-348-327	327	TWO	1498	TWO	deux
Hantgan-2022-348-328	328	UNTIE	352	UNTIE	délier, lâcher (animal etc.)
Hantgan-2022-348-329	329	URINE	1142	URINE	urine
Hantgan-2022-348-330	330	VAGINA	1836	VAGINA	vagin
Hantgan-2022-348-331	331	VILLAGE	930	VILLAGE	côté, village, pays natal
Hantgan-2022-348-332	332	WAGES	1122	WAGES	payer, rembourser (qn)
Hantgan-2022-348-333	333	WALL (OF HOUSE)	933	WALL (OF HOUSE)	mur
Hantgan-2022-348-334	334	WATER	948	WATER	eau
Hantgan-2022-348-335	335	WEAVE	133	WEAVE	tisser
Hantgan-2022-348-336	336	WEEK	1469	WEEK	semaine
Hantgan-2022-348-337	337	WET	1726	WET	complètement trempé, très mouillé
Hantgan-2022-348-338	338	WHITE	1335	WHITE	blanc (de l'oeil, de l'oeuf)
Hantgan-2022-348-339	339	WIFE	1199	WIFE	épouse
Hantgan-2022-348-340	340	WIND	960	WIND	vent
Hantgan-2022-348-341	341	WING	1257	WING	aile
Hantgan-2022-348-342	342	WOMAN	962	WOMAN	femme
Hantgan-2022-348-343	343	WOOD	1803	WOOD	bois
Hantgan-2022-348-344	344	WORK (LABOUR)	984	WORK (LABOUR)	travail
Hantgan-2022-348-345	345	WORLD	965	WORLD	le monde, la vie
Hantgan-2022-348-346	346	WRAPPER			pagne
Hantgan-2022-348-347	347	YEAR	1226	YEAR	an / annéé
Hantgan-2022-348-348	348	YELLOW	1424	YELLOW	ê. jaune [SYN:.ó:ldê].
