ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	FAMILIARITY	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	GUSTATORY_MEAN	VISUAL_SD	HAPTIC_SD	AUDITORY_SD	OLFACTORY_SD	GUSTATORY_SD	DOMINANT_MODALITY	EXCLUSIVITY	BNC_FREQ	BNC_LOG_FREQ	WORD_LENGTH
Lynott-2009-423-75	75	coconutty			1	3.61904761904762	1.52380952380952	0.19047619047619	3.61904761904762	4.66666666666667	1.46547570693582	1.4359334113756	0.679635756787974	1.53219419383414	0.795822425754222	Gustatory	0.328671328671329	0	0	9
Lynott-2009-423-76	76	cold	COLD	1287	1	2.85714285714286	4.66666666666667	0.761904761904762	0.952380952380952	2.38095238095238	1.65183880223569	0.658280588604384	1.17918454470714	1.39557122627942	1.80211515936664	Haptic	0.336065573770492	122	4.81218435537242	4
Lynott-2009-423-77	77	colossal			0.761904761904762	4.875	2.29411764705882	1.6875	0.5625	0.3125	0.5	1.82909492243954	1.77834192437787	1.36473440639562	0.873212459828649	Visual	0.46883264072535	2	1.09861228866811	8
Lynott-2009-423-78	78	colourful	COLORFUL	2997	1	4.80952380952381	0.238095238095238	0.19047619047619	0.428571428571429	0.333333333333333	0.87287156094397	0.700340053457026	0.511766315719159	1.02817452659695	0.912870929175277	Visual	0.76984126984127	11	2.484906649788	9
Lynott-2009-423-79	79	compact			1	4.76190476190476	2.9047619047619	0.476190476190476	0.19047619047619	0.285714285714286	0.538958431120796	1.72929933512859	1.12334534400814	0.601585207518238	0.717137165600636	Visual	0.530386740331492	17	2.89037175789616	7
Lynott-2009-423-80	80	conical			0.619047619047619	4.69230769230769	4.07692307692308	0.153846153846154	0	0.076923076923077	0.630425171956115	1.32045058354705	0.375533808099405	0	0.277350098112615	Visual	0.521367521367521	2	1.09861228866811	7
Lynott-2009-423-81	81	contoured			0.952380952380952	4.15	3.6	0.35	0.1	0.05	0.812727700887249	1.46539019413009	0.93330200448673	0.307793505625546	0.223606797749979	Visual	0.496969696969697	0	0	9
Lynott-2009-423-82	82	cooing			0.904761904761905	2.15789473684211	0.105263157894737	4.84210526315789	0	0	1.34425352663091	0.458831467741124	0.50145985712128	0	0	Auditory	0.681481481481481	0	0	6
Lynott-2009-423-83	83	cool			1	2.42857142857143	4.33333333333333	0.380952380952381	0.285714285714286	1.85714285714286	1.36277028773849	0.856348838577676	0.804747816162957	0.560611910581388	1.59014824106793	Haptic	0.435897435897436	40	3.71357206670431	4
Lynott-2009-423-84	84	crackling			1	2.80952380952381	1.38095238095238	4.28571428571429	0.904761904761905	1.33333333333333	1.36451631060415	1.28359613882991	0.956182887467515	0.995226703056239	1.52752523165195	Auditory	0.315555555555556	2	1.09861228866811	9
Lynott-2009-423-85	85	craggy			0.714285714285714	3.46666666666667	2.66666666666667	1	0.133333333333333	0.133333333333333	1.35576371027375	1.83873662631503	1.25356634105602	0.351865775274498	0.516397779494322	Visual	0.45045045045045	1	0.693147180559945	6
Lynott-2009-423-86	86	crashing			1	4.61904761904762	1.23809523809524	4.57142857142857	0.523809523809524	0.142857142857143	0.49761335152812	1.54611648670991	0.74642002729218	1.03048763306736	0.654653670707977	Visual	0.40343347639485	5	1.79175946922806	8
Lynott-2009-423-87	87	creaking			1	2.04761904761905	1.14285714285714	4.47619047619048	0	0	1.46547570693582	1.31475147026783	0.813575295780767	0	0	Auditory	0.583850931677019	2	1.09861228866811	8
Lynott-2009-423-88	88	creamy			1	3.80952380952381	2.76190476190476	0.19047619047619	2.38095238095238	4.47619047619048	1.5039630187956	1.75797502555531	0.511766315719159	1.85677652064513	1.20909253653505	Gustatory	0.314685314685315	4	1.6094379124341	6
Lynott-2009-423-89	89	creased	WRINKLED	380	0.952380952380952	4.7	3.65	0.15	0.15	0.15	0.656946685331786	1.22581873821025	0.489360484929593	0.670820393249937	0.670820393249937	Visual	0.517045454545454	2	1.09861228866811	7
Lynott-2009-423-90	90	crimson			1	4.42857142857143	0.285714285714286	0.19047619047619	0.095238095238095	0.047619047619048	1.20712172424444	0.902377811277357	0.601585207518238	0.436435780471985	0.218217890235992	Visual	0.867924528301887	4	1.6094379124341	7
Lynott-2009-423-91	91	crinkled			1	4.61904761904762	4.61904761904762	2.71428571428571	0.238095238095238	0.904761904761905	0.589592272353572	0.669043382464133	1.84777858908629	0.768424485864545	1.57812426331902	Visual	0.334545454545455	0	0	8
Lynott-2009-423-92	92	crisp			1	3.0952380952381	3.38095238095238	2.04761904761905	1.14285714285714	2.66666666666667	1.33808676492827	1.20317041503648	1.8835124230063	1.27615493909299	1.59164485150844	Haptic	0.181467181467181	8	2.19722457733622	5
Lynott-2009-423-93	93	crooked	CROOKED	297	1	4.47619047619048	3.57142857142857	0.619047619047619	0.142857142857143	0.19047619047619	0.813575295780767	1.5023790657297	1.16086995293144	0.654653670707977	0.679635756787974	Visual	0.481481481481481	3	1.38629436111989	7
Lynott-2009-423-94	94	crowded	CROWDED	2517	1	4.61904761904762	2.28571428571429	3.71428571428571	0.761904761904762	0	0.589592272353572	1.61687529336239	0.956182887467515	1.09108945117996	0	Visual	0.405857740585774	15	2.77258872223978	7
Lynott-2009-423-95	95	crunching			1	2.14285714285714	2.14285714285714	3.71428571428571	0.428571428571429	3.04761904761905	1.55838744494796	1.55838744494796	1.10194633003868	1.07570574840095	1.53219419383414	Auditory	0.286307053941909	1	0.693147180559945	9
Lynott-2009-423-96	96	crying			1	4.42857142857143	1.23809523809524	4.47619047619048	0.047619047619048	0.142857142857143	1.07570574840096	1.75797502555531	0.749603069567329	0.218217890235992	0.478091443733757	Auditory	0.428571428571429	20	3.04452243772342	6
Lynott-2009-423-97	97	curly			1	4.76190476190476	3.85714285714286	0	0	0.285714285714286	0.889087279447968	1.2363540870525	0	0	0.643650304346789	Visual	0.53475935828877	4	1.6094379124341	5
Lynott-2009-423-98	98	curved	CURVED	1698	0.952380952380952	4.5	3.95	0.1	0	0.105263157894737	0.945905302926917	1.23437604097225	0.307793505625546	0	0.315301767642306	Visual	0.519914867740955	11	2.484906649788	6
Lynott-2009-423-99	99	cute			1	4.76190476190476	1.66666666666667	3.14285714285714	0.80952380952381	0.380952380952381	0.538958431120796	1.82574185835055	1.59014824106793	1.40068010691405	0.920662287496912	Visual	0.407079646017699	3	1.38629436111989	4
Lynott-2009-423-100	100	damp	DAMP	2998	1	3.80952380952381	4.14285714285714	0.380952380952381	3.14285714285714	0.380952380952381	1.12334534400814	0.963624111659431	0.864649667564296	1.52596573636875	0.804747816162957	Haptic	0.317269076305221	20	3.04452243772342	4
Lynott-2009-423-101	101	dank			0.666666666666667	3.46666666666667	1.17647058823529	0.866666666666667	2.8	0.733333333333333	1.68466472572297	1.33394593769983	1.35576371027375	1.69873902813654	1.22279928657082	Visual	0.30225498699046	1	0.693147180559945	4
Lynott-2009-423-102	102	dappled			0.666666666666667	4	1.85714285714286	0.571428571428571	0.285714285714286	0.214285714285714	1.4142135623731	1.61040572322834	1.01634985756236	1.0690449676497	0.801783725737273	Visual	0.54639175257732	1	0.693147180559945	7
Lynott-2009-423-103	103	dark	DARK	706	1	4.42857142857143	0.19047619047619	0.714285714285714	0.19047619047619	0.523809523809524	1.247855302967	0.402373908081478	1.10194633003868	0.511766315719159	1.12334534400814	Visual	0.700787401574803	135	4.91265488573605	4
Lynott-2009-423-104	104	dazzling			1	4.90476190476191	0.380952380952381	0.619047619047619	0.238095238095238	0.095238095238095	0.300792603759118	0.804747816162957	1.02353263143832	0.624880941040924	0.436435780471985	Visual	0.770992366412214	5	1.79175946922806	8
Lynott-2009-423-105	105	dead	DEAD	1625	1	4.09523809523809	2.42857142857143	1.38095238095238	2.33333333333333	0.238095238095238	1.51343192462568	1.6604646509766	1.65759435557046	1.77012240631357	0.624880941040924	Visual	0.368181818181818	124	4.8283137373023	4
Lynott-2009-423-106	106	deafening			1	1.23809523809524	0.19047619047619	5	0	0.047619047619048	1.26114082896249	0.679635756787974	0	0	0.218217890235992	Auditory	0.772058823529412	2	1.09861228866811	9
Lynott-2009-423-107	107	deep	DEEP	1593	1	4.42857142857143	3.61904761904762	2.0952380952381	0.380952380952381	0.285714285714286	0.676123403782814	1.59612626305661	1.78619041271534	1.07126982951031	0.956182887467515	Visual	0.383259911894273	107	4.68213122712422	4
Lynott-2009-423-108	108	delicious	TASTY	1813	1	3.38095238095238	1.33333333333333	1.33333333333333	4.19047619047619	4.71428571428571	1.77415305078763	1.77012240631357	2.00831604418561	1.16700675315302	0.643650304346789	Gustatory	0.226114649681529	11	2.484906649788	9
Lynott-2009-423-109	109	dim			1	4.33333333333333	0.095238095238095	0.80952380952381	0.19047619047619	0.25	1.11055541659718	0.300792603759119	1.24976188208185	0.511766315719159	0.550119604220181	Visual	0.746331236897275	8	2.19722457733622	3
Lynott-2009-423-110	110	dirty	DIRTY	1230	1	4.80952380952381	2.71428571428571	0.476190476190476	3.52380952380952	1.28571428571429	0.402373908081478	1.92724822331886	0.928388260322567	1.28914885172534	1.61687529336239	Visual	0.338289962825279	27	3.3322045101752	5
Lynott-2009-423-111	111	downy			0.714285714285714	3.33333333333333	2.75	0.133333333333333	0	0.133333333333333	1.54303349962092	2.23606797749979	0.351865775274498	0	0.516397779494322	Visual	0.5249343832021	1	0.693147180559945	5
Lynott-2009-423-112	112	drab			0.904761904761905	4.10526315789474	1.10526315789474	1.26315789473684	0.736842105263158	1.36842105263158	1.41007237174808	1.52369203807744	1.484815935587	1.40799720892865	1.38285237887288	Visual	0.392638036809816	3	1.38629436111989	4
Lynott-2009-423-113	113	dry	DRY	1398	1	3.57142857142857	4.28571428571429	0.333333333333333	0.428571428571429	2.52380952380952	1.28730060869358	1.0555973258235	0.912870929175277	0.676123403782813	1.88730091980711	Haptic	0.354700854700855	66	4.20469261939097	3
