ID	NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE_SIMPLIFIED
BeijingDaxue-1964-905-83	83	公馬	42	noun	animals	四、動物	名 詞	stallion	gōng mǎ	936	STALLION	公马
BeijingDaxue-1964-905-84	84	母馬	42	noun	animals	四、動物	名 詞	mare	mǔ mǎ	938	MARE	母马
BeijingDaxue-1964-905-85	85	公豬	43	noun	animals	四、動物	名 詞	male pig	gōng zhū	2487	MALE PIG	公猪
BeijingDaxue-1964-905-86	86	母豬	43	noun	animals	四、動物	名 詞	sow	mǔ zhū	1351	SOW (FEMALE PIG)	母猪
BeijingDaxue-1964-905-87	87	公狗	44	noun	animals	四、動物	名 詞	male dog	gōng gǒu	2480	MALE DOG	公狗
BeijingDaxue-1964-905-88	88	母狗	44	noun	animals	四、動物	名 詞	female dog	mǔ gǒu	2481	FEMALE DOG	母狗
BeijingDaxue-1964-905-89	89	驢	45	noun	animals	四、動物	名 詞	donkey, ass	lǘ	1862	DONKEY	驴
BeijingDaxue-1964-905-90	90	騾子	45	noun	animals	四、動物	名 詞	mule	luó zi	890	MULE	骡子
BeijingDaxue-1964-905-91	91	羊	46	noun	animals	四、動物	名 詞	sheep, goat	yáng	2684	CAPRINE (GOAT OR SHEEP)	羊
BeijingDaxue-1964-905-92	92	貓	46	noun	animals	四、動物	名 詞	cat	māo	1208	CAT	猫
BeijingDaxue-1964-905-93	93	公雞	47	noun	animals	四、動物	名 詞	rooster (cock)	gōng jī	1511	ROOSTER	公鸡
BeijingDaxue-1964-905-94	94	閹雞	47	noun	animals	四、動物	名 詞	capon	yān jī	2567	CAPON	阉鸡
BeijingDaxue-1964-905-95	95	母雞	48	noun	animals	四、動物	名 詞	hen (chicken)	mǔ jī	1514	HEN	母鸡
BeijingDaxue-1964-905-96	96	小雞兒	48	noun	animals	四、動物	名 詞	chicken chick	xiǎo jī ér	2513	CHICKEN CHICK	小鸡儿
BeijingDaxue-1964-905-97	97	鴨子	49	noun	animals	四、動物	名 詞	duck	yā zi	1360	DUCK	鸭子
BeijingDaxue-1964-905-98	98	鵝	49	noun	animals	四、動物	名 詞	goose	é	1187	GOOSE	鹅
BeijingDaxue-1964-905-99	99	鯉魚	50	noun	animals	四、動物	名 詞	carp	lǐ yú	2685	CARP (FISH)	鲤鱼
BeijingDaxue-1964-905-100	100	鯽魚	50	noun	animals	四、動物	名 詞	crucian carp	zéi yú	2784	CRUCIAN CARP	鲫鱼
BeijingDaxue-1964-905-101	101	黃花魚	51	noun	animals	四、動物	名 詞	yellow croaker	huáng huā yú	2347	YELLOW CROAKER	黄花鱼
BeijingDaxue-1964-905-102	102	螃蟹	51	noun	animals	四、動物	名 詞	crab	páng xiè	2348	CRAB	螃蟹
BeijingDaxue-1964-905-103	103	蝦	52	noun	animals	四、動物	名 詞	shrimp	xiā	2686	CRUSTACEANS (PRAWNS OR SHRIMP)	虾
BeijingDaxue-1964-905-104	104	蚌	52	noun	animals	四、動物	名 詞	oysters, mussels	bàng	2785	BIVALVIA (MUSSELS OR OYSTERS)	蚌
