ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	RUSSIAN	SUBLIST
Yakhontov-1991-100-66	1274	SALT	66	salt	соль	Yakhontov-1991-35
Yakhontov-1991-100-67	671	SAND	67	sand	песок	Yakhontov-1991-65
Yakhontov-1991-100-68	1458	SAY	68	say	сказать	Yakhontov-1991-65
Yakhontov-1991-100-69	1409	SEE	69	see	видеть	Yakhontov-1991-65
Yakhontov-1991-100-70	1645	SHORT	70	short	короткий	Yakhontov-1991-65
Yakhontov-1991-100-71	1416	SIT	71	sit	сидеть	Yakhontov-1991-65
Yakhontov-1991-100-72	763	SKIN	72	skin	кожа	Yakhontov-1991-65
Yakhontov-1991-100-73	1585	SLEEP	73	sleep	спать	Yakhontov-1991-65
Yakhontov-1991-100-74	1246	SMALL	74	small	маленький	Yakhontov-1991-65
Yakhontov-1991-100-75	778	SMOKE (EXHAUST)	75	smoke	дым	Yakhontov-1991-65
Yakhontov-1991-100-76	730	SNAKE	76	snake	змея	Yakhontov-1991-65
Yakhontov-1991-100-77	1442	STAND	77	stand	стоять	Yakhontov-1991-65
Yakhontov-1991-100-78	1430	STAR	78	star	звесда	Yakhontov-1991-65
Yakhontov-1991-100-79	857	STONE	79	stone	камень	Yakhontov-1991-35
Yakhontov-1991-100-80	1343	SUN	80	sun	солнце	Yakhontov-1991-35
Yakhontov-1991-100-81	1439	SWIM	81	swim	плавать	Yakhontov-1991-65
Yakhontov-1991-100-82	1220	TAIL	82	tail	хвост	Yakhontov-1991-35
Yakhontov-1991-100-83	78	THAT	83	that	тот	Yakhontov-1991-65
Yakhontov-1991-100-84	2249	THIN (OF SHAPE OF OBJECT)	84	thin	тонкий	Yakhontov-1991-65
Yakhontov-1991-100-85	1214	THIS	85	this	этот	Yakhontov-1991-35
Yakhontov-1991-100-86	1215	THOU	86	thou	ты	Yakhontov-1991-35
Yakhontov-1991-100-87	1205	TONGUE	87	tongue	язык	Yakhontov-1991-35
Yakhontov-1991-100-88	1380	TOOTH	88	tooth	зуб	Yakhontov-1991-35
Yakhontov-1991-100-89	906	TREE	89	tree	дерево	Yakhontov-1991-65
Yakhontov-1991-100-90	1498	TWO	90	two	два	Yakhontov-1991-35
Yakhontov-1991-100-91	1443	WALK	91	walk (go)	идти	Yakhontov-1991-65
Yakhontov-1991-100-92	948	WATER	92	water	вода	Yakhontov-1991-35
Yakhontov-1991-100-93	1236	WHAT	93	what	что	Yakhontov-1991-35
Yakhontov-1991-100-94	1335	WHITE	94	white	белый	Yakhontov-1991-65
Yakhontov-1991-100-95	1235	WHO	95	who	кто	Yakhontov-1991-35
Yakhontov-1991-100-96	960	WIND	96	wind	ветер	Yakhontov-1991-35
Yakhontov-1991-100-97	962	WOMAN	97	woman	женщина	Yakhontov-1991-65
Yakhontov-1991-100-98	1219	WORM	98	worm	червь	Yakhontov-1991-65
Yakhontov-1991-100-99	1226	YEAR	99	year	год	Yakhontov-1991-35
Yakhontov-1991-100-100	1424	YELLOW	100	yellow	желты	Yakhontov-1991-65
