ID	NUMBER	ENGLISH	SWADESH_1952_200	SWADESH_1955_100	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sidwell-2021-98-69	69	Sun	157	83	1343	SUN
Sidwell-2021-98-70	70	Swim	159	84	1439	SWIM
Sidwell-2021-98-71	71	Tail	160	85	1220	TAIL
Sidwell-2021-98-72	72	Tongue		88	1205	TONGUE
Sidwell-2021-98-73	73	Tooth		89	1380	TOOTH
Sidwell-2021-98-74	74	Tree		90	906	TREE
Sidwell-2021-98-75	75	two	176	91	1498	TWO
Sidwell-2021-98-76	76	Walk	178	92	1443	WALK
Sidwell-2021-98-77	77	Water(fresh)	181	94	948	WATER
Sidwell-2021-98-78	78	We(pl.incl.)	182	95	1131	WE (INCLUSIVE)
Sidwell-2021-98-79	79	White	187	97	1335	WHITE
Sidwell-2021-98-80	80	You(sg.)	168	100	1215	THOU
Sidwell-2021-98-81	81	Arm(upper)			431	UPPER ARM
Sidwell-2021-98-82	82	Cheek			1730	CHEEK
Sidwell-2021-98-83	83	Child	20		2099	CHILD
Sidwell-2021-98-84	84	Chin			1510	CHIN
Sidwell-2021-98-85	85	Count	24		1420	COUNT
Sidwell-2021-98-86	86	Dream			2455	DREAMING OR DREAM
Sidwell-2021-98-87	87	Drunk			1463	DRUNK
Sidwell-2021-98-88	88	Cry/weep			1839	CRY
Sidwell-2021-98-89	89	Four	57		1500	FOUR
Sidwell-2021-98-90	90	House			1252	HOUSE
Sidwell-2021-98-91	91	Heel			980	HEEL
Sidwell-2021-98-92	92	Left(not right)	87		244	LEFT
Sidwell-2021-98-93	93	Right(not left)	118		1019	RIGHT
Sidwell-2021-98-94	94	Sky	138		1732	SKY
Sidwell-2021-98-95	95	three	174		492	THREE
Sidwell-2021-98-96	96	Spit(v.)	147		1440	SPIT
Sidwell-2021-98-97	97	Cough			879	COUGH
Sidwell-2021-98-98	98	Bitter			887	BITTER
