ID	NUMBER	MITTERHOFER_2013_95	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mitterhofer-2013-300-92	92		wall	933	WALL (OF HOUSE)
Mitterhofer-2013-300-93	93		village	930	VILLAGE
Mitterhofer-2013-300-94	94		path	2252	PATH
Mitterhofer-2013-300-95	95		thing/object	738	THING
Mitterhofer-2013-300-96	96		rope	1218	ROPE
Mitterhofer-2013-300-97	97		thread	1161	THREAD
Mitterhofer-2013-300-98	98		knot	760	KNOT
Mitterhofer-2013-300-99	99	17	chair	1476	CHAIR
Mitterhofer-2013-300-100	100	75	stool	2058	STOOL
Mitterhofer-2013-300-101	101		salt	1274	SALT
Mitterhofer-2013-300-102	102		finger millet	931	MILLET
Mitterhofer-2013-300-103	103		gruel	1167	GRUEL
Mitterhofer-2013-300-104	104	46	hunger	1864	HUNGER
Mitterhofer-2013-300-105	105		thirst	848	THIRST
Mitterhofer-2013-300-106	106		utensil	738	THING
Mitterhofer-2013-300-107	107	66	cooking	1100	COOK (SOMETHING)
Mitterhofer-2013-300-108	108		burden, load (carried on head)	1679	LOAD
Mitterhofer-2013-300-109	109		iron/metal	621	IRON
Mitterhofer-2013-300-110	110		hoe	284	HOE
Mitterhofer-2013-300-111	111	52	knife	1352	KNIFE
Mitterhofer-2013-300-112	112		big	1202	BIG
Mitterhofer-2013-300-113	113		dull (knife)	379	BLUNT
Mitterhofer-2013-300-114	114		sharp (knife)	1396	SHARP
Mitterhofer-2013-300-115	115		axe	677	AXE
Mitterhofer-2013-300-116	116		spear	945	SPEAR
Mitterhofer-2013-300-117	117		arrow	977	ARROW
Mitterhofer-2013-300-118	118		hole	1667	HOLE
Mitterhofer-2013-300-119	119		enemy	1358	ENEMY
Mitterhofer-2013-300-120	120		war	935	WAR
Mitterhofer-2013-300-121	121		fire (for cooking)/heat	221	FIRE
Mitterhofer-2013-300-122	122		firewood	10	FIREWOOD
Mitterhofer-2013-300-123	123		smoke	778	SMOKE (EXHAUST)
Mitterhofer-2013-300-124	124	3	ash(es) (ma)	646	ASH
Mitterhofer-2013-300-125	125	61	night (time)	1233	NIGHT
Mitterhofer-2013-300-126	126		darkness	11	DARKNESS
Mitterhofer-2013-300-127	127		moon	1313	MOON
Mitterhofer-2013-300-128	128		month	1370	MONTH
Mitterhofer-2013-300-129	129		star	1430	STAR
Mitterhofer-2013-300-130	130		sun	1343	SUN
Mitterhofer-2013-300-131	131		daytime	1225	DAY (NOT NIGHT)
Mitterhofer-2013-300-132	132		today	1283	TODAY
Mitterhofer-2013-300-133	133		yesterday	1174	YESTERDAY
Mitterhofer-2013-300-134	134		tomorrow	1329	TOMORROW
Mitterhofer-2013-300-135	135	83	sky	1732	SKY
Mitterhofer-2013-300-136	136		clouds	1489	CLOUD
Mitterhofer-2013-300-137	137		wind (N)	960	WIND
Mitterhofer-2013-300-138	138		rain (N)	658	RAIN (PRECIPITATION)
Mitterhofer-2013-300-139	139		water	948	WATER
Mitterhofer-2013-300-140	140		river	666	RIVER
Mitterhofer-2013-300-141	141	53	lake	624	LAKE
Mitterhofer-2013-300-142	142		dew	1977	DEW
Mitterhofer-2013-300-143	143		ice	617	ICE
Mitterhofer-2013-300-144	144		mountain	639	MOUNTAIN
Mitterhofer-2013-300-145	145	68	stone (fistsized)/rock	2125	STONE OR ROCK
Mitterhofer-2013-300-146	146		earth (soil)	1228	EARTH (SOIL)
Mitterhofer-2013-300-147	147		sand	671	SAND
Mitterhofer-2013-300-148	148		dust	2	DUST
Mitterhofer-2013-300-149	149		year	1226	YEAR
Mitterhofer-2013-300-150	150		one (thing)	1493	ONE
Mitterhofer-2013-300-151	151		two (things)	1498	TWO
Mitterhofer-2013-300-152	152		three	492	THREE
Mitterhofer-2013-300-153	153		four	1500	FOUR
Mitterhofer-2013-300-154	154		five	493	FIVE
Mitterhofer-2013-300-155	155		six	1703	SIX
Mitterhofer-2013-300-156	156		seven	1704	SEVEN
Mitterhofer-2013-300-157	157		eight	1705	EIGHT
Mitterhofer-2013-300-158	158		nine	1483	NINE
Mitterhofer-2013-300-159	159		ten	1515	TEN
Mitterhofer-2013-300-160	160	39	hot (weather)	1286	HOT
Mitterhofer-2013-300-161	161	19	cold (weather)	2483	COLD (OF WEATHER)
Mitterhofer-2013-300-162	162		long (thing)	1203	LONG
Mitterhofer-2013-300-163	163		short (thing)	1645	SHORT
Mitterhofer-2013-300-164	164		big (thing)	1202	BIG
Mitterhofer-2013-300-165	165		small (thing)	1246	SMALL
Mitterhofer-2013-300-166	166		wide (path)	1243	WIDE
Mitterhofer-2013-300-167	167		narrow (path)	1267	NARROW
Mitterhofer-2013-300-168	168		heavy (thing)	1210	HEAVY
Mitterhofer-2013-300-169	169		light (weight)	1052	LIGHT (WEIGHT)
Mitterhofer-2013-300-170	170		difficult (test)	584	DIFFICULT
Mitterhofer-2013-300-171	171		easy (test)	686	EASY
Mitterhofer-2013-300-172	172		good (thing)	1035	GOOD
Mitterhofer-2013-300-173	173		bad (thing)	1292	BAD
Mitterhofer-2013-300-174	174		left (side)	244	LEFT
Mitterhofer-2013-300-175	175		right (side)	1019	RIGHT
Mitterhofer-2013-300-176	176		inside	1606	INSIDE
Mitterhofer-2013-300-177	177		outside	762	OUTSIDE
Mitterhofer-2013-300-178	178		far	1406	FAR
Mitterhofer-2013-300-179	179	60	near	1942	NEAR
Mitterhofer-2013-300-180	180		new (thing)	1231	NEW
Mitterhofer-2013-300-181	181		all (things)	98	ALL
Mitterhofer-2013-300-182	182		many (things)	1198	MANY
Mitterhofer-2013-300-183	183		few (things)	1242	FEW
Mitterhofer-2013-300-184	184		red (thing)	156	RED
Mitterhofer-2013-300-185	185		black (thing)	163	BLACK
Mitterhofer-2013-300-186	186		white (thing)	1335	WHITE
Mitterhofer-2013-300-187	187		who?	1235	WHO
Mitterhofer-2013-300-188	188		why?	1270	WHY
Mitterhofer-2013-300-189	189		what?	1236	WHAT
Mitterhofer-2013-300-190	190		dirty (clothes)	1230	DIRTY
Mitterhofer-2013-300-191	191		rotten (fruit)	1728	ROTTEN
Mitterhofer-2013-300-192	192		dry (cloth)	1398	DRY
Mitterhofer-2013-300-193	193		wet (cloth)	1726	WET
Mitterhofer-2013-300-194	194		full (bottle)	1429	FULL
Mitterhofer-2013-300-195	195		sit	1416	SIT
Mitterhofer-2013-300-196	196a	73a	stand up (3rd Sg)	570	STAND UP
Mitterhofer-2013-300-197	196b	73b	stand up (Imp)	570	STAND UP
Mitterhofer-2013-300-198	197		sleep	1585	SLEEP
Mitterhofer-2013-300-199	198		awaken	825	AWAKE
Mitterhofer-2013-300-200	199		ask for sthg.		
Mitterhofer-2013-300-201	200		bring	692	BRING
Mitterhofer-2013-300-202	201		get/obtain	694	GET
Mitterhofer-2013-300-203	202		take	1749	TAKE
Mitterhofer-2013-300-204	203		carry (child on back)	465	CARRY ON BACK
Mitterhofer-2013-300-205	204		hold	1448	HOLD
Mitterhofer-2013-300-206	205		sell	1571	SELL
Mitterhofer-2013-300-207	206		buy	1869	BUY
Mitterhofer-2013-300-208	207		fear (V)	1419	FEAR (BE AFRAID)
Mitterhofer-2013-300-209	208		give (him)	1447	GIVE
Mitterhofer-2013-300-210	209		send (him)	1127	SEND
Mitterhofer-2013-300-211	210		bite (V)	1403	BITE
Mitterhofer-2013-300-212	211		eat	1336	EAT
Mitterhofer-2013-300-213	212		drink (V)	1401	DRINK
Mitterhofer-2013-300-214	213		boil (water)	792	BOIL (OF LIQUID)
Mitterhofer-2013-300-215	214		pour	1487	POUR
Mitterhofer-2013-300-216	215		vomit	1278	VOMIT
Mitterhofer-2013-300-217	216		cough	879	COUGH
Mitterhofer-2013-300-218	217		sneeze	1621	SNEEZE
Mitterhofer-2013-300-219	218		breathe	1407	BREATHE
Mitterhofer-2013-300-220	219		suck (baby)	1421	SUCK
Mitterhofer-2013-300-221	220		spit	1440	SPIT
Mitterhofer-2013-300-222	221		blow (wind)	175	BLOW (OF WIND)
Mitterhofer-2013-300-223	222		blow (person)	176	BLOW (WITH MOUTH)
Mitterhofer-2013-300-224	223		whistle (V)	1025	WHISTLE
Mitterhofer-2013-300-225	224		yawn	1028	YAWN
Mitterhofer-2013-300-226	225		sing	1261	SING
Mitterhofer-2013-300-227	226		play (child)	1413	PLAY
Mitterhofer-2013-300-228	227		dance	1879	DANCE
Mitterhofer-2013-300-229	228		laugh	1355	LAUGH
Mitterhofer-2013-300-230	229		cry (child)	1839	CRY
Mitterhofer-2013-300-231	230		bark (dog)	1206	BARKING
Mitterhofer-2013-300-232	231		say	1458	SAY
Mitterhofer-2013-300-233	232		ask (question)	1309	ASK (INQUIRE)
Mitterhofer-2013-300-234	233		look	1819	LOOK
Mitterhofer-2013-300-235	234		show (V)	1039	SHOW
Mitterhofer-2013-300-236	235		hear	1408	HEAR
Mitterhofer-2013-300-237	236		die	1494	DIE
Mitterhofer-2013-300-238	237		know	1410	KNOW (SOMETHING)
Mitterhofer-2013-300-239	238		count (V)	1420	COUNT
Mitterhofer-2013-300-240	239		want/like	1784	WANT
Mitterhofer-2013-300-241	240		help (V)	1897	HELP
Mitterhofer-2013-300-242	241		walk (V)	1443	WALK
Mitterhofer-2013-300-243	242		run (V)	1519	RUN
Mitterhofer-2013-300-244	243		pull (rope)	1455	PULL
Mitterhofer-2013-300-245	244		come	1446	COME
Mitterhofer-2013-300-246	245		leave (V)	1752	LEAVE
Mitterhofer-2013-300-247	246		fall (V)	2234	FALL (OF SNOW AND RAIN)
Mitterhofer-2013-300-248	247		turn (V)	1588	TURN
Mitterhofer-2013-300-249	248		burn (sthg)	141	BURN (SOMETHING)
Mitterhofer-2013-300-250	249		bury (people)	1719	BURY
Mitterhofer-2013-300-251	250		dig (in the field)	1418	DIG
Mitterhofer-2013-300-252	251		weed (V-by hand)		
Mitterhofer-2013-300-253	252		plant (V)	1486	PLANT (SOMETHING)
Mitterhofer-2013-300-254	253		harvest (V)	611	HARVEST
Mitterhofer-2013-300-255	254		grind	1033	GRIND
Mitterhofer-2013-300-256	255		hunt (V)	1435	HUNT
Mitterhofer-2013-300-257	256		cultivate	1541	CULTIVATE
Mitterhofer-2013-300-258	257		work (V)	984	WORK (LABOUR)
Mitterhofer-2013-300-259	258		build (house)	1840	BUILD
Mitterhofer-2013-300-260	259		push (V)	1452	PUSH
Mitterhofer-2013-300-261	260		make	734	MAKE
Mitterhofer-2013-300-262	261		sew	1457	SEW
Mitterhofer-2013-300-263	262		throw	1456	THROW
Mitterhofer-2013-300-264	263		hit (V)	1433	HIT
Mitterhofer-2013-300-265	264		slaughter (V)	1796	SLAUGHTER
Mitterhofer-2013-300-266	265		cut (horizontally, e.g., a tree)	1432	CUT
Mitterhofer-2013-300-267	266		wash (V)	1453	WASH
Mitterhofer-2013-300-268	267		hide (V)	2486	HIDE
Mitterhofer-2013-300-269	268		marry (of man)	2164	MARRY (AS MAN)
Mitterhofer-2013-300-270	269		steal	713	STEAL
Mitterhofer-2013-300-271	270		kill (V)	1417	KILL
Mitterhofer-2013-300-272	271		stab	1434	STAB
Mitterhofer-2013-300-273	272		fly (of bird)	1441	FLY (MOVE THROUGH AIR)
Mitterhofer-2013-300-274	273		go in	749	ENTER
Mitterhofer-2013-300-275	274		go out	1107	GO OUT
Mitterhofer-2013-300-276	275		move (V)	765	MOVE
Mitterhofer-2013-300-277	276		return (V)	581	COME BACK
Mitterhofer-2013-300-278	277		dream (V)	1920	DREAM (SOMETHING)
Mitterhofer-2013-300-279	278		coagulate (of blood)	2395	CONGEAL (BLOOD)
Mitterhofer-2013-300-280	279		make offerings to the dead	1103	SACRIFICE
Mitterhofer-2013-300-281	280		mix (V)	2017	MIX
Mitterhofer-2013-300-282	281		open (V)	1156	OPEN
Mitterhofer-2013-300-283	282		close (V)	1046	SHUT
Mitterhofer-2013-300-284	283		remember	707	REMEMBER
Mitterhofer-2013-300-285	284		forget	1523	FORGET
Mitterhofer-2013-300-286	285		answer (V)	1275	ANSWER
Mitterhofer-2013-300-287	286		break (V)	680	BREAK (DESTROY OR GET DESTROYED)
Mitterhofer-2013-300-288	287		cover (up)	761	COVER
Mitterhofer-2013-300-289	288		bring up a child	501	LIFT
Mitterhofer-2013-300-290	289		follow	1085	FOLLOW
Mitterhofer-2013-300-291	290		get lost	423	GET LOST
Mitterhofer-2013-300-292	291		stir (V)	696	STIR
Mitterhofer-2013-300-293	292		knock (V)	2396	KNOCK
Mitterhofer-2013-300-294	293		take leave		
Mitterhofer-2013-300-295	294		swallow (V)	897	SWALLOW
Mitterhofer-2013-300-296	295		lick	319	LICK
Mitterhofer-2013-300-297	296		sniff	375	SNIFF
Mitterhofer-2013-300-298	297		kneel	66	KNEEL
Mitterhofer-2013-300-299	298		bathe	138	BATHE
Mitterhofer-2013-300-300	299		stop doing	3351	STOP DOING
Mitterhofer-2013-300-301	300		scratch oneself	1436	SCRATCH
