ID	NUMBER	Mann-2004-500	ENGLISH	Matisoff-1978-200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-210-167	167	382	smoke	smoke	778	SMOKE (EXHAUST)
Mann-2004-210-168	168	385	snake	snake	730	SNAKE
Mann-2004-210-169	169	388	snot	snot	208	NASAL MUCUS, SNOT
Mann-2004-210-170	170	390	soft (touch)	soft (touch)	1856	SOFT
Mann-2004-210-171	171	392	son-in-law	son-in-law	1056	SON-IN-LAW
Mann-2004-210-172	172	393	sour	sour	1906	SOUR
Mann-2004-210-173	173	400	spit	spit (n)	1440	SPIT
Mann-2004-210-174	174	404	squeeze	squeeze	1414	SQUEEZE
Mann-2004-210-175	175	406	stand	stand	1442	STAND
Mann-2004-210-176	176	407	star	star	1430	STAR
Mann-2004-210-177	177	408	steal	steal	713	STEAL
Mann-2004-210-178	178	409	stick	stick	1295	STICK
Mann-2004-210-179	179	410	stone	stone	857	STONE
Mann-2004-210-180	180	416	sun	sun/day	1343	SUN
Mann-2004-210-181	181	418	sweat	sweat	125	SWEAT
Mann-2004-210-182	182	419	sweet	sweet	717	SWEET
Mann-2004-210-183	183	421	swidden	swidden	429	SWIDDEN FIELD
Mann-2004-210-184	184	423	tail	tail	1220	TAIL
Mann-2004-210-185	185	427	ten	ten	1515	TEN
Mann-2004-210-186	186	432	thick	thick	1244	THICK
Mann-2004-210-187	187	434	thin	thin	2308	THIN
Mann-2004-210-188	188	439	thorn	thorn (prick)	124	THORN
Mann-2004-210-189	189	441	three	three	492	THREE
Mann-2004-210-190	190	444	tie	tie	1917	TIE
Mann-2004-210-191	191	448	tongue	tongue (n)	1205	TONGUE
Mann-2004-210-192	192	449	tooth	tooth (n)	1380	TOOTH
Mann-2004-210-193	193	450	tree	tree (n)/wood	906	TREE
Mann-2004-210-194	194	455	twenty/score	twenty/score	1710	TWENTY
Mann-2004-210-195	195	456	two	two	1498	TWO
Mann-2004-210-196	196	457	urine	piss	1142	URINE
Mann-2004-210-197	197	458	village	village	930	VILLAGE
Mann-2004-210-198	198	459	vomit	vomit	1278	VOMIT
Mann-2004-210-199	199	463	warm	warm	1232	WARM
Mann-2004-210-200	200	464	wash	wash	1453	WASH
Mann-2004-210-201	201	465	water	water	948	WATER
Mann-2004-210-202	202	466	water leech	water leech	949	WATER LEECH
Mann-2004-210-203	203	469	weave (cloth)	weave	133	WEAVE
Mann-2004-210-204	204	470	weep	weep	130	GRATIS (OF CHARGE)
Mann-2004-210-205	205	478	white	white	1335	WHITE
Mann-2004-210-206	206	483	wind	wind	960	WIND
Mann-2004-210-207	207	485	wing	wing	1257	WING
Mann-2004-210-208	208	496	year	year	1226	YEAR
Mann-2004-210-209	209	499	you (2s.)	thou	1215	THOU
Mann-2004-210-210	210	500	you (2pl.)	you	1213	YOU
