ID	NUMBER	EXCLUDED	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2011-204-185	185		two	1498	TWO
Bowern-2011-204-186	186		vomit	1278	VOMIT
Bowern-2011-204-187	187		walk	1443	WALK
Bowern-2011-204-188	188		water	948	WATER
Bowern-2011-204-189	189		*we.EXCL.PL	1130	WE (EXCLUSIVE)
Bowern-2011-204-190	190		we.INCL.PL	1131	WE (INCLUSIVE)
Bowern-2011-204-191	191		wet	1726	WET
Bowern-2011-204-192	192		what	1236	WHAT
Bowern-2011-204-193	193		when	1238	WHEN
Bowern-2011-204-194	194		where	1237	WHERE
Bowern-2011-204-195	195		white	1335	WHITE
Bowern-2011-204-196	196		who	1235	WHO
Bowern-2011-204-197	197		wife	1199	WIFE
Bowern-2011-204-198	198		wind	960	WIND
Bowern-2011-204-199	199		wing	1257	WING
Bowern-2011-204-200	200	x	winnow	2462	WINNOWING
Bowern-2011-204-201	201		woman/female	2105	FEMALE PERSON
Bowern-2011-204-202	202		work	984	WORK (CRAFT, LABOUR)
Bowern-2011-204-203	203		*yawn	1028	YAWN
Bowern-2011-204-204	204		yellow	1424	YELLOW
Bowern-2011-204-205	205		you.SG	1215	THOU
