ID	ENGLISH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Heggarty-2020-200-38	EAT	38	1336	EAT
Heggarty-2020-200-39	EGG	39	744	EGG
Heggarty-2020-200-40	EYE	40	1248	EYE
Heggarty-2020-200-41	FALL	41	1280	FALL
Heggarty-2020-200-42	FAR	42	1406	FAR
Heggarty-2020-200-43	FAT	43	323	FAT (ORGANIC SUBSTANCE)
Heggarty-2020-200-44	FATHER	44	1217	FATHER
Heggarty-2020-200-45	FEAR	45	1419	FEAR (BE AFRAID)
Heggarty-2020-200-46	FEATHER	46	1201	FEATHER
Heggarty-2020-200-47	FIGHT	47	1423	FIGHT
Heggarty-2020-200-48	FIRE	48	221	FIRE
Heggarty-2020-200-49	FISH	49	227	FISH
Heggarty-2020-200-50	FIVE	50	493	FIVE
Heggarty-2020-200-51	FLOWER	51	239	FLOWER
Heggarty-2020-200-52	FLY (NOUN)	52	1504	FLY (INSECT)
Heggarty-2020-200-53	FLY (VERB)	53	1441	FLY (MOVE THROUGH AIR)
Heggarty-2020-200-54	FOG	54	249	FOG
Heggarty-2020-200-55	FOOT	55	1301	FOOT
Heggarty-2020-200-56	FOREST	56	420	FOREST
Heggarty-2020-200-57	FOUR	57	1500	FOUR
Heggarty-2020-200-58	FREEZE	58	1431	FREEZE
Heggarty-2020-200-59	FRUIT	59	1507	FRUIT
Heggarty-2020-200-60	FULL	60	1429	FULL
Heggarty-2020-200-61	GIVE	61	1447	GIVE
Heggarty-2020-200-62	GO	62	695	GO
Heggarty-2020-200-63	GOOD	63	1035	GOOD
Heggarty-2020-200-64	GRASS	64	606	GRASS
Heggarty-2020-200-65	GREEN	65	1425	GREEN
Heggarty-2020-200-66	GRIND	66	1033	GRIND
Heggarty-2020-200-67	GUTS	67	1334	GUTS
Heggarty-2020-200-68	HAIR	68	2648	HAIR (HEAD)
Heggarty-2020-200-69	HAND	69	1277	HAND
Heggarty-2020-200-70	HARD	70	1884	HARD
Heggarty-2020-200-71	HEAD	71	1256	HEAD
Heggarty-2020-200-72	HEAR	72	1408	HEAR
Heggarty-2020-200-73	HEART	73	1223	HEART
Heggarty-2020-200-74	HEAVY	74	1210	HEAVY
Heggarty-2020-200-75	HERE	75	136	HERE
Heggarty-2020-200-76	HIDE	76	602	HIDE (CONCEAL)
Heggarty-2020-200-77	HIT	77	353	STRIKE
Heggarty-2020-200-78	HORN	78	1393	HORN (ANATOMY)
Heggarty-2020-200-79	HOT	79	1286	HOT
Heggarty-2020-200-80	HOUSE	80	1252	HOUSE
Heggarty-2020-200-81	HOW	81	1239	HOW
Heggarty-2020-200-82	HUNT	82	1435	HUNT
Heggarty-2020-200-83	I	83	1209	I
Heggarty-2020-200-84	ICE	84	617	ICE
Heggarty-2020-200-85	KILL	85	1417	KILL
Heggarty-2020-200-86	KNEE	86	1371	KNEE
Heggarty-2020-200-87	KNOW	87	1410	KNOW (SOMETHING)
Heggarty-2020-200-88	LAKE	88	624	LAKE
Heggarty-2020-200-89	LAUGH	89	1355	LAUGH
Heggarty-2020-200-90	LEAF	90	628	LEAF
Heggarty-2020-200-91	LEFT	91	244	LEFT
Heggarty-2020-200-92	LEG	92	1297	LEG
Heggarty-2020-200-93	LIE	93	1411	LIE (REST)
Heggarty-2020-200-94	LIVE	94	1422	BE ALIVE
Heggarty-2020-200-95	LIVER	95	1224	LIVER
Heggarty-2020-200-96	LONG	96	1203	LONG
Heggarty-2020-200-97	LOUSE	97	1392	LOUSE
Heggarty-2020-200-98	MAN	98	1554	MAN
Heggarty-2020-200-99	MEAT	99	634	MEAT
Heggarty-2020-200-100	MOON	100	1313	MOON
Heggarty-2020-200-101	MOTHER	101	1216	MOTHER
Heggarty-2020-200-102	MOUNTAIN	102	639	MOUNTAIN
Heggarty-2020-200-103	MOUTH	103	674	MOUTH
Heggarty-2020-200-104	NAIL	104	1896	FINGERNAIL OR TOENAIL
Heggarty-2020-200-105	NAME	105	1405	NAME
Heggarty-2020-200-106	NARROW	106	1267	NARROW
Heggarty-2020-200-107	NAVEL	107	1838	NAVEL
Heggarty-2020-200-108	NEAR	108	1942	NEAR
Heggarty-2020-200-109	NECK	109	1333	NECK
Heggarty-2020-200-110	NEW	110	1231	NEW
Heggarty-2020-200-111	NIGHT	111	1233	NIGHT
Heggarty-2020-200-112	NOSE	112	1221	NOSE
Heggarty-2020-200-113	NOT	113	1240	NOT
Heggarty-2020-200-114	OLD	114	1229	OLD
Heggarty-2020-200-115	ONE	115	1493	ONE
Heggarty-2020-200-116	PERSON	116	683	PERSON
Heggarty-2020-200-117	PLAY	117	1413	PLAY
Heggarty-2020-200-118	PULL	118	1455	PULL
Heggarty-2020-200-119	PUSH	119	1452	PUSH
Heggarty-2020-200-120	RAIN	120	1253	RAIN (RAINING)
Heggarty-2020-200-121	RED	121	156	RED
Heggarty-2020-200-122	RIGHT	122	1019	RIGHT
Heggarty-2020-200-123	RIVER	123	666	RIVER
Heggarty-2020-200-124	ROOT	124	670	ROOT
Heggarty-2020-200-125	ROTTEN	125	1728	ROTTEN
Heggarty-2020-200-126	ROUND	126	1395	ROUND
Heggarty-2020-200-127	RUN	127	1519	RUN
Heggarty-2020-200-128	SALT	128	1274	SALT
Heggarty-2020-200-129	SAND	129	671	SAND
Heggarty-2020-200-130	SAY	130	1458	SAY
Heggarty-2020-200-131	SCRATCH	131	1436	SCRATCH
Heggarty-2020-200-132	SEA	132	1474	SEA
Heggarty-2020-200-133	SEE	133	1409	SEE
Heggarty-2020-200-134	SEED	134	714	SEED
Heggarty-2020-200-135	SEW	135	1457	SEW
Heggarty-2020-200-136	SHADOW	136	1388	SHADE
Heggarty-2020-200-137	SHARP	137	1396	SHARP
Heggarty-2020-200-138	SHORT	138	1645	SHORT
Heggarty-2020-200-139	SING	139	1261	SING
Heggarty-2020-200-140	SIT	140	1416	SIT
Heggarty-2020-200-141	SKIN	141	763	SKIN
Heggarty-2020-200-142	SKY	142	1732	SKY
Heggarty-2020-200-143	SLEEP	143	1585	SLEEP
Heggarty-2020-200-144	SMALL	144	1246	SMALL
Heggarty-2020-200-145	SMELL	145	1586	SMELL (PERCEIVE)
Heggarty-2020-200-146	SMOKE	146	778	SMOKE (EXHAUST)
Heggarty-2020-200-147	SMOOTH	147	1234	SMOOTH
Heggarty-2020-200-148	SNAKE	148	730	SNAKE
Heggarty-2020-200-149	SNOW	149	784	SNOW
Heggarty-2020-200-150	SPIT	150	1440	SPIT
Heggarty-2020-200-151	STAND	151	1442	STAND
Heggarty-2020-200-152	STAR	152	1430	STAR
Heggarty-2020-200-153	STICK	153	1295	STICK
Heggarty-2020-200-154	STONE	154	857	STONE
Heggarty-2020-200-155	STRAIGHT	155	1404	STRAIGHT
Heggarty-2020-200-156	SUN	156	1343	SUN
Heggarty-2020-200-157	SWEET	157	717	SWEET
Heggarty-2020-200-158	SWELL	158	1573	SWELL
Heggarty-2020-200-159	SWIM	159	1439	SWIM
Heggarty-2020-200-160	TAIL	160	1220	TAIL
Heggarty-2020-200-161	TAKE	161	1749	TAKE
Heggarty-2020-200-162	THAT	162	78	THAT
Heggarty-2020-200-163	THERE	163	1937	THERE
Heggarty-2020-200-164	THEY	164	817	THEY
Heggarty-2020-200-165	THICK	165	1244	THICK
Heggarty-2020-200-166	THIGH	166	471	UPPER LEG (THIGH)
Heggarty-2020-200-167	THIN	167	2249	THIN (OF SHAPE OF OBJECT)
Heggarty-2020-200-168	THINK	168	1415	THINK (REFLECT)
Heggarty-2020-200-169	THIS	169	1214	THIS
Heggarty-2020-200-170	THREE	170	492	THREE
Heggarty-2020-200-171	THROW	171	1456	THROW
Heggarty-2020-200-172	TIE	172	1917	TIE
Heggarty-2020-200-173	TONGUE	173	1205	TONGUE
Heggarty-2020-200-174	TOOTH	174	1380	TOOTH
Heggarty-2020-200-175	TREE	175	906	TREE
Heggarty-2020-200-176	TRUE	176	1657	TRUE
Heggarty-2020-200-177	TURN	177	1445	TURN (SOMETHING)
Heggarty-2020-200-178	TWO	178	1498	TWO
Heggarty-2020-200-179	VOMIT	179	1278	VOMIT
Heggarty-2020-200-180	WALK	180	1443	WALK
Heggarty-2020-200-181	WASH	181	1453	WASH
Heggarty-2020-200-182	WATER	182	948	WATER
Heggarty-2020-200-183	WE	183	1212	WE
Heggarty-2020-200-184	WET	184	1726	WET
Heggarty-2020-200-185	WHAT	185	1236	WHAT
Heggarty-2020-200-186	WHEN	186	1238	WHEN
Heggarty-2020-200-187	WHERE	187	1237	WHERE
Heggarty-2020-200-188	WHITE	188	1335	WHITE
Heggarty-2020-200-189	WHO	189	1235	WHO
Heggarty-2020-200-190	WIDE	190	1243	WIDE
Heggarty-2020-200-191	WIND	191	960	WIND
Heggarty-2020-200-192	WING	192	1257	WING
Heggarty-2020-200-193	WITH	193	1340	WITH
Heggarty-2020-200-194	WOMAN	194	962	WOMAN
Heggarty-2020-200-195	WORM	195	1219	WORM
Heggarty-2020-200-196	YEAR	196	1226	YEAR
Heggarty-2020-200-197	YELLOW	197	1424	YELLOW
Heggarty-2020-200-198	YESTERDAY	198	1174	YESTERDAY
Heggarty-2020-200-199	YOU (PL.)	199	1213	YOU
Heggarty-2020-200-200	YOU (SG.)	200	1215	THOU
