ID	NUMBER	SPANISH	ENGLISH	SWADESH_1955_100	CONCEPTICON_ID	CONCEPTICON_GLOSS
Morse-1996-375-355	355	cavar	dig		1418	DIG
Morse-1996-375-356	356	atar	tie		1917	TIE
Morse-1996-375-357	357	coser	sew		1457	SEW
Morse-1996-375-358	358	caer	fall		1280	FALL
Morse-1996-375-359	359	hinchar	swell		1573	SWELL
Morse-1996-375-360	360	pensar	think		1415	THINK (REFLECT)
Morse-1996-375-361	361	cantar	sing		1261	SING
Morse-1996-375-362	362	oler	smell		2124	SMELL
Morse-1996-375-363	363	vomitar	puke		1278	VOMIT
Morse-1996-375-364	364	chupar	suck		1421	SUCK
Morse-1996-375-365	365	soplar	blow		176	BLOW (WITH MOUTH)
Morse-1996-375-366	366	temer	fear		1419	FEAR (BE AFRAID)
Morse-1996-375-367	367	apretar, exprimir	squeeze		1414	SQUEEZE
Morse-1996-375-368	368	sostener	hold		1448	HOLD
Morse-1996-375-369	369	abajo	down		1326	DOWN
Morse-1996-375-370	370	arriba	up		1591	UP
Morse-1996-375-371	371	maduro	ripe		178	RIPE
Morse-1996-375-372	372	polvo	dust		2	DUST
Morse-1996-375-373	373	vivo	alive		1422	BE ALIVE
Morse-1996-375-374	374	cuerda	rope		1218	ROPE
Morse-1996-375-375	375	año	year		1226	YEAR
