ID	NUMBER	ENGLISH	VIETNAMESE	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sidwell-2015-200-119	119	skin/bark	da	x	x	2127	BARK OR SKIN
Sidwell-2015-200-120	120	sky	trời	x	x	1732	SKY
Sidwell-2015-200-121	121	smoke	khói	x	x	778	SMOKE (EXHAUST)
Sidwell-2015-200-122	122	snake	rắn		x	730	SNAKE
Sidwell-2015-200-123	123	soft (touch)	mềm			1856	SOFT
Sidwell-2015-200-124	124	sour	chua			1906	SOUR
Sidwell-2015-200-125	125	star	sao	x	x	1430	STAR
Sidwell-2015-200-126	126	stick of wood	cái que		x	1295	STICK
Sidwell-2015-200-127	127	stone	đá	x	x	857	STONE
Sidwell-2015-200-128	128	sun/day	mặt trời	x	x	2140	DAY OR SUN
Sidwell-2015-200-129	129	sweet	ngọt			717	SWEET
Sidwell-2015-200-130	130	tail	đuôi	x	x	1220	TAIL
Sidwell-2015-200-131	131	ten	mười			1515	TEN
Sidwell-2015-200-132	132	thick (object)	dày		x	1244	THICK
Sidwell-2015-200-133	133	thin (object)	mỏng		x	2249	THIN (OF SHAPE OF OBJECT)
Sidwell-2015-200-134	134	thorn	gai			124	THORN
Sidwell-2015-200-135	135	three	ba		x	492	THREE
Sidwell-2015-200-136	136	to be born	đẻ			1090	BE BORN
Sidwell-2015-200-137	137	to bite	cắn	x		1403	BITE
Sidwell-2015-200-138	138	to blow	thổi		x	175	BLOW (OF WIND)
Sidwell-2015-200-139	139	to breathe/breath	vụ		x	3183	BREATH OR BREATHE
Sidwell-2015-200-140	140	to burn (tr.)	đốt	x	x	141	BURN (SOMETHING)
Sidwell-2015-200-141	141	to buy	mua			1869	BUY
Sidwell-2015-200-142	142	to climb/ascend	lên			705	GO UP (ASCEND)
Sidwell-2015-200-143	143	to cook/boil	nâu / nấu			1100	COOK (SOMETHING)
Sidwell-2015-200-144	144	to cough	ho			879	COUGH
Sidwell-2015-200-145	145	to cry/weep	khóc			1839	CRY
Sidwell-2015-200-146	146	to descend	xuống			2014	GO DOWN (DESCEND)
Sidwell-2015-200-147	147	to die	chết	x	x	1494	DIE
Sidwell-2015-200-148	148	to dig	đào		x	1418	DIG
Sidwell-2015-200-149	149	to dream	bao			1920	DREAM (SOMETHING)
Sidwell-2015-200-150	150	to drink (water)	uống	x	x	1401	DRINK
Sidwell-2015-200-151	151	to eat	ăn	x	x	1336	EAT
Sidwell-2015-200-152	152	to extinguish/put out	tắt			127	EXTINGUISH
Sidwell-2015-200-153	153	to fall	rũ		x	1280	FALL
Sidwell-2015-200-154	154	to flee/run (away)	chạy			956	FLEE
Sidwell-2015-200-155	155	to fly	bay	x	x	1441	FLY (MOVE THROUGH AIR)
Sidwell-2015-200-156	156	to forget	quên			1523	FORGET
Sidwell-2015-200-157	157	to give	cho	x	x	1447	GIVE
Sidwell-2015-200-158	158	to hear	nghe	x	x	1408	HEAR
Sidwell-2015-200-159	159	to hide/conceal (tr.)	nấp			602	HIDE (CONCEAL)
Sidwell-2015-200-160	160	to hunt	đi săn	x	x	1435	HUNT
Sidwell-2015-200-161	161	to itch/to be itchy	ngứa			3855	ITCH (CAUSE ITCHING OR FEEL ITCHY)
Sidwell-2015-200-162	162	to kick	đá hậu			1135	KICK
Sidwell-2015-200-163	163	to kill	giết	x	x	1417	KILL
Sidwell-2015-200-164	164	to know	biết	x	x	3626	KNOW
Sidwell-2015-200-165	165	to laugh	cưởi		x	1355	LAUGH
Sidwell-2015-200-166	166	to lick	liếm			319	LICK
Sidwell-2015-200-167	167	to rub/wipe	lau chùi		x	1449	RUB
Sidwell-2015-200-168	168	to say/speak	nói		x	1458	SAY
Sidwell-2015-200-169	169	to scratch/scrape	gãi		x	1436	SCRATCH
Sidwell-2015-200-170	170	to see	thây	x	x	1409	SEE
Sidwell-2015-200-171	171	to sell	bán			1571	SELL
Sidwell-2015-200-172	172	to sew	vá		x	1457	SEW
Sidwell-2015-200-173	173	to shoot	bắn			1172	SHOOT
Sidwell-2015-200-174	174	to sit	ngồi		x	1416	SIT
Sidwell-2015-200-175	175	to sleep/lie down	giấc	x	x	2116	REST OR SLEEP
Sidwell-2015-200-176	176	to smell (receive odor)			x	1586	SMELL (PERCEIVE)
Sidwell-2015-200-177	177	to spit	khạc		x	1440	SPIT
Sidwell-2015-200-178	178	to stand	đứng	x	x	1442	STAND
Sidwell-2015-200-179	179	to steal	trộm			713	STEAL
Sidwell-2015-200-180	180	to tie/bind	buộc		x	1917	TIE
Sidwell-2015-200-181	181	to urinate/urine	đái			592	PISS
Sidwell-2015-200-182	182	to vomit	mửa		x	1278	VOMIT
Sidwell-2015-200-183	183	to wake up/awaken	thức			1602	WAKE UP
Sidwell-2015-200-184	184	to walk/go	đi bộ	x	x	1443	WALK
Sidwell-2015-200-185	185	to wash (hands, things)	rửa		x	1453	WASH
Sidwell-2015-200-186	186	to weave	đan			133	WEAVE
Sidwell-2015-200-187	187	tongue	lưỡi	x	x	1205	TONGUE
Sidwell-2015-200-188	188	tooth	răng	x	x	1380	TOOTH
Sidwell-2015-200-189	189	tree	cây	x	x	906	TREE
Sidwell-2015-200-190	190	two	hai	x	x	1498	TWO
Sidwell-2015-200-191	191	village	làng			930	VILLAGE
Sidwell-2015-200-192	192	water	nước	x	x	948	WATER
Sidwell-2015-200-193	193	white	trắng	x	x	1335	WHITE
Sidwell-2015-200-194	194	wind/air	gió		x	960	WIND
Sidwell-2015-200-195	195	wing	cánh		x	1257	WING
Sidwell-2015-200-196	196	woman	đàn bà	x	x	962	WOMAN
Sidwell-2015-200-197	197	year	năm		x	1226	YEAR
Sidwell-2015-200-198	198	yellow	vàng	x	x	1424	YELLOW
Sidwell-2015-200-199	199	you (pl.) (ye)			x	1213	YOU
Sidwell-2015-200-200	200	you (sing.) (thou)	mày	x	x	1215	THOU
