ID	CATEGORY	GLOSS	URL
30	Adjectives	        strong	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        strong/Lgs_All
31	Adjectives	        hot	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        hot/Lgs_All
32	Adjectives	        cold	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        cold/Lgs_All
33	Adjectives	        -ly (adverb ending)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/        -ly /Lgs_All
34	Body	head	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/head/Lgs_All
35	Body	eye	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/eye/Lgs_All
36	Body	ear	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/ear/Lgs_All
37	Body	tear	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/tear/Lgs_All
38	Body	tongue	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/tongue/Lgs_All
39	Body	tooth	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/tooth/Lgs_All
40	Body	beard	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/beard/Lgs_All
41	Body	hand	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/hand/Lgs_All
42	Body	arm	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/arm/Lgs_All
43	Body	finger	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/finger/Lgs_All
44	Body	foot	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/foot/Lgs_All
45	Body	blood	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/blood/Lgs_All
46	Body	bone	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/bone/Lgs_All
47	Body	nail	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/nail/Lgs_All
48	Body	cough	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/cough/Lgs_All
49	Body	liver	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/liver/Lgs_All
50	Body	beast	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/beast/Lgs_All
51	People	mother	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/mother/Lgs_All
52	People	father	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/father/Lgs_All
53	People	daughter	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/daughter/Lgs_All
54	People	widow	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/widow/Lgs_All
55	People	neighbour (fem.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/neighbour /Lgs_All
56	People	name	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/name/Lgs_All
57	Animals	wolf	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/wolf/Lgs_All
58	Animals	deer	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/deer/Lgs_All
59	Animals	donkey	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/donkey/Lgs_All
60	Animals	bear	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/bear/Lgs_All
61	Animals	goat	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/goat/Lgs_All
62	Animals	cow	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/cow/Lgs_All
63	Animals	worm	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/worm/Lgs_All
64	Animals	egg	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/egg/Lgs_All
65	Animals	horn	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/horn/Lgs_All
66	Animals	wool	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/wool/Lgs_All
67	Nature	moon	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/moon/Lgs_All
68	Nature	star	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/star/Lgs_All
69	Nature	sky	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/sky/Lgs_All
70	Nature	water	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/water/Lgs_All
71	Nature	sea	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/sea/Lgs_All
72	Nature	stone	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/stone/Lgs_All
73	Nature	earth	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/earth/Lgs_All
74	Nature	field	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/field/Lgs_All
75	Nature	gold	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/gold/Lgs_All
76	Nature	leaf	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/leaf/Lgs_All
77	Nature	grass	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/grass/Lgs_All
78	Nature	flower	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/flower/Lgs_All
79	Weather	weather	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/weather/Lgs_All
80	Weather	(it) rains	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/ rains/Lgs_All
81	Weather	wind	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/wind/Lgs_All
82	Weather	heat	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/heat/Lgs_All
83	Food	salt	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/salt/Lgs_All
84	Food	bread	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/bread/Lgs_All
85	Food	corn	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/corn/Lgs_All
86	Food	wine	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/wine/Lgs_All
87	Household	door	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/door/Lgs_All
88	Household	entrance	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/entrance/Lgs_All
89	Household	oven	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/oven/Lgs_All
90	Household	game	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/game/Lgs_All
91	Household	castle	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/castle/Lgs_All
92	Household	wheel	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/wheel/Lgs_All
93	Verbs	it is	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/it is/Lgs_All
94	Verbs	let's go in	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/let's go in/Lgs_All
95	Verbs	taste	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/taste/Lgs_All
96	Verbs	to taste	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/to taste/Lgs_All
97	Verbs	dead (fem.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/dead /Lgs_All
98	Verbs	I see	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/I see/Lgs_All
99	Verbs	listen! (ipv. sg.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/listen! /Lgs_All
100	Verbs	he sleeps	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/he sleeps/Lgs_All
101	Verbs	he believes (subj.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/he believes /Lgs_All
102	Verbs	we hope	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/we hope/Lgs_All
103	Verbs	done	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/done/Lgs_All
104	Verbs	I do	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/I do/Lgs_All
105	Verbs	to sell	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/to sell/Lgs_All
106	Verbs	it lasts	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/it lasts/Lgs_All
107	Verbs	he holds	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/he holds/Lgs_All
108	Verbs	he says (subj.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/he says /Lgs_All
109	Verbs	said	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/said/Lgs_All
110	Verbs	we sing	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/we sing/Lgs_All
111	Grammar Words	my	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/my/Lgs_All
112	Grammar Words	your (you sg., masc. sg.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/your /Lgs_All
113	Grammar Words	his…	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/his…/Lgs_All
114	Grammar Words	your (you pl., fem. pl.)	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/your /Lgs_All
115	Grammar Words	not	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/not/Lgs_All
116	Grammar Words	when?	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/when?/Lgs_All
117	Grammar Words	which?	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/which?/Lgs_All
118	Grammar Words	in	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/in/Lgs_All
119	Time	hour	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/hour/Lgs_All
120	Time	night	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/night/Lgs_All
121	Time	week	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/week/Lgs_All
122	Time	autumn	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/autumn/Lgs_All
123	Time	winter	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/winter/Lgs_All
124	Time	year	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/year/Lgs_All
125	Culture	sin	http://lingweb.eva.mpg.de/sndcomp/#/en/Romance/map/sin/Lgs_All
