NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
74	hold-take	0	???	8

75	how	1239	HOW	2

76	hunt	1435	HUNT (verb)	3

77	husband	1200	HUSBAND (noun)	3

78	I	1209	I	1

79	ice	617	ICE (noun)	3

80	if	1459	IF	2

81	in	1460	IN	2

82	kill	1417	KILL (verb)	3

83	know	2248	KNOW (SOMEBODY) (verb)	3

84	lake	624	LAKE (noun)	3

85	laugh	1355	LAUGH (verb)	3

86	leaf	2250	LEAF (LEAFLIKE OBJECT) (noun)	3

87	leftside	0	???	8

88	leg	1297	LEG (noun)	3

89	lie	601	LIE (MISLEAD) (verb)	3

90	live	0	???	8

91	liver	1224	LIVER (noun)	3

92	long	1203	LONG (adjective)	3

93	louse	1392	LOUSE (noun)	3

94	man-male	0	???	8

95	many	428	BE MANY	2

96	meat-flesh	0	???	8

97	mother	1216	MOTHER (noun)	3

98	mountain	639	MOUNTAIN (noun)	3

99	mouth	674	MOUTH (noun)	3

100	name	1405	NAME (noun)	3

101	narrow	1267	NARROW (adjective)	3

102	near	1942	NEAR (adjective)	3

103	neck	1333	NECK (noun)	3

104	new	1231	NEW (adjective)	3

105	night	1233	NIGHT (noun)	3

106	nose	1221	NOSE (noun)	3

107	not	1240	NOT	2

108	old	2113	OLD (USED)	2

109	one	1493	ONE	2

110	other	197	OTHER	2

111	person	516	PERSON (CLASSIFIER) (classifier)	2

112	play	1413	PLAY (verb)	3

113	pull	1455	PULL (verb)	3

114	push	1452	PUSH (verb)	3

115	rain	1253	RAIN (RAINING) (verb)	3

116	red	156	RED (adjective)	3

117	right-correct	0	???	8

118	rightside	0	???	8

119	rier	0	???	8

120	road	667	ROAD (noun)	3

121	root	670	ROOT (noun)	3

122	rope	2084	ROPE (CLASSIFIER) (classifier)	2

123	rotten	1728	ROTTEN (adjective)	3

124	rub	1449	RUB (verb)	3

125	salt	1274	SALT (noun)	3

126	sand	671	SAND (noun)	3

127	say	1458	SAY (verb)	3

128	scratch	1436	SCRATCH (verb)	3

129	sea	1474	SEA (noun)	3

130	see	1409	SEE (verb)	3

131	seed	714	SEED (noun)	3

132	sew	1457	SEW (verb)	3

133	sharp	1396	SHARP (adjective)	3

134	short	1645	SHORT (adjective)	3

135	sing	1261	SING (verb)	3

136	sit	1416	SIT (verb)	3

137	skin	763	SKIN (noun)	3

138	sky	1732	SKY (noun)	3

139	sleep	1585	SLEEP (verb)	3

140	small	1246	SMALL (adjective)	3

141	smell	2124	SMELL (verb)	3

142	smoke	1689	SMOKE (INHALE) (verb)	3

143	smooth	1234	SMOOTH (adjective)	3

144	snake	730	SNAKE (noun)	3

145	snow	784	SNOW (noun)	3

146	some	1241	SOME	2

147	spit	1440	SPIT (verb)	3

148	split	1437	SPLIT (verb)	3

149	squeeze	1414	SQUEEZE (verb)	3

150	stab-pierce	0	???	8

151	stand	1442	STAND (verb)	3

152	star	1430	STAR (noun)	3

153	stick	2085	STICK (CLASSIFIER) (classifier)	2

154	stone	857	STONE (noun)	3

155	straight	1404	STRAIGHT (adjective)	3

156	suck	1421	SUCK (verb)	3

157	sun	1343	SUN (noun)	3

158	swell	1573	SWELL (verb)	3

159	swim	1439	SWIM (verb)	3

160	tail	1220	TAIL (noun)	3

161	that	78	THAT	2

162	there	1937	THERE	2

163	they	817	THEY	2

164	thick	1244	THICK (adjective)	3

165	thin	1400	THIN (adjective)	3

166	think	2271	THINK (verb)	3

167	this	1214	THIS	2

168	thou	1215	THOU	2

169	three	492	THREE	2

170	throw	1456	THROW (verb)	3

171	tie	1917	TIE (verb)	3

172	tongue	1205	TONGUE (noun)	3

173	tooth	1380	TOOTH (noun)	3

174	tree	906	TREE (noun)	3

175	turn	1445	TURN (SOMETHING) (verb)	3

176	two	1498	TWO	2

177	vomit	1278	VOMIT (verb)	3

178	walk	1443	WALK (verb)	3

179	warm	2110	WARM (OF WEATHER)	2

180	wash	1453	WASH (verb)	3

181	water	948	WATER (noun)	3

182	we	1212	WE	2

183	wet	1726	WET (adjective)	3

184	what?	1236	WHAT	2

185	when?	1238	WHEN	2

186	where?	1237	WHERE	2

187	white	1335	WHITE (adjective)	3

188	who?	1235	WHO	2

189	wide	1243	WIDE (adjective)	3

190	wife	1199	WIFE (noun)	3

191	wind	960	WIND (noun)	3

192	wing	1257	WING (noun)	3

193	wipe	1454	WIPE (verb)	3

194	with	1340	WITH	2

195	woman	962	WOMAN (noun)	3

196	woods	0	???	8

197	worm	1219	WORM (noun)	3

198	ye	0	???	8

199	year	1226	YEAR (noun)	3

200	yellow	1424	YELLOW (adjective)	3

