thigh	153	433
this	360	437
thorn	41	439
thou (2s)	417	499
thousand	333	440
three (persons)	324	?
thunder	10	443
tiger	73	445
to answer	248	?
to bark	82	?
to bathe	294	?
to be afraid	259	?
to be angry	260	?
to be bad	399	?
to be big	339	?
to be bitter	376	?
to be blind	394	?
to be blunt	385	?
to be bright	371	?
to be cold	383	?
to be correct	400	?
to be dark	370	?
to be deaf	395	?
to be deep	351	?
to be different	373	?
to be dirty	367	?
to be drunk	233	?
to be dry	380	?
to be far	358	?
to be fast	389	?
to be fat	347	?
to be few	337	?
to be full	354	?
to be good	398	?
to be hard	387	?
to be heavy	386	?
to be hot	382	?
to be hungry	229	?
to be long	341	?
to be many	334	?
to be narrow	350	?
to be near	359	?
to be new	368	?
to be old	369	?
to be ripe	409	?
to be rotten	378	?
to be round	353	?
to be shallow	352	?
to be sharp	384	?
to be short (height)	344	?
to be short (lenght)	342	?
to be skinny	348	?
to be slow	390	?
to be small	340	?
to be smooth	388	?
to be sour	375	?
to be spicy, hot	377	?
to be straight	357	?
to be strong	391	?
to be sweet	374	?
to be swell	379	?
to be tall	343	?
to be the same	372	?
to be thick	345	?
to be thin	346	?
to be thirsty	231	?
to be tired	393	?
to be weak	392	?
to be wet	381	?
to be wide, broad	349	?
to be wrong	401	?
to bend	426	?
to bite	83	?
to boil (sth.)	307	?
to breathe	239	?
to bum	308	?
to bury (a corpse)	302	?
to buy	317	?
to choose	254	?
to come	276	?
to cook (rice)	306	?
to cough	236	?
to count	258	?
to crawl	275	?
to cut (hair)	297	?
to dance	312	?
to die	269	?
to dig	301	?
to disappear	424	?
to do/make	428	?
to dream	263	?
to drink	232	?
to dry (sth.)	304	?
to dye (cloth)	197	?
to eat	227	?
to enter	277	?
to exchange	319	?
to extinguish (fire)	309	?
to fall	283	?
to fight	316	?
to float	285	?
to flow	287	?
to fly	97	?
to forget	253	?
to give	288	?
to grind	299	?
to hate	256	?
to hear	222	?
to hit	295	?
to hunt	314	?
to hurt	264	?
to itch	266	?
to kick	281	?
to kill	315	?
to kneel	273	?
to know	252	?
to laugh	244	?
to launder	293	?
to lick	242	?
to lie, fib	249	?
to lift	427	?
to love	255	?
to pay	320	?
to plant	300	?
to play	311	?
to pound (rice)	305	?
to pull	280	?
to push	279	?
to return	278	?
to rub, scrub	291	?
to scratch	267	?
to see	224	?
to sell	318	?
to sew	200	?
to shave (beard)	137	?
to shiver	268	?
to shoot	313	?
to shout	247	?
to sing	250	?
to sink	286	?
to sit	271	?
to sleep	261	?
to smile	243	?
to sneeze	237	?
to snore	262	?
to speak	245	?
to spit	235	?
to split	296	?
to split w/a knife	425	?
to stab	298	?
to stand	272	?
to steal	321	?
to suck	241	?
to swallow	228	?
to swim	284	?
to take	423	?
to tell	246	?
to think	251	?
to throw	282	?
to tie	289	?
to vomit	234	?
to wait	257	?
to walk	274	?
to wash	292	?
to weave (cloth)	196	?
to weep	226	?
to wink	225	?
to winnow (rice)	303	?
to wipe	290	?
to work	310	?
to yawn	238	?
tomorrow	17	447
tongue	131	448
tooth	133	449
tree	38	450
tree bark	40	22
trousers	199	451
turtle	104	453
two (persons)	323	?
urine	168	457
village	183	458
wall of house	191	462
warm	432	463
water	23	465
water leech	413	466
we (1p)	419	?
west	20	471
wet rice field	408	220
what	405	473
when	402	?
where	403	476
white	363	478
who	404	479
widow	178	481
wife	177	482
wind	11	483
window	188	484
wing	95	485
woman	170	490
year	18	496
yellow	366	497
yesterday	16	498
you (2p)	420	?
