NUMBER	CLASSIFICATION_1	CLASSIFICATION_2	CLASSIFICATION_3	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
37	III. Substantiva	F. Stein, Metall	-	Stein	*stone	857	STONE (noun)	2

38	III. Substantiva	F. Stein, Metall	-	Eisen	*iron	621	IRON (noun)	2

39	III. Substantiva	G. Feuer	-	Funke	spark	518	SPARK (noun)	2

40	III. Substantiva	G. Feuer	-	Flamme	flame	889	FLAME (noun)	2

41	III. Substantiva	G. Feuer	-	Rauch	smoke	778	SMOKE (EXHAUST) (noun)	2

42	III. Substantiva	G. Feuer	-	Asche	ash	646	ASH (noun)	2

43	III. Substantiva	G. Feuer	-	Kohle	coal	0	???	8

44	III. Substantiva	H. Wasser	-	Wasser	*water	948	WATER (noun)	2

45	III. Substantiva	I. Pflanzen und ihre Teile	-	Baum	*tree	906	TREE (noun)	2

46	III. Substantiva	I. Pflanzen und ihre Teile	-	Ast	*branch	1531	BRANCH (noun)	2

47	III. Substantiva	I. Pflanzen und ihre Teile	-	Blume	*flower	239	FLOWER (noun)	2

48	III. Substantiva	K. Thiere	a. Säugetiere	Hund	*dog	2009	DOG (noun)	2

49	III. Substantiva	K. Thiere	b. Vögel u.s.w.	Vogel	*bird	937	BIRD (noun)	2

50	III. Substantiva	L. Mensch	-	Mensch	*human being	0	???	8

51	III. Substantiva	M. Körperteile	a. Kopf	Kopf	*head	1256	HEAD (noun)	2

52	III. Substantiva	M. Körperteile	a. Kopf	Auge	*eye	1248	EYE (noun)	2

53	III. Substantiva	M. Körperteile	b. Hals, Rumpf	Hals	*neck	1333	NECK (noun)	2

54	III. Substantiva	M. Körperteile	c. Extremitäten	Hand	*hand	1277	HAND (noun)	2

55	III. Substantiva	M. Körperteile	c. Extremitäten	Fuß	*foot	1301	FOOT (noun)	2

56	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Haut	skin	763	SKIN (noun)	2

57	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Knochen	bone	1394	BONE (noun)	2

58	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Ader	vein	1924	VEIN (noun)	2

59	III. Substantiva	M. Körperteile	d. Sonstige Körperteile, Ausscheidungen, usw.	Blut	blood	946	BLOOD (noun)	2

60	III. Substantiva	M. Körperteile	Anhang	Geist	ghost	1175	GHOST (noun)	2

61	III. Substantiva	M. Körperteile	Anhang	Schatten	shadow	0	???	8

62	III. Substantiva	M. Körperteile	Anhang	Name	name	1405	NAME (noun)	2

63	III. Substantiva	M. Körperteile	Anhang	Stimme	voice	1363	VOICE (noun)	2

64	III. Substantiva	M. Körperteile	Anhang	Wort	word	1599	WORD (noun)	2

65	III. Substantiva	N. Wohnung	-	Haus	*house	1252	HOUSE (noun)	2

66	III. Substantiva	O. Schiff	-	Boot	*boat	1844	BOAT (noun)	2

67	III. Substantiva	P. Waffen und Geräte	-	Messer	*knife	1352	KNIFE (noun)	2

68	III. Substantiva	Q. Gefässe	-	Tasse	*cup	476	CUP (noun)	2

69	III. Substantiva	R. Kleidung, Schmuck	-	Hose	trousers	809	TROUSERS (noun)	2

70	III. Substantiva	S. Nahrung	-	Fleisch	*meat	634	MEAT (noun)	2

71	III. Substantiva	T. Allgemeines	-	Ding	thing	738	THING (noun)	2

72	III. Substantiva	T. Allgemeines	-	Stück	piece	594	PIECE (noun)	2

73	III. Substantiva	T. Allgemeines	-	Theil	part	779	PART (noun)	2

74	III. Substantiva	T. Allgemeines	-	Masse	multitude	538	MULTITUDE (noun)	2

75	IV. Adjectiva	A. Gross	-	lang	long	1203	LONG (adjective)	3

76	IV. Adjectiva	A. Gross	-	stark	strong	785	STRONG (adjective)	3

77	IV. Adjectiva	A. Gross	-	dick	thick, fat	1244	THICK (adjective)	3
77	IV. Adjectiva	A. Gross	-	dick	thick, fat	1279	FAT, OBESE (adjective)	2

78	IV. Adjectiva	A. Gross	-	hoch	high	1265	HIGH (adjective)	3

79	IV. Adjectiva	A. Gross	-	alt	old	2113	OLD (USED)	2

80	IV. Adjectiva	A. Gross	-	schwer	heavy	1210	HEAVY (adjective)	3

81	IV. Adjectiva	B. Klein	-	kurz	short	1645	SHORT (adjective)	3

82	IV. Adjectiva	C. Gestalt, Konsistenz	-	rund	*round	1395	ROUND (adjective)	3

83	IV. Adjectiva	C. Gestalt, Konsistenz	-	flüssig	*liquid	58	LIQUID (adjective)	3

84	IV. Adjectiva	D. Farben	-	rot	*red	156	RED (adjective)	3

85	IV. Adjectiva	D. Farben	-	blau	*blue	837	BLUE (adjective)	3

86	IV. Adjectiva	D. Farben	-	weiß	*white	1335	WHITE (adjective)	3

87	IV. Adjectiva	D. Farben	-	schwarz	*black	163	BLACK (adjective)	3

88	IV. Adjectiva	D. Farben	-	grün	*green	1425	GREEN (adjective)	3

89	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	wohlriechend	*fragrant	376	FRAGRANT (adjective)	3

90	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	salzig	*salty	1091	SALTY (adjective)	3

91	IV. Adjectiva	E. Eigenschaften des Gefühls, Geschmackes, Geruches, Gehöres	-	leise	*silent	48	BE SILENT (verb)	3

92	IV. Adjectiva	F. Körperliches Befinden	-	schwach	*weak	1601	WEAK (adjective)	3

93	IV. Adjectiva	G. Gemüths- und Verstandeseigenschaften	-	wütend	*angry	2223	BE ANGRY (adjective)	3

94	IV. Adjectiva	H. Allgemeines	-	wahr	true	1657	TRUE (adjective)	3

95	IV. Adjectiva	H. Allgemeines	-	gleich	identical	0	???	8

96	IV. Adjectiva	H. Allgemeines	-	ähnlich	similar	1558	SIMILAR (adjective)	3

97	IV. Adjectiva	H. Allgemeines	-	ganz	whole	0	???	8

98	IV. Adjectiva	H. Allgemeines	-	fertig	ready	790	READY (adjective)	3

99	V. Adverbien	A. Der Zeit	-	lange	*for long	373	LONG AGO	5

100	V. Adverbien	B. Des Ortes	-	oben	*above	1741	ABOVE	2

101	V. Adverbien	C. Der Art und Weise	-	vielleicht	*perhaps	0	???	8

102	VI. Conjunctionen	-	-	weil	*because	1157	BECAUSE	2

103	VII. Präpositionen oder Postpositionen, Casusaffixe	-	-	unter	*under	1485	BELOW, UNDER	2

104	VIII. Verba	A. Sagen, sprechen, u.s.w.	-	sprechen	*to speak	1623	SPEAK (verb)	2

105	VIII. Verba	B. Denken u.s.w.	-	wollen	to want	1784	WANT (verb)	2

106	VIII. Verba	B. Denken u.s.w.	-	lieben	to love	923	LOVE (verb)	2

107	VIII. Verba	B. Denken u.s.w.	-	hassen	to hate	1607	HATE (verb)	2

108	VIII. Verba	B. Denken u.s.w.	-	vergessen	to forget	1523	FORGET (verb)	2

109	VIII. Verba	C. Leben, Körperfunktionen	-	atmen	*to breathe	1407	BREATHE (verb)	2

110	VIII. Verba	D. Gehen, kommen u.s.w.	-	laufen	to run	1519	RUN (verb)	2

111	VIII. Verba	D. Gehen, kommen u.s.w.	-	treten	to step	2065	STEP (VERB) (verb)	2

112	VIII. Verba	D. Gehen, kommen u.s.w.	-	folgen	to follow	1085	FOLLOW (verb)	2

113	VIII. Verba	D. Gehen, kommen u.s.w.	-	steigen	to climb	1102	CLIMB (verb)	2

114	VIII. Verba	D. Gehen, kommen u.s.w.	-	fliessen	to float	1574	FLOAT (verb)	2

115	VIII. Verba	D. Gehen, kommen u.s.w.	-	fallen	to fall	1280	FALL (verb)	2

116	VIII. Verba	D. Gehen, kommen u.s.w.	-	tröpfeln	to drip	808	DRIP (verb)	2

117	VIII. Verba	E. Da sein, verweilen	-	stehen	to stand	1442	STAND (verb)	2

118	VIII. Verba	E. Da sein, verweilen	-	sitzen	to sit	1416	SIT (verb)	2

119	VIII. Verba	E. Da sein, verweilen	-	liegen	to lie	1411	LIE (REST) (verb)	2

120	VIII. Verba	F. Andere Verba (Schwer zu classificirende, für die die alphabetische Ordnung als Nothbehelf dienen muss)	-	wissen	*to know	2248	KNOW (SOMEBODY) (verb)	2

