NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
117	螞蟻	59	noun	animals	四、動物	名 詞	ant	mǎ-yǐ	587	ANT (noun)	3

118	蒼蠅	59	noun	animals	四、動物	名 詞	housefly	cāng-yíng	0	???	8

119	蚊子	60	noun	animals	四、動物	名 詞	mosquito	wén-zǐ	1509	MOSQUITO (noun)	3

120	臭蟲	60	noun	animals	四、動物	名 詞	bedbug	chòu-chóng	0	???	8

121	蜘蛛	61	noun	animals	四、動物	名 詞	spider	zhī-zhū	843	SPIDER (noun)	3

122	蜈蚣	61	noun	animals	四、動物	名 詞	centipede	wú-zhōng	0	???	8

123	蛇	62	noun	animals	四、動物	名 詞	snake	shé	730	SNAKE (noun)	3

124	壁虎	62	noun	animals	四、動物	名 詞	gecko	bì-hǔ	0	???	8

125	翅膀	63	noun	animals	四、動物	名 詞	wing	chì-páng	1257	WING (noun)	3

126	蹄子	63	noun	animals	四、動物	名 詞	hoof	tí-zǐ	152	HOOF (noun)	3

127	爪子	64	noun	animals	四、動物	名 詞	claw	zhǎo-zǐ	2128	NAIL OR CLAW (noun)	5

128	尾巴	64	noun	animals	四、動物	名 詞	tail	wěi-bā	1220	TAIL (noun)	3

129	鱗	65	noun	animals	四、動物	名 詞	fish scales	lín	???	???	8

130	梅花	65	noun	plants	五、植物	名 詞	plum blossom	méi-huā	0	???	8

131	杏花	66	noun	plants	五、植物	名 詞	apricot blossom	xìng-huā	0	???	8

132	桃花	66	noun	plants	五、植物	名 詞	peach blossom	táo-huā	0	???	8

133	荷花	67	noun	plants	五、植物	名 詞	lotus	hé-huā	0	???	8

134	桂花	67	noun	plants	五、植物	名 詞	cassia	guì-huā	0	???	8

135	艾	68	noun	plants	五、植物	名 詞	mugwort	ài	0	???	8

136	棉花	68	noun	plants	五、植物	名 詞	cotton (raw)	mián-huā	0	???	8

137	稻子	69	noun	plants	五、植物	名 詞	rice plant	dào-zǐ	2026	RICE PLANT (noun)	3

138	稻谷	69	noun	plants	五、植物	名 詞	rice crops	dào-lù	0	???	8

139	大米	70	noun	plants	五、植物	名 詞	rice	dà-mǐ	???	???	8

140	糯米	70	noun	plants	五、植物	名 詞	polished glutinous rice	nuò-mǐ	0	???	8

141	麥子	71	noun	plants	五、植物	名 詞	wheat	mài-zǐ	1077	WHEAT (noun)	3

142	面粉	71	noun	plants	五、植物	名 詞	flour	miàn-fěn	0	???	8

143	谷子	72	noun	plants	五、植物	名 詞	millet (unhusked rice)	lù-zǐ	0	???	8

144	小米	72	noun	plants	五、植物	名 詞	millet	xiǎo-mǐ	0	???	8

145	麩子	73	noun	plants	五、植物	名 詞	bran	fū-zǐ	0	???	8

146	糠	73	noun	plants	五、植物	名 詞	chaff (husks)	kāng	0	???	8

147	高粱	74	noun	plants	五、植物	名 詞	sorghum	gāo-liáng	0	???	8

148	玉米	74	noun	plants	五、植物	名 詞	maize	yù-mǐ	0	???	8

149	花生	75	noun	plants	五、植物	名 詞	peanut	huā-shēng	0	???	8

150	向日葵	75	noun	plants	五、植物	名 詞	sunflower	xiàng-rì-kuí	0	???	8

151	甘薯	76	noun	plants	五、植物	名 詞	sweet potato	gān-shǔ	0	???	8

152	馬鈴薯	76	noun	plants	五、植物	名 詞	potato	mǎ-líng-shǔ	0	???	8

153	蔬菜	77	noun	plants	五、植物	名 詞	vegetable	shū-cài	0	???	8

154	卷心菜	77	noun	plants	五、植物	名 詞	cabbage	juàn-xīn-cài	0	???	8

155	南瓜	78	noun	plants	五、植物	名 詞	pumpkin	nán-guā	0	???	8

156	冬瓜	78	noun	plants	五、植物	名 詞	wax gourd (white gourd)	dōng-guā	0	???	8

157	黃瓜	79	noun	plants	五、植物	名 詞	cucumber	huáng-guā	0	???	8

158	蘿蔔	79	noun	plants	五、植物	名 詞	radish	luó-bó	0	???	8

159	茄子	80	noun	plants	五、植物	名 詞	eggplant	qié-zǐ	0	???	8

160	番茄	80	noun	plants	五、植物	名 詞	tomato	bō-qié	0	???	8

161	韭菜	81	noun	plants	五、植物	名 詞	tuber onion	jiǔ-cài	0	???	8

162	蔥	81	noun	plants	五、植物	名 詞	scallions (green onions)	cōng	0	???	8

163	蒜	82	noun	plants	五、植物	名 詞	garlic	suàn	0	???	8

164	辣椒	82	noun	plants	五、植物	名 詞	chilli, red pepper	là-jiāo	0	???	8
164	辣椒	82	noun	plants	五、植物	名 詞	chilli, red pepper	là-jiāo	???	???	8

165	水果	83	noun	plants	五、植物	名 詞	fruit	shuǐ-guǒ	1507	FRUIT (noun)	3

166	桃兒	83	noun	plants	五、植物	名 詞	peach	táo-ní	0	???	8

167	梨	84	noun	plants	五、植物	名 詞	pear	lí	0	???	8

168	桔子	84	noun	plants	五、植物	名 詞	mandarine	jié-zǐ	0	???	8

169	柚子	85	noun	plants	五、植物	名 詞	pomelo	yòu-zǐ	0	???	8

170	梅子	85	noun	plants	五、植物	名 詞	mume	méi-zǐ	0	???	8

171	葡萄	86	noun	plants	五、植物	名 詞	grape	pú-táo	0	???	8

172	櫻桃	86	noun	plants	五、植物	名 詞	cherry	yīng-táo	0	???	8

173	橄欖	87	noun	plants	五、植物	名 詞	olive	gǎn-lǎn	0	???	8

174	荸薺	87	noun	plants	五、植物	名 詞	water chestnut	bí-qí	???	???	8

175	棗兒	88	noun	plants	五、植物	名 詞	jujube	zǎo-ní	0	???	8

176	栗子	88	noun	plants	五、植物	名 詞	chestnut	lì-zǐ	0	???	8

177	核桃	89	noun	plants	五、植物	名 詞	walnut	hé-táo	0	???	8

178	香蕉	89	noun	plants	五、植物	名 詞	banana	xiāng-jiāo	0	???	8

179	荔枝	90	noun	plants	五、植物	名 詞	litchi (lychee)	lì-zhī	0	???	8

180	桂圓	90	noun	plants	五、植物	名 詞	longan	guì-yuán	0	???	8

181	西瓜	91	noun	plants	五、植物	名 詞	watermelon	xī-guā	0	???	8

182	核兒	91	noun	plants	五、植物	名 詞	pit, stone (of fruit)	hé-ní	0	???	8
182	核兒	91	noun	plants	五、植物	名 詞	pit, stone (of fruit)	hé-ní	857	STONE (noun)	3

183	果皮	92	noun	plants	五、植物	名 詞	peel, skin of fruit	guǒ-pí	0	???	8
183	果皮	92	noun	plants	五、植物	名 詞	peel, skin of fruit	guǒ-pí	1507	FRUIT (noun)	5

184	早飯	92	noun	food	六、飮食	名 詞	breakfast	zǎo-fàn	0	???	8

185	午飯	93	noun	food	六、飮食	名 詞	lunch	wǔ-fàn	0	???	8

186	晚飯	93	noun	food	六、飮食	名 詞	supper	wǎn-fàn	0	???	8

187	米飯	94	noun	food	六、飮食	名 詞	cooked rice	mǐ-fàn	0	???	8

188	粥	94	noun	food	六、飮食	名 詞	rice gruel (congee)	yù	0	???	8

189	米湯	95	noun	food	六、飮食	名 詞	thin rice or millet gruel	mǐ-tāng	???	???	8
189	米湯	95	noun	food	六、飮食	名 詞	thin rice or millet gruel	mǐ-tāng	0	???	8

190	饅頭	95	noun	food	六、飮食	名 詞	steamed bun	mán-tóu	0	???	8

191	包子	96	noun	food	六、飮食	名 詞	steamed stuffed bun	bāo-zǐ	0	???	8

192	餃子	96	noun	food	六、飮食	名 詞	dumpling (Jiaozi)	jiǎo-zi	0	???	8

193	餛飩	97	noun	food	六、飮食	名 詞	dumpling (Wonton)	hún-tún	0	???	8

194	面條兒	97	noun	food	六、飮食	名 詞	noodles	miàn-tiáo-ní	0	???	8

195	糕	98	noun	food	六、飮食	名 詞	cakes, pastry	gāo	0	???	8

196	餡兒	98	noun	food	六、飮食	名 詞	stuffing (in food)	xiàn-er	0	???	8

197	菜(菜肴)	99	noun	food	六、飮食	名 詞	dish (food)	cài (-cài-yáo/xiáo-)	0	???	8

198	葷菜	99	noun	food	六、飮食	名 詞	meat dishes	hūn/xūn-cài	???	???	8

199	素菜	100	noun	food	六、飮食	名 詞	vegetable dishes	sù-cài	0	???	8

200	湯	100	noun	food	六、飮食	名 詞	soup	tāng	0	???	8

201	豬肉	101	noun	food	六、飮食	名 詞	pork	zhū-ròu	0	???	8

202	豬肝	101	noun	food	六、飮食	名 詞	pork liver	zhū-gān	1224	LIVER (noun)	5

203	豬舌頭	102	noun	food	六、飮食	名 詞	pork tongue	zhū-huá-tóu	1205	TONGUE (noun)	5

204	雞蛋	102	noun	food	六、飮食	名 詞	egg	jī-dàn	744	EGG (noun)	3

205	腐乳	103	noun	food	六、飮食	名 詞	fermented bean curd	fǔ-rǔ	0	???	8

206	粉條兒	103	noun	food	六、飮食	名 詞	thin noodles (Fentiao)	fěn-tiáo-ní	???	???	8

207	作料	104	noun	food	六、飮食	名 詞	condiments, seasoning	zuò-liáo	0	???	8

208	豬油	104	noun	food	六、飮食	名 詞	pork fat	zhū-yóu	0	???	8

209	醬油	105	noun	food	六、飮食	名 詞	soy sauce	jiàng-yóu	0	???	8

210	醋	105	noun	food	六、飮食	名 詞	vinegar	cù	0	???	8

211	糖	106	noun	food	六、飮食	名 詞	sugar, sweets	táng	0	???	8

212	蜂蜜	106	noun	food	六、飮食	名 詞	honey	péng-mì	0	???	8

213	酒	107	noun	food	六、飮食	名 詞	alcoholic beverage	jiǔ	0	???	8

214	茶	107	noun	food	六、飮食	名 詞	tea	chá	0	???	8

215	冰淇淋	108	noun	food	六、飮食	名 詞	ice cream	níng-qí-lín	???	???	8

216	冰棍兒	108	noun	food	六、飮食	名 詞	popsicle	níng-hùn-ní	0	???	8

217	開水	109	noun	food	六、飮食	名 詞	boiled water	kāi-shuǐ	???	???	8

218	紙煙	109	noun	food	六、飮食	名 詞	cigarette	zhǐ-yān	0	???	8

219	衣服	110	noun	clothing	七、服飾	名 詞	clothes	yī-fú	0	???	8

220	上衣	110	noun	clothing	七、服飾	名 詞	jacket	shàng-yī	0	???	8

221	襯衫	111	noun	clothing	七、服飾	名 詞	shirt	chèn-shān	0	???	8

222	汗衫	111	noun	clothing	七、服飾	名 詞	undershirt	hàn-shān	0	???	8

223	夾祅	112	noun	clothing	七、服飾	名 詞	Jia'ao (costume)	jiā-yāo	0	???	8

224	毛衣	112	noun	clothing	七、服飾	名 詞	woolen sweater	máo-yī	0	???	8

225	大衣	113	noun	clothing	七、服飾	名 詞	coat	dà-yī	0	???	8

226	褲子	113	noun	clothing	七、服飾	名 詞	trousers	kù-zǐ	0	???	8

227	群子	114	noun	clothing	七、服飾	名 詞	skirt	qún-zǐ	0	???	8

228	短褲	114	noun	clothing	七、服飾	名 詞	shorts	duǎn-kù	0	???	8

229	帽子	115	noun	clothing	七、服飾	名 詞	hat	mào-zǐ	0	???	8

230	鞋	115	noun	clothing	七、服飾	名 詞	shoes	xié	0	???	8

231	拖鞋	116	noun	clothing	七、服飾	名 詞	slippers	tuō/duò-xié	0	???	8

232	木拖鞋	116	noun	clothing	七、服飾	名 詞	wooden slippers	mù-tuō/duò-xié	0	???	8

233	靴子	117	noun	clothing	七、服飾	名 詞	boots	xuē-zǐ	0	???	8

234	圍巾	117	noun	clothing	七、服飾	名 詞	shawl	wéi-jīn	0	???	8

235	手套	118	noun	clothing	七、服飾	名 詞	glove	shǒu-tào	0	???	8

236	襪子	118	noun	clothing	七、服飾	名 詞	socks	wà-zǐ	0	???	8

237	毛巾	119	noun	clothing	七、服飾	名 詞	towel, washcloth	máo-jīn	0	???	8

238	手帕	119	noun	clothing	七、服飾	名 詞	handkerchief	shǒu-mò	0	???	8

239	圍嘴兒	120	noun	clothing	七、服飾	名 詞	bib	wéi-zuǐ-ní	0	???	8

240	領子	120	noun	clothing	七、服飾	名 詞	collar	lǐng-zǐ	0	???	8

241	袖子	121	noun	clothing	七、服飾	名 詞	sleeve	xiù-zǐ	0	???	8

242	裏子	121	noun	clothing	七、服飾	名 詞	lining (of clothes)	lǐ-zǐ	0	???	8

243	房子	122	noun	living, dwelling	八、房屋	名 詞	building // house	páng-zǐ	0	???	8
243	房子	122	noun	living, dwelling	八、房屋	名 詞	building // house	páng-zǐ	1252	HOUSE (noun)	3

244	屋子	122	noun	living, dwelling	八、房屋	名 詞	room	wū-zǐ	0	???	8

245	正房	123	noun	living, dwelling	八、房屋	名 詞	middle room in the whole house	zhèng-páng	1093	MIDDLE (noun)	5

246	廂房	123	noun	living, dwelling	八、房屋	名 詞	wing-room	xiāng-páng	0	???	8

247	廚房	124	noun	living, dwelling	八、房屋	名 詞	kitchen	chú-páng	0	???	8

248	厠所	124	noun	living, dwelling	八、房屋	名 詞	toilet	cè-suǒ	0	???	8

249	柱子	125	noun	living, dwelling	八、房屋	名 詞	column	zhǔ-zǐ	0	???	8

250	房梁	125	noun	living, dwelling	八、房屋	名 詞	beam (in a house)	páng-liáng	0	???	8

251	墻	126	noun	living, dwelling	八、房屋	名 詞	wall	qiáng	0	???	8

252	窗子	126	noun	living, dwelling	八、房屋	名 詞	window	chuāng-zǐ	0	???	8

253	鬥檻兒	127	noun	living, dwelling	八、房屋	名 詞	bucket trap	dòu-xiàn-ní	0	???	8

254	曬臺	127	noun	living, dwelling	八、房屋	名 詞	flat roof	xì-tái	0	???	8

255	欄桿	128	noun	living, dwelling	八、房屋	名 詞	balustrade	lán-gǎn	0	???	8

256	臺階	128	noun	living, dwelling	八、房屋	名 詞	steps (of stairs)	tái-jiē	0	???	8

257	樓梯	129	noun	living, dwelling	八、房屋	名 詞	stairs	lóu-tī	0	???	8

258	院子	129	noun	living, dwelling	八、房屋	名 詞	courtyard	huán-zǐ	0	???	8

259	天井	130	noun	living, dwelling	八、房屋	名 詞	courtyard	tiān-jǐng	0	???	8

260	井	130	noun	living, dwelling	八、房屋	名 詞	well	jǐng	0	???	8

261	家俱	131	noun	tools of daily use	九、器具、日常用具	名 詞	furniture	jiā-jù	0	???	8

262	桌子	131	noun	tools of daily use	九、器具、日常用具	名 詞	table	zhuō-zǐ	0	???	8

263	椅子	132	noun	tools of daily use	九、器具、日常用具	名 詞	chair	yī-zǐ	0	???	8

264	凳子	132	noun	tools of daily use	九、器具、日常用具	名 詞	stool	dèng-zǐ	0	???	8

265	書桌	133	noun	tools of daily use	九、器具、日常用具	名 詞	desk	shū-zhuō	0	???	8

266	櫃子	133	noun	tools of daily use	九、器具、日常用具	名 詞	cupboard	guì-zǐ	0	???	8

267	抽屜	134	noun	tools of daily use	九、器具、日常用具	名 詞	drawer	chōu-tì	0	???	8

268	盒子	134	noun	tools of daily use	九、器具、日常用具	名 詞	box	hé-zǐ	0	???	8

269	箱子	135	noun	tools of daily use	九、器具、日常用具	名 詞	case, box	xiāng-zǐ	0	???	8

270	皮箱	135	noun	tools of daily use	九、器具、日常用具	名 詞	leather case	pí-xiāng	0	???	8

271	床	136	noun	tools of daily use	九、器具、日常用具	名 詞	bed	chuáng	0	???	8

272	被子	136	noun	tools of daily use	九、器具、日常用具	名 詞	quilt	bì-zǐ	0	???	8

273	褥子	137	noun	tools of daily use	九、器具、日常用具	名 詞	puff	nù-zǐ	0	???	8

274	毯子	137	noun	tools of daily use	九、器具、日常用具	名 詞	carpet	tǎn-zǐ	0	???	8

275	枕頭	138	noun	tools of daily use	九、器具、日常用具	名 詞	pillow	chén-tóu	0	???	8

276	席子	138	noun	tools of daily use	九、器具、日常用具	名 詞	mat	xí-zǐ	0	???	8

277	帳子	139	noun	tools of daily use	九、器具、日常用具	名 詞	bed-curtain	zhàng-zǐ	0	???	8

278	鍋	139	noun	tools of daily use	九、器具、日常用具	名 詞	cooking-pot	guō	0	???	8

