ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	GLOSS	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
Hou-2004-180-135	1606	INSIDE	135	inside	里面	0	???	8

Hou-2004-180-136	762	OUTSIDE	136	outside	外面	0	???	8

Hou-2004-180-137	717	SWEET	137	sweet	甜	0	???	8

Hou-2004-180-138	1906	SOUR	138	sour	酸	0	???	8

Hou-2004-180-139	1091	SALTY	139	salty	咸	0	???	8

Hou-2004-180-140	2181	LIGHT (IN TASTE)	140	watery	淡	0	???	8

Hou-2004-180-141	1279	FAT (OBESE)	141	fat	胖	0	???	8

Hou-2004-180-142	1400	THIN (SLIM)	142	thin	瘦	0	???	8

Hou-2004-180-143	1287	COLD (OF TEMPERATURE)	143	cold	冷	0	???	8

Hou-2004-180-144	1286	HOT	144	hot	热	0	???	8

Hou-2004-180-145	376	FRAGRANT	145	well smelling	香	0	???	8

Hou-2004-180-146	42	STINKING	146	stinky	臭	0	???	8

Hou-2004-180-147	1244	THICK	147	thick	粗	0	???	8

Hou-2004-180-148	1246	SMALL	148	tiny	细	0	???	8

Hou-2004-180-149	1203	LONG	149	long	长	0	???	8

Hou-2004-180-150	1645	SHORT	150	short	短	0	???	8

Hou-2004-180-151	1230	DIRTY	151	dirty	脏	0	???	8

Hou-2004-180-152	704	CLEAN	152	clean	干净	0	???	8

Hou-2004-180-153	1887	CHEAP	153	cheap	便宜	0	???	8

Hou-2004-180-154	84	JUST	154	just (just came)	刚	0	???	8

Hou-2004-180-155	1466	EXACT	155	just (just appropriate)	刚	0	???	8

Hou-2004-180-156	1725	CORRECT (RIGHT)	156	just right	正好	0	???	8

Hou-2004-180-157	1577	AND	157	and	和	0	???	8

Hou-2004-180-158	1580	ONLY	158	only	只	0	???	8

Hou-2004-180-159	693	FROM	159	from	从	0	???	8

Hou-2004-180-160	1652	INSTEAD	160	instead of	替	0	???	8

Hou-2004-180-161	1749	TAKE	161	take	拿	0	???	8

Hou-2004-180-162	1031	ON PURPOSE	162	on purpose	故意	0	???	8

Hou-2004-180-163	1493	ONE	163	one	一	0	???	8

Hou-2004-180-164	1498	TWO	164	two	二	0	???	8

Hou-2004-180-165	492	THREE	165	three	三	0	???	8

Hou-2004-180-166	1500	FOUR	166	four	四	0	???	8

Hou-2004-180-167	493	FIVE	167	five	五	0	???	8

Hou-2004-180-168	1703	SIX	168	six	六	0	???	8

Hou-2004-180-169	1704	SEVEN	169	seven	七	0	???	8

Hou-2004-180-170	1705	EIGHT	170	eight	八	0	???	8

Hou-2004-180-171	1483	NINE	171	nine	九	0	???	8

Hou-2004-180-172	1515	TEN	172	ten	十	0	???	8

Hou-2004-180-173	1706	ELEVEN	173	eleven	十一	0	???	8

Hou-2004-180-174	1707	TWELVE	174	twelve	十二	0	???	8

Hou-2004-180-175	1710	TWENTY	175	twenty	二十	0	???	8

Hou-2004-180-176	1734	TWENTY ONE	176	twenty one	二十一	0	???	8

Hou-2004-180-177	728	FIRST	177	first	第一	0	???	8

Hou-2004-180-178	1384	SECOND	178	second	第二	0	???	8

Hou-2004-180-179	2179	TWO MILES	179	two miles	两里	0	???	8

Hou-2004-180-180	2180	TWO OUNCES	180	two ounces	二两	0	???	8

