ID	NUMBER	PARAGRAPH	GLOSS
Comrie-1977-207-138	138	5.2.138	seed
Comrie-1977-207-139	139	5.2.139	sew
Comrie-1977-207-140	140	5.2.140	sharp
Comrie-1977-207-141	141	5.2.141	short
Comrie-1977-207-142	142	5.2.142	sing
Comrie-1977-207-143	143	5.2.143	sit
Comrie-1977-207-144	144	5.2.144	skin
Comrie-1977-207-145	145	5.2.145	sky
Comrie-1977-207-146	146	5.2.146	sleep
Comrie-1977-207-147	147	5.2.147	small
Comrie-1977-207-148	148	5.2.148	smell
Comrie-1977-207-149	149	5.2.149	smoke
Comrie-1977-207-150	150	5.2.150	smooth
Comrie-1977-207-151	151	5.2.151	snake
Comrie-1977-207-152	152	5.2.152	snow
Comrie-1977-207-153	153	5.2.153	some
Comrie-1977-207-154	154	5.2.154	spit
Comrie-1977-207-155	155	5.2.155	split
Comrie-1977-207-156	156	5.2.156	squeeze
Comrie-1977-207-157	157	5.2.157	stab/pierce
Comrie-1977-207-158	158	5.2.158	stand
Comrie-1977-207-159	159	5.2.159	star
Comrie-1977-207-160	160	5.2.160	stick
Comrie-1977-207-161	161	5.2.161	stone
Comrie-1977-207-162	162	5.2.162	straight
Comrie-1977-207-163	163	5.2.163	suck
Comrie-1977-207-164	164	5.2.164	sun
Comrie-1977-207-165	165	5.2.165	swell
Comrie-1977-207-166	166	5.2.166	swim
Comrie-1977-207-167	167	5.2.167	tail
Comrie-1977-207-168	168	5.2.168	that
Comrie-1977-207-169	169	5.2.169	there
Comrie-1977-207-170	170	5.2.170	they
Comrie-1977-207-171	171	5.2.171	thick
Comrie-1977-207-172	172	5.2.172	thin
Comrie-1977-207-173	173	5.2.173	think
Comrie-1977-207-174	174	5.2.174	this
Comrie-1977-207-175	175	5.2.175	thou
Comrie-1977-207-176	176	5.2.176	three
Comrie-1977-207-177	177	5.2.177	throw
Comrie-1977-207-178	178	5.2.178	tie
Comrie-1977-207-179	179	5.2.179	tongue
Comrie-1977-207-180	180	5.2.180	tooth
Comrie-1977-207-181	181	5.2.181	tree
Comrie-1977-207-182	182	5.2.182	turn
Comrie-1977-207-183	183	5.2.183	two
Comrie-1977-207-184	184	5.2.184	vomit
Comrie-1977-207-185	185	5.2.185	walk
Comrie-1977-207-186	186	5.2.186	warm
Comrie-1977-207-187	187	5.2.187	wash
Comrie-1977-207-188	188	5.2.188	water
Comrie-1977-207-189	189	5.2.189	we
Comrie-1977-207-190	190	5.2.190	wet
Comrie-1977-207-191	191	5.2.191	what
Comrie-1977-207-192	192	5.2.192	when
Comrie-1977-207-193	193	5.2.193	where
Comrie-1977-207-194	194	5.2.194	white
Comrie-1977-207-195	195	5.2.195	who
Comrie-1977-207-196	196	5.2.196	wide
Comrie-1977-207-197	197	5.2.197	wife
Comrie-1977-207-198	198	5.2.198	wind
Comrie-1977-207-199	199	5.2.199	wing
Comrie-1977-207-200	200	5.2.200	wipe
Comrie-1977-207-201	201	5.2.201	with
Comrie-1977-207-202	202	5.2.202	woman
Comrie-1977-207-203	203	5.2.203	woods
Comrie-1977-207-204	204	5.2.204	worm
Comrie-1977-207-205	205	5.2.205	ye
Comrie-1977-207-206	206	5.2.206	year
Comrie-1977-207-207	207	5.2.207	yellow
