NUMBER	ENGLISH	SUBSET	SOURCE
Shin-1995-1468-78	78	bark	(1500)	K. & K.
Shin-1995-1468-79	79	barley	(1500)	K. & K.
Shin-1995-1468-80	80	basket	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-81	81	bat	(700)	B. & Th., JHG
Shin-1995-1468-82	82	be	(700)	CL, K. & K.
Shin-1995-1468-83	83	be afraid	(700)	B. & Th., K. & K.
Shin-1995-1468-84	84	be born	(1500)	CL
Shin-1995-1468-85	85	be glad	(700)	CL, K. & K.
Shin-1995-1468-86	86	be the case	(1500)	CL
Shin-1995-1468-87	87	be tired	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-88	88	beak	(1500)	K. & K.
Shin-1995-1468-89	89	bean	(1500)	B. & Th.
Shin-1995-1468-90	90	bear	(1500)	K. & K.
Shin-1995-1468-91	91	beard	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-92	92	beat	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-93	93	beautiful	(700)	B. & Th., JHG
Shin-1995-1468-94	94	because	(400)	B. & Th., C. & S., MS
Shin-1995-1468-95	95	because of whom	(1500)	B. & Th.
Shin-1995-1468-96	96	become	(700)	CL, K. & K.
Shin-1995-1468-97	97	become evident	(1500)	CL
Shin-1995-1468-98	98	bed	(700)	B. & Th., K. & K.
Shin-1995-1468-99	99	bee	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-100	100	beesting	(1500)	K. & K.
Shin-1995-1468-101	101	beg-bug	(1500)	K. & K.
Shin-1995-1468-102	102	beget	(700)	B. & Th., JHG
Shin-1995-1468-103	103	begin	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-104	104	behind	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-105	105	belch	(700)	B. & Th., K. & K.
Shin-1995-1468-106	106	believe	(700)	CL, K. & K.
Shin-1995-1468-107	107	bellows	(1500)	K. & K.
Shin-1995-1468-108	108	belly	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-109	109	belong	(1500)	CL
Shin-1995-1468-110	110	belt	(1500)	K. & K.
Shin-1995-1468-111	111	bend	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-112	112	berry	(1500)	MS
Shin-1995-1468-113	113	besom	(1500)	K. & K.
Shin-1995-1468-114	114	between	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-115	115	big	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-116	116	birch	(1500)	K. & K.
Shin-1995-1468-117	117	bird	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-118	118	bitch	(1500)	K. & K.
Shin-1995-1468-119	119	bite	(100)	B. & Th., C. & S., CL, JHG., K. & K., MS
Shin-1995-1468-120	120	bitter	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-121	121	black	(100)	B. & Th., C. & S., CL, JHG., K. & K., MS
Shin-1995-1468-122	122	black bird	(1500)	K. & K.
Shin-1995-1468-123	123	blacken	(1500)	CL
Shin-1995-1468-124	124	blacksmith	(1500)	B. & Th.
Shin-1995-1468-125	125	bladder	(700)	B. & Th., JHG
Shin-1995-1468-126	126	bleat	(1500)	K. & K.
Shin-1995-1468-127	127	blind	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-128	128	blood	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-129	129	blow	(200)	B. & Th., C. & S., CL, JHG, MS
Shin-1995-1468-130	130	blue	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-131	131	blunt	(700)	B. & Th., JHG
Shin-1995-1468-132	132	board	(1500)	K. & K.
Shin-1995-1468-133	133	board for threshing	(1500)	K. & K.
Shin-1995-1468-134	134	boat	(700)	B. & Th., JHG
Shin-1995-1468-135	135	body	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-136	136	boggy ground	(1500)	K. & K.
Shin-1995-1468-137	137	boil	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-138	138	boil	(1500)	K. & K.
Shin-1995-1468-139	139	bone	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-140	140	boot	(1500)	K. & K.
Shin-1995-1468-141	141	border	(1500)	CL
Shin-1995-1468-142	142	bore	(1500)	CL
Shin-1995-1468-143	143	bored	(1500)	CL
Shin-1995-1468-144	144	borrow	(700)	B. & Th., CL
Shin-1995-1468-145	145	bottom	(700)	B. & Th., K. & K.
Shin-1995-1468-146	146	bounce	(1500)	CL
Shin-1995-1468-147	147	bow	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-148	148	bow-legged	(1500)	B. & Th.
Shin-1995-1468-149	149	box	(1500)	CL
Shin-1995-1468-150	150	boy	(700)	B. & Th., JHG
Shin-1995-1468-151	151	bracelet	(700)	B. & Th., K. & K.
Shin-1995-1468-152	152	braid	(1500)	B. & Th.
Shin-1995-1468-153	153	brain	(700)	B. & Th., K. & K.
Shin-1995-1468-154	154	braise	(1500)	B. & Th.
Shin-1995-1468-155	155	branch	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-156	156	bread	(1500)	K. & K.
Shin-1995-1468-157	157	break	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-158	158	break off	(1500)	K. & K.
Shin-1995-1468-159	159	breast	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-160	160	breathe	(400)	B. & Th., C. & S., MS
Shin-1995-1468-161	161	bride	(1500)	K. & K.
Shin-1995-1468-162	162	bridge	(1500)	K. & K.
Shin-1995-1468-163	163	bridle	(1500)	K. & K.
Shin-1995-1468-164	164	bring	(400)	B. & Th., CL, JHG
Shin-1995-1468-165	165	brook	(1500)	K. & K.
Shin-1995-1468-166	166	broth	(1500)	K. & K.
Shin-1995-1468-167	167	brother	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-168	168	brush	(1500)	CL
Shin-1995-1468-169	169	build	(700)	B. & Th., JHG
Shin-1995-1468-170	170	building	(1500)	K. & K.
Shin-1995-1468-171	171	bull	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-172	172	bump	(1500)	B. & Th.
Shin-1995-1468-173	173	bur	(1500)	K. & K.
Shin-1995-1468-174	174	burdock	(1500)	K. & K.
Shin-1995-1468-175	175	burn	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-176	176	burst	(700)	CL, K. & K.
Shin-1995-1468-177	177	burst into blossom	(1500)	CL
Shin-1995-1468-178	178	bury	(700)	B. & Th., JHG
Shin-1995-1468-179	179	bush	(700)	B. & Th., K. & K.
Shin-1995-1468-180	180	bush cow	(700)	B. & Th., JHG
Shin-1995-1468-181	181	bush rat	(700)	B. & Th., JHG
Shin-1995-1468-182	182	bush spirit	(1500)	B. & Th.
Shin-1995-1468-183	183	butter	(1500)	K. & K.
Shin-1995-1468-184	184	butterfly	(1500)	K. & K.
Shin-1995-1468-185	185	buttocks	(700)	B. & Th., JHG
Shin-1995-1468-186	186	button	(1500)	K. & K.
Shin-1995-1468-187	187	buy	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-188	188	calabash	(700)	B. & Th., JHG
Shin-1995-1468-189	189	calf	(700)	B. & Th., K. & K.
Shin-1995-1468-190	190	call	(400)	B. & Th., CL, JHG
Shin-1995-1468-191	191	can	(1500)	K. & K.
Shin-1995-1468-192	192	cane	(700)	B. & Th., K. & K.
Shin-1995-1468-193	193	caraway	(1500)	K. & K.
Shin-1995-1468-194	194	carcass	(1500)	K. & K.
Shin-1995-1468-195	195	care for	(1500)	CL
Shin-1995-1468-196	196	carn	(1500)	CL
Shin-1995-1468-197	197	carpet	(1500)	K. & K.
Shin-1995-1468-198	198	carry	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-199	199	cartilage	(1500)	K. & K.
Shin-1995-1468-200	200	carve	(1500)	CL
Shin-1995-1468-201	201	cast	(1500)	B. & Th.
Shin-1995-1468-202	202	cat	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-203	203	catch	(1500)	CL
Shin-1995-1468-204	204	catch fire	(700)	B. & Th., K. & K.
Shin-1995-1468-205	205	cattle-shed	(1500)	K. & K.
Shin-1995-1468-206	206	cave	(1500)	K. & K.
Shin-1995-1468-207	207	cease	(1500)	CL
Shin-1995-1468-208	208	ceiling	(1500)	K. & K.
Shin-1995-1468-209	209	chaff	(1500)	K. & K.
Shin-1995-1468-210	210	chain	(1500)	K. & K.
Shin-1995-1468-211	211	chameleon	(700)	B. & Th., JHG
Shin-1995-1468-212	212	change	(1500)	CL
Shin-1995-1468-213	213	charcoal	(1500)	K. & K.
Shin-1995-1468-214	214	chase	(1500)	CL
Shin-1995-1468-215	215	cheap	(700)	B. & Th., JHG
Shin-1995-1468-216	216	cheat	(1500)	B. & Th.
Shin-1995-1468-217	217	cheek	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-218	218	cheese	(1500)	K. & K.
Shin-1995-1468-219	219	chest	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-220	220	chew	(1500)	K. & K.
Shin-1995-1468-221	221	chicken	(700)	B. & Th., JHG
Shin-1995-1468-222	222	chief food plants	(700)	B. & Th., JHG
Shin-1995-1468-223	223	child	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-224	224	chimpanzee	(1500)	B. & Th.
Shin-1995-1468-225	225	chin	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-226	226	chip	(1500)	K. & K.
Shin-1995-1468-227	227	chisel	(1500)	B. & Th.
Shin-1995-1468-228	228	choose	(1500)	K. & K.
Shin-1995-1468-229	229	chop	(400)	B. & Th., CL, JHG
Shin-1995-1468-230	230	chukhta	(1500)	K. & K.
Shin-1995-1468-231	231	civet-cat	(1500)	B. & Th.
Shin-1995-1468-232	232	claw	(700)	B. & Th., C. & S.
Shin-1995-1468-233	233	clay	(1500)	B. & Th.
Shin-1995-1468-234	234	clay stove for bread baking	(1500)	K. & K.
Shin-1995-1468-235	235	clean	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-236	236	clear	(1500)	B. & Th.
Shin-1995-1468-237	237	clew	(1500)	K. & K.
Shin-1995-1468-238	238	close	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-239	239	clothing	(400)	B. & Th., JHG, MS
Shin-1995-1468-240	240	cloud	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-241	241	coal	(700)	B. & Th., JHG
Shin-1995-1468-242	242	cobra	(1500)	B. & Th.
Shin-1995-1468-243	243	cock	(1500)	K. & K.
Shin-1995-1468-244	244	cock’s comb	(1500)	K. & K.
Shin-1995-1468-245	245	cold	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-246	246	collective work	(1500)	K. & K.
Shin-1995-1468-247	247	colobus monkey	(1500)	B. & Th.
Shin-1995-1468-248	248	comb	(700)	CL, K. & K.
Shin-1995-1468-249	249	comb for wool	(1500)	K. & K.
Shin-1995-1468-250	250	come	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-251	251	come in	(1500)	K. & K.
Shin-1995-1468-252	252	compatible	(1500)	CL
Shin-1995-1468-253	253	comply with	(1500)	CL
Shin-1995-1468-254	254	compose	(1500)	CL
Shin-1995-1468-255	255	conceal	(1500)	CL
Shin-1995-1468-256	256	consider	(1500)	CL
Shin-1995-1468-257	257	contact	(1500)	B. & Th.
Shin-1995-1468-258	258	contain	(1500)	CL
Shin-1995-1468-259	259	continue	(1500)	CL
Shin-1995-1468-260	260	convalesce	(1500)	CL
Shin-1995-1468-261	261	cook	(700)	MS, B. & Th.
Shin-1995-1468-262	262	cooking banana	(1500)	B. & Th.
Shin-1995-1468-263	263	cool	(700)	B. & Th., JHG
Shin-1995-1468-264	264	copper	(200)	B. & Th., JHG, K. & K.
Shin-1995-1468-265	265	copper cauldron	(1500)	K. & K.
Shin-1995-1468-266	266	copulate	(1500)	K. & K.
Shin-1995-1468-267	267	cord	(1500)	K. & K.
Shin-1995-1468-268	268	cornel	(1500)	K. & K.
Shin-1995-1468-269	269	corner	(1500)	K. & K.
Shin-1995-1468-270	270	corpse	(700)	B. & Th., JHG
Shin-1995-1468-271	271	cough	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-272	272	count	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-273	273	courageous	(1500)	B. & Th.
Shin-1995-1468-274	274	cover	(700)	B. & Th., CL
Shin-1995-1468-275	275	cow	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-276	276	cower	(1500)	CL
Shin-1995-1468-277	277	cowrie	(1500)	B. & Th.
Shin-1995-1468-278	278	crab	(700)	B. & Th., JHG
Shin-1995-1468-279	279	crack	(1500)	CL
Shin-1995-1468-280	280	cradle	(1500)	K. & K.
Shin-1995-1468-281	281	crash	(1500)	CL
Shin-1995-1468-282	282	create	(1500)	CL
Shin-1995-1468-283	283	creep	(1500)	CL
Shin-1995-1468-284	284	crocodile	(700)	B. & Th., JHG
Shin-1995-1468-285	285	crooked	(1500)	K. & K.
Shin-1995-1468-286	286	crop farmer	(1500)	B. & Th.
Shin-1995-1468-287	287	crouch	(1500)	B. & Th.
Shin-1995-1468-288	288	crow	(1500)	K. & K.
Shin-1995-1468-289	289	crow	(1500)	K. & K.
Shin-1995-1468-290	290	crumble	(1500)	K. & K.
Shin-1995-1468-291	291	crush	(1500)	B. & Th.
Shin-1995-1468-292	292	cry	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-293	293	cuckoo	(1500)	K. & K.
Shin-1995-1468-294	294	cultivate	(1500)	B. & Th.
Shin-1995-1468-295	295	cup	(700)	B. & Th., JHG
Shin-1995-1468-296	296	curdle	(1500)	K. & K.
Shin-1995-1468-297	297	cure	(700)	B. & Th., CL
Shin-1995-1468-298	298	cut	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-299	299	cut off	(1500)	B. & Th.
Shin-1995-1468-300	300	cut out	(1500)	K. & K.
Shin-1995-1468-301	301	cut up	(1500)	B. & Th.
Shin-1995-1468-302	302	dagger	(1500)	K. & K.
Shin-1995-1468-303	303	dance	(400)	B. & Th., JHG, MS
Shin-1995-1468-304	304	dance	(700)	CL, K. & K.
Shin-1995-1468-305	305	dare	(1500)	CL
Shin-1995-1468-306	306	dark	(1500)	CL
Shin-1995-1468-307	307	darkness	(1500)	B. & Th.
Shin-1995-1468-308	308	daughter	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-309	309	daughter-in-law	(700)	B. & Th., JHG
Shin-1995-1468-310	310	dawn	(1500)	B. & Th.
Shin-1995-1468-311	311	day	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-312	312	day after tomorrow	(1500)	B. & Th.
Shin-1995-1468-313	313	day before yesterday	(1500)	B. & Th.
Shin-1995-1468-314	314	daylight	(1500)	B. & Th.
Shin-1995-1468-315	315	dead	(1500)	CL
Shin-1995-1468-316	316	dead man	(1500)	B. & Th.
Shin-1995-1468-317	317	deaf	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-318	318	dear	(700)	B. & Th., JHG
Shin-1995-1468-319	319	death	(700)	B. & Th., JHG
Shin-1995-1468-320	320	deceive	(1500)	CL
Shin-1995-1468-321	321	decrease	(700)	B. & Th., JHG
Shin-1995-1468-322	322	deep	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-323	323	deer	(1500)	K. & K.
Shin-1995-1468-324	324	defecate	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-325	325	delivery	(1500)	B. & Th.
Shin-1995-1468-326	326	demolish	(1500)	B. & Th.
Shin-1995-1468-327	327	deny	(1500)	B. & Th.
Shin-1995-1468-328	328	desire	(1500)	B. & Th.
Shin-1995-1468-329	329	destroy	(1500)	CL
Shin-1995-1468-330	330	detachment	(1500)	K. & K.
Shin-1995-1468-331	331	dew	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-332	332	diarrhea	(1500)	B. & Th.
Shin-1995-1468-333	333	die	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-334	334	die out	(1500)	K. & K.
Shin-1995-1468-335	335	differ	(1500)	CL
Shin-1995-1468-336	336	different	(1500)	CL
Shin-1995-1468-337	337	difficult	(1500)	CL
Shin-1995-1468-338	338	dig	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-339	339	dirt	(1500)	K. & K.
Shin-1995-1468-340	340	dirty	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-341	341	disappear	(700)	CL, K. & K.
Shin-1995-1468-342	342	displace	(1500)	CL
Shin-1995-1468-343	343	distend	(1500)	B. & Th.
Shin-1995-1468-344	344	divide	(700)	B. & Th., JHG
Shin-1995-1468-345	345	do	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-346	346	doctor	(700)	B. & Th., JHG
Shin-1995-1468-347	347	dog	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-348	348	donkey	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-349	349	door	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-350	350	dough	(1500)	K. & K.
Shin-1995-1468-351	351	dove	(700)	B. & Th., JHG
Shin-1995-1468-352	352	down	(1500)	K. & K.
Shin-1995-1468-353	353	dowry	(1500)	B. & Th.
Shin-1995-1468-354	354	drag	(700)	CL, K. & K.
Shin-1995-1468-355	355	dream	(400)	B. & Th., CL, JHG
Shin-1995-1468-356	356	dream	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-357	357	dress	(700)	B. & Th., JHG
Shin-1995-1468-358	358	drink	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-359	359	drip	(1500)	K. & K.
Shin-1995-1468-360	360	drive	(1500)	K. & K.
Shin-1995-1468-361	361	drive away	(700)	B. & Th., JHG
Shin-1995-1468-362	362	drizzle	(1500)	CL
Shin-1995-1468-363	363	drop	(1500)	CL
Shin-1995-1468-364	364	drop	(1500)	K. & K.
Shin-1995-1468-365	365	drown	(1500)	CL
Shin-1995-1468-366	366	drum	(700)	B. & Th., JHG
Shin-1995-1468-367	367	dry	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-368	368	dry season	(700)	B. & Th., JHG
Shin-1995-1468-369	369	dry up	(400)	B. & Th., CL, JHG
Shin-1995-1468-370	370	duck	(700)	B. & Th., JHG
Shin-1995-1468-371	371	dull	(700)	C. & S., MS
Shin-1995-1468-372	372	dumb	(700)	B. & Th., JHG
Shin-1995-1468-373	373	dumpling	(1500)	K. & K.
Shin-1995-1468-374	374	dung	(700)	B. & Th., K. & K.
Shin-1995-1468-375	375	dust	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-376	376	dwell	(1500)	CL
Shin-1995-1468-377	377	each	(1500)	B. & Th.
Shin-1995-1468-378	378	eager	(1500)	CL
Shin-1995-1468-379	379	eagle	(1500)	B. & Th.
Shin-1995-1468-380	380	ear	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-381	381	ear	(1500)	K. & K.
Shin-1995-1468-382	382	earn	(1500)	B. & Th.
Shin-1995-1468-383	383	earth	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-384	384	earth pea	(1500)	B. & Th.
Shin-1995-1468-385	385	earth spirit	(1500)	B. & Th.
Shin-1995-1468-386	386	earthen floor	(1500)	K. & K.
Shin-1995-1468-387	387	earthen grouting	(1500)	K. & K.
Shin-1995-1468-388	388	earthen roof	(1500)	K. & K.
Shin-1995-1468-389	389	east	(700)	B. & Th., JHG
Shin-1995-1468-390	390	easy	(1500)	CL
Shin-1995-1468-391	391	eat	(100)	C. & S., JHG, K. & K., MS, B. & Th.
Shin-1995-1468-392	392	edge	(1500)	K. & K.
Shin-1995-1468-393	393	egg	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-394	394	eight	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-395	395	eighteen	(700)	B. & Th., JHG
Shin-1995-1468-396	396	eighty	(700)	B. & Th., JHG
Shin-1995-1468-397	397	elbow	(700)	B. & Th., JHG
Shin-1995-1468-398	398	elderly	(1500)	CL
Shin-1995-1468-399	399	elephant	(700)	B. & Th., JHG
Shin-1995-1468-400	400	eleven	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-401	401	embrace	(1500)	CL
Shin-1995-1468-402	402	empty	(700)	B. & Th., K. & K.
Shin-1995-1468-403	403	end	(1500)	CL
Shin-1995-1468-404	404	enter	(400)	B. & Th., CL, JHG
Shin-1995-1468-405	405	equal	(700)	B. & Th., CL
Shin-1995-1468-406	406	evening	(700)	B. & Th., JHG
Shin-1995-1468-407	407	everyone	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-408	408	everything	(700)	B. & Th., JHG
Shin-1995-1468-409	409	evolve	(1500)	CL
Shin-1995-1468-410	410	ewe	(1500)	K. & K.
Shin-1995-1468-411	411	exceed	(1500)	CL
Shin-1995-1468-412	412	exchange	(1500)	K. & K.
Shin-1995-1468-413	413	excrement	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-414	414	exist	(1500)	CL
Shin-1995-1468-415	415	expect	(1500)	CL
Shin-1995-1468-416	416	expensive	(1500)	B. & Th.
Shin-1995-1468-417	417	explain	(700)	CL, K. & K.
Shin-1995-1468-418	418	explode	(1500)	CL
Shin-1995-1468-419	419	eye	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-420	420	eyebrow	(700)	B. & Th., K. & K.
Shin-1995-1468-421	421	eyelash	(700)	B. & Th., K. & K.
Shin-1995-1468-422	422	face	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-423	423	fade	(700)	CL, K. & K.
Shin-1995-1468-424	424	faint	(1500)	CL
Shin-1995-1468-425	425	fall	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-426	426	fall asleep	(1500)	CL
Shin-1995-1468-427	427	fang	(1500)	K. & K.
Shin-1995-1468-428	428	far	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-429	429	farm	(700)	B. & Th., JHG
Shin-1995-1468-430	430	fart	(1500)	B. & Th.
Shin-1995-1468-431	431	fast	(1500)	CL
Shin-1995-1468-432	432	fastening	(1500)	K. & K.
Shin-1995-1468-433	433	fat	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-434	434	fat	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-435	435	father	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-436	436	father-in-law	(700)	B. & Th., JHG
Shin-1995-1468-437	437	father’s brother	(700)	B. & Th., JHG
Shin-1995-1468-438	438	father’s sister	(700)	B. & Th., JHG
Shin-1995-1468-439	439	fatigue	(700)	B. & Th., JHG
Shin-1995-1468-440	440	fear	(1500)	CL
Shin-1995-1468-441	441	fear	(400)	B. & Th., C. & S., MS
