NUMBER	GLOSS	SEMANTIC FIELD
255	break	Verbs of Action
256	cut (string)	Verbs of Action
257	cut (wood)	Verbs of Action
258	dig	Verbs of Action
259	fight	Verbs of Action
260	give	Verbs of Action
261	hit	Verbs of Action
262	hold	Verbs of Action
263	hunt	Verbs of Action
264	kill	Verbs of Action
265	pull	Verbs of Action
266	push	Verbs of Action
267	play	Verbs of Action
268	rub	Verbs of Action
269	sew	Verbs of Action
270	split	Verbs of Action
271	squeeze	Verbs of Action
272	stab	Verbs of Action
273	start	Verbs of Action
274	steal	Verbs of Action
275	tie	Verbs of Action
276	wash (hands)	Verbs of Action
277	wipe	Verbs of Action
278	work	Verbs of Action
279	come	Verbs of Movement
280	dance	Verbs of Movement
281	fall	Verbs of Movement
282	go	Verbs of Movement
283	go down	Verbs of Movement
284	go up	Verbs of Movement
285	meet	Verbs of Movement
286	swim	Verbs of Movement
287	bathe	Verbs of Movement
288	turn	Verbs of Movement
289	walk	Verbs of Movement
290	ask	Verbs, Mental Processes
291	count	Verbs, Mental Processes
292	know	Verbs, Mental Processes
293	say	Verbs, Mental Processes
294	sing	Verbs, Mental Processes
295	think	Verbs, Mental Processes
296	burn	Verbs, Natural Processes
297	float	Verbs, Natural Processes
298	flow	Verbs, Natural Processes
299	fly	Verbs, Natural Processes
300	swell	Verbs, Natural Processes
301	bite	Verbs, Body Action
302	blow	Verbs, Body Action
303	breathe	Verbs, Body Action
304	cry	Verbs, Body Action
305	die	Verbs, Body Action
306	drink	Verbs, Body Action
307	eat	Verbs, Body Action
308	hear	Verbs, Body Action
309	laugh	Verbs, Body Action
310	lie down	Verbs, Body Action
311	scratch	Verbs, Body Action
312	see	Verbs, Body Action
313	sit	Verbs, Body Action
314	sleep	Verbs, Body Action
315	smell	Verbs, Body Action
316	spit	Verbs, Body Action
317	stand	Verbs, Body Action
318	suck	Verbs, Body Action
319	vomit	Verbs, Body Action
320	urinate	Verbs, Body Action
321	defaecate	Verbs, Body Action
322	wait	Verbs, Body Action
323	copulate	Verbs, Body Action
324	faeces	Verbs, Body Action
