NUMBER	GLOSS	SEMANTIC TAG	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS
42	the ear	body	0081	1247	EAR (noun)
43	early	time	1018	672	EARLY
44	the earth (soil)	nature	0040	1228	EARTH (SOIL) (noun)
45	the earthworm	animal	0363	2350	EARTHWORM (noun)
46	to eat	action	1198	1336	EAT (verb)
47	the egg	animal, product	0450	744	EGG (noun)
48	eight	number	0804	1705	EIGHT
49	the eye	body	0079	1248	EYE (noun)
50	far	characterisation, location	0974	1406	FAR (adjective)
51	the father	kinship	0218	1217	FATHER (noun)
52	the feather	animal, product	0299	1201	FEATHER (noun)
53	to fight	action	1234	1423	FIGHT (verb)
54	the fire	nature	0018	221	FIRE (noun)
55	firewood	object, utility	0534	10	FIREWOOD (noun)
56	the fish	animal	0351	227	FISH (noun)
57	five	number	0801	493	FIVE
58	the flea	animal	0355	232	FLEA (noun)
59	to float	process	1553	1574	FLOAT (verb)
60	to flow	process	1502	2003	FLOW (verb)
61	the flower	plant	0377	239	FLOWER (noun)
62	to fly (move through air)	action	1318	1441	FLY (MOVE THROUGH AIR) (verb)
63	the fog	nature	0016	249	FOG (noun)
64	the foot	body	0103	1301	FOOT (noun)
65	the forest	nature	0050	420	FOREST (noun)
66	forget	action	1704	1523	FORGET (verb)
67	four	number	0800	1500	FOUR
68	the fox	animal	0325	1312	FOX (noun)
69	the frog	animal	0349	503	FROG (noun)
70	the front (front side)	location	0712	2194	FRONT (PART) (noun)
71	the frost	nature	0014	2034	FROST (noun)
72	the fruit	nature, food	0378	1507	FRUIT (noun)
73	full	characterisation, state	0984	1429	FULL (adjective)
74	to give	action	1345	1447	GIVE (verb)
75	the goat	animal	0276	1502	GOAT (noun)
76	good	characterisation, character	1052	1035	GOOD (adjective)
77	the grass	nature	0436	606	GRASS (noun)
78	green	characterization, color	1009	1425	GREEN (adjective)
79	the hail	nature	0013	609	HAIL (noun)
80	the hair (of the head)	body	0075	1040	HAIR (noun)
81	the hand	body	0107	1277	HAND (noun)
82	hard	characterisation, form	1034	1884	HARD (adjective)
83	he or she [third person singular]	pronoun	0934	262	HE
84	the head	body	0074	1256	HEAD (noun)
85	to hear	action	1682	1408	HEAR (verb)
86	the heart	body	0144	1223	HEART (noun)
87	heavy	characterisation, quantity	1014	1210	HEAVY (adjective)
88	here	location, pronoun	0944	136	HERE
89	to hide (conceal)	action	1169	602	HIDE, CONCEAL (verb)
90	high / tall	characterisation, quantity	0968	1265	HIGH (adjective)
91	to hold	action	1709	1448	HOLD (verb)
92	the hoof	body	0264	152	HOOF (noun)
93	horizontal	location	1001	2376	275
94	the horn (keratinized skin)	body, animal	0263	1393	HORN (KERATINIZED SKIN) (noun)
95	the horse	animal	0268	615	HORSE (noun)
96	hot	characterisation, temperature	1062	1286	HOT (adjective)
97	the house	residence	0494	1252	HOUSE (noun)
98	hundred	number	0824	1634	HUNDRED
99	to hunt	action	1230	1435	HUNT (verb)
100	the husband	kinship	0247	1200	HUSBAND (noun)
101	I [first person singular]	pronoun	0928	1209	I
102	the ice	nature	0017	617	ICE (noun)
103	inside	location	0715	1606	INSIDE
104	to kill	action	1602	1417	KILL (verb)
105	knead	action	1594	274	KNEAD (verb)
106	the knee	body	0101	1371	KNEE (noun)
107	knife	object, tool	0549	1352	KNIFE (CLASSIFIER) (classifier)
108	to know	action	1798	2248	KNOW (SOMEBODY) (verb)
109	the lake	nature	0031	624	LAKE (noun)
110	late	time	1019	477	LATE
111	to laugh	action	1735	1355	LAUGH (verb)
112	the leaf	body, animal	0376	628	LEAF (LEAFLIKE OBJECT) (noun)
113	learn	action	1742	504	LEARN (verb)
114	left	characterization, location	0710	244	LEFT (adjective)
115	to lick	action	1674	319	LICK (verb)
116	to lie down	action	1661	215	LIE DOWN (verb)
117	light (of weight)	characterisation, quantity	1052	737	LIGHT (IGNITE) (verb)
118	the lip (the lips)		0085	478	LIP (noun)
119	the liver	body	0145	1224	LIVER (noun)
120	long	characterization, quantity	0972	1203	LONG (adjective)
121	the louse	animal	0356	1392	LOUSE (noun)
122	the lung	body part	0143	688	LUNG (noun)
123	the man (male human)	human being	0173	2106	MAN (noun)
124	many	characterization, quantity	0987	1198	MANY
125	marry (a man marries a woman)	action	1578	2164	MARRY (AS WOMAN) (verb)
126	the meat	body, animal	0443	634	MEAT (noun)
127	middle	location	0708	1093	MIDDLE (noun)
128	the moon	nature, object	0004	1313	MOON (noun)
129	morning	time	0749	1339	MORNING (noun)
130	the mosquito	animal	0360	1509	MOSQUITO (noun)
131	the mother	kinship	0219	1216	MOTHER (noun)
132	the mountain	nature, geography	0023	639	MOUNTAIN (noun)
133	the mouse or rat	animal	0320	2139	MOUSE (noun)
134	the mouth	body	0084	674	MOUTH (noun)
135	the mud	nature	0046	640	MUD (noun)
136	the nail (fingernail or claw)	body	0113	2128	NAIL (TOOL) (noun)
137	the name	human being	0687	1405	NAME (noun)
138	narrow	characterization, quantity	0977	1267	NARROW (adjective)
139	near	characterization, quantity	0975	1942	NEAR (adjective)
140	the neck	body	0089	1333	NECK (noun)
141	the needle (for sewing)	object, tool	0578	1382	NEEDLE (FOR SEWING) (noun)
142	new	characterization, state	1050	1231	NEW (adjective)
143	nine	number	0805	1483	NINE
144	the nit	animal	0357	267	NIT (noun)
145	noon	time	0750	12	-
146	the nose	body	0080	1221	NOSE (noun)
147	old (of person)	characterization, state	1058	2112	OLD (USED)
148	one	number	0797	1493	ONE
149	the otter	animal	0317	15	OTTER (noun)
150	outside	location	0714	762	OUTSIDE
151	the pig	animal	0284	1337	PIG (CLASSIFIER) (classifier)
152	to plant (vegetals, rice)	action	1774	1486	PLANT (SOMETHING) (verb)
153	to play	action	1703	1413	PLAY (verb)
154	to pull	action	1568	1455	PULL (verb)
155	to push	action	1689	1452	PUSH (verb)
156	the rain	nature, phenomenon	0010	658	RAIN (PRECIPATION) (noun)
157	the rainbow	nature	0011	1733	RAINBOW (noun)
158	red	characterization, color	1007	156	RED (adjective)
159	to reside (live)	action	1452	1099	RESIDE (verb)
160	the rice plant	object, food	0439	2026	RICE PLANT (noun)
161	right	characterization, location	0711	1019	RIGHT (adjective)
162	the river	nature, geography	0030	666	RIVER (noun)
163	the road	object, geography	0038	667	ROAD (noun)
164	the root	body, animal	0375	670	ROOT (noun)
165	the rope	object, tool	0619	1218	ROPE (noun)
166	round	characterization, form	0990	1395	ROUND (adjective)
167	run	action	1544	1519	RUN (verb)
168	the salt	object, food	0061	1274	SALT (noun)
169	salty	characterisation, taste	1076	1091	SALTY (adjective)
170	the sand	nature, substance	0044	671	SAND (noun)
171	to scratch	action	1530	1436	SCRATCH (verb)
172	the sea	nature, geography	0032	1474	SEA (noun)
173	to see	action	1471	1409	SEE (verb)
174	the seed	object, food	0405	714	SEED (noun)
175	seven	number	0803	1704	SEVEN
176	sharp	characterization, form	1020	1396	SHARP (adjective)
177	the sheep	animal	0275	1331	SHEEP (noun)
178	to shoot (an arrow)	action	1611	1172	SHOOT (verb)
179	short	characterization, quantity	0973	1645	SHORT (adjective)
180	the shoulder	body	0090	1482	SHOULDER (noun)
181	shy	characterization, character	1365	487	SHY (adjective)
182	the sickle	object, tool	0624	341	SICKLE (noun)
183	to sing	action	1184	1261	SING (verb)
184	six	number	0802	1703	SIX
185	the skin	body	0120	763	SKIN (noun)
186	the sky	nature, geography	0001	1732	SKY (noun)
187	to sleep	action	1646	1585	SLEEP (verb)
188	small	characterization, quantity	0965	1246	SMALL (adjective)
189	to smell (perceive odor) [transitive]	action	1707	1586	SMELL (verb)
190	the smoke	nature	0019	778	SMOKE (EXHAUST) (noun)
191	smooth	characterization, form	1037	1234	SMOOTH (adjective)
192	the snake	animal	0347	730	SNAKE (noun)
193	the snow	nature, object	0012	784	SNOW (noun)
194	soft	characterisation, form	1035	1856	SOFT (adjective)
195	the son	kinship	0220	1620	SON (noun)
196	the sparrow	animal	0336	1854	SPARROW (noun)
197	the spider	animal	0361	843	SPIDER (noun)
198	to spit	action	1688	1440	SPIT (verb)
199	to stand	action	1784	1442	STAND (verb)
200	the star	nature, geography	0005	1430	STAR (noun)
201	to steal	action	1686	713	STEAL (verb)
202	the stick	object, tool	0586	1295	STICK (noun)
203	the stone (a piece of)	nature, substance	0379	857	STONE (noun)
204	straight	characterization, form	1003	1404	STRAIGHT (adjective)
205	the sun	object, geography	0002	1343	SUN (noun)
206	the tail	body, animal	0267	1220	TAIL (noun)
207	ten	number	0806	1515	TEN
208	that	pronoun	0947	78	THAT
209	there	location	0950	1937	THERE
210	thick	characterization, quantity	0980	1244	THICK (adjective)
211	the thigh	body	0100	800	THIGH (noun)
212	thin	characterization, form	1026	1400	THIN (SLIM) (adjective)
213	to think (reflect)	action	1726	1513	THINK (BELIEVE) (verb)
214	this	pronoun	0942	1214	THIS
215	thou [second person singular]	pronoun	0931	1215	THOU
216	three	number	0799	492	THREE
217	to throw	action	1687	1456	THROW (verb)
218	the thunder	object, phenomenon	0008	1150	THUNDER (noun)
219	the tiger	animal	0304	846	TIGER (noun)
220	today	time	0738	1283	TODAY
221	tomorrow	time	0742	1329	TOMORROW
222	the tongue	body	0139	1205	TONGUE (noun)
223	the tooth (front)	body	0137	1380	TOOTH (noun)
224	the tree	nature, object	0372	906	TREE (noun)
225	twenty	number	0816	1710	TWENTY
226	two	number	0798	1498	TWO
227	to vomit	action	1535	1278	VOMIT (verb)
228	to walk	action	1815	1443	WALK (verb)
229	the water	nature, substance	0047	948	WATER (noun)
230	we [first person plural inclusive]	pronoun	0930	1131	WE (EXCLUSIVE)
231	wet	characterisation, state	1029	1726	WET (adjective)
232	what	pronoun, question	0954	1236	WHAT
233	the wheat	object, food	0410	1077	WHEAT (noun)
234	where	pronoun, question	0955	1237	WHERE
235	white	characterisation, color	1006	1335	WHITE (adjective)
236	who	pronoun, question	0953	1235	WHO
237	the wife	kinship	0248	1199	WIFE (noun)
238	the wind	nature, phenomenon	0009	960	WIND (noun)
239	the wing	body, animal	0298	1257	WING (noun)
240	to wipe	action	1163	1454	WIPE (verb)
241	the wolf	animal	0324	522	WOLF (noun)
242	the woman	human being	0174	962	WOMAN (noun)
243	the wood (material)	plant, substance	0511	1803	WOOD (noun)
244	the worm	animal	0353	1219	WORM (noun)
245	the year	time	0777	1226	YEAR (noun)
246	yellow	characterisation, color	1008	1424	YELLOW (adjective)
247	yesterday	time	0739	1174	YESTERDAY
248	you [second person plural]	pronoun	0933	1213	YOU
249	young	characterisation, age	1059	1207	YOUNG (OF WOMAN) (adjective)
