NUMBER	GLOSS	MSEA_281	MSEA_436	Matisoff_209	Swadesh_100	Swadesh_200
183	green	green	green	---	green	green
184	grind	---	grind	grind	---	---
185	gums	---	gums	---	---	---
186	hair	hair	hair	hair (head)	hair	hair
187	half	---	half a unit	---	---	---
188	half a quantity	---	half a quantity	---	---	---
189	hand	hand/arm	hand/arm	hand/arm	hand	hand
190	hard	---	hard	---	---	---
191	hate	---	hate	---	---	---
192	he	he, she	he, she	---	---	he
193	head	head	head	head	head	head
194	hear	hear	hear	---	hear	hear
195	heart	heart	heart	heart	heart	heart
196	heavy	heavy	heavy	heavy	---	heavy
197	heel	---	heel	---	---	---
198	here	here	---	---	---	here
199	hide	---	---	hide	---	---
200	hit	hit	hit	---	---	hit
201	hold	---	---	---	---	hold
202	horn	horn	horn	horn	horn	---
203	horse	---	---	horse	---	---
204	hot	hot	hot	---	hot	---
205	house	house	house	house	---	---
206	how	how many	how many	---	---	how
207	hundred	hundred	hundred	hundred	---	---
208	hungry	---	hungry	---	---	---
209	hunt	hunt	hunt	hunt/drive	---	hunt
210	hurt	---	hurt	---	---	---
211	husband	husband	husband	---	---	husband
212	I (1sg.)	I (familiar)	I (familiar)	I	I	I
213	ice	---	---	---	---	ice
214	if	if	---	---	---	if
215	ill	ill	---	ill	---	---
216	in	in	---	---	---	in
217	insect	---	insect	insect/bug/vermin	---	---
218	intestine	intestine	intestine	guts	---	guts
219	iron	---	iron	iron	---	---
220	irrigated paddy field	---	wet rice field	irrigated paddy field	---	---
221	itchy	---	itch	itchy	---	---
222	jackfruit (fruit)	---	jackfruit (fruit)	---	---	---
223	joint	---	---	joint	---	---
224	kapok	---	kapok	---	---	---
225	kick	---	kick	kick	---	---
226	kill	kill	kill	kill	kill	kill
227	knee	knee	knee	---	knee	---
228	kneel	---	kneel	---	---	---
229	knife	---	knife	---	---	---
230	know	know	know	know	know	know
231	ladle	---	coconut shell ladle	---	---	---
232	lake	lake	---	---	---	lake
233	laugh	laugh	laugh	laugh	---	laugh
234	launder	launder	launder	---	---	---
235	leaf	leaf	leaf	leaf	leaf	leaf
236	leech (land)	---	land leech	leech (land)	---	---
237	left (hand)	left (side)	left (side)	Left side	---	left (hand)
238	leg	leg	leg	---	---	leg
239	lick	---	lick	lick	---	---
240	lie on side	lie down	---	---	lie on side	lie (on side)
241	lie, fib	lie, fib	lie, fib	---	---	---
242	lift	---	lift	---	---	---
243	lightning	---	lightning	---	---	---
244	lightweight	---	---	lightweight	---	---
245	lime	---	lime for betel	---	---	---
246	liquor	---	liquor	liquor	---	---
247	live	live	---	---	---	live
248	liver	liver	liver	liver	liver	liver
249	lizard (house)	---	lizard (house)	---	---	---
250	long	long	long	long/tall	long	long
251	loose	---	loose	let go/set free/loosen	---	---
252	louse	louse	louse	louse	louse	louse
253	love	---	love	---	---	---
254	lungs	---	lungs	---	---	---
255	man	man	man	---	man (male)	man (male)
256	mango (fruit)	---	mango (fruit)	---	---	---
257	many	many	many	many	many	many
258	marrow	---	---	marrow	---	---
259	mat	---	mat	---	---	---
260	medicine	---	medicine	medicine/juice	---	---
261	monkey	monkey	monkey	monkey	---	---
262	monkey	monkey	monkey	---	---	---
263	moon	moon	moon	moon	moon	---
264	morning	---	morning	---	---	---
265	mortar	mortar	mortar	mortar	---	---
266	mosquito	mosquito	mosquito	---	---	---
267	mother	mother	mother	---	---	mother
268	mountain	mountain	mountain	mountain	mountain	mountain
269	mouth	mouth	mouth	mouth	mouth	mouth
270	mud	mud	---	---	---	---
271	mushroom/fungus	---	mushroom	mushroom/fungus	---	---
272	naked	---	naked	---	---	---
273	name	name	name	name	name	name
274	narrow	narrow	narrow	---	---	narrow
275	navel	---	navel	---	---	---
276	navel	---	---	navel	---	---
277	near	near	near	near	---	near
278	neck	neck	---	neck	neck	neck
279	needle	---	needle	needle	---	---
280	new	new	new	new	new	new
281	night	night	night	night	night	night
282	nine	nine	nine	nine	---	---
283	noon	---	noon	---	---	---
284	north	---	north	---	---	---
285	nose	nose	nose	nose	nose	nose
286	not	not	---	---	not	not
287	old	old	old	old	---	old
288	one	one	one	one	one	one
289	opium	---	opium	---	---	---
290	other	---	different	---	---	other
291	otter	---	---	otter	---	---
292	palm	palm	palm	palm	---	---
293	---	pangolin	---	---	---	---
294	papaya	papaya	---	---	---	---
295	paper	---	paper	---	---	---
296	pay	---	pay	---	---	---
297	peanut	---	peanut	---	---	---
298	peas, beans	---	---	peas, beans	---	---
299	penis	---	---	penis	---	---
300	person	person	person	person	person	person
301	pestle	pestle	pestle	---	---	---
302	pangolin	---	pangolin	---	---	---
303	papaya	papaya	papaya	---	---	---
304	pig	pig	pig	pig	---	---
305	pillow	---	pillow	---	---	---
306	plant	---	plant	---	---	---
307	plate	---	plate	---	---	---
308	play	play	play	---	---	play
309	poison	---	---	poison	---	---
310	porcupine	---	porcupine	---	---	---
311	pot (cooking)	---	pot	---	---	---
312	pound (rice)	---	pound	---	---	---
313	pull	pull	pull	---	---	pull
314	pus	---	pus	---	---	---
315	push	push	push	---	---	push
316	put/place	---	---	put/place	---	---
317	rabbit	rabbit	rabbit	---	---	---
318	rain	rain	rain	rain (n.)	rain	rain
319	rainbow	rainbow	rainbow	---	---	---
320	rat	rat	rat	rat/rodent	---	---
321	red	red	red	red	red	red
322	red pepper	red pepper	red pepper	---	---	---
323	return	return	return	---	---	---
324	rib	---	rib	---	---	---
325	rice (cooked)	rice (cooked)	cooked rice	rice (cooked)	---	---
326	rice (in fields)	rice (field)	paddy rice	rice (in fields)	---	---
327	rice (pounded)	pounded rice	pounded rice	---	---	---
328	rice seedling	---	rice seedling	---	---	---
329	right(hand)	right (side)	right (side)	right side	---	right (hand)
330	ring (finger)	---	ring	---	---	---
331	ripe	---	ripe	ripe/well-cooked	---	---
332	river	river	river	river/valley	---	river
333	road (path)	road (path)	road (path)	road	road	road
334	roof	roof	roof	---	---	---
335	root	root	root	root	root	root
336	rope	cord	---	---	---	rope
337	rotten	rotten	rotten	---	---	rotten
338	round	round	round	round	round	---
339	rub	rub (scrub)	rub	rub	---	rub
340	run/flee	---	---	run/flee	---	---
341	saliva	---	saliva	---	---	---
342	salt	salt	salt	salt	---	salt
343	same	---	the same	---	---	---
344	sand	sand	sand	---	sand	sand
345	sarong	sarong	sarong	---	---	---
346	scorpion	scorpion	scorpion	---	---	---
347	scratch	scratch	scratch	scratch/scrape	---	scratch
348	sea	sea	sea	---	---	sea
349	see	see	see	see	see	see
350	seed	seed	seed	---	seed	seed
351	sell	---	sell	sell	---	---
352	seven	seven	seven	seven	---	---
353	sew	sew	sew	sew	---	sew
354	shade/shadow	---	shadow	shade/shadow	---	---
355	shallow	---	shallow	---	---	---
356	sharp	sharp	sharp	sharp	---	sharp
357	shave (beard)	---	shave (beard)	---	---	---
358	shin	---	shin	---	---	---
359	shiver	---	shiver	---	---	---
360	shoot	shoot	shoot	shoot	---	---
361	short (height)	short (height)	short (height)	---	---	short
362	short (length)	short (length)	short (length)	---	---	---
363	shout	---	shout	---	---	---
364	silver	silver	silver	silver	---	---
365	sing	sing	sing	---	---	sing
366	sink	---	sink	---	---	---
367	sister (eldr. of f.)	sister (eldr. of f.)	sister (eldr. of f.)	---	---	---
368	sister (eldr. of m.)	sister (eldr. of m.)	sister (elder of m)	---	---	---
369	sister (yngr. of f.)	---	sister (yngr. of f.)	---	---	---
370	sister (yngr. of m.)	---	sister (yngr. of m.)	---	---	---
371	sit	sit	sit	sit	sit	sit
372	six	six	six	six	---	---
373	skin	skin	skin	skin/bark	skin	skin
374	skinny	---	skinny	---	---	---
375	sky	sky	sky	sky	---	sky
376	sleep	sleep	sleep	sleep/lie down	sleep	sleep
377	sleeping area	---	sleeping area	---	---	---
378	slow	---	slow	---	---	---
379	small	small	small	---	small	small
380	smell	smell	smell	smell	---	smell
381	smile	---	smile	---	---	---
382	smoke	smoke	smoke	smoke	smoke	smoke
383	smooth	smooth	smooth	---	---	smooth
384	snail	---	snail	---	---	---
385	snake	snake	snake	snake	---	snake
386	sneeze	---	sneeze	---	---	---
387	snore	---	snore	---	---	---
388	snot	---	---	snot	---	---
389	snow	---	---	---	---	snow
390	soft (touch)	---	---	soft (touch)	---	---
391	some	some	some	---	---	some
392	son-in-law	---	son-in-law	son-in-law	---	---
393	sour	---	sour	sour	---	---
394	south	---	south	---	---	---
395	speak	speak	speak	---	say	say
396	spear	spear	spear	---	---	---
397	spicy, hot	---	spicy, hot	---	---	---
398	spider	spider	spider	---	---	---
399	spider web	---	spider web	---	---	---
400	spit	spit	spit	spit (n)	---	spit
401	split	split	split	---	---	split
402	split w knife	---	split w knife	---	---	---
403	spoon	---	spoon	---	---	---
404	squeeze	squeeze	---	squeeze	---	squeeze
405	stab	stab	stab	---	---	stab
406	stand	stand	stand	stand	stand	stand
407	star	star	star	star	star	star
408	steal	---	steal	steal	---	---
409	stick	stick	---	stick	---	stick
410	stone	stone	stone	stone	stone	stone
411	straight	straight	straight	---	---	straight
412	stream	---	stream	---	---	---
413	strong	---	strong	---	---	---
414	suck	suck (milk)	suck	---	---	suck
415	sugarcane	---	sugarcane	---	---	---
416	sun	sun	sun	sun/day	sun	---
417	swallow	---	swallow	---	---	---
418	sweat	---	sweat	sweat	---	---
419	sweet	---	sweet	sweet	---	---
420	swell	swollen	swell	---	---	swell
421	swidden	---	---	swidden	---	---
422	swim	swim	swim	---	swim	swim
423	tail	tail	tail	tail	tail	tail
424	take	---	take	---	---	---
425	tall	tall	tall	---	---	---
426	tell	---	tell	---	---	---
427	ten	ten	ten	ten	---	---
428	termite	---	termite	---	---	---
429	that	that	that	---	that	that
430	there	there	---	---	---	there
431	they	they	they	---	---	they
432	thick	thick	thick	thick	---	thick
433	thigh	thigh	thigh	---	---	---
434	thin	thin	thin	thin	---	thin
435	think	think	think	---	---	think
436	thirsty	---	thirsty	---	---	---
437	this	this	this	---	this	this
438	this	---	---	---	---	---
439	thorn	---	thorn	thorn (prick)	---	---
440	thousand	---	thousand	---	---	---
441	three	three	three	three	---	three
442	throw	throw	throw	---	---	throw
443	thunder	---	thunder	---	---	---
444	tie	tie	tie	tie	---	tie
445	tiger	tiger	tiger	---	---	---
446	tired	---	tired	---	---	---
447	tomorrow	---	tomorrow	---	---	---
448	tongue	tongue	tongue	tongue (n)	tongue	tongue
449	tooth	tooth	tooth	tooth (n)	tooth	tooth
450	tree	tree	tree	tree (n)/wood	tree	tree
451	trousers	---	trousers	---	---	---
452	turn	turn	---	---	---	turn
453	turtle	---	turtle	---	---	---
454	tusk	tusk	tusk	---	---	---
455	twenty/score	twenty	---	twenty/score	---	---
456	two	two	two	two	two	two
457	urine	---	urine	piss	---	---
458	village	---	village	village	---	---
459	vomit	vomit	vomit	vomit	---	vomit
460	wait	---	wait	---	---	---
461	walk	walk	walk	---	walk	walk
462	wall of house	---	wall of house	---	---	---
463	warm	warm	warm	warm	---	warm
464	wash	wash (dishes)	wash	wash	---	wash
465	water	water	water	water	water	water
466	water leech	---	water leech	water leech	---	---
467	we	we (inclusive)	we (inclusive)	---	we	we
468	weak	---	weak	---	---	---
469	weave (cloth)	---	weave (cloth)	weave	---	---
470	weep	weep	weep	weep	---	---
471	west	---	west	---	---	---
472	wet	wet	wet	---	---	wet
473	what	what	what	---	what	what
474	when (future)	when (future)	when (future)	---	---	---
475	when (past)	when (past)	when (past)	---	---	when
476	where	where	where	---	---	where
477	whistle	---	whistle	---	---	---
478	white	white	white	white	white	white
479	who	who	who	---	who	who
480	wide	wide	wide	---	---	wide
481	widow	---	widow	---	---	---
482	wife	wife	wife	---	---	wife
483	wind	wind	wind	wind	---	wind
484	window	---	window	---	---	---
485	wing	wing	wing	wing	---	wing
486	wink	---	wink	---	---	---
487	winnow (rice)	---	winnow (rice)	---	---	---
488	wipe	wipe	wipe	---	---	wipe
489	with	with	---	---	---	with
490	woman	woman	woman	---	woman	woman
491	woods	forest	forest	---	---	woods
492	work	work	work	---	---	---
493	worm	earthworm	earthworm	---	---	worm
494	wrong	---	wrong	---	---	---
495	yawn	---	yawn	---	---	---
496	year	year	year	year	---	year
497	yellow	yellow	yellow	---	yellow	yellow
498	yesterday	---	yesterday	---	---	---
499	you (2s.)	thou (2s)	thou (2s)	thou	---	thou
500	you (2pl.)	you	you	you	you	you
