NUMBER	RUSSIAN	ENGLISH	GERMAN	LATIN	FRENCH
299	Теля	?	Kalb	Vitulus	Veau
300	Овца	?	Schaf	Ovis	Brebis
301	Баранъ	?	Widder	Aries	Bélier
302	Коза	?	Ziege	Capra	Chêvre
303	Рогъ	?	Horn	Cornu	Corne
304	Конь	?	Pferd	Caballus	Cheval
305	Верблюдъ	?	Kameel	Camelus	Chameau
306	Оселъ	?	Eßel	Aßinus	Ane
307	Свинья	?	Schwein	Sus	Cochon
308	Собака,Пѣсь	?	Hund	Canis	Chien
309	Котъ	?	Katze	Catus	Chat
310	Левъ	?	Loewe	Leo	Lion
311	Медвѣдь	?	Baer	Urßus	Ours
312	Волкъ	?	Wolf	Lupus	Loup
313	Лисица	?	Fuchs	Vulpes	Renard
314	Заецъ	?	Haße	Lepus	Liévre
315	Мышъ	?	Maus	Mus	Souris
316	Пѣтелъ	?	Hahn	Gallus	Coq
317	Курица	chicken	Huhn	Gallina	Poule
318	Гусь	?	Gans	Anßer	Oye
319	Утка	?	Ente	Anas	Canard
320	Голубь	?	Taube	Columba	Pigeon
321	Орелъ	?	Adler	Aquila	Aigle
322	Воронъ	?	Rabe	Corvus	Corbeau
323	Ворона	?	Kraehe	Cornix	Corneille
324	Птица	?	Vogel	Avis	Oißeau
325	Воробей	?	Serling	Paßßer	Moineau
326	Ласточка	?	Schwalbe	Hirundo	Hirondelle
327	Перо	?	Feder	Penna, Pluma	Plume
328	Яицо	?	Ey	Ovum	Oeuf
329	Гнѣздо	?	Neßt	Nidus	Nid
330	Пастухъ	?	Hirte	Paßtor	Berger
331	Пахать	?	Pflügen	Arare	Labourer
332	Соха	?	Pflughaken	Aratum	
333	Плугъ	?	Pflug	Aratum	Charue
334	Борона	?	Egge	Occa	Herße
335	Жатва	?	Erndte	Meßßis	Recolte
336	Межа	?	Graentze	Terminus	Limite
337	Домъ	?	Haus	Domus	Maison
338	Шалашъ, хижина	?	Hütte	Tugurium	Cabane
339	Шатеръ	?	Zelt	Tentorium	Tente
340	Дверъ	?	Thür	Porta	Porter
341	Очагъ	?	Heerd	Focus	Foyer
342	Полъ	?	Boden	Pavimentum 	Plancher
343	Городъ	?	Stadt	Urbs	Ville
344	Деревня	?	Dorf	Pagus	Village
345	Топоръ	?	Axt	Securis	Hache
346	Мѣра	?	Maas	Menßura	Meßure
347	Ножъ	?	Meßßer	Culter	Couteau
348	Котелъ	?	Keßßel	Olla	Chaudron
349	Столъ	?	Tißch	Menßa	Table
350	Скамья	?	Bank	Scamnum	Banc
351	Кадь	?	Faßs	Dcadus	Cuve
352	Судно	?	Küße, Schif	Navis	Vaißßeau
353	Лодья	?	Kahn	Scapha	Eßquif
354	Возъ	?	Fuhre	Vectura	Voiture
355	Возить	?	Führen	Veture	Voiturer
356	ѣхать	?	Fahren	vehi	
357	Строить	?	Bauen	Struere	Batir
358	Платье	?	Kleidung	Veßtis	Vetement
359	Шуба	?	Peltz	Pelliceamentum	Pelißße
360	Обувь	?	-	-	Chaußßure
361	Чулокъ	?	Strumpf	Tibiale	Bas
362	Башмакъ	?	Schu	Calceus	Souiller
363	Шапка	?	Mütze	Mitra	Bonnet
364	Поясь	?	Gürtel	Cingulum	Ceinture
365	Шелкъ	?	Seyde	Seridum	Soye
366	Шерсть	?	Wolle	Lana	Laine
367	Бумага	?	Baumwolle	Goßßypium	Coton
368	Ленъ	?	Flachs, Lein	Linum	Lin
369	Яствы	?	Speißen	Cibus, Eßca	
370	Сыро	?	Roh	Crudus	Crû
371	Варить	?	Kochen	Coquere	Cuire
372	Пиво	?	Bier	Cervißia	Bière
373	Вино	?	Wein	Vinum	Vin
374	Масло	?	Oel, Butter	Oleum, Butyrum	Huile, Beurre
375	Хлѣбъ	?	Brod	Panis	Pain
376	Денги	?	Geld	Pecunia	Monnoye
377	Тать	?	Dieb	Fur	Voleur
378	Война	?	Krieg	Bellum	Guerre
379	Воинъ	?	Krieger	Miles	Guerrier
380	Брань	?	Zank	Rixa	Querelle
381	Драка	?	Schlaegerey	Pugna	Batterie
382	Латы	?	Harnißch	Lorica	Harnois
383	Шлемъ	?	Helm	Galea	Caßque
384	Щитъ	?	Schild	Scutum	Ecu
385	Копье	?	Spießs, Lanze	Haßta	Lance
386	Бѣда	?	Noth	Mißeria	Mißère
387	Побѣда	?	Sieg	Victoria	Victoire
388	Другъ	?	Freund	Amicus	Ami
389	Врагъ	?	Feind	Inimucus	Enemi
390	Госпдинъ	?	Herr	Dominus	Seigner
391	Рабъ	?	Knecht	Servus	Serf
392	Князь	?	Fürßt	Princeps	Prince
393	Король	?	Koenig	Rex	Roy
394	Сторожъ	?	Waechter	Cußtos	Garde
395	Законъ	?	Geßetz	Lex	Loix
396	Иго	?	Joch	Jugum	Joug
397	Читать	?	Leßen	Legere	Lire
398	Писать	?	Schreiben	Scribere	Ecrire
399	Начало	?	Anfang	Initium	Commencement
400	Конецъ	?	Ende	Finis	Fin
401	Да	?	Ja	Ita	Oui
402	Нѣтъ	?	Nein	Non	Non
403	Теперь	?	Ozt	Nunc	à prefent
404	Прежде	?	Zuvor	Prius	Auparavant
405	Послѣ	?	Nachher	Proßtea	Après
406	Блиско	?	Nahe	Prope	Proche
407	Далеко	?	Fern	Longinque	Loin
408	Здѣсь	?	Hier	Heic	Ici
409	Тамъ	?	Dort	Ibi	Là
410	Вчера	?	Geßtern	Heri	Hier
411	Нынѣ	?	Heute	Hodie	Aujourd'hui
412	Завтра	?	Morgen	Cras	Demain
413	Вотъ	?	Siehe da	Ecce	Voilà
414	Или	?	Oder 	Sive	Ou
415	Какъ	?	Wie	Quomodo	Comment
416	Гдѣ	?	Wo	Ubi	Où
417	Когда	?	Wann	Quando	Quand
418	Что	?	Was	Quid	Quoi
419	Кто	?	Wer	Quis	Qui
420	Кѣмъ	?	Mit wem	Quocum	Avec qui
421	Чемъ	?	Womit	Quonam	Avec quoi
422	Подъ	?	Unter	Sub	Sous
423	Надъ	?	Ueber	Supra	Sur
424	Безъ	?	Ohne	Sine	Sans
425	Во	?	In	In	Enemi
426	Число	?	Zahl	Numerus	Nombre
427	Одинъ	?	Eins	Unus	Un
428	Два	?	Zwey	Duo	Deux
429	Три	?	Drey	Tria	Trois
430	Четыре	?	Vier	Quatuor	Quatre
431	Пять	?	Fünf	Quinque	Cinq
432	Шесть	?	Sechs	Sex	Six
433	Семь	?	Sieben	Septem	Septentrion
434	Восемь	?	Acht	Octo	Huit
435	Девять	?	Neun 	Novem	Neuf
436	Десять	?	Zehn	Dix	Decem
437	Одинатцать	?	Eilfe	Undecim	Onze
438	Дватцать	?	Zwanzig	Viginti	Vingt
439	Трицать	?	Dreyßßig	Triginta	Trente
440	Сто	?	Hundert	Centum	Cent
441	Тысяча	?	Taußend	Mille	Mille
