NUMBER	CATEGORY	GLOSS	URL
98	Verbs	sit!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/sit!/Lgs_Sln
99	Verbs	wash!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/wash!/Lgs_Sln
100	Verbs	fight!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/fight!/Lgs_Sln
101	Verbs	swear!	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/swear!/Lgs_Sln
102	Grammar Words	I	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/I/Lgs_Sln
103	Grammar Words	what?	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/what?/Lgs_Sln
104	Grammar Words	in	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/in/Lgs_Sln
105	Grammar Words	out	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/out/Lgs_Sln
106	Grammar Words	over	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/over/Lgs_Sln
107	Grammar Words	mid	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/mid/Lgs_Sln
108	Time	day	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/day/Lgs_Sln
109	Time	night	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/night/Lgs_Sln
110	Time	year	http://lingweb.eva.mpg.de/sndcomp/#/en/Germanic/map/year/Lgs_Sln
