NUMBER	LONGLIST	SHORTLIST	GLOSS
217	216		cough
218	217		sneeze
219	218		breathe
220	219		suck (baby)
221	220		spit
222	221		blow (wind)
223	222		blow (person)
224	223		whistle (V)
225	224		yawn
226	225		sing
227	226		play (child)
228	227		dance
229	228		laugh
230	229		cry (child)
231	230		bark (dog)
232	231		say
233	232		ask (question)
234	233		look
235	234		show (V)
236	235		hear
237	236		die
238	237		know
239	238		count (V)
240	239		want/like
241	240		help (V)
242	241		walk (V)
243	242		run (V)
244	243		pull (rope)
245	244		come
246	245		leave (V)
247	246		fall (V)
248	247		turn (V)
249	248		burn (sthg)
250	249		bury (people)
251	250		dig (in the field)
252	251		weed (V-by hand)
253	252		plant (V)
254	253		harvest (V)
255	254		grind
256	255		hunt (V)
257	256		cultivate
258	257		work (V)
259	258		build (house)
260	259		push (V)
261	260		make
262	261		sew
263	262		throw
264	263		hit (V)
265	264		slaughter (V)
266	265		cut (horizontally, e.g., a tree)
267	266		wash (V)
268	267		hide (V)
269	268		marry (of man)
270	269		steal
271	270		kill (V)
272	271		stab
273	272		fly (of bird)
274	273		go in
275	274		go out
276	275		move (V)
277	276		return (V)
278	277		dream (V)
279	278		coagulate (of blood)
280	279		make offerings to the dead
281	280		mix (V)
282	281		open (V)
283	282		close (V)
284	283		remember
285	284		forget
286	285		answer (V)
287	286		break (V)
288	287		cover (up)
289	288		bring up a child
290	289		follow
291	290		get lost
292	291		stir (V)
293	292		knock (V)
294	293		take leave
295	294		swallow (V)
296	295		lick
297	296		sniff
298	297		kneel
299	298		bathe
300	299		stop doing
301	300		scratch oneself
302		1	ant
303		4	ball
304		5	bamboo
305		7	basket
306		8	bean
307		11	begin
308		13	book
309		15	case
310		20	corn
311		22	door
312		27	eyelid
313		30	(n) forest
314		31	fox
315		32	frog
316		35	goodness
317		36	grandmother
318		37	happiness
319		38	hate
320		40	help (N)
321		41	herd
322		42	here
323		44	hundred
324		45	thousand
325		48	insect
326		49	journey
327		50	Bena
328		51	grain
329		56	locust
330		58	money
331		59	mosquito
332		62	Njombe
333		64	pain
334		65	pity
335		67	potato
336		70	sheep
337		71	shoe
338		72	us
339		73	song
340		76	sunflower
341		77	sweet potato
342		78	teacher
343		79	trick (V)
344		80	town
345		82	truth
346		85	wasp
347		86	you
348		87	all the people
349		88	our cow
350		89	our fields
351		90	our chair
352		91	our chairs
353		92	our trees
