NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN
47	重陽節	24	noun	time, season	二、時間、節令	名 詞	the Double-Nine Festival	zhòng-yáng-jié
48	除夕	24	noun	time, season	二、時間、節令	名 詞	Chinese New Year's Eve	chú-xī
49	金子	25	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	gold	jīn-zǐ
50	銀子	25	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	silver	yín-zǐ
51	銅	26	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	copper	tóng
52	鉄	26	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	iron	tiě
53	鋼	27	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	steel	gāng
54	鉛	27	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	lead	qiān/yuán
55	錫	28	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	tin	xī
56	煤	28	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	coal	méi
57	煤油	29	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	kerosine	méi-yóu
58	汽油	29	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	petrol	qì-yóu
59	石頭	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	stone	shí-tóu
60	泥	30	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	mud, earth	nì
61	土	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	soil, earth	dù
62	灰塵	31	noun	minerals and other natural objects	三、礦物及其他自然物	名 詞	dust	huī-chén
63	老虎	32	noun	animals	四、動物	名 詞	tiger	lǎo-hǔ
64	獅子	32	noun	animals	四、動物	名 詞	lion	shī-zǐ
65	豹子	33	noun	animals	四、動物	名 詞	leopard // panther	bào-zǐ
66	狼	33	noun	animals	四、動物	名 詞	wolf	láng
67	鹿	34	noun	animals	四、動物	名 詞	dee	lù
68	猴子	34	noun	animals	四、動物	名 詞	monkey	hóu-zi
69	兔子	35	noun	animals	四、動物	名 詞	rabbit, hare	tù-zǐ
70	老鼠	35	noun	animals	四、動物	名 詞	rat, mouse	lǎo-shǔ
71	老鷹	36	noun	animals	四、動物	名 詞	hawk, eagle	lǎo-yīng
72	貓頭鷹	36	noun	animals	四、動物	名 詞	owl	miáo-tóu-yīng
73	雁	37	noun	animals	四、動物	名 詞	wild goose	yàn
74	燕子	37	noun	animals	四、動物	名 詞	swallow	yān-zǐ
75	烏鴉	38	noun	animals	四、動物	名 詞	crow	wū-yā
76	喜鵲	38	noun	animals	四、動物	名 詞	magpie	xì-què
77	麻雀	39	noun	animals	四、動物	名 詞	sparrow	má-què
78	鴿子	39	noun	animals	四、動物	名 詞	pigeon, dove	gē-zǐ
79	八哥	40	noun	animals	四、動物	名 詞	crested myna	bā-gē
80	牲口	40	noun	animals	四、動物	名 詞	cattle	shēng-kou
81	公牛	41	noun	animals	四、動物	名 詞	bull	gōng-niú
82	母牛	41	noun	animals	四、動物	名 詞	cow	mǔ-niú
83	公馬	42	noun	animals	四、動物	名 詞	stallion	gōng-mǎ
84	母馬	42	noun	animals	四、動物	名 詞	mare	mǔ-mǎ
85	公豬	43	noun	animals	四、動物	名 詞	male pig	gōng-zhū
86	母豬	43	noun	animals	四、動物	名 詞	sow	mǔ-zhū
87	公狗	44	noun	animals	四、動物	名 詞	male dog	gōng-gǒu
88	母狗	44	noun	animals	四、動物	名 詞	female dog	mǔ-gǒu
89	驢	45	noun	animals	四、動物	名 詞	donkey, ass	lǘ
90	騾子	45	noun	animals	四、動物	名 詞	mule	luó-zǐ
91	羊	46	noun	animals	四、動物	名 詞	sheep, goat	yáng
92	貓	46	noun	animals	四、動物	名 詞	cat	miáo
93	公雞	47	noun	animals	四、動物	名 詞	rooster (cock)	gōng-jī
94	閹雞	47	noun	animals	四、動物	名 詞	capon	yān-jī
95	母雞	48	noun	animals	四、動物	名 詞	hen (chicken)	mǔ-jī
96	小雞兒	48	noun	animals	四、動物	名 詞	small bird	xiǎo-jī-ní
97	鴨子	49	noun	animals	四、動物	名 詞	duck	yā-zǐ
98	鵝	49	noun	animals	四、動物	名 詞	goose	é
99	鯉魚	50	noun	animals	四、動物	名 詞	carp	lǐ-yú
100	鯽魚	50	noun	animals	四、動物	名 詞	crucian carp	jì-yú
101	黃花魚	51	noun	animals	四、動物	名 詞	yellow croaker	huáng-huā-yú
102	螃蟹	51	noun	animals	四、動物	名 詞	crab	páng-xiè
103	蝦	52	noun	animals	四、動物	名 詞	shrimp	há
104	蚌	52	noun	animals	四、動物	名 詞	oysters, mussels	bàng
105	青蛙	53	noun	animals	四、動物	名 詞	frog	qīng-wā
106	癩蛤蟆	53	noun	animals	四、動物	名 詞	toad	là-gé-má
107	烏龜	54	noun	animals	四、動物	名 詞	turtle	wū-guī
108	蝸牛	54	noun	animals	四、動物	名 詞	snail	wā/guā-niú
109	蚯蚓	55	noun	animals	四、動物	名 詞	earthworm	qiū-yìn
110	蠶	55	noun	animals	四、動物	名 詞	silkworms	cán
111	蜜蜂	56	noun	animals	四、動物	名 詞	bee	mì-péng
112	蝴蝶	56	noun	animals	四、動物	名 詞	butterfly	hú-dié
113	蜻蜓	57	noun	animals	四、動物	名 詞	dragonfly	qīng-diàn
114	蟬	57	noun	animals	四、動物	名 詞	cicada	chán
115	螢火蟲	58	noun	animals	四、動物	名 詞	firefly	yíng-huǒ-chóng
116	蟋蟀	58	noun	animals	四、動物	名 詞	cricket	xī-shuài
117	螞蟻	59	noun	animals	四、動物	名 詞	ant	mǎ-yǐ
118	蒼蠅	59	noun	animals	四、動物	名 詞	housefly	cāng-yíng
119	蚊子	60	noun	animals	四、動物	名 詞	mosquito	wén-zǐ
120	臭蟲	60	noun	animals	四、動物	名 詞	bedbug	chòu-chóng
121	蜘蛛	61	noun	animals	四、動物	名 詞	spider	zhī-zhū
122	蜈蚣	61	noun	animals	四、動物	名 詞	centipede	wú-zhōng
123	蛇	62	noun	animals	四、動物	名 詞	snake	shé
124	壁虎	62	noun	animals	四、動物	名 詞	gecko	bì-hǔ
125	翅膀	63	noun	animals	四、動物	名 詞	wing	chì-páng
126	蹄子	63	noun	animals	四、動物	名 詞	hoof	tí-zǐ
127	爪子	64	noun	animals	四、動物	名 詞	claw	zhǎo-zǐ
128	尾巴	64	noun	animals	四、動物	名 詞	tail	wěi-bā
129	鱗	65	noun	animals	四、動物	名 詞	fish scales	lín
130	梅花	65	noun	plants	五、植物	名 詞	plum blossom	méi-huā
131	杏花	66	noun	plants	五、植物	名 詞	apricot blossom	xìng-huā
132	桃花	66	noun	plants	五、植物	名 詞	peach blossom	táo-huā
133	荷花	67	noun	plants	五、植物	名 詞	lotus	hé-huā
134	桂花	67	noun	plants	五、植物	名 詞	cassia	guì-huā
135	艾	68	noun	plants	五、植物	名 詞	mugwort	ài
136	棉花	68	noun	plants	五、植物	名 詞	cotton (raw)	mián-huā
137	稻子	69	noun	plants	五、植物	名 詞	rice plant	dào-zǐ
138	稻谷	69	noun	plants	五、植物	名 詞	rice crops	dào-lù
139	大米	70	noun	plants	五、植物	名 詞	rice	dà-mǐ
140	糯米	70	noun	plants	五、植物	名 詞	polished glutinous rice	nuò-mǐ
141	麥子	71	noun	plants	五、植物	名 詞	wheat	mài-zǐ
142	面粉	71	noun	plants	五、植物	名 詞	flour	miàn-fěn
143	谷子	72	noun	plants	五、植物	名 詞	millet (unhusked rice)	lù-zǐ
144	小米	72	noun	plants	五、植物	名 詞	millet	xiǎo-mǐ
145	麩子	73	noun	plants	五、植物	名 詞	bran	fū-zǐ
146	糠	73	noun	plants	五、植物	名 詞	chaff (husks)	kāng
147	高粱	74	noun	plants	五、植物	名 詞	sorghum	gāo-liáng
148	玉米	74	noun	plants	五、植物	名 詞	maize	yù-mǐ
149	花生	75	noun	plants	五、植物	名 詞	peanut	huā-shēng
150	向日葵	75	noun	plants	五、植物	名 詞	sunflower	xiàng-rì-kuí
151	甘薯	76	noun	plants	五、植物	名 詞	sweet potato	gān-shǔ
152	馬鈴薯	76	noun	plants	五、植物	名 詞	potato	mǎ-líng-shǔ
153	蔬菜	77	noun	plants	五、植物	名 詞	vegetable	shū-cài
154	卷心菜	77	noun	plants	五、植物	名 詞	cabbage	juàn-xīn-cài
155	南瓜	78	noun	plants	五、植物	名 詞	pumpkin	nán-guā
156	冬瓜	78	noun	plants	五、植物	名 詞	wax gourd (white gourd)	dōng-guā
157	黃瓜	79	noun	plants	五、植物	名 詞	cucumber	huáng-guā
158	蘿蔔	79	noun	plants	五、植物	名 詞	radish	luó-bó
159	茄子	80	noun	plants	五、植物	名 詞	eggplant	qié-zǐ
160	番茄	80	noun	plants	五、植物	名 詞	tomato	bō-qié
161	韭菜	81	noun	plants	五、植物	名 詞	tuber onion	jiǔ-cài
162	蔥	81	noun	plants	五、植物	名 詞	scallions (green onions)	cōng
163	蒜	82	noun	plants	五、植物	名 詞	garlic	suàn
164	辣椒	82	noun	plants	五、植物	名 詞	chilli, red pepper	là-jiāo
165	水果	83	noun	plants	五、植物	名 詞	fruit	shuǐ-guǒ
166	桃兒	83	noun	plants	五、植物	名 詞	peach	táo-ní
167	梨	84	noun	plants	五、植物	名 詞	pear	lí
168	桔子	84	noun	plants	五、植物	名 詞	mandarine	jié-zǐ
169	柚子	85	noun	plants	五、植物	名 詞	pomelo	yòu-zǐ
170	梅子	85	noun	plants	五、植物	名 詞	mume	méi-zǐ
171	葡萄	86	noun	plants	五、植物	名 詞	grape	pú-táo
172	櫻桃	86	noun	plants	五、植物	名 詞	cherry	yīng-táo
173	橄欖	87	noun	plants	五、植物	名 詞	olive	gǎn-lǎn
174	荸薺	87	noun	plants	五、植物	名 詞	water chestnut	bí-qí
175	棗兒	88	noun	plants	五、植物	名 詞	jujube	zǎo-ní
176	栗子	88	noun	plants	五、植物	名 詞	chestnut	lì-zǐ
177	核桃	89	noun	plants	五、植物	名 詞	walnut	hé-táo
178	香蕉	89	noun	plants	五、植物	名 詞	banana	xiāng-jiāo
179	荔枝	90	noun	plants	五、植物	名 詞	litchi (lychee)	lì-zhī
180	桂圓	90	noun	plants	五、植物	名 詞	longan	guì-yuán
181	西瓜	91	noun	plants	五、植物	名 詞	watermelon	xī-guā
182	核兒	91	noun	plants	五、植物	名 詞	pit, stone (of fruit)	hé-ní
183	果皮	92	noun	plants	五、植物	名 詞	peel, skin of fruit	guǒ-pí
184	早飯	92	noun	food	六、飮食	名 詞	breakfast	zǎo-fàn
185	午飯	93	noun	food	六、飮食	名 詞	lunch	wǔ-fàn
186	晚飯	93	noun	food	六、飮食	名 詞	supper	wǎn-fàn
187	米飯	94	noun	food	六、飮食	名 詞	cooked rice	mǐ-fàn
188	粥	94	noun	food	六、飮食	名 詞	rice gruel (congee)	yù
189	米湯	95	noun	food	六、飮食	名 詞	thin rice or millet gruel	mǐ-tāng
190	饅頭	95	noun	food	六、飮食	名 詞	steamed bun	mán-tóu
191	包子	96	noun	food	六、飮食	名 詞	steamed stuffed bun	bāo-zǐ
192	餃子	96	noun	food	六、飮食	名 詞	dumpling (Jiaozi)	jiǎo-zi
193	餛飩	97	noun	food	六、飮食	名 詞	dumpling (Wonton)	hún-tún
194	面條兒	97	noun	food	六、飮食	名 詞	noodles	miàn-tiáo-ní
195	糕	98	noun	food	六、飮食	名 詞	cakes, pastry	gāo
196	餡兒	98	noun	food	六、飮食	名 詞	stuffing (in food)	xiàn-er
197	菜(菜肴)	99	noun	food	六、飮食	名 詞	dish (food)	cài (-cài-yáo/xiáo-)
198	葷菜	99	noun	food	六、飮食	名 詞	meat dishes	hūn/xūn-cài
199	素菜	100	noun	food	六、飮食	名 詞	vegetable dishes	sù-cài
200	湯	100	noun	food	六、飮食	名 詞	soup	tāng
201	豬肉	101	noun	food	六、飮食	名 詞	pork	zhū-ròu
202	豬肝	101	noun	food	六、飮食	名 詞	pork liver	zhū-gān
203	豬舌頭	102	noun	food	六、飮食	名 詞	pork tongue	zhū-huá-tóu
204	雞蛋	102	noun	food	六、飮食	名 詞	egg	jī-dàn
205	腐乳	103	noun	food	六、飮食	名 詞	fermented bean curd	fǔ-rǔ
206	粉條兒	103	noun	food	六、飮食	名 詞	thin noodles (Fentiao)	fěn-tiáo-ní
207	作料	104	noun	food	六、飮食	名 詞	condiments, seasoning	zuò-liáo
208	豬油	104	noun	food	六、飮食	名 詞	pork fat	zhū-yóu
209	醬油	105	noun	food	六、飮食	名 詞	soy sauce	jiàng-yóu
210	醋	105	noun	food	六、飮食	名 詞	vinegar	cù
211	糖	106	noun	food	六、飮食	名 詞	sugar, sweets	táng
212	蜂蜜	106	noun	food	六、飮食	名 詞	honey	péng-mì
213	酒	107	noun	food	六、飮食	名 詞	alcoholic beverage	jiǔ
214	茶	107	noun	food	六、飮食	名 詞	tea	chá
215	冰淇淋	108	noun	food	六、飮食	名 詞	ice cream	níng-qí-lín
216	冰棍兒	108	noun	food	六、飮食	名 詞	popsicle	níng-hùn-ní
217	開水	109	noun	food	六、飮食	名 詞	boiled water	kāi-shuǐ
218	紙煙	109	noun	food	六、飮食	名 詞	cigarette	zhǐ-yān
219	衣服	110	noun	clothing	七、服飾	名 詞	clothes	yī-fú
220	上衣	110	noun	clothing	七、服飾	名 詞	jacket	shàng-yī
221	襯衫	111	noun	clothing	七、服飾	名 詞	shirt	chèn-shān
222	汗衫	111	noun	clothing	七、服飾	名 詞	undershirt	hàn-shān
223	夾祅	112	noun	clothing	七、服飾	名 詞	Jia'ao (costume)	jiā-yāo
224	毛衣	112	noun	clothing	七、服飾	名 詞	woolen sweater	máo-yī
225	大衣	113	noun	clothing	七、服飾	名 詞	coat	dà-yī
226	褲子	113	noun	clothing	七、服飾	名 詞	trousers	kù-zǐ
227	群子	114	noun	clothing	七、服飾	名 詞	skirt	qún-zǐ
228	短褲	114	noun	clothing	七、服飾	名 詞	shorts	duǎn-kù
229	帽子	115	noun	clothing	七、服飾	名 詞	hat	mào-zǐ
230	鞋	115	noun	clothing	七、服飾	名 詞	shoes	xié
231	拖鞋	116	noun	clothing	七、服飾	名 詞	slippers	tuō/duò-xié
232	木拖鞋	116	noun	clothing	七、服飾	名 詞	wooden slippers	mù-tuō/duò-xié
233	靴子	117	noun	clothing	七、服飾	名 詞	boots	xuē-zǐ
234	圍巾	117	noun	clothing	七、服飾	名 詞	shawl	wéi-jīn
235	手套	118	noun	clothing	七、服飾	名 詞	glove	shǒu-tào
236	襪子	118	noun	clothing	七、服飾	名 詞	socks	wà-zǐ
237	毛巾	119	noun	clothing	七、服飾	名 詞	towel, washcloth	máo-jīn
238	手帕	119	noun	clothing	七、服飾	名 詞	handkerchief	shǒu-mò
239	圍嘴兒	120	noun	clothing	七、服飾	名 詞	bib	wéi-zuǐ-ní
240	領子	120	noun	clothing	七、服飾	名 詞	collar	lǐng-zǐ
241	袖子	121	noun	clothing	七、服飾	名 詞	sleeve	xiù-zǐ
242	裏子	121	noun	clothing	七、服飾	名 詞	lining (of clothes)	lǐ-zǐ
243	房子	122	noun	living, dwelling	八、房屋	名 詞	building // house	páng-zǐ
244	屋子	122	noun	living, dwelling	八、房屋	名 詞	room	wū-zǐ
245	正房	123	noun	living, dwelling	八、房屋	名 詞	middle room in the whole house	zhèng-páng
246	廂房	123	noun	living, dwelling	八、房屋	名 詞	wing-room	xiāng-páng
247	廚房	124	noun	living, dwelling	八、房屋	名 詞	kitchen	chú-páng
248	厠所	124	noun	living, dwelling	八、房屋	名 詞	toilet	cè-suǒ
249	柱子	125	noun	living, dwelling	八、房屋	名 詞	column	zhǔ-zǐ
250	房梁	125	noun	living, dwelling	八、房屋	名 詞	beam (in a house)	páng-liáng
251	墻	126	noun	living, dwelling	八、房屋	名 詞	wall	qiáng
252	窗子	126	noun	living, dwelling	八、房屋	名 詞	window	chuāng-zǐ
253	鬥檻兒	127	noun	living, dwelling	八、房屋	名 詞	bucket trap	dòu-xiàn-ní
254	曬臺	127	noun	living, dwelling	八、房屋	名 詞	flat roof	xì-tái
255	欄桿	128	noun	living, dwelling	八、房屋	名 詞	balustrade	lán-gǎn
256	臺階	128	noun	living, dwelling	八、房屋	名 詞	steps (of stairs)	tái-jiē
257	樓梯	129	noun	living, dwelling	八、房屋	名 詞	stairs	lóu-tī
258	院子	129	noun	living, dwelling	八、房屋	名 詞	courtyard	huán-zǐ
259	天井	130	noun	living, dwelling	八、房屋	名 詞	courtyard	tiān-jǐng
260	井	130	noun	living, dwelling	八、房屋	名 詞	well	jǐng
261	家俱	131	noun	tools of daily use	九、器具、日常用具	名 詞	furniture	jiā-jù
262	桌子	131	noun	tools of daily use	九、器具、日常用具	名 詞	table	zhuō-zǐ
263	椅子	132	noun	tools of daily use	九、器具、日常用具	名 詞	chair	yī-zǐ
264	凳子	132	noun	tools of daily use	九、器具、日常用具	名 詞	stool	dèng-zǐ
265	書桌	133	noun	tools of daily use	九、器具、日常用具	名 詞	desk	shū-zhuō
266	櫃子	133	noun	tools of daily use	九、器具、日常用具	名 詞	cupboard	guì-zǐ
267	抽屜	134	noun	tools of daily use	九、器具、日常用具	名 詞	drawer	chōu-tì
268	盒子	134	noun	tools of daily use	九、器具、日常用具	名 詞	box	hé-zǐ
269	箱子	135	noun	tools of daily use	九、器具、日常用具	名 詞	case, box	xiāng-zǐ
270	皮箱	135	noun	tools of daily use	九、器具、日常用具	名 詞	leather case	pí-xiāng
271	床	136	noun	tools of daily use	九、器具、日常用具	名 詞	bed	chuáng
272	被子	136	noun	tools of daily use	九、器具、日常用具	名 詞	quilt	bì-zǐ
273	褥子	137	noun	tools of daily use	九、器具、日常用具	名 詞	puff	nù-zǐ
274	毯子	137	noun	tools of daily use	九、器具、日常用具	名 詞	carpet	tǎn-zǐ
275	枕頭	138	noun	tools of daily use	九、器具、日常用具	名 詞	pillow	chén-tóu
276	席子	138	noun	tools of daily use	九、器具、日常用具	名 詞	mat	xí-zǐ
277	帳子	139	noun	tools of daily use	九、器具、日常用具	名 詞	bed-curtain	zhàng-zǐ
278	鍋	139	noun	tools of daily use	九、器具、日常用具	名 詞	cooking-pot	guō
279	鍋鏟	140	noun	tools of daily use	九、器具、日常用具	名 詞	pancake turner	guō-chàn
280	菜刀	140	noun	tools of daily use	九、器具、日常用具	名 詞	kitchen knife	cài-dāo
281	筷子	141	noun	tools of daily use	九、器具、日常用具	名 詞	chopsticks	kuài-zǐ
282	調羹	141	noun	tools of daily use	九、器具、日常用具	名 詞	spoon	zhōu-gēng
283	缸	142	noun	tools of daily use	九、器具、日常用具	名 詞	earthen jug	gāng
284	水瓢	142	noun	tools of daily use	九、器具、日常用具	名 詞	baler	shuǐ-piáo
285	壇子	143	noun	tools of daily use	九、器具、日常用具	名 詞	earthern jug	tán-zǐ
286	罐子	143	noun	tools of daily use	九、器具、日常用具	名 詞	pot, jug	guàn-zǐ
287	瓶子	144	noun	tools of daily use	九、器具、日常用具	名 詞	bottle	píng-zǐ
288	木柴	144	noun	tools of daily use	九、器具、日常用具	名 詞	firewood	mù-chái
289	木炭	145	noun	tools of daily use	九、器具、日常用具	名 詞	wood charcoal	mù-tàn
290	火爐	145	noun	tools of daily use	九、器具、日常用具	名 詞	stove	huǒ-lú
291	熱水瓶	146	noun	tools of daily use	九、器具、日常用具	名 詞	thermos bottle	rè-shuǐ-píng
292	漿糊	146	noun	tools of daily use	九、器具、日常用具	名 詞	glue	jiāng-hú
293	針	147	noun	tools of daily use	九、器具、日常用具	名 詞	needle	zhēn
294	頂針兒	147	noun	tools of daily use	九、器具、日常用具	名 詞	thimble	dǐng-zhēn-ní
295	綫	148	noun	tools of daily use	九、器具、日常用具	名 詞	thread, wire	xiàn
296	繩子	148	noun	tools of daily use	九、器具、日常用具	名 詞	rope	shéng-zǐ
297	鎖	149	noun	tools of daily use	九、器具、日常用具	名 詞	lock	suǒ
298	鑰匙	149	noun	tools of daily use	九、器具、日常用具	名 詞	key	yuè-chí
299	扇子	150	noun	tools of daily use	九、器具、日常用具	名 詞	fan	shàn-zǐ
300	傘	150	noun	tools of daily use	九、器具、日常用具	名 詞	umbrella	sǎn
301	拐杖	151	noun	tools of daily use	九、器具、日常用具	名 詞	walking staff	guǎi-zhàng
302	電筒	151	noun	tools of daily use	九、器具、日常用具	名 詞	flashlight	diàn-tǒng/tóng
303	蠟燭	152	noun	tools of daily use	九、器具、日常用具	名 詞	candle	là-zhú
304	火柴	152	noun	tools of daily use	九、器具、日常用具	名 詞	match	huǒ-chái
305	肥皂	153	noun	tools of daily use	九、器具、日常用具	名 詞	soap	féi-zào
306	牙刷	153	noun	tools of daily use	九、器具、日常用具	名 詞	toothbrush	yá-shuā
307	抹布	154	noun	tools of daily use	九、器具、日常用具	名 詞	dish towel	mò-bù
308	掃帚	154	noun	tools of daily use	九、器具、日常用具	名 詞	broom	sào-zhǒu
309	撣子	155	noun	tools of daily use	九、器具、日常用具	名 詞	duster	tán-zǐ
310	簸箕	155	noun	tools of daily use	九、器具、日常用具	名 詞	dustpan	bò-jī
311	痰盂	156	noun	tools of daily use	九、器具、日常用具	名 詞	spittoon	tán-yú
312	算盤	156	noun	instruments, material	十、工具、材料	名 詞	abacus	suàn-pán
313	秤	157	noun	instruments, material	十、工具、材料	名 詞	scale	chèng
314	戥子	157	noun	instruments, material	十、工具、材料	名 詞	steelyard (for weighing gold, medicine)	děng-zǐ
315	尺	158	noun	instruments, material	十、工具、材料	名 詞	foot (measure)	chǐ
316	剪子	158	noun	instruments, material	十、工具、材料	名 詞	scissors	jiǎn-zǐ
317	錘子	159	noun	instruments, material	十、工具、材料	名 詞	hammer	zhuì-zǐ
318	斧頭	159	noun	instruments, material	十、工具、材料	名 詞	axe	fǔ-tóu
319	鉗子	160	noun	instruments, material	十、工具、材料	名 詞	pincers	qián-zǐ
320	鑷子	160	noun	instruments, material	十、工具、材料	名 詞	tweezers	niè-zǐ
321	鑿子	161	noun	instruments, material	十、工具、材料	名 詞	chisel	záo-zǐ
322	鋸子	161	noun	instruments, material	十、工具、材料	名 詞	saw (tool)	jù-zǐ
323	銼刀	162	noun	instruments, material	十、工具、材料	名 詞	file (tool)	zú-dāo
324	鉆子	162	noun	instruments, material	十、工具、材料	名 詞	drill (tool)	tiē-zǐ
325	錐子	163	noun	instruments, material	十、工具、材料	名 詞	awl	zhuī-zǐ
326	鉋子	163	noun	instruments, material	十、工具、材料	名 詞	plane (tool)	bào-zǐ
327	小刀兒	164	noun	instruments, material	十、工具、材料	名 詞	small knife	xiǎo-dāo-ní
328	鉤子	164	noun	instruments, material	十、工具、材料	名 詞	hook	gōu-zǐ
329	釘子	165	noun	instruments, material	十、工具、材料	名 詞	nail (tool)	dìng-zǐ
330	梯子	165	noun	instruments, material	十、工具、材料	名 詞	stairs, ladder	tī-zǐ
331	鋤頭	166	noun	instruments, material	十、工具、材料	名 詞	hoe (tool)	chú-tóu
332	鐮刀	166	noun	instruments, material	十、工具、材料	名 詞	sickle (tool)	lián-dāo
333	扁擔	167	noun	instruments, material	十、工具、材料	名 詞	shoulder-pole	biàn-dān
334	篩子	167	noun	instruments, material	十、工具、材料	名 詞	sieve (tool)	shī-zǐ
335	輪子	168	noun	instruments, material	十、工具、材料	名 詞	wheel	lún-zǐ
336	木頭	168	noun	instruments, material	十、工具、材料	名 詞	wood	mù-tóu
337	竹子	169	noun	instruments, material	十、工具、材料	名 詞	bamboo	zhú-zǐ
338	石灰	169	noun	instruments, material	十、工具、材料	名 詞	limestone	shí-huī
339	水泥	170	noun	instruments, material	十、工具、材料	名 詞	cement	shuǐ-nì
340	橡膠	170	noun	instruments, material	十、工具、材料	名 詞	rubber	xiàng-xiáo
341	漆	171	noun	instruments, material	十、工具、材料	名 詞	varnish, paint	qī
342	玻璃	171	noun	instruments, material	十、工具、材料	名 詞	glass	bō-li
343	錢	172	noun	business, communication, traffic	十一、商業、郵電、交通	名 詞	money	jiǎn
