NUMBER	GLOSS	SUBLIST	CATEGORY
86	cow	◇	Animals
87	milk		Animals
88	buffalo	◇	Animals
89	horn	•	Animals
90	tail	•	Animals
91	elephant	◇	Animals
92	elephant tusk	◇	Animals
93	bird	•	Animals
94	bird's nest		Animals
95	wing	◇	Animals
96	feather	•	Animals
97	to fly	•	Animals
98	egg	•	Animals
99	chicken	◇	Animals
100	duck	◇	Animals
101	fish	•	Animals
102	snake	◇	Animals
103	house lizard		Animals
104	turtle		Animals
105	crocodile		Animals
106	frog		Animals
107	insect		Animals
108	spider	◇	Animals
109	spider web		Animals
110	louse (head)	•	Animals
111	termite		Animals
112	cockroach		Animals
113	snail		Animals
114	mosquito	◇	Animals
115	bee		Animals
116	fly	◇	Animals
117	butterfly		Animals
118	scorpion	◇	Animals
119	head	•	Body
120	face		Body
121	brain		Body
122	hair	•	Body
123	forehead		Body
124	eyebrow	Body
125	eye	•	Body
126	eyelid		Body
127	nose	•	Body
128	cheek		Body
129	ear	•	Body
130	mouth	•	Body
131	tongue	•	Body
132	saliva		Body
133	tooth	•	Body
134	gums		Body
135	chin		Body
136	beard		Body
137	to shave (beard)		Body
138	back	◇	Body
139	abdomen	•	Body
140	navel		Body
141	heart	•	Body
142	lungs		Body
143	liver	•	Body
144	intestines	◇	Body
145	hand	•	Body
146	elbow		Body
147	armpit		Body
148	palm	◇	Body
149	finger		Body
150	fingernail	•	Body
151	buttocks		Body
152	leg	◇	Body
153	thigh	◇	Body
154	knee	•	Body
155	calf	◇	Body
156	shin		Body
157	foot	•	Body
158	heel		Body
159	bone	•	Body
160	rib		Body
161	flesh	•	Body
162	fat	◇	Body
163	skin	•	Body
164	blood	◇	Body
165	sweat		Body
166	pus		Body
167	excrement		Body
168	urine		Body
169	man	•	People
170	woman	•	People
171	person	•	People
172	father	◇	People
173	mother	◇	People
174	child	◇	People
175	son-in-law		People
176	husband	◇	People
177	wife	◇	People
178	widow		People
179a	brother (elder of f)	◇	People
179b	brother (elder of m)	◇	People
179c	sister (elder of f)	◇	People
179d	sister (elder of m)	◇	People
180a	brother (younger of f)		People
180b	brother (younger of m)		People
180c	sister (younger of f)		People
180d	sister (younger of m)		People
181	friend		People
182	name	•	People
183	village		Home
184	road	•	Home
185	boat		Home
186	house	◇	Home
187	door		Home
188	window		Home
189	roof	◇	Home
190	area under house	-	Home
191	wall of house		Home
192	mat		Home
193	pillow		Home
194	blanket		Home
195	clothing	◇	Home
196	to weave (cloth)		Home
197	to dye (cloth)		Home
198	*loincloth	◇	Home
199	trousers	◇	Home
200	to sew	◇	Home
201	needle		Home
202	comb		Home
203	ring (finger-)		Home
204	paper, cord		Home
205	pot (cooking-)		Home
206	coconutshell ladle		Home
207	mortar	◇	Home
208	pestle	◇	Home
209	spoon		Home
210	plate		Home
211	firewood	◇	Home
212	fire	•	Home
213	ashes	•	Home
214	smoke	•	Home
215	candle		Home
216	drum	◇	Home
217	gong	◇	Home
218	bow, crossbow	◇	Home
219	arrow	◇	Home
220	spear	◇	Home
221	knife		Home
222	to hear	•	Verbs
223	smell	◇	Verbs
224	to see	•	Verbs
225	to wink	Verbs
226	to weep	◇	Verbs
227	to eat	•	Verbs
228	to swallow		Verbs
229	to be hungry		Verbs
230	to be full	-	Verbs
231	to be thirsty		Verbs
232	to drink	•	Verbs
233	to be drunk	◇	Verbs
234	to vomit	◇	Verbs
235	to spit	◇	Verbs
236	to cough	-	Verbs
237	to sneeze		Verbs
238	to yawn		Verbs
239	to breathe	◇	Verbs
240	blow		Verbs
241	to suck		Verbs
242	to lick		Verbs
243	to smile		Verbs
244	to laugh	◇	Verbs
245	to speak	•	Verbs
246	to tell		Verbs
247	to shout		Verbs
248	to answer		Verbs
249	to lie, fib	•	Verbs
250	to sing	◇	Verbs
251	to think	◇	Verbs
252	to know	•	Verbs
253	to forget		Verbs
254	to choose		Verbs
255	to love		Verbs
256	to hate		Verbs
257	to wait		Verbs
258	to count	◇	Verbs
259	to be afraid	◇	Verbs
260	to be angry		Verbs
261	to sleep	•	Verbs
262	to snore		Verbs
263	to dream		Verbs
264	to hurt		Verbs
265	medicine		Verbs
266	to itch		Verbs
267	to scratch	◇		Verbs
268	to shiver		Verbs
269	to die	•	Verbs
270	ghost		Verbs
271	to sit	•	Verbs
272	to stand	•	Verbs
273	to kneel		Verbs
274	to walk	•	Verbs
275	to crawl		Verbs
276	to come	•	Verbs
277	to enter	◇	Verbs
278	to return	◇	Verbs
279	to push	◇	Verbs
280	to pull	◇	Verbs
281	to kick		Verbs
282	to throw	◇	Verbs
283	to fall	◇	Verbs
284	to swim	•	Verbs
285	to float	◇	Verbs
286	to sink	Verbs
287	to flow	◇	Verbs
288	to give	•	Verbs
289	to tie	◇	Verbs
290	to wipe	◇	Verbs
291	to rub, scrub	◇	Verbs
292	to wash	◇	Verbs
293	to launder	◇	Verbs
294	to bathe		Verbs
295	to hit	◇	Verbs
296	to split	◇	Verbs
297	to cut (hair)	◇	Verbs
298	to stab	◇	Verbs
299	to grind		Verbs
300	to plant		Verbs
301	to dig	◇	Verbs
302	to bury (a corpse)		Verbs
303	to winnow (rice)		Verbs
304	*to dry (sth.)		Verbs
305	to pound (rice)	Verbs
306	to cook (rice)	◇	Verbs
307	to boil (sth.)		Verbs
308	to burn	•	Verbs
309	to extinguish (fire)		Verbs
310	to work	◇	Verbs
311	to play	◇	Verbs
312	to dance	◇	Verbs
313	to shoot	◇	Verbs
314	to hunt	◇	Verbs
315	to kill	•	Verbs
316	to fight	◇	Verbs
317	to buy	◇	Verbs
318	to sell		Verbs
319	to exchange		Verbs
320	to pay		Verbs
321	to steal		Verbs
322	one (person)	•	Numbers
323	two (persons)	•	Numbers
324	three (persons)	◇	Numbers
325	four (persons)	◇	Numbers
326	five (persons)	◇	Numbers
327	six (persons)	◇	Numbers
328	seven (persons)	◇	Numbers
329	eight (persons)	◇	Numbers
330	nine (persons)	◇	Numbers
331	ten (persons)	◇	Numbers
332	hundred (persons)	◇	Numbers
333	thousand		Numbers
334	to be many	•	Numbers
335	all	•	Numbers
336	some	◇	Numbers
337	to be few	◇	Numbers
338	half a unit		Numbers
339	to be big	•	Dimensions
340	to be small	•	Dimensions
341	to be long	•	Dimensions
342	to be short (lenght)	◇	Dimensions
343	to be tall	◇	Dimensions
344	to be short (height)	◇	Dimensions
345	to be thick	◇	Dimensions
346	to be thin	◇	Dimensions
347	to be fat		Dimensions
348	to be skinny	-	Dimensions
349	to be wide, broad	◇	Dimensions
350	to be narrow	◇	Dimensions
351	to be deep		Dimensions
352	to be shallow		Dimensions
353	to be round	•	Dimensions
354	to be full	•	Dimensions
355	right side	◇	Dimensions
356	left side	◇	Dimensions
357	to be straight	◇	Dimensions
358	to be far	◇	Dimensions
359	to be near	◇	Dimensions
360	this	•	Dimensions
361	that	•	Dimensions
362	black	•	Appearance
363	white	•	Appearance
364	red	•	Appearance
365	green	•	Appearance
366	yellow	•	Appearance
367	to be dirty	◇	Appearance
368	to be new	•	Appearance
369	to be old	◇	Appearance
370	to be dark		Appearance
371	to be bright		Appearance
372	to be the same		Appearance
373	to be different	◇	Appearance
374	to be sweet		Taste/Feel
375	to be sour		Taste/Feel
376	to be bitter		Taste/Feel
377	to be spicy, hot		Taste/Feel
378	to be rotten	◇	Taste/Feel
379	to be swell	◇	Taste/Feel
380	to be dry	◇	Taste/Feel
381	to be wet	◇	Taste/Feel
382	to be hot	•	Taste/Feel
383	to be cold	•	Taste/Feel
384	to be sharp	◇	Taste/Feel
385	to be blunt	◇	Taste/Feel
386	to be heavy	◇	Taste/Feel
387	to be hard		Taste/Feel
388	to be smooth	◇	Taste/Feel
389	to be fast		Other Qualities
390	to be slow		Other Qualities
391	to be strong		Other Qualities
392	to be weak		Other Qualities
393	to be tired		Other Qualities
394	to be blind		Other Qualities
395	to be deaf		Other Qualities
396	bald	-	Other Qualities
397	naked	-	Other Qualities
398	to be good		Other Qualities
399	to be bad		Other Qualities
400	to be correct		Other Qualities
401	to be wrong		Other Qualities
402	when	◇	Question Words
403	where	◇	Question Words
404	who	•	Question Words
405	what	•	Question Words
406	how many	◇	Question Words
407	stream		Question Words
408	wet rice field		Question Words
409	to be ripe		Question Words
410	rice seedling		Question Words
411	pangolin		Question Words
412	crested		Question Words
413	water leech		Question Words
414	land leech		Question Words
415	earthworm		Question Words
416	I (1s)		Question Words
417	thou (2s)		Question Words
418	he/she/it		Question Words
419	we (1p)		Question Words
420	you (2p)		Question Words
421	they		Question Words
422	sleeping area		Question Words
423	to take		Question Words
424	to disappear		Question Words
425	to split w/a knife		Question Words
426	to bend		Question Words
427	to lift		Question Words
428	to do/make		Question Words
429	don't do it		Question Words
430	half		Question Words
431	disgusting		Question Words
432	warm		Question Words
433	cool		Question Words
434	difficult		Question Words
435	easy		Question Words
436	loose		Question Words
