NUMBER	LATIN	RUSSIAN	PALLAS_1786_441	GLOSS
105	lutum	Грязь	231	dirt, mud (noun)
106	mons	Гора	232	mountain (noun)
107	ripa	Берегъ	233	riverside (noun)
108	collis	Холмъ	234	hill (noun)
109	valis	Долина	235	valley (noun)
110	aer	Воздухъ	185	air (noun)
111	vapor	Паръ	190	vapor (noun)
112	ignis	Огонь	200	fire (noun)
113	aestus	Жаръ		heat (noun)
114	profunditas	Глубина	236	depth (noun)
115	altitudo	Высота	237	height (noun)
116	latitudo	Ширина	238	breadth, width (noun)
117	longitudo	Длина	239	length (noun)
118	foramen	Дира	240	hole (noun)
119	fovea	ѣма		pit, large hole (noun)
120	fossa	Ровъ	242	trench (noun)
121	lapis	Камень	244	stone (noun)
122	aurum	Золото	245	gold (noun)
123	argentum	Сребро	246	silver (noun)
124	sal	Соль	251	salt (noun)
125	miraculum	Чудо	254	wonder (noun)
126	silua	Лѣсъ	258	wood, forest (noun)
127	herba	Трава	256	herbs (noun)
128	arbor	Древо	257	tree (noun)
129	palus	Колъ	259	stake, pole (noun)
130	gramen	Зелень	255	grass (noun)
131	quercus	Дубъ	272	oak (noun)
132	truncus	Пень	261	stump (of tree, noun)
133	folium	Листъ	264	leaf (noun)
134	fructus	Плодъ	266	fruit (noun)
135	cortex	Кора	262	bark (noun)
136	radix	Корень	260	root (noun)
137	ramus	Сукъ	263	branch (noun)
138	campus	Поле	274	field (noun)
139	pratum	Лугъ	277	meadow (noun)
140	frumentum	Жыто	278	crop (noun)
141	secale	Рожь	279	rye (noun)
142	avena	Овесъ	281	oat (noun)
143	uva	Виноградъ	273	vine (noun)
144	piscis	Рыба	285	fish (noun)
145	vermis	Червь	290	worm (noun)
146	musca	Муха	291	fly (noun)
147	fera	Звѣрь	284	animal (wild, noun)
148	bos	Быкъ	297	bull, ox (noun)
149	vacca	Корова	298	cow (noun)
150	aries	Баранъ	301	ram (animal, noun)
151	cornu	Рогъ	303	horn (noun)
152	equus	Конь	304	horse (noun)
153	sus	Свинья	307	pig (noun)
154	canis	Собака,Пѣсь	308	dog (noun)
155	catus	Котъ	309	cat (noun)
156	mus	Мышъ	315	mouse (noun)
157	avis	Птица	324	bird (noun)
158	penna	Перо	327	feather (noun)
159	gallus	Пѣтелъ	316	cock (noun)
160	ovum	ѣицо	328	egg (noun)
161	gallina	Курица	317	chicken (noun)
162	anser	Гусь	318	goose (noun)
163	anas	Утка	319	duck (noun)
164	columba	Голубь	320	pigeon (noun)
165	aratrum	Соха	332	
166	occa	Борона	334	harrow (noun)
167	limes	Межа	336	border, frontier (noun)
168	domus	Домъ	337	house (noun)
169	porta	Дверъ	340	door (noun)
170	aula	Дворъ		yard (noun)
171	urbs	Городъ	343	city (noun)
172	focus	Очагъ	341	stove (noun)
173	mensura	Мѣра	346	measure (noun)
174	cadus	Кадъ		jug (noun)
175	securis	Топор	345	axe (noun)
176	cingulum	Поясь	364	belt (noun)
177	clavus	Гвосдъ		nail (tool, noun)
178	cectura	Возъ	354	vehicle (noun)
179	panis	Хлѣбъ	375	bread (noun)
180	vinum	Вино	373	wine (noun)
181	cibus	Ѣств		food (noun)
182	fur	Тать	377	thief (noun)
183	thorax	Латы	382	harness (noun)
184	custos	Сторожъ	394	watchmen (noun)
185	rixa	Брань	380	quarrel (noun)
186	pugna	Драка	381	fight (noun)
187	miseria	Бѣда	386	need, misery (noun)
188	victoria	Побѣда	387	victory (noun)
189	bellum	Война	378	war (noun)
190	miles	Воинъ	379	warrior (noun)
191	segnities	Лѣнь	94	lazy (noun)
192	concordia	Ладъ		concord, harmony (noun)
193	puerperium	Родины		childbed (noun)
194	pavimentum	Полъ	342	ground, floor (noun)
195	ager	Пашня	275	field, acre (noun)
196	jugum	Иго	396	yoke (noun)
197	navis	Судно	352	ship (noun)
198	cetus	Китъ		sea monster (noun)
199	lux	Свѣтъ	201	light (noun)
200	tonitru	Громъ	194	thunder
201	juvenis	Молодъ	141	young (adjective)
202	vetus	Старъ	140	old (adjective)
203	sanus	Зсравъ	149	healthy (adjective)
204	alte	Высоко	144	tall (adjective)
205	humile	Ниско	145	low (adjective)
206	magnum	Велико	142	big (adjective)
207	parvum	Мало	143	small (adjective)
208	album	Бѣло	171	white (adjective)
209	nigrum	Черно	172	black (adjective)
210	rubrum	Краско	173	red (adjective)
211	viride	Зелено	174	green (adjective)
212	acute	Остро	157	sharp (adjective)
213	humide; crudum	Сыро	370	raw (noun)
214	laevis	Легокъ	161	light (adjective)
215	crassus	Толсто	167	fat (adjective)
216	bene, probum	Добро		good, noble (adjective)
217	bene, pulchre	Хорошо	150	good (adjective)
218	pulchre, lepide	Лѣпо	156	beautiful (adjective)
219	benignus, beatus	Благъ	151	blessed (adjective)
220	malum, maligne	Зло	152	evil (adjective)
221	male, dementer	Дурно	153	bad (adjective)
222	male	Худо	153	bad (adjective)
223	cito	Скоро	169	fast (adjective)
224	lente	Тихо	170	quiet (adjective)
225	vivum	Живо		alive, living (adjective)
226	hilaris	Радъ	88	glad (adjective)
227	edere	ѣстй	109	to eat (verb)
228	bibere	Пить	112	to drink (verb)
229	canere	Пѣть	71	to sing (verb)
230	cedere	Битъ		to beat (verb)
231	dormire	Спать	80	to sleep (verb)
232	jacere	Лечь	75	to lie, to rest (verb)
233	sumere	Взять	114	to take (verb)
234	amare	Любить	86	to love (verb)
235	portare	Носить	116	to wear (verb)
236	vehere	Возить	355	to drive (a vehicle, verb)
237	secare	Рѣзать	122	to cut (verb)
238	serere	Сѣять	276	to sow (verb)
239	arare	Пахать	331	to plow, plough (verb)
240	ocultare	Скрыть	123	to hide (verb)
241	fundere	Лить	119	to pour (verb)
242	coquere	Варить	371	to boil (verb)
243	est	Есть	104	he is (verb)
244	da	Дай	121	give! (imperative, verb)
245	sta	Стой	76	to stand (verb)
246	ito	Иди	78	go! (imperative, verb)
247	ego	ѣ	95	I (p)
248	tu	Ты	96	thou, you (p)
249	ille	Онъ	97	he (p)
250	illa	Она		she (p)
251	nos	Мы	98	we (p)
252	vos	Вы	99	you (plural, pronoun)
253	illi	Они	100	they (p)
254	illis	Им		them (dative case, pronoun)
255	quid	Что	418	what (interrogative)
256	per quod	Чемъ	421	with what (interrogative)
257	perquem, quis	Кѣмъ, кто	420	with whom (interrogative)
258	ita	Да	401	yes (other)
259	non	Нѣтъ	402	no (other)
260	ubi	Гдѣ	416	where (interrogative)
261	hic	Здѣсь	408	here (adverb)
262	ibi	Тамъ	409	there (adverb)
263	sub	Подъ	422	under (preposition)
264	super	Надъ	423	over (preposition)
265	in	Во	425	in (preposition)
266	quando	Когда	417	when (interrogative)
267	nunc	Теперь	403	now (adverb)
268	prius	Прежде	404	before (adverb)
269	post	Послѣ	405	after
270	quomodo	Какъ	415	how (interrogative)
271	sine	Безъ	424	without (preposition)
272	vel	Или	414	or (conjunction)
273	ecce, vide	Вотъ	413	look (exclamation)
274	*unus	*Одинъ	430	one (numeral)
275	*duo	*Два	431	twoe (numeral)
276	*tria	*Три	432	threee (numeral)
277	*quatuor	*Четыре	433	foure (numeral)
278	*quinque	*Пять	434	fivee (numeral)
279	*sex	Шесть	435	sixe (numeral)
280	*septem	Семь	436	sevene (numeral)
281	*octo	Восемь	437	eighte (numeral)
282	*novem	Девять	438	ninee (numeral)
283	*decem	Десять	439	tene (numeral)
284	*centum	Сто	440	hundrede (numeral)
285	*mille	Тысяча	441	thousande (numeral)
