589	冼澡	verb	wash (onself) (verb)	xiǎn-zǎo	1453	WASH (verb)	2
593	染	verb	dye (hair) (verb)	ràn	157	DYE (verb)	2
594	剪	verb	cut (verb)	jiǎn	1432	CUT (verb)	2
595	裁	verb	cut (verb)	cái	1432	CUT (verb)	2
596	切	verb	cut (in two parts) (verb)	qiē,	1432	CUT (verb)	2
599	殺	verb	kill (verb)	shài	1417	KILL (verb)	2
600	宰	verb	to slaughter (verb)	zǎi	1796	SLAUGHTER (verb)	2
601	潑	verb	pour, splash (verb)	pō	365	SPLASH (verb)	2
603	掃	verb	sweep (verb)	sào	230	SWEEP (verb)	2
607	拌	verb	mix (verb)	bàn	2017	MIX (verb)	2
610	說	verb	speak (verb)	yuè	1623	SPEAK (verb)	2
614	叫	verb	call (verb)	jiào	1084	CALL (verb)	2
615	喊	verb	shout, cry (verb)	hǎn	1839	CRY (verb)	2
616	笑	verb	smile (verb)	xiào	1451	SMILE (verb)	2
617	哭	verb	weep, cry (verb)	kū	1839	CRY (verb)	2
618	駡	verb	shout, scold (verb)	mà	299	SCOLD (verb)	2
622	打架	verb	fight (verb)	dǐng-jià	1423	FIGHT (verb)	2
624	吹牛	verb	boast (verb)	chuì-niú	101	BOAST (verb)	2
627	陪	verb	accompany (verb)	péi	1542	ACCOMPANY (verb)	2
629	幹活兒	verb	work (verb)	gàn-guō-ní	1086	WORK (ACTIVITY) (verb)	2
630	種地	verb	cultivate (verb)	zhòng-dì	1541	CULTIVATE (verb)	2
636	死	verb	die (verb)	sǐ	1494	DIE (verb)	2
637	結婚(指男方)	verb	marry (of a man) (verb)	jié-hūn (-zhǐ-nán-fāng-)	2164	MARRY (AS MAN) (verb)	2
638	結婚(指女方)	verb	marry (of a woman) (verb)	jié-hūn (-zhǐ-nǜ-fāng-)	2164	MARRY (AS MAN) (verb)	2
639	生(生育)	verb	give birth (verb)	shēng (-shēng-yù-)	1195	GIVE BIRTH (verb)	2
642	敎	verb	teach (verb)	jiào	709	TEACH (verb)	2
643	學	verb	learn (verb)	xué	504	LEARN (verb)	2
644	玩兒	verb	play (verb)	wán/wàn-ní	1413	PLAY (verb)	2
645	遊泳	verb	swim (verb)	yóu-yǒng	1439	SWIM (verb)	2
647	贏	verb	win (verb)	yíng	866	WIN (verb)	2
648	輸	verb	transport, carry (verb)	shū	700	CARRY (verb)	2
649	休息	verb	rest (verb)	xiū-xī	168	REST (verb)	2
650	睡覺	verb	sleep (verb)	shuì-jiào	1585	SLEEP (verb)	2
651	打呵欠	verb	yawn (verb)	dǐng-hē-qiàn	1028	YAWN (verb)	2
653	打冷噤	verb	shiver (verb)	dǐng-líng-jìn	52	SHIVER (verb)	2
655	噴嚏	verb	sneeze (verb)	pèn-tì	1621	SNEEZE (verb)	2
656	抓癢	verb	scratch (to relieve itch) (verb)	zhāo-yǎng	1436	SCRATCH (verb)	2
