NUMBER	CHINESE	POS	GLOSS	PINYIN
496	化雪	verb	melt snow (verb)	huà-xuě
497	淋雨	verb	get wet in the rain (verb)	lín-yù
498	退色	verb	fade (loose color) (verb)	tuì-sè
499	掉(掉下來)	verb	fall (down) (verb)	diào (-diào-xià-lái-)
500	看	verb	look, see (verb)	kàn
501	眨眼	verb	blink (with the eyes) (verb)	zhǎ-yǎn
502	瞪眼	verb	stare (verb)	dèng-yǎn
503	聽	verb	hear (verb)	tīng
504	聞	verb	smell (something) (verb)	wén
505	吃	verb	eat (verb)	chī/jì
506	喝	verb	drink (verb)	hē
507	吸	verb	inhale (verb)	xī
508	咬	verb	bite (verb)	yǎo
509	嚙	verb	gnaw (verb)	niè
510	嚼	verb	chew (verb)	jiáo
511	舔	verb	lick (with tongue) (verb)	tiǎn
512	呑	verb	swallow (verb)	tūn
513	含	verb	keep in the mouth (verb)	hán
514	噴	verb	splash (verb)	pèn
515	吹	verb	blow (verb)	chuì
516	嚐	verb	taste (verb)	cháng
517	拿	verb	take, hold (verb)	ná
518	捏	verb	knead (verb)	niē
519	掐	verb	tweak, twitch (verb)	qiā
520	摸	verb	stroke (with hand) (verb)	mó
521	撈	verb	catch (fish) (verb)	láo
522	找	verb	search (verb)	zhǎo
523	摘	verb	pluck, pick (verb)	zhāi
524	擦	verb	wipe, rub (verb)	cā
525	搓	verb	to rub one's hands (verb)	cuō
526	提	verb	hold (in hand), lift (in hand) (verb)	tí
527	舉	verb	raise (something with hand) (verb)	yú
528	托	verb	support, rely on (verb)	tuō
529	端	verb	carry horizontally (verb)	duān
530	捧	verb	hold in two hands (verb)	pěng
531	擡	verb	lift, carry (verb)	tái
532	搬	verb	transfer, move (verb)	bān
533	按	verb	press (verb)	àn
534	推	verb	push (verb)	chuī
535	擋	verb	block (verb)	dàng
