NUMBER	GLOSS	URL	OMEGAWIKI
98	louse	http://ielex.mpi.nl/meaning/louse/	5980
99	man	http://ielex.mpi.nl/meaning/man/	6397
100	many	http://ielex.mpi.nl/meaning/many/	5423
101	meat	http://ielex.mpi.nl/meaning/meat/	2300
102	moon	http://ielex.mpi.nl/meaning/moon/	5729
103	mother	http://ielex.mpi.nl/meaning/mother/	5463
104	mountain	http://ielex.mpi.nl/meaning/mountain/	2421
105	mouth	http://ielex.mpi.nl/meaning/mouth/	332000
106	name	http://ielex.mpi.nl/meaning/name/	5995
107	narrow	http://ielex.mpi.nl/meaning/narrow/	5566
108	near	http://ielex.mpi.nl/meaning/near/	869106
109	neck	http://ielex.mpi.nl/meaning/neck/	5823
110	new	http://ielex.mpi.nl/meaning/new/	5484
111	night	http://ielex.mpi.nl/meaning/night/	5486
112	nose	http://ielex.mpi.nl/meaning/nose/	5471
113	not	http://ielex.mpi.nl/meaning/not/	5495
114	old	http://ielex.mpi.nl/meaning/old/	5482
115	one	http://ielex.mpi.nl/meaning/one/	6244
116	other	http://ielex.mpi.nl/meaning/other/	1406403
117	person	http://ielex.mpi.nl/meaning/person/	333730
118	play	http://ielex.mpi.nl/meaning/play/	6010
119	pull	http://ielex.mpi.nl/meaning/pull/	6071
120	push	http://ielex.mpi.nl/meaning/push/	6068
121	rain	http://ielex.mpi.nl/meaning/rain/	3100
121	rain	http://ielex.mpi.nl/meaning/rain/	5523
122	red	http://ielex.mpi.nl/meaning/red/	1333710
123	right	http://ielex.mpi.nl/meaning/right/	7026
124	rightside	http://ielex.mpi.nl/meaning/rightside/	436024
125	river	http://ielex.mpi.nl/meaning/river/	3253
126	road	http://ielex.mpi.nl/meaning/road/	3258
127	root	http://ielex.mpi.nl/meaning/root/	3269
128	rope	http://ielex.mpi.nl/meaning/rope/	5465
129	rotten	http://ielex.mpi.nl/meaning/rotten/	7031
130	round	http://ielex.mpi.nl/meaning/round/	5984
131	rub	http://ielex.mpi.nl/meaning/rub/	6062
132	salt	http://ielex.mpi.nl/meaning/salt/	5599
133	sand	http://ielex.mpi.nl/meaning/sand/	3305
134	say	http://ielex.mpi.nl/meaning/say/	6075
135	scratch	http://ielex.mpi.nl/meaning/scratch/	6047
136	sea	http://ielex.mpi.nl/meaning/sea/	6154
137	see	http://ielex.mpi.nl/meaning/see/	6003
138	seed	http://ielex.mpi.nl/meaning/seed/	3361
139	sew	http://ielex.mpi.nl/meaning/sew/	6073
140	sharp	http://ielex.mpi.nl/meaning/sharp/	5987
141	short	http://ielex.mpi.nl/meaning/short/	6746
142	sing	http://ielex.mpi.nl/meaning/sing/	5540
143	sit	http://ielex.mpi.nl/meaning/sit/	6022
144	skin	http://ielex.mpi.nl/meaning/skin/	3430
145	sky	http://ielex.mpi.nl/meaning/sky/	7039
146	sleep	http://ielex.mpi.nl/meaning/sleep/	6519
147	small	http://ielex.mpi.nl/meaning/small/	5509
148	smell	http://ielex.mpi.nl/meaning/smell/	6520
149	smoke	http://ielex.mpi.nl/meaning/smoke/	3451
150	smooth	http://ielex.mpi.nl/meaning/smooth/	5487
151	snake	http://ielex.mpi.nl/meaning/snake/	3388
152	snow	http://ielex.mpi.nl/meaning/snow/	3455
153	some	http://ielex.mpi.nl/meaning/some/	5499
154	spit	http://ielex.mpi.nl/meaning/spit/	6051
155	split	http://ielex.mpi.nl/meaning/split/	6048
156	squeeze	http://ielex.mpi.nl/meaning/squeeze/	6017
157	stab	http://ielex.mpi.nl/meaning/stab/	6045
158	stand	http://ielex.mpi.nl/meaning/stand/	6053
159	star	http://ielex.mpi.nl/meaning/star/	6041
160	stick	http://ielex.mpi.nl/meaning/stick/	5662
161	stone	http://ielex.mpi.nl/meaning/stone/	3633
162	straight	http://ielex.mpi.nl/meaning/straight/	5994
163	suck	http://ielex.mpi.nl/meaning/suck/	6027
164	sun	http://ielex.mpi.nl/meaning/sun/	5850
165	swell	http://ielex.mpi.nl/meaning/swell/	6454
166	swim	http://ielex.mpi.nl/meaning/swim/	6050
167	tail	http://ielex.mpi.nl/meaning/tail/	5468
168	that	http://ielex.mpi.nl/meaning/that/	1149393
169	there	http://ielex.mpi.nl/meaning/there/	858309
170	they	http://ielex.mpi.nl/meaning/they/	352331
171	thick	http://ielex.mpi.nl/meaning/thick/	5503
172	thin	http://ielex.mpi.nl/meaning/thin/	5990
173	think	http://ielex.mpi.nl/meaning/think/	6021
174	this	http://ielex.mpi.nl/meaning/this/	5458
175	thou	http://ielex.mpi.nl/meaning/thou/	5459
176	three	http://ielex.mpi.nl/meaning/three/	156096
177	throw	http://ielex.mpi.nl/meaning/throw/	6072
178	tie	http://ielex.mpi.nl/meaning/tie/	844574
179	tongue	http://ielex.mpi.nl/meaning/tongue/	5440
180	tooth	http://ielex.mpi.nl/meaning/tooth/	5946
181	tree	http://ielex.mpi.nl/meaning/tree/	3854
182	turn	http://ielex.mpi.nl/meaning/turn/	6526
182	turn	http://ielex.mpi.nl/meaning/turn/	6055
183	two	http://ielex.mpi.nl/meaning/two/	6248
184	vomit	http://ielex.mpi.nl/meaning/vomit/	5617
185	walk	http://ielex.mpi.nl/meaning/walk/	6054
